InitialReturnMax,MeanIW,InitialReturnMean,J_sample_variance,EpThisIter,TimeElapsed,Iteration,StdIW,TimestepsSoFar,EpisodesSoFar,EpRewMean,InitialReturnStd,Bound,EmpiricalD2,InitialReturnMin,ReturnMeanIW,MinIW,InitialBound,MaxIW,EpLenMean,Weights
9.20005,1.3515253,3.7384034e-06,1434271.0,100,4.118341684341431,1,2.506186,1745,100,-108.67197648780628,3.275067,692.88257,5.3659267,-4.7708664,692.88257,0.0032747702,525.65454,22.516647,17.45,[-0.689  0.919 -0.673  0.288  0.   ]
10.943459,3.0381432,-8.621216e-06,69634430.0,100,12.631980657577515,2,18.012444,3466,200,-108.79139522546413,2.8114803,1496.1517,89607.94,-4.171852,1496.1517,8.247619e-07,534.6533,166.99706,17.21,[-0.622  0.988 -0.57   0.189 -0.078]
7.577011,4.238955,-2.9754638e-06,149845230.0,100,21.348909378051758,3,25.250475,5168,300,-108.65508890022991,2.7635803,2113.4214,1170.1115,-4.1198425,2113.4214,8.673446e-09,540.82434,236.43616,17.02,[-0.676  0.826 -0.555  0.113 -0.149]
10.690422,1.0583692,2.5177003e-06,61956.465,100,30.68262529373169,4,0.48747808,6852,400,-108.0617689822402,3.1235845,575.6549,1.3289733,-4.689453,575.6549,0.23316364,544.4931,4.3458495,16.84,[-0.79   0.742 -0.606  0.228 -0.361]
10.163002,1.1927794,4.5776366e-07,2648662.5,100,37.101895332336426,5,3.2192433,8478,500,-107.66377016589135,2.857246,661.65717,21.52073,-4.2978287,661.65717,0.0028165947,564.65845,26.442377,16.26,[-0.8    0.729 -0.614  0.195 -0.35 ]
13.74263,3.5298069,5.264282e-06,204424160.0,100,44.37509775161743,6,29.722382,10104,600,-108.47642110789302,2.9973235,1782.6627,10086.829,-3.6764145,1782.6627,3.2730372e-06,568.9111,303.78726,16.26,[-0.743  0.738 -0.662  0.178 -0.383]
8.171577,1.2382002,1.4495849e-06,448785.4,100,51.913479804992676,7,1.3101553,11763,700,-108.36937995857835,2.896399,673.7701,4.804465,-3.785675,673.7701,0.002929524,555.4438,7.2136564,16.59,[-0.711  0.802 -0.728  0.181 -0.407]
8.470879,1.0612724,1.04522705e-05,35793.355,100,58.46965765953064,8,0.370698,13411,800,-107.82166229241753,3.0443468,587.5506,1.1825149,-4.611145,587.5506,0.4116532,556.8821,3.1238375,16.48,[-0.75   0.729 -0.777  0.113 -0.44 ]
9.593658,11.368385,-6.942749e-06,3099413500.0,100,65.87405848503113,9,112.55337,15047,900,-108.07198608984092,2.9446204,5750.7344,641226500.0,-4.6524734,5750.7344,4.0554433e-20,562.8241,1147.2998,16.36,[-0.69   0.722 -0.775  0.123 -0.437]
8.908173,1.6402565,-1.6021728e-06,15533911.0,100,74.83265519142151,10,8.639509,16701,1000,-108.16175839994322,2.5533514,835.96277,339.73294,-3.8315125,835.96277,0.0002582569,556.2958,77.800575,16.54,[-0.621  0.902 -0.696  0.026 -0.771]
