EmpiricalD2,InitialReturnMean,EpThisIter,MeanIW,Bound,EpisodesSoFar,J_sample_variance,InitialReturnMin,Iteration,InitialBound,TimeElapsed,EpRewMean,StdIW,InitialReturnMax,MinIW,Weights,MaxIW,InitialReturnStd,TimestepsSoFar,EpLenMean,ReturnMeanIW
4417.479,1.2969971e-06,100,15.52074,12968.489,100,15895983000.0,-16.882248,1,818.5191,9.515974044799805,-121.62483749719935,156.70349,25.629276,1.0190153e-08,[-0.365 -0.68  -0.484 -0.253  0.   ],4104.9277,8.854463,4573,45.73,12968.489
4.1832933,2.3651123e-06,100,1.1685703,866.1724,200,1342680.4,-17.578117,2,741.122,26.308287858963013,-117.18246315238898,1.6011674,25.826553,0.0041293986,[-0.351 -0.7   -0.424 -0.341 -0.248],8.917435,9.729977,9334,47.61,866.1724
674247.44,2.670288e-07,100,5.578906,4225.993,300,747765000.0,-17.950256,3,750.33966,41.77840828895569,-115.88718935879686,37.052967,28.081669,1.4659715e-05,[-0.28  -0.689 -0.404 -0.365 -0.31 ],376.00543,8.814704,14011,46.77,4225.993
86585090000.0,-1.5640259e-06,100,12.974595,7225.1187,400,5077731000.0,-24.97612,4,555.5981,59.88101768493652,-112.04843752831717,131.32603,45.333447,2.4234567e-11,[-0.304 -0.658 -0.318 -0.433 -0.293],1877.022,12.404846,19589,55.78,7225.1187
36.890366,2.1362305e-06,100,1.5800419,986.79504,500,12036687.0,-23.612251,5,613.26996,77.10433959960938,-106.54730654265398,5.8053775,49.85652,0.00077263685,[-0.302 -0.565 -0.257 -0.513 -0.349],58.08513,15.206421,24671,50.82,986.79504
216.37569,-6.790161e-06,100,1.7313689,939.2702,600,8614187.0,-24.632416,6,533.2392,94.1602234840393,-107.23125844078984,5.723854,38.3251,0.00015657666,[-0.274 -0.55  -0.231 -0.461 -0.414],91.10042,13.660676,30232,55.61,939.2702
9209.491,-7.6293944e-08,100,2.655385,1309.3501,700,99907800.0,-24.782051,7,487.09534,111.50934481620789,-109.90863661598178,20.429773,43.248405,5.6234814e-05,[-0.266 -0.65  -0.256 -0.477 -0.375],215.44444,13.1332245,36228,59.96,1309.3501
1308.1455,-1.2588501e-06,100,5.3179436,3736.0945,800,1102295000.0,-20.497116,8,695.3592,126.05321097373962,-111.27406531144914,48.759678,50.425117,1.2820925e-05,[-0.305 -0.597 -0.315 -0.464 -0.342],603.7422,12.93149,41039,48.11,3736.0945
15153315000.0,-1.7166137e-06,100,2.0457911,975.5177,900,57003304.0,-26.547157,9,482.5389,142.9904396533966,-109.46189040877962,16.067015,29.534752,5.219988e-10,[-0.247 -0.568 -0.235 -0.415 -0.483],218.90263,12.815867,47030,59.91,975.5177
764248.9,-1.7166137e-06,100,6.15926,3834.2974,1000,771061500.0,-19.433868,10,617.7309,158.54517221450806,-116.25253479583424,45.81027,31.415237,4.7996555e-06,[-0.268 -0.591 -0.304 -0.345 -0.481],570.813,10.725612,52370,53.4,3834.2974
97193.03,4.997253e-06,100,2.8420382,2353.837,1100,284606940.0,-15.324638,11,822.4772,172.73292756080627,-118.28367039850004,21.047302,20.448925,9.836169e-05,[-0.173 -0.621 -0.346 -0.328 -0.46 ],219.10846,7.8512826,56833,44.63,2353.837
129.20639,6.1035155e-07,100,2.3245676,1578.5912,1200,74884900.0,-20.802567,12,662.7508,188.51682949066162,-121.69601425362575,13.237352,40.468487,0.0012733781,[-0.204 -0.706 -0.34  -0.301 -0.44 ],164.05154,8.962025,62101,52.68,1578.5912
44295.96,4.6920777e-06,100,23.902485,13672.506,1300,17216492000.0,-23.382523,13,549.6412,206.11539673805237,-121.79511520493138,243.13884,23.86501,9.4778267e-07,[-0.286 -0.619 -0.313 -0.296 -0.425],2715.9539,9.53648,68059,59.58,13672.506
686.4938,-3.7002565e-06,100,3.4714246,1284.7281,1400,101623944.0,-25.654861,14,345.51328,228.42725539207458,-123.3695021572276,29.097288,39.50554,3.6010228e-05,[-0.284 -0.706 -0.268 -0.354 -0.479],375.20966,10.901251,76013,79.54,1284.7281
275.73972,1.3542175e-06,100,4.6800804,882.559,1500,32727502.0,-34.804615,15,158.74643,259.37435007095337,-132.62699660818524,36.202618,28.929665,0.0013469398,[-0.297 -0.705 -0.226 -0.351 -0.515],497.23065,10.751042,88661,126.48,882.559
3.0264416,8.773804e-07,100,1.086808,135.13121,1600,21477.752,-28.741615,16,118.04358,291.64985513687134,-127.6394517928168,1.122179,38.45704,0.09874666,[-0.337 -0.631 -0.229 -0.334 -0.52 ],9.089418,14.653791,103189,145.28,135.13121
5315.4526,-9.536743e-07,100,1.5781583,160.0378,1700,648329.5,-26.932663,17,90.37012,325.2294499874115,-129.58744588421808,9.032906,42.18894,4.092555e-07,[-0.345 -0.644 -0.221 -0.34  -0.528],160.37741,12.849876,119676,164.87,160.0378
2.2666524e+32,-9.3460085e-07,100,7.2738276,471.85953,1800,19244564.0,-32.068745,18,82.95466,361.2600462436676,-138.7780063300708,70.401474,29.290272,3.2108607e-21,[-0.316 -0.66  -0.214 -0.325 -0.529],918.596,12.474198,137416,177.4,471.85953
41.60796,-3.0517579e-06,100,1.1828051,415.5007,1900,797459.4,-27.060837,19,349.37527,380.4357998371124,-120.09719413999007,2.5844057,31.234455,0.002846159,[-0.352 -0.65  -0.282 -0.35  -0.473],26.653435,11.201619,145203,77.87,415.5007
3.7415175e+17,3.0517577e-07,100,5.4316163,1686.9934,2000,243771550.0,-29.219501,20,318.39734,399.6902277469635,-117.35153835038142,52.071335,27.141712,6.496044e-14,[-0.347 -0.682 -0.272 -0.393 -0.438],549.0874,12.611222,153279,80.76,1686.9934
117636.36,2.0217894e-06,100,1.6006075,792.4883,2100,13556724.0,-25.52208,21,501.6062,415.8777368068695,-108.80770950241684,7.619942,37.066307,3.3773724e-06,[-0.323 -0.697 -0.302 -0.481 -0.417],70.530945,13.637642,159105,58.26,792.4883
837.673,-2.2888185e-06,100,1.8969169,1112.4474,2200,22907816.0,-21.813736,22,583.2063,430.35339641571045,-105.99744674873014,8.245134,39.845833,1.4382279e-06,[-0.306 -0.704 -0.331 -0.542 -0.368],153.17673,13.6440735,164302,51.97,1112.4474
6539509.0,1.8692017e-06,100,14.613625,10198.627,2300,8930279000.0,-23.745338,23,694.08234,445.47750329971313,-106.73737871868062,141.70326,41.77447,1.2144535e-07,[-0.226 -0.663 -0.347 -0.542 -0.44 ],1498.874,15.288127,168975,46.73,10198.627
2.4626562e+18,-4.959106e-07,100,23.591326,14218.667,2400,10143405000.0,-20.436752,24,598.93243,463.14012479782104,-107.68523428819638,173.46638,44.736835,1.0829432e-09,[-0.311 -0.627 -0.284 -0.482 -0.514],2338.4937,13.00255,174141,51.66,14218.667
56469.44,2.784729e-06,100,3.4793832,1404.0222,2500,72057730.0,-29.463825,25,384.47195,483.49159264564514,-114.04231757572641,23.23854,36.677505,0.0016726664,[-0.3   -0.763 -0.277 -0.48  -0.416],475.0342,12.980306,181241,71.0,1404.0222
49643188.0,-5.455017e-06,100,2.7217262,920.7216,2600,43710052.0,-21.188015,26,338.38358,504.4306764602661,-117.05296378774685,20.474224,31.168148,9.373072e-07,[-0.323 -0.803 -0.291 -0.452 -0.313],215.62811,11.495539,188998,77.57,920.7216
47.979404,2.2888185e-06,100,6.762888,3049.6267,2700,641364600.0,-24.811928,27,433.33096,521.3035790920258,-108.71037295880953,60.676407,29.354912,1.5420776e-05,[-0.27  -0.749 -0.275 -0.501 -0.268],821.7328,12.237317,195365,63.67,3049.6267
