Weights,InitialReturnMean,MinIW,EpThisIter,InitialReturnStd,EpisodesSoFar,TimeElapsed,J_sample_variance,TimestepsSoFar,Bound,EmpiricalD2,InitialReturnMax,EpRewMean,Iteration,MaxIW,ReturnMeanIW,EpLenMean,InitialBound,InitialReturnMin,MeanIW,StdIW
[-0.764 -0.955 -0.898 -0.608 -0.151],2.2888183e-07,2.5110708e-12,100,10.569707,1100,176.97091937065125,185698250000.0,40721,53795.242,81969800000.0,51.624798,-110.34716969973012,11,6570.5186,53795.242,34.9,1087.4618,-13.6692505,48.97424,406.3983
[-0.782 -0.737 -0.894 -0.603 -0.24 ],-4.5776366e-07,3.8248734e-05,100,8.674798,1200,193.61633825302124,285273100.0,43753,2683.4236,843.4764,25.791443,-110.52601691253606,12,292.76587,2683.4236,30.32,1311.6361,-11.917259,2.0335507,13.154774
[-0.858 -0.808 -0.917 -0.545 -0.302],-4.15802e-06,6.5539935e-13,100,9.431128,1300,208.22412729263306,739437640000.0,47044,86558.76,12108571000.0,26.520077,-109.97605660535768,13,12017.811,86558.76,32.91,1169.6665,-13.141769,72.59219,749.9085
[-0.693 -1.036 -0.899 -0.622 -0.419],2.4795531e-06,1.8294477e-10,100,12.16828,1400,226.50415706634521,15750642000.0,50834,12931.76,1624203800000000.0,55.485916,-108.43262850556266,14,3002.204,12931.76,37.9,949.93567,-17.777199,13.621605,134.60098
[-0.747 -1.142 -0.858 -0.759 -0.37 ],5.683899e-06,2.2407374e-05,100,11.887446,1500,245.10031294822693,40672656.0,55000,1552.982,377.96173,26.686367,-108.72929530935237,15,76.0004,1552.982,41.66,832.8394,-18.260155,1.8582304,7.712547
[-0.832 -1.033 -0.898 -0.699 -0.396],-1.335144e-06,3.2960113e-05,100,15.695195,1600,261.31468439102173,1368643800.0,58913,5593.583,15402.949,40.840904,-106.32647603185313,16,1001.6312,5593.583,39.13,894.6691,-22.159454,6.205525,42.10418
[-0.835 -0.863 -0.815 -0.587 -0.366],-2.4795531e-06,2.9929382e-05,100,11.199837,1700,278.35711574554443,842735200.0,62693,4112.5,3634993.0,38.24369,-109.34877901885422,17,329.81992,4112.5,37.8,963.40436,-15.166733,4.215311,31.06006
[-0.854 -0.776 -0.794 -0.622 -0.307],1.1444092e-06,0.00087382394,100,9.588245,1800,294.2154531478882,32197348.0,66167,1841.6202,161.55165,32.138905,-110.35743338548646,18,72.14775,1841.6202,34.74,1091.362,-15.116653,1.6781151,5.216622
[-0.814 -0.781 -0.811 -0.556 -0.301],-3.2424928e-06,2.8900144e-05,100,10.94183,1900,309.93748116493225,26723801000.0,69889,16752.713,669516600000.0,38.224266,-110.5233022419547,19,2346.9893,16752.713,37.22,994.1125,-15.52729,16.67116,168.7338
[-0.808 -0.737 -0.824 -0.467 -0.083],7.858276e-06,6.0166985e-07,100,7.3400974,2000,327.00091671943665,377070530.0,73322,2569.0532,7540.4336,16.169022,-112.1004324968214,20,336.8463,2569.0532,34.33,1125.7124,-12.819321,2.2718334,17.446737
[-0.824 -0.777 -0.795 -0.593 -0.131],-4.653931e-06,4.3119007e-06,100,10.6086235,2100,342.45766735076904,187171470.0,76723,2702.395,10422.995,27.750511,-109.61375102347849,21,746.66516,2702.395,34.01,1116.5131,-14.309975,2.4034297,12.999966
[-0.755 -0.862 -0.746 -0.565 -0.163],2.0599366e-06,8.96486e-06,100,11.524296,2200,359.37622904777527,282739780.0,80420,2485.1355,1943656.8,46.12362,-109.06617534299085,22,264.55096,2485.1355,36.97,990.4072,-15.730103,2.4979997,17.144648
[-0.645 -0.897 -0.759 -0.472 -0.212],-3.8146973e-07,2.3329727e-11,100,10.036399,2300,374.7406163215637,2029078000.0,84287,4891.565,13508.264,29.201214,-110.85583619470873,23,517.4993,4891.565,38.67,943.43915,-16.420547,5.128232,48.961124
[-0.653 -0.853 -0.823 -0.473 -0.483],1.0681152e-06,0.08922091,100,8.663113,2400,389.23213481903076,765770.56,87731,1206.9323,1.9609505,28.141502,-111.05586920689638,24,6.9690685,1206.9323,34.44,1112.2516,-12.317146,1.0845932,0.8075135
[-0.682 -0.818 -0.817 -0.443 -0.477],7.400513e-06,5.8554415e-09,100,8.142997,2500,403.3605353832245,1769841300.0,91328,4316.9434,78016970000.0,15.302071,-111.65290366164473,25,426.23456,4316.9434,35.97,1050.0719,-14.475464,4.099378,40.972134
[-0.667 -0.92  -0.803 -0.392 -0.387],1.6021728e-06,1.2424641e-07,100,9.03728,2600,420.96147894859314,6149116400.0,95465,8555.3545,3173.3796,27.133114,-113.57646347646802,26,3211.6196,8555.3545,41.37,878.7974,-17.808685,9.528869,89.54237
[-0.58  -0.965 -0.76  -0.354 -0.496],-7.6293945e-06,9.674174e-09,100,7.040746,2700,439.12056064605713,6365456000.0,99770,8508.233,45901770000.0,15.919067,-116.4051068952681,27,1197.0677,8508.233,43.05,849.0653,-11.526688,9.927097,95.655426
[-0.455 -1.089 -0.802 -0.332 -0.439],-1.4495849e-06,0.000213524,100,7.275665,2800,456.9517035484314,243952180.0,103892,2275.0122,3675.821,19.08088,-116.96251913187358,28,246.38187,2275.0122,41.22,908.5087,-14.570175,2.5103672,17.457624
[-0.464 -1.121 -0.894 -0.298 -0.383],-1.5258789e-07,1.0869195e-07,100,5.6962094,2900,473.47874665260315,219288240000.0,107717,47374.57,1.1488891e+23,15.261116,-117.78118264760106,29,6368.0615,47374.57,38.25,1018.9707,-11.556129,46.073505,464.8631
[-0.458 -1.242 -1.031 -0.226 -0.151],7.705688e-06,4.04584e-05,100,5.526081,3000,490.50160026550293,22123968.0,110969,2016.2463,162.04037,15.361343,-116.48680840974353,30,36.629612,2016.2463,32.52,1258.6843,-11.2769165,1.5987736,3.7686045
[-0.426 -1.295 -1.098 -0.156 -0.125],-5.41687e-06,0.00060726824,100,4.6476927,3100,504.2562065124512,583014200.0,114075,3180.626,308491100000000.0,11.730804,-116.50982039194943,31,632.88806,3180.626,31.06,1338.7217,-9.40786,2.364187,18.349833
[-0.373 -1.193 -1.006 -0.25   0.144],4.196167e-06,1.6791728e-07,100,5.3596,3200,518.4473648071289,7303116000.0,117275,9683.931,881178.3,18.860779,-116.31767623920182,32,1841.854,9683.931,32.0,1285.0262,-9.786186,7.389241,67.25917
[-0.557 -1.205 -1.003 -0.382  0.116],-1.9836425e-06,1.2850021e-05,100,6.796471,3300,535.4103693962097,1245812500.0,120929,3842.2964,254282530.0,17.642487,-116.23817328583091,33,350.17825,3842.2964,36.54,1071.469,-13.454918,3.550215,33.427082
[-0.682 -1.252 -0.921 -0.451  0.223],3.0517577e-07,3.0321406e-10,100,8.547914,3400,554.045373916626,449299870.0,125300,2463.5344,492005.9,23.69065,-117.44355740791329,34,343.9286,2463.5344,43.71,840.03735,-15.150253,2.9143212,25.858551
[-0.751 -1.438 -0.879 -0.425  0.087],6.8664554e-07,6.373558e-07,100,7.9710293,3500,573.8296375274658,195201390.0,130438,2078.2188,854604.8,23.282196,-122.17836741956926,35,309.08075,2078.2188,51.38,689.7055,-16.758476,2.9944172,20.55424
[-0.814 -1.397 -0.916 -0.281  0.122],1.9836425e-06,3.047603e-05,100,7.509779,3600,593.7661964893341,465676770.0,135825,2486.419,1348.2997,22.184273,-126.4664840825114,36,361.03973,2486.419,53.87,669.15063,-16.433258,3.6008728,33.128918
[-0.973 -1.369 -0.893 -0.254  0.046],-1.0299683e-06,1.4106076e-08,100,7.8718905,3700,618.8002510070801,1877096300.0,143180,4481.922,22662.06,16.099907,-132.74545339417242,37,1398.1239,4481.922,73.55,428.77295,-15.4991455,9.8987875,102.99647
[-0.967 -1.472 -0.856 -0.203 -0.077],-1.1062622e-06,0.003336254,100,9.144304,3800,651.7306208610535,2535096.5,153550,394.36295,216.12927,23.365784,-147.71032020120683,38,79.63945,394.36295,103.7,265.55148,-27.057777,1.4216697,5.913484
[-0.939 -1.538 -0.82  -0.191 -0.016],-8.163453e-06,0.00024893403,100,10.357846,3900,687.4930772781372,18028582.0,166384,544.85583,10868.173,23.665436,-162.65829169573652,39,980.2577,544.85583,128.34,197.90076,-26.12661,2.4253075,22.064432
[-1.    -1.572 -0.802 -0.204  0.005],7.6293946e-07,5.0417017e-09,100,12.765788,4000,760.8875257968903,15565573000.0,194946,12492.648,2122736900.0,23.8727,-207.39539203852203,40,148132.98,12492.648,285.62,43.3366,-33.5626,127.91738,2738.4202
[-1.041 -1.558 -0.771 -0.21  -0.083],2.0599366e-06,6.659298e-17,100,8.874418,4100,879.2706162929535,11098773.0,242248,307.21017,16722611000.0,17.01336,-207.80469320161606,41,17553.812,307.21017,473.02,2.9589026,-20.854427,7.4937015,204.95944
[-0.996 -1.583 -0.773 -0.194 -0.223],-3.8146972e-08,3.1790867e-10,100,8.956112,4200,985.6379508972168,1898146.4,286537,132.35388,7524791.5,18.178062,-211.8751697180807,42,756.60144,132.35388,442.89,6.893745,-27.746315,3.629189,42.557007
[-1.008 -1.562 -0.811 -0.216 -0.262],-8.773804e-07,8.6238956e-08,100,9.314201,4300,1054.0802717208862,84265650.0,314540,926.36475,1826115.6,22.932642,-201.53354335148637,43,7828.339,926.36475,280.03,42.853767,-24.9296,10.834521,163.05336
[-1.068 -1.516 -0.816 -0.193 -0.313],-7.6293944e-08,2.8716789e-16,100,6.96194,4400,1167.8791391849518,543055940000.0,360817,73671.336,53741654000.0,15.493835,-196.71786312489903,44,1345626.8,73671.336,462.77,3.9376519,-15.947006,1464.4965,31268.191
[-1.121 -1.467 -0.811 -0.202 -0.396],-4.5776366e-07,1.4173786e-06,100,7.533698,4500,1290.2569904327393,328422.1,410091,53.665676,520870.7,13.681374,-188.647111614274,45,1087.2086,53.665676,492.74,0.70595884,-25.320793,2.3609247,22.668772
[-1.125 -1.455 -0.808 -0.17  -0.398],5.340576e-07,8.400552e-12,100,6.9239364,4600,1410.913566827774,1484686.8,460091,110.56235,15467295000.0,14.768181,-189.99631145816045,46,5178.2686,110.56235,500.0,5.626678e-07,-19.665344,4.3081226,88.99771
[-1.143 -1.429 -0.789 -0.135 -0.413],-6.8664554e-07,5.5069527e-10,100,8.598856,4700,1535.4043152332306,5520366.5,510091,223.90468,951693.94,18.629608,-195.21369127191574,47,2886.6602,223.90468,500.0,3.6315916e-05,-23.90429,6.1025043,82.80702
[-1.18  -1.408 -0.817 -0.157 -0.458],1.3732911e-06,1.6234591e-13,100,7.1065855,4800,1657.5643439292908,815539800.0,560091,2827.519,5.5845005e+19,14.1755295,-183.44407382340341,48,113925.83,2827.519,500.0,-4.544258e-06,-17.75684,107.40972,2280.75
[-1.173 -1.47  -0.772 -0.151 -0.409],-4.196167e-06,0.046191927,100,7.8529096,4900,1781.4638817310333,402.68207,610091,2.3435311,2.0788362,16.182594,-206.06184729520635,49,7.819379,2.3435311,500.0,-2.7980805e-05,-16.099155,1.0431836,0.6834575
[-1.168 -1.479 -0.769 -0.158 -0.394],4.15802e-06,0.002432337,100,7.7779617,5000,1900.264223575592,5538.503,660091,4.696992,41.861805,15.640469,-209.01922414478852,50,83.94285,4.696992,500.0,1.6374588e-05,-18.103943,1.106731,2.8314335
[-1.171 -1.467 -0.763 -0.171 -0.395],-3.5476685e-06,4.90799e-05,100,7.9413433,5100,2020.1710259914398,56960.51,710091,11.985469,703.63916,17.021404,-206.3447471007308,51,304.12585,11.985469,500.0,-1.7662049e-05,-24.16864,1.2070851,8.03803
[-1.176 -1.452 -0.775 -0.187 -0.421],4.234314e-06,3.0785097e-10,100,7.7839885,5200,2140.627758741379,93127190.0,760091,982.5307,29971690000000.0,16.364182,-202.454741430008,52,38459.19,982.5307,500.0,-8.7738035e-06,-21.921032,30.0422,560.89874
[-1.187 -1.45  -0.751 -0.161 -0.353],2.2888185e-06,0.0002428905,100,8.311265,5300,2263.6263229846954,14524.473,810091,15.818195,86.54078,16.157932,-209.6109198894355,53,118.25219,15.818195,500.0,2.708435e-05,-21.157501,1.3315564,4.3388968
[-1.181 -1.435 -0.764 -0.155 -0.391],-2.3269654e-06,1.4924696e-12,100,7.485746,5400,2385.0562028884888,3135255.2,860091,206.78023,410949720000000.0,22.23775,-204.0754666359486,54,7742.037,206.78023,500.0,1.7566681e-05,-18.077328,8.21715,142.66093
[-1.168 -1.46  -0.755 -0.114 -0.351],-6.4468386e-06,4.0761037e-08,100,7.824718,5500,2506.699494123459,15467358.0,910091,375.59018,115751160.0,18.641777,-211.0174038328365,55,7155.2715,375.59018,500.0,2.3002623e-05,-23.816284,8.374901,184.40771
[-1.192 -1.444 -0.802 -0.104 -0.311],-3.0899048e-06,2.5515822e-16,100,7.858908,5600,2627.3440618515015,121895960.0,960091,1083.2089,837277700000.0,17.188847,-194.03789477490602,56,60932.785,1083.2089,500.0,-1.1472702e-05,-15.750729,47.530834,1029.3304
[-1.11  -1.488 -0.797 -0.122 -0.409],3.0899048e-06,7.8694296e-09,100,8.6427765,5700,2748.7590701580048,627725.3,1010091,84.06827,4232577.5,16.167976,-206.70219151404936,57,1233.8218,84.06827,500.0,-6.160736e-06,-21.24923,2.6593544,29.896317
[-1.103 -1.498 -0.811 -0.095 -0.424],7.6293946e-07,4.107446e-08,100,8.110604,5800,2869.1541724205017,1856392.8,1060091,128.83604,589992.5,17.409435,-203.64278895502719,58,1668.5125,128.83604,500.0,-1.329422e-05,-21.456726,3.7855263,45.42508
