InitialReturnMean,TimeElapsed,MinIW,EmpiricalD2,MaxIW,EpLenMean,MeanIW,EpRewMean,InitialReturnStd,EpisodesSoFar,Weights,InitialBound,InitialReturnMax,ReturnMeanIW,Iteration,TimestepsSoFar,J_sample_variance,EpThisIter,InitialReturnMin,Bound,StdIW
-4.119873e-06,7.771914720535278,0.010493686,38.739082,59.21277,35.09,1.4423673,-108.1894935537418,10.794412,100,[-0.822 -0.493 -0.474 -0.749  0.   ],1058.2925,33.495453,1532.7684,1,3509,18149458.0,100,-16.371025,1532.7684,4.0410805
-5.340576e-07,24.22201418876648,2.9956527e-19,768578200.0,3884.811,37.81,20.451328,-107.81670379252914,12.983653,200,[-0.843 -0.467 -0.42  -0.797  0.082],955.65765,41.547615,19648.473,2,7290,35954827000.0,100,-16.80458,19648.473,202.08875
-1.1062622e-06,41.754518270492554,2.7591702e-09,3909872.2,1879.2914,33.28,11.521832,-107.02156422136854,12.216173,300,[-0.989 -0.394 -0.5   -0.857 -0.206],1124.8119,36.514126,13138.282,3,10618,15527762000.0,100,-15.271965,13138.282,111.38582
8.163453e-06,58.82053303718567,4.2571405e-06,533.08826,43.174072,33.09,1.3840535,-105.79850134615108,13.08186,400,[-1.022 -0.373 -0.399 -0.924 -0.346],1120.7206,44.529366,1556.861,4,13927,20751656.0,100,-15.942528,1556.861,4.076818
2.670288e-06,73.22812700271606,0.0024900965,15.645513,25.823025,33.65,1.3617224,-106.17437089188874,12.642721,500,[-0.994 -0.381 -0.416 -0.858 -0.391],1099.009,35.711998,1497.0034,5,17292,4564318.0,100,-17.243591,1497.0034,1.9629014
-5.1498414e-06,87.04441857337952,4.0486418e-07,18535924.0,687.626,33.6,7.0761867,-106.61804372883542,12.588053,600,[-0.979 -0.347 -0.413 -0.804 -0.429],1109.5037,29.95105,7943.8037,6,20652,5128554000.0,100,-15.635658,7943.8037,65.47995
-4.8828124e-06,103.8325879573822,8.0227386e-10,14978381000.0,4259.7837,34.62,37.158257,-106.43680465159734,14.841781,700,[-1.06  -0.24  -0.368 -0.81  -0.499],1068.6466,50.415123,40377.035,7,24114,159003690000.0,100,-15.463066,40377.035,381.44214
-8.392334e-07,121.23031258583069,3.494062e-10,364027740.0,3812.1833,36.9,22.978146,-106.15627403774823,14.789213,800,[-0.968 -0.33  -0.33  -0.848 -0.479],976.43896,44.03042,22713.555,8,27804,47581426000.0,100,-18.049202,22713.555,229.95909
3.6621093e-06,136.5900378227234,0.005182027,95.835495,42.403584,29.46,1.4368982,-106.79510751882303,11.777914,900,[-0.962 -0.367 -0.419 -0.9   -0.516],1323.1063,31.199265,1903.6842,9,30750,21864168.0,100,-13.419563,1903.6842,3.60136
-1.1062622e-06,149.9067702293396,0.001010466,643.13086,64.35922,33.08,1.4896806,-105.91431330908394,11.933981,1000,[-1.027 -0.408 -0.436 -0.929 -0.445],1122.1179,30.18446,1678.9375,10,34058,36366816.0,100,-17.144028,1678.9375,5.43567
1.5258789e-06,165.53629064559937,1.178721e-07,30547677000.0,241.79979,38.85,2.729592,-103.86653607313532,15.656825,1100,[-1.086 -0.42  -0.398 -0.957 -0.456],886.6277,42.2337,2387.4624,11,37943,401658980.0,100,-19.379372,2387.4624,23.249693
-6.1035155e-07,182.87350344657898,1.3658403e-18,4.431625e+26,2548.6204,40.59,10.173737,-104.8633070972057,14.599779,1200,[-1.086 -0.433 -0.292 -0.952 -0.429],844.84644,46.347084,8464.953,12,42002,4291913000.0,100,-19.985909,8464.953,79.47423
7.2479247e-07,200.89038753509521,3.849514e-21,2.7162726e+31,3529.0942,37.41,32.395584,-104.28974516922614,15.753453,1300,[-1.086 -0.389 -0.323 -1.084 -0.46 ],939.021,44.585514,30678.191,13,45743,91460880000.0,100,-19.45256,30678.191,326.87225
-1.1062622e-06,218.40732955932617,8.437579e-07,212483220000000.0,675.754,34.41,6.6754856,-105.9274405930843,11.92319,1400,[-1.098 -0.521 -0.486 -1.072 -0.507],1061.3104,39.024113,7159.654,14,49184,2872004400.0,100,-16.685524,7159.654,51.117226
,234.8123857975006,4.9894936e-07,575.2654,195.96994,34.44,2.8254516,-105.76411893363806,13.887846,1500,[-1.166 -0.626 -0.609 -1.124 -0.443],1058.1549,46.354332,3010.0972,15,52628,386568060.0,100,-16.695503,3010.0972,19.115562
-3.5095215e-06,250.00580883026123,2.5727567e-09,5.075896e+21,685.18665,31.57,6.8379836,-106.45442033654044,11.747452,1600,[-1.167 -0.531 -0.613 -1.085 -0.563],1198.3677,31.380684,8141.201,16,55785,6278076000.0,100,-15.0924835,8141.201,67.16509
-1.7547608e-06,265.5580861568451,0.00010489067,34.359364,32.7232,29.1,1.3573118,-107.21200122674087,11.501051,1700,[-1.096 -0.506 -0.697 -1.07  -0.413],1345.8121,51.279305,1830.7483,17,58695,14815228.0,100,-14.194008,1830.7483,2.8951006
-8.087158e-06,278.1281006336212,1.0803424e-06,177707.28,112.73597,25.45,1.7214575,-106.94481571667053,10.995042,1800,[-1.053 -0.509 -0.67  -1.02  -0.479],1598.0151,46.30874,2744.421,18,61240,212412620.0,100,-10.892227,2744.421,9.150678
1.3580322e-05,291.97274589538574,1.2236473e-05,34209.477,1511.4801,27.82,3.5901875,-108.7771520489955,9.650354,1900,[-1.137 -0.553 -0.791 -1.028 -0.485],1446.5045,25.41824,5226.917,19,64022,1458850700.0,100,-10.784576,5226.917,27.852186
-5.340576e-07,307.22466135025024,3.6208423e-08,6247506.0,225.80063,28.63,4.034315,-108.18225773219237,11.601179,2000,[-1.067 -0.58  -0.867 -1.035 -0.534],1386.5916,41.020947,5628.4326,20,66885,1059393500.0,100,-13.840889,5628.4326,23.998621
1.8310546e-06,321.08678579330444,2.8172349e-06,66198098000.0,228.77965,25.75,2.4924593,-107.9362502800999,10.864309,2100,[-1.046 -0.678 -0.91  -1.002 -0.549],1588.0673,54.001602,3949.8445,21,69460,1243985500.0,100,-10.942314,3949.8445,22.423203
-1.2207031e-06,335.47678112983704,0.00013040268,423.51093,312.1703,32.36,1.7316778,-107.86094554130392,12.435532,2200,[-1.133 -0.826 -0.963 -1.023 -0.426],1173.874,45.91944,2034.7227,22,72696,100313480.0,100,-14.661209,2034.7227,8.826513
