IterType,Bound,VanillaAvgRet,MaxVanillaIw,MaxNormIw,EpsThisIter,eRenyi2,J,VarVanillaIw,AvgVanillaIw,ESSClassic,AvgNormIw,VarDiscRet,AvgEpLen,MinVanillaIw,BatchSize,VarRet,ESSRenyi,VarNormIw,VarJ,MinNormIw,AvgDiscRet,Delta,AvgRet
1,-124.261,-116.878898924,18.618,0.178753,100,1.0,-109.209,4.05739,1.04155,21.2641484043,0.01,1022.58113717,36.66,0.00140595,100,1022.58113717,99.9999880791,0.000374015,5.33485,1.34987e-05,-116.878898924,0.8,-116.878898924
1,-118.884,-109.373380835,1.42734,0.0140618,100,1.05486,-108.518,0.0552769,1.01505,94.956508666,0.01,103.387038794,23.38,0.251741,100,103.387038794,94.7990852574,5.36502e-06,4.36159,0.00248009,-109.373380835,0.8,-109.373380835
1,-133.903,-112.157303013,2.0079,0.0203799,100,1.08287,-108.801,0.106489,0.985236,90.2032654318,0.01,1448.52712646,22.68,0.195957,100,1448.52712646,92.3468219496,1.09704e-05,8.96275,0.00198894,-112.157303013,0.8,-112.157303013
1,-114.098,-108.175895117,1.52171,0.0156146,100,1.08947,-107.547,0.101516,0.974543,90.4306139372,0.01,14.50305139,16.73,0.210684,100,14.50305139,91.7875969237,1.06889e-05,2.93475,0.00216188,-108.175895117,0.8,-108.175895117
1,-112.589,-107.223384203,4.39153,0.0409974,100,1.28913,-106.042,0.515442,1.07117,69.2170751352,0.01,16.1036466063,18.81,0.10293,100,16.1036466063,77.5715610053,4.49222e-05,9.91341,0.000960913,-107.223384203,0.8,-107.223384203
1,-113.679,-107.565238203,1.25679,0.012383,100,1.02326,-107.433,0.0216117,1.01493,97.9652266975,0.01,10.051968299,16.58,0.468658,100,10.051968299,97.7273285943,2.09805e-06,3.02,0.00461763,-107.565238203,0.8,-107.565238203
1,-113.597,-107.611790898,1.39078,0.0144032,100,1.05487,-107.292,0.0568787,0.965603,94.3046561701,0.01,11.988007774,16.81,0.305871,100,11.988007774,94.7983460538,6.10032e-06,3.1862,0.00316767,-107.611790898,0.8,-107.611790898
1,-112.835,-107.176858532,1.51174,0.0154206,100,1.04049,-106.948,0.0420491,0.98034,95.8483181131,0.01,10.7634764962,16.43,0.370919,100,10.7634764962,96.1084512366,4.37526e-06,3.28569,0.00378358,-107.176858532,0.8,-107.176858532
1,-113.197,-107.337406396,1.27065,0.0128336,100,1.01495,-107.249,0.0169758,0.990097,98.3145152815,0.01,8.34101321149,16.93,0.663128,100,8.34101321149,98.5271563116,1.7317e-06,2.69688,0.00669761,-107.337406396,0.8,-107.337406396
1,-112.346,-106.743527384,1.41693,0.0141418,100,1.01688,-106.654,0.0147057,1.00194,98.5705308846,0.01,6.57471992218,18.62,0.806306,100,6.57471992218,98.3400516166,1.46486e-06,2.88585,0.00804741,-106.743527384,0.8,-106.743527384
