VarVanillaIw,AvgVanillaIw,ESSClassic,MinNormIw,VanillaAvgRet,BatchSize,MaxNormIw,eRenyi2,AvgNormIw,VarDiscRet,AvgDiscRet,J,AvgRet,MinVanillaIw,ESSRenyi,Bound,MaxVanillaIw,VarNormIw,VarRet,VarJ,AvgEpLen
4422132.5,210.28867,1.0,,-1704.5819581729843,100,1.0,18385.137,0.01,4553425.762000742,-1.0913936421275138e-13,1704.5808,-1.0913936421275138e-13,,0.005439176304738351,357019.4,21028.867,0.010000003,4553425.762000742,,200.0
0.6814673,0.82235944,50.06004702417888,6.239768e-06,-13.0105585837807,100,0.034456123,1.786126,0.01,103.0003776404753,-1.5631940186722204e-15,1.2628208,-1.5631940186722204e-15,0.00051313324,55.987091065400236,-0.50862193,2.8335319,0.00010076778,103.0003776404753,13.206652,200.0
11.304943,1.0751938,9.36222506996554,,-12.981355897632419,100,0.16340727,12.463998,0.009999999,109.49989456985922,-1.8118839761882555e-15,6.761957,-1.8118839761882555e-15,,8.023107936685012,3.700005,17.569447,0.000977901,109.49989456985922,23.455536,200.0
inf,3.4850664e+31,,,-11.496508007062964,100,1.0,inf,0.01,92.37693457245773,-1.9539925233402755e-16,9.860461,-1.9539925233402755e-16,,,3.436436e+32,3.4850664e+33,0.010000003,92.37693457245773,,200.0
,1.0,100.0,0.01,-13.094698736841664,100,0.01,nan,0.009999998,99.35660536705892,-2.3092638912203257e-15,-1.1920929e-07,-2.3092638912203257e-15,1.0,nan,-1.1018357,1.0,3.5044917e-18,99.35660536705892,9.917814,200.0
,1.0,100.0,0.01,-13.16489282171091,100,0.01,nan,0.009999998,101.99525373345693,-1.4210854715202005e-15,8.940697e-08,-1.4210854715202005e-15,1.0,nan,-1.1072271,1.0,3.5044917e-18,101.99525373345693,10.048647,200.0
,1.0,100.0,0.01,-12.137760269296214,100,0.01,nan,0.009999998,101.66967357207339,-2.0872192862952944e-15,1.4901161e-08,-2.0872192862952944e-15,1.0,nan,-1.0201774,1.0,3.5044917e-18,101.66967357207339,10.032596,200.0
,1.0,100.0,0.01,-13.876400723215122,100,0.01,nan,0.009999998,104.78518486336147,2.1582735598713045e-15,-4.4703484e-08,2.1582735598713045e-15,1.0,nan,-1.1677628,1.0,3.5044917e-18,104.78518486336147,10.185152,200.0
,1.0,100.0,0.01,-11.807971763032556,100,0.01,nan,0.009999998,102.92323471888736,3.1974423109204507e-16,-5.9604645e-08,3.1974423109204507e-16,1.0,nan,-0.9937837,1.0,3.5044917e-18,102.92323471888736,10.094256,200.0
,1.0,100.0,0.01,-12.405007140292776,100,0.01,nan,0.009999998,101.95694592229114,1.9539925233402755e-16,-7.4505806e-08,1.9539925233402755e-16,1.0,nan,-1.0436699,1.0,3.5044917e-18,101.95694592229114,10.046759,200.0
,1.0,100.0,0.01,-13.080809359029429,100,0.01,nan,0.009999998,109.80511273446916,1.0125233984581427e-15,2.9802322e-08,1.0125233984581427e-15,1.0,nan,-1.1006906,1.0,3.5044917e-18,109.80511273446916,10.426269,200.0
,1.0,100.0,0.01,-11.904934091790858,100,0.01,nan,0.009999998,109.40937728453054,-1.6697754290362353e-15,-1.1920929e-07,-1.6697754290362353e-15,1.0,nan,-1.0015292,1.0,3.5044917e-18,109.40937728453054,10.407462,200.0
,1.0,100.0,0.01,-12.779014962723767,100,0.01,nan,0.009999998,103.07588976729396,8.348877145181177e-16,2.9802322e-08,8.348877145181177e-16,1.0,nan,-1.0754553,1.0,3.5044917e-18,103.07588976729396,10.101739,200.0
,1.0,100.0,0.01,-12.136796346005243,100,0.01,nan,0.009999998,102.80844462669634,9.947598300641404e-16,1.7881393e-07,9.947598300641404e-16,1.0,nan,-1.0212628,1.0,3.5044917e-18,102.80844462669634,10.088625,200.0
,1.0,100.0,0.01,-12.273887236764153,100,0.01,nan,0.009999998,106.68795089432061,1.5987211554602254e-16,8.940697e-08,1.5987211554602254e-16,1.0,nan,-1.0329436,1.0,3.5044917e-18,106.68795089432061,10.277211,200.0
,1.0,100.0,0.01,-11.964829940270127,100,0.01,nan,0.009999998,109.45722970822776,-5.861977570020827e-16,-5.9604645e-08,-5.861977570020827e-16,1.0,nan,-1.0069854,1.0,3.5044917e-18,109.45722970822776,10.409739,200.0
,1.0,100.0,0.01,-12.797140998284096,100,0.01,nan,0.009999998,97.15639308831982,1.2079226507921704e-15,-2.2351742e-08,1.2079226507921704e-15,1.0,nan,-1.0766003,1.0,3.5044917e-18,97.15639308831982,9.807386,200.0
,1.0,100.0,0.01,-12.288768648895653,100,0.01,nan,0.009999998,103.26503738998933,3.0730973321624333e-15,1.4901161e-07,3.0730973321624333e-15,1.0,nan,-1.033739,1.0,3.5044917e-18,103.26503738998933,10.111003,200.0
