EpsThisIter,Delta,J,Bound,VanillaAvgRet,VarJ,eRenyi2,AvgRet,MinNormIw,VarNormIw,BatchSize,AvgDiscRet,VarRet,ESSRenyi,AvgVanillaIw,AvgEpLen,VarVanillaIw,ESSClassic,AvgNormIw,VarDiscRet,IterType,MinVanillaIw,MaxNormIw,MaxVanillaIw
100,1.0,-187.246,-187.246,-312.475518441,251.405,inf,-312.475518441,0.00259725,0.000286117,100,-312.475518441,22282.4440541,,1.29743,386.75,4.81627,26.0922529079,0.01,22282.4440541,1,0.336975,0.11834,15.3538
100,1.0,-274.51,-274.51,-312.475518441,179.702,1.36287,-312.475518441,0.000484543,1.79989e-05,200,-272.954440069,22282.4440541,146.749514304,1.34417,386.75,0.3252,84.8760520398,0.01,27647.3887641,,0.0651306,0.0220775,2.96758
100,1.0,-52.7399,-52.7399,-294.971920196,,inf,-294.971920196,,0.005,200,-294.971920196,25150.0057261,,3.58019e-40,363.14,,inf,0.005,25150.0057261,1,,1.0,7.16038e-38
100,1.0,-64.7945,-64.7945,-64.7945057578,36.2233,1.0,-64.7945057578,0.01,3.50449e-18,200,-64.7945057578,1325.37817286,200.0,1.0,94.27,,100.0,0.01,1325.37817286,2,1.0,0.01,1.0
100,1.0,nan,nan,-294.971920196,nan,inf,-294.971920196,nan,nan,300,-60.5810794635,25150.0057261,,inf,363.14,nan,nan,nan,49.9168752479,,1.39657e+37,nan,inf
100,1.0,-52.7399,-52.7399,-333.543258069,,6.66463e+25,-333.543258069,,0.00333333,300,-333.543258069,19860.1464896,4.50137848725e-24,1.48029e-40,407.53,,inf,0.00333333,19860.1464896,1,,1.0,4.44086e-38
100,1.0,-63.944,-63.944,-63.9440078281,36.2234,1.0,-63.9440078281,0.01,3.50449e-18,300,-63.9440078281,1325.38929764,300.0,1.0,93.03,,100.0,0.01,1325.38929764,2,1.0,0.01,1.0
100,1.0,-65.6686,-65.6686,-67.3932455222,43.8369,1.0,-67.3932455222,0.005,2.1793e-19,300,-67.3932455222,2550.76962976,300.0,1.0,97.35,,200.000000102,0.005,2550.76962976,2,1.0,0.005,1.0
100,1.0,nan,nan,-333.543258069,nan,nan,-333.543258069,nan,nan,400,-60.069312806,19860.1464896,nan,inf,407.53,nan,nan,nan,47.4271443487,,2.25182e+37,nan,inf
100,1.0,-58.2249,-58.2249,-326.566986196,72.265,1.96078e+16,-326.566986196,,0.00125273,400,-326.566986196,20424.8480064,2.04000077676e-14,2.05897e-40,400.18,,inf,0.0025,20424.8480064,1,,0.534193,4.39955e-38
100,1.0,-60.0198,-60.0198,-60.0197996394,6.74728,1.0,-60.0197996394,0.01,3.50449e-18,400,-60.0197996394,45.9856842726,400.0,1.0,88.22,,100.0,0.01,45.9856842726,2,1.0,0.01,1.0
100,1.0,-60.2275,-60.2275,-60.4351401639,7.27751,1.0,-60.4351401639,0.005,2.1793e-19,400,-60.4351401639,60.9214864186,400.0,1.0,89.33,,200.000000102,0.005,60.9214864186,2,1.0,0.005,1.0
100,1.0,-65.8998,-65.8998,-77.2445759064,46.2327,1.0,-77.2445759064,0.00333333,5.43914e-20,400,-77.2445759064,6175.17137943,400.0,1.0,108.06,,299.999969474,0.00333333,6175.17137943,2,1.0,0.00333333,1.0
100,1.0,nan,nan,-326.566986196,nan,nan,-326.566986196,nan,nan,500,-58.2056743829,20424.8480064,nan,inf,400.18,nan,nan,nan,44.0415523505,,2.27296e+37,nan,inf
100,1.0,-52.7399,-52.7399,-331.33537798,,2.69734e+14,-331.33537798,,0.002,500,-331.33537798,20088.4290798,1.85367625254e-12,3.0739e-39,404.74,,inf,0.002,20088.4290798,1,,1.0,1.53695e-36
100,1.0,-63.1764,-63.1764,-63.1763895045,7.91357,1.0,-63.1763895045,0.01,3.50449e-18,500,-63.1763895045,63.2571976949,500.0,1.0,93.14,,100.0,0.01,63.2571976949,2,1.0,0.01,1.0
100,1.0,-64.3438,-64.3438,-65.5111859573,26.2272,1.0,-65.5111859573,0.005,2.1793e-19,500,-65.5111859573,1323.61905088,500.0,1.0,95.34,,200.000000102,0.005,1323.61905088,2,1.0,0.005,1.0
100,1.0,-67.3079,-67.3079,-73.2359788841,41.4342,1.0,-73.2359788841,0.00333333,5.43914e-20,500,-73.2359788841,3759.51589446,500.0,1.0,104.8,,299.999969474,0.00333333,3759.51589446,2,1.0,0.00333333,1.0
100,1.0,-66.3733,-66.3733,-63.5694697285,36.1389,1.0,-63.5694697285,0.0025,5.4346e-20,500,-63.5694697285,63.8767511652,500.0,1.0,93.99,,400.0,0.0025,63.8767511652,2,1.0,0.0025,1.0
100,1.0,-54.7137,-54.7137,-69.4805380891,4.7534e-08,1.28849e+11,-69.4805380891,,0.002,500,-69.4805380891,2550.22850462,3.88052503716e-09,1.59236e-29,100.05,,inf,0.002,2550.22850462,1,,1.0,7.9618e-27
100,1.0,-67.7366,-67.7366,-67.7366383523,36.0048,1.0,-67.7366383523,0.01,3.50449e-18,500,-67.7366383523,1309.43925553,500.0,1.0,99.0,,100.0,0.01,1309.43925553,2,1.0,0.01,1.0
100,1.0,-70.8616,-70.8616,-73.9866752443,50.0983,1.0,-73.9866752443,0.005,2.1793e-19,500,-73.9866752443,3741.21133438,500.0,1.0,105.75,,200.000000102,0.005,3741.21133438,2,1.0,0.005,1.0
100,1.0,-72.5405,-72.5405,-75.8981077075,53.8384,1.0,-75.8981077075,0.00333333,5.43914e-20,500,-75.8981077075,3696.1078256,500.0,1.0,108.56,,299.999969474,0.00333333,3696.1078256,2,1.0,0.00333333,1.0
100,1.0,-72.1445,-72.1445,-70.9563899623,52.9212,1.0,-70.9563899623,0.0025,5.4346e-20,500,-70.9563899623,2530.31117003,500.0,1.0,102.4,,400.0,0.0025,2530.31117003,2,1.0,0.0025,1.0
100,1.0,-53.3124,-53.3124,-72.1701186876,0.643612,1133.51,-72.1701186876,,0.00189878,500,-72.1701186876,2517.3625011,0.44110955854,1.24647e-06,104.73,7.37525e-10,1.05319659991,0.002,2517.3625011,1,,0.974084,0.000607082
100,1.0,-70.9873,-70.9873,-70.9873480342,50.049,1.0,-70.9873480342,0.01,3.50449e-18,500,-70.9873480342,2530.20390932,500.0,1.0,102.6,,100.0,0.01,2530.20390932,2,1.0,0.01,1.0
100,1.0,-69.181,-69.181,-67.3746004654,43.6459,1.0,-67.3746004654,0.005,2.1793e-19,500,-67.3746004654,1311.61460174,500.0,1.0,97.94,,200.000000102,0.005,1311.61460174,2,1.0,0.005,1.0
100,1.0,-74.2911,-74.2911,-84.511438103,60.7962,1.0,-84.511438103,0.00333333,5.43914e-20,500,-84.511438103,7193.85690035,500.0,1.0,117.43,,299.999969474,0.00333333,7193.85690035,2,1.0,0.00333333,1.0
100,1.0,-76.3245,-76.3245,-82.4246742338,65.3921,1.0,-82.4246742338,0.0025,5.4346e-20,500,-82.4246742338,6026.62531763,500.0,1.0,116.35,,400.0,0.0025,6026.62531763,2,1.0,0.0025,1.0
100,1.0,-74.3755,-74.3755,-78.1010880898,57.6314,inf,-78.1010880898,0.000498901,3.06388e-06,500,-78.1010880898,4883.05050681,,0.9859,110.5,0.744521,283.37640536,0.002,4883.05050681,1,0.245933,0.0286352,14.1157
100,1.0,-74.1654,-74.1654,-74.1653612974,60.9527,1.0,-74.1653612974,0.01,3.50449e-18,500,-74.1653612974,3752.75437886,500.0,1.0,105.92,,100.0,0.01,3752.75437886,2,1.0,0.01,1.0
100,1.0,-70.7758,-70.7758,-67.3861498456,50.2427,1.0,-67.3861498456,0.005,2.1793e-19,500,-67.3861498456,1323.68182761,500.0,1.0,98.13,,200.000000102,0.005,1323.68182761,2,1.0,0.005,1.0
100,1.0,-71.8242,-71.8242,-73.9210948719,53.9812,1.0,-73.9210948719,0.00333333,5.43914e-20,500,-73.9210948719,3723.91267434,500.0,1.0,106.13,,299.999969474,0.00333333,3723.91267434,2,1.0,0.00333333,1.0
