VarVanillaIw,Bound,MinNormIw,AvgDiscRet,AvgRet,VarNormIw,AvgVanillaIw,MaxVanillaIw,VanillaAvgRet,J,ESSRenyi,AvgNormIw,VarJ,Delta,ESSClassic,eRenyi2,IterType,MinVanillaIw,EpsThisIter,VarRet,VarDiscRet,AvgEpLen,MaxNormIw,BatchSize
258.757,161.212,9.15361e-05,142.343569244,142.343569244,0.00361284,2.67622,160.815,142.343569244,361.694,29.9144916934,0.01,492.185,0.2,2.71982202175,3.34286,1,0.0244971,100,9329.5350167,9329.5350167,15.55,0.600903,100
17.9386,146.723,5.35734e-05,204.960693402,204.960693402,0.00111966,1.26576,41.9268,204.960693402,333.752,30.9873483409,0.01,630.791,0.2,8.2750007158,3.22712,1,0.00678112,100,8516.59830672,8516.59830672,22.25,0.331237,100
94.0424,180.808,4.31847e-05,262.019475686,262.019475686,0.00292846,1.79202,97.4049,262.019475686,440.07,36.0526684949,0.01,641.212,0.2,3.33424633338,2.77372,1,0.00773877,100,16469.668182,16469.668182,28.38,0.543549,100
0.653018,149.081,0.000326344,296.487899609,296.487899609,6.16693e-05,1.02903,5.34694,296.487899609,358.582,66.5316513604,0.01,240.422,0.2,62.0915104456,1.50304,1,0.0335818,100,17873.9301209,17873.9301209,32.06,0.051961,100
0.84926,199.756,0.000272257,343.571264374,343.571264374,8.40033e-05,1.00548,6.00048,343.571264374,414.808,62.9550826128,0.01,274.531,0.2,54.5960819429,1.58843,1,0.0273748,100,17979.5890524,17979.5890524,37.1,0.059678,100
24.4684,267.459,3.58855e-05,375.879654537,375.879654537,0.00154781,1.25731,49.3232,375.879654537,534.38,41.3921559359,0.01,487.086,0.2,6.12619896912,2.41592,1,0.00451194,100,20920.1006023,20920.1006023,40.57,0.39229,100
1.2565,269.237,0.000289232,415.318743316,415.318743316,0.00010005,1.12066,8.66924,415.318743316,489.581,63.1518689355,0.01,337.643,0.2,50.2387059677,1.58348,1,0.032413,100,20478.2288917,20478.2288917,44.81,0.0773585,100
27.6662,300.668,0.000288856,421.558175271,421.558175271,0.00135676,1.42798,52.2731,421.558175271,598.422,42.6821149663,0.01,625.656,0.2,6.92908174609,2.3429,1,0.0412481,100,22465.2236598,22465.2236598,45.48,0.366063,100
4.16026,312.031,0.000895574,513.685813185,513.685813185,0.000349031,1.09176,20.0505,513.685813185,595.769,69.4486558876,0.01,323.344,0.2,22.4446380495,1.43991,1,0.0977755,100,47967.8082051,47967.8082051,55.41,0.183652,100
512.111,501.078,1.80321e-05,490.141303811,490.141303811,0.00517906,3.14454,226.95,490.141303811,881.826,33.2230572534,0.01,1105.95,0.2,1.91304352482,3.00996,1,0.00567026,100,36482.9135229,36482.9135229,52.89,0.721729,100
339.002,-36.3592,7.90269e-06,483.000304178,490.141303811,0.00109047,5.57563,176.359,490.141303811,419.239,51.1037593692,0.01,299.739,0.2,8.47768970126,3.91361,,0.00440625,100,36482.9135229,30942.1090453,52.89,0.316302,200
4.14676,364.785,2.80343e-05,470.724757543,470.724757543,0.000104661,0.995248,24.881,470.724757543,610.64,86.8087392721,0.005,659.835,0.2,38.7182477044,2.30392,1,0.00558021,100,31178.9625367,31178.9625367,50.77,0.124999,200
,279.009,0.01,558.177451264,558.177451264,3.50449e-18,1.0,1.0,558.177451264,558.177,200.0,0.01,232.223,0.2,100.0,1.0,2,1.0,100,54472.2429165,54472.2429165,60.25,0.01,200
36.8899,439.581,2.45444e-06,548.353776294,548.353776294,0.000383379,1.55099,84.0851,548.353776294,767.423,72.5104643307,0.005,1070.5,0.2,12.3012651027,2.75822,1,0.000761363,100,50757.7507898,50757.7507898,59.21,0.271069,200
,330.23,0.01,592.576312419,592.576312419,3.50449e-18,1.0,1.0,592.576312419,592.576,200.0,0.01,233.293,0.2,100.0,1.0,2,1.0,100,54975.4280306,54975.4280306,63.98,0.01,200
61.8146,576.843,7.81859e-07,678.906168854,678.906168854,0.000569189,1.64774,106.847,678.906168854,1044.24,43.6035957364,0.005,2098.02,0.2,8.45533500035,4.58678,1,0.000257659,100,91599.2694656,91599.2694656,73.46,0.324222,200
,358.309,0.01,689.754521128,689.754521128,3.50449e-18,1.0,1.0,689.754521128,689.754,200.0,0.01,321.784,0.2,100.0,1.0,2,1.0,100,104590.912976,104590.912976,74.48,0.01,200
5.96793,498.017,8.87243e-07,757.444048559,757.444048559,0.000122656,1.1029,29.3575,757.444048559,1092.87,59.7058242198,0.005,2038.42,0.2,34.0036136161,3.34976,1,0.000195708,100,133905.987349,133905.987349,81.97,0.133092,200
,511.492,0.01,915.431843154,915.431843154,3.50449e-18,1.0,1.0,915.431843154,915.432,200.0,0.01,319.931,0.2,100.0,1.0,2,1.0,100,103390.021927,103390.021927,99.1,0.01,200
