MaxNormIw,AvgNormIw,VanillaAvgRet,MinVanillaIw,VarDiscRet,AvgDiscRet,renyi2,SamplesThisIter,EpsThisIter,MinNormIw,MaxVanillaIw,AvgEpLen,VarVanillaIw,IterType,J,VarJ,VarRet,ESSRenyi,Bound,delta,ESSClassic,BatchSize,VarNormIw,AvgVanillaIw,AvgRet
0.0829215,6.47274e-07,48.2304657523,,2793.49980529,48.2304657523,nan,50000,8583,,2.39368e+12,5.82546895025,3.91517e+19,1,29371.1,15567.4,2793.49980529,nan,247.503,0.5,7.00000093455,100,4.69843e-08,1.86847e+07,48.2304657523
0.142077,6.08361e-07,44.7299968243,,2799.65431672,44.7299968243,nan,50000,9132,,2.05828e+14,5.47525186159,1.80416e+23,1,33628.7,32156.8,2799.65431672,nan,294.409,0.5,6.9998318878,100,8.5964e-08,8.81336e+08,44.7299968243
0.198805,6.08895e-07,44.7777714901,,3165.17357388,44.7777714901,nan,50000,9124,,9.29677e+14,5.48005260851,2.63136e+24,1,34839.8,56222.8,3165.17357388,nan,453.132,0.5,4.99999973195,100,1.20329e-07,2.84739e+09,44.7777714901
0.142852,6.00341e-07,44.0089370549,,3155.41841715,44.0089370549,nan,50000,9254,,4.32506e+18,5.40306894316,7.86101e+31,1,44255.3,48930.0,3155.41841715,nan,342.895,0.5,7.0000003024,100,8.57568e-08,1.81762e+13,44.0089370549
0.192471,6.74545e-07,50.6836768573,,5136.71400789,50.6836768573,nan,50000,8236,,1.30845e+15,6.07090820787,5.77888e+24,1,41970.8,38255.4,5136.71400789,nan,517.423,0.5,4.99999956852,100,1.25044e-07,4.58566e+09,50.6836768573
0.0879418,6.93231e-07,52.3645729977,,5214.51302019,52.3645729977,nan,50000,8014,,3.78773e+13,6.23908160719,9.47261e+21,1,34457.8,40338.7,5214.51302019,nan,312.05,0.5,6.99998996893,100,5.10625e-08,2.98581e+08,52.3645729977
0.119945,8.25982e-07,64.3027830082,,9016.52895462,64.3027830082,nan,50000,6726,,7.57495e+10,7.43383883437,3.36428e+16,1,54234.5,67882.7,9016.52895462,nan,450.965,0.5,6.99999909402,100,8.43521e-08,521638.0,64.3027830082
0.142857,9.33236e-07,73.9411839504,,9594.25182737,73.9411839504,nan,50000,5953,,2.9731e+14,8.39912649084,5.77441e+23,1,53800.2,41933.2,9594.25182737,nan,481.383,0.5,7.00000172055,100,1.33318e-07,1.94223e+09,73.9411839504
0.140047,1.27421e-06,104.630810327,,27498.5981006,104.630810327,nan,50000,4360,,3.6843e+08,11.4678899083,1.0096e+12,1,133667.0,42249.8,27498.5981006,nan,982.772,0.5,4.28294856366,100,1.45876e-07,3352.14,104.630810327
0.391349,1.82568e-06,154.249436558,,70129.2025577,154.249436558,nan,50000,3043,,6.38286e+11,16.431153467,1.58613e+18,1,307503.0,174588.0,70129.2025577,nan,1790.33,0.5,1.87575924755,100,5.96261e-07,2.97767e+06,154.249436558
0.151605,2.753e-06,237.713919488,,201238.282576,237.713919488,nan,50000,2018,,1.62869e+14,24.7770069376,3.94261e+23,1,322220.0,48044.8,201238.282576,nan,2774.08,0.5,4.63055150901,100,3.4161e-07,2.95755e+09,237.713919488
0.414949,2.41336e-06,207.148409857,,135192.372645,207.148409857,nan,50000,2302,,6.35819e+10,21.7202432667,1.99062e+16,1,388406.0,121280.0,135192.372645,nan,2535.02,0.5,1.99998862069,100,8.47832e-07,369795.0,207.148409857
0.0832443,4.50207e-06,395.214570476,,635277.288198,395.214570476,nan,50000,1234,,4.08214e+08,40.5186385737,7.02095e+12,1,559581.0,56229.3,635277.288198,nan,3675.31,0.5,6.19167512776,100,2.91965e-07,22077.3,395.214570476
0.0694407,4.12133e-06,360.902621978,,562557.259539,360.902621978,nan,50000,1348,,3.65413e+08,37.0919881306,4.6118e+12,1,547653.0,62379.2,562557.259539,nan,3338.71,0.5,2.98802268255,100,1.66545e-07,21687.4,360.902621978
0.0713927,1.66334e-05,1488.0159994,,2500628.31312,1488.0159994,nan,50000,334,,176713.0,149.700598802,2.72993e+06,1,nan,nan,2500628.31312,nan,nan,0.5,4.91896957252,100,4.45576e-07,41.1714,1488.0159994
0.00963135,1.63881e-05,1466.22709141,,2927139.405,1466.22709141,nan,50000,339,,8671.35,147.492625369,17243.7,1,812943.0,25415.8,2927139.405,nan,4238.57,0.5,5.11745457678,100,2.12731e-08,14.7546,1466.22709141
0.0457846,1.46972e-05,1313.88351745,,2590623.69672,1313.88351745,nan,50000,378,,126171.0,132.275132275,1.42237e+06,1,786576.0,29333.1,2590623.69672,nan,4173.8,0.5,5.09646318426,100,1.87298e-07,40.5019,1313.88351745
0.00194237,2.01288e-05,1803.62792305,,3480850.65956,1803.62792305,nan,50000,276,,556.085,181.15942029,614.018,1,844105.0,22752.5,3480850.65956,nan,4292.88,0.5,4.26941628087,100,7.49141e-09,5.76272,1803.62792305
0.019871,1.63399e-05,1461.4955999,,2454057.79708,1461.4955999,nan,50000,340,,35525.2,147.058823529,227428.0,1,779557.0,25904.0,2454057.79708,nan,4057.3,0.5,3.63623289414,100,7.11561e-08,29.2122,1461.4955999
0.0167818,2.33427e-05,2093.46056736,,3785495.41805,2093.46056736,nan,50000,238,,3273.49,210.084033613,1462.69,1,851784.0,19787.1,3785495.41805,nan,4324.31,0.5,4.90928400234,100,3.84419e-08,4.55328,2093.46056736
0.0179163,1.22369e-05,1092.24904357,,2331993.64582,1092.24904357,nan,50000,454,,123812.0,110.13215859,2.10352e+06,1,793448.0,34038.3,2331993.64582,nan,4206.07,0.5,6.10805746929,100,4.40474e-08,84.5639,1092.24904357
0.00201102,3.03582e-05,2726.97170472,,5394257.58867,2726.97170472,nan,50000,183,,106.572,273.224043716,12.7152,1,871436.0,12540.8,5394257.58867,nan,4453.09,0.5,4.08632920869,100,4.52764e-09,1.6088,2726.97170472
0.00105997,2.98686e-05,2683.1495086,,5513137.49619,2683.1495086,nan,50000,186,,59.3253,268.817204301,12.2012,1,873362.0,11522.8,5513137.49619,nan,4461.24,0.5,3.93075413313,100,3.89499e-09,1.67171,2683.1495086
0.00209409,3.30688e-05,2971.25297445,,5270599.67944,2971.25297445,nan,50000,168,,106.198,297.619047619,11.3567,1,874921.0,10656.4,5270599.67944,nan,4441.49,0.5,3.56146302862,100,4.41582e-09,1.67702,2971.25297445
0.00600448,3.1211e-05,2803.30945516,,4563199.097,2803.30945516,nan,50000,178,,407.521,280.898876404,71.8822,1,872331.0,12729.7,4563199.097,nan,4419.32,0.5,9.20259639069,100,1.56053e-08,2.11827,2803.30945516
