AvgEpLen,Bound,VarRet,VarDiscRet,VarJ,BatchSize,MaxNormIw,ESSClassic,MinNormIw,VanillaAvgRet,IterType,Delta,MinVanillaIw,VarNormIw,VarVanillaIw,AvgDiscRet,J,AvgNormIw,AvgRet,eRenyi2,EpsThisIter,AvgVanillaIw,MaxVanillaIw,ESSRenyi
500.0,-680.177,7037.17060956,7037.17060956,71.0752,100,0.0172083,90.2833971483,0.00237329,-605.621945186,1,0.7,0.244218,1.08711e-05,0.115114,-605.621945186,-595.133,0.01,-605.621945186,1.12838,100,1.02903,1.77078,88.6226504894
500.0,-639.342,3267.40651075,3267.40651075,64.7497,100,0.0348157,62.2406512337,1.82172e-06,-600.656278236,1,0.7,0.000169381,6.12795e-05,0.529767,-600.656278236,-578.07,0.01,-600.656278236,1.44929,100,0.929789,3.23712,68.9991367508
500.0,-622.055,2531.51942032,2531.51942032,127.506,100,0.32129,6.88010845089,2.3666e-17,-592.382746921,1,0.7,1.53432e-15,0.00136714,5.74642,-592.382746921,-569.782,0.01,-592.382746921,1.0,100,0.648325,20.83,99.9998569491
500.0,-645.385,6098.54465947,6098.54465947,68.8535,100,0.0571048,58.8744629373,0.000252563,-592.187243458,1,0.7,0.0255235,7.05585e-05,0.720595,-592.187243458,-569.071,0.01,-592.187243458,1.35606,100,1.01058,5.7709,73.7431259826
500.0,-624.287,2356.73263599,2356.73263599,49.8107,100,0.0367798,82.7357091379,0.00321813,-576.979187267,1,0.7,0.319559,2.10776e-05,0.207834,-576.979187267,-569.37,0.01,-576.979187267,1.16424,100,0.992997,3.65222,85.8930747635
500.0,-615.604,3554.17176294,3554.17176294,84.968,100,0.08611,30.6992103155,1.33293e-06,-573.257108262,1,0.7,8.22225e-05,0.000228021,0.867648,-573.257108262,-558.734,0.01,-573.257108262,1.0,100,0.616856,5.31175,99.9997854237
500.0,-610.008,2035.35529744,2035.35529744,47.4653,100,0.0219882,81.7938894845,0.00129762,-568.507977951,1,0.7,0.129728,2.24834e-05,0.224716,-568.507977951,-560.432,0.01,-568.507977951,1.19633,100,0.999738,2.19824,83.5887547992
500.0,-594.672,2061.98134886,2061.98134886,54.7158,100,0.0419354,64.4906472855,0.000270875,-558.711455564,1,0.7,0.0277332,5.56174e-05,0.583005,-558.711455564,-543.481,0.01,-558.711455564,1.38962,100,1.02384,4.2935,71.9618935003
500.0,-599.245,2018.66595142,2018.66595142,48.7162,100,0.0312405,89.5911853469,0.00362375,-557.072673612,1,0.7,0.359858,1.17355e-05,0.11573,-557.072673612,-553.799,0.01,-557.072673612,1.08943,100,0.993054,3.10235,91.791031874
500.0,-576.52,4257.86474793,4257.86474793,0.000385584,100,1.0,1.00000089202,,-558.36548928,1,0.7,,0.00999999,6.58366e-39,-558.36548928,-504.648,0.01,-558.36548928,1.0,100,8.11398e-21,8.11397e-19,99.9999523163
500.0,nan,4257.86474793,4022.81952425,nan,200,nan,nan,nan,-558.36548928,,0.7,1.23244e+18,nan,nan,-599.183887963,nan,nan,-558.36548928,3.47903e-08,100,inf,inf,5748729330.27
500.0,-602.435,2689.94859787,2689.94859787,48.0484,200,0.0113805,173.984500639,0.000892583,-551.966970389,1,0.7,0.181096,3.75699e-06,0.154654,-551.966970389,-548.491,0.005,-551.966970389,1.1267,100,1.01445,2.30898,177.510247945
500.0,-600.087,2598.25366584,2598.25366584,50.7176,200,0.01,100.0,0.01,-547.846220374,2,0.7,1.0,3.50449e-18,,-547.846220374,-547.846,0.01,-547.846220374,1.0,100,1.0,1.0,200.0
500.0,-584.869,2202.87208512,2202.87208512,47.9624,200,0.0116531,174.679417334,0.0016131,-553.243693527,1,0.7,0.328651,3.64208e-06,0.151181,-553.243693527,-545.109,0.005,-553.243693527,1.15847,100,1.01869,2.37418,172.640767764
500.0,-592.55,2222.75526029,2222.75526029,46.9098,200,0.01,100.0,0.01,-546.039224747,2,0.7,1.0,3.50449e-18,,-546.039224747,-546.039,0.01,-546.039224747,1.0,100,1.0,1.0,200.0
500.0,-574.678,1683.57862794,1683.57862794,73.0381,200,0.0360025,126.073876558,0.000569697,-544.422226455,1,0.7,0.111237,1.4733e-05,0.56169,-544.422226455,-536.579,0.005,-544.422226455,1.34199,100,0.976278,7.02969,149.032712246
500.0,-596.118,2892.95521445,2892.95521445,53.5166,200,0.01,100.0,0.01,-543.367448804,2,0.7,1.0,3.50449e-18,,-543.367448804,-543.367,0.01,-543.367448804,1.0,100,1.0,1.0,200.0
500.0,-583.087,2495.0435129,2495.0435129,51.2613,200,0.0149436,172.61204227,0.00165132,-547.208787105,1,0.7,0.338055,3.98662e-06,0.167077,-547.208787105,-539.272,0.005,-547.208787105,1.1452,100,1.02359,3.05922,174.641799988
500.0,-575.931,1956.31400856,1956.31400856,44.0085,200,0.01,100.0,0.01,-531.858282142,2,0.7,1.0,3.50449e-18,,-531.858282142,-531.858,0.01,-531.858282142,1.0,100,1.0,1.0,200.0
