IterType,AvgEpLen,VarRet,MinNormIw,AvgNormIw,Bound,VarDiscRet,VarNormIw,ESSRenyi,VanillaAvgRet,MaxVanillaIw,EpsThisIter,AvgVanillaIw,eRenyi2,MaxNormIw,AvgRet,BatchSize,Delta,VarJ,ESSClassic,MinVanillaIw,J,AvgDiscRet,VarVanillaIw
1,14.3,42196.53670637394,,0.01,1589.9131,42196.53670637394,0.010000002,1.3780701352927926e-10,132.93902769122084,6.4093006e-37,100,6.409301e-39,725652500000.0,1.0,132.93902769122084,100,1.0,,inf,,1589.9131,132.93902769122084,
,14.3,42196.53670637394,nan,nan,nan,140198.65085303647,nan,2.968509374458596e+32,132.93902769122084,inf,100,inf,6.737388e-31,nan,132.93902769122084,200,1.0,nan,nan,1.5602326e+36,nan,716.8708441755515,nan
1,10.85,36915.10894138118,,0.005,1834.3481,36915.10894138118,0.0041130576,1.1127285238387621e-05,98.4444337409519,2.0831471e-06,100,1.15368435e-08,17973836.0,0.9028237,98.4444337409519,200,1.0,570.49664,1.2143312868063232,,1834.3481,98.4444337409519,2.189772e-14
2,240.94,1700455.6166758577,0.01,0.009999998,2399.882,1700455.6166758577,3.5044917e-18,200.0,2399.882114825825,1.0,100,1.0,1.0,0.01,2399.882114825825,200,1.0,1297.4788,100.0,1.0,2399.882,2399.882114825825,
1,224.48,1536698.8036941811,,0.005,4999.878,1536698.8036941811,0.0049999994,3.3326737515884484e-28,2234.9039289535126,4.0124467e-36,100,2.0062233e-38,6.0011875e+29,1.0,2234.9039289535126,200,1.0,,inf,,4999.878,2234.9039289535126,
2,12.39,6909.615528917568,0.01,0.009999998,113.844246,6909.615528917568,3.5044917e-18,200.0,113.84424875446756,1.0,100,1.0,1.0,0.01,113.84424875446756,200,1.0,82.707436,100.0,1.0,113.844246,113.84424875446756,
,224.48,1536698.8036941811,nan,nan,nan,7322.735245443286,nan,inf,2234.9039289535126,inf,100,inf,,nan,2234.9039289535126,300,1.0,nan,nan,2.4922449e+35,nan,119.84534710561249,nan
1,215.57,1631358.5016508594,,0.0033333334,4999.8716,1631358.5016508594,0.003333333,7.811429183249463e-06,2146.244031740357,3.026987,100,0.010089957,38405264.0,1.0,2146.244031740357,300,1.0,0.0008309555,1.0,,4999.8716,2146.244031740357,0.030542176
2,412.88,2117779.8659245223,0.01,0.009999998,4124.886,2117779.8659245223,3.5044917e-18,300.0,4124.886242732819,1.0,100,1.0,1.0,0.01,4124.886242732819,300,1.0,1447.9647,100.0,1.0,4124.886,4124.886242732819,
2,412.63,2034163.920639235,0.005,0.0049999994,4123.492,2034163.920639235,2.179301e-19,300.0,4122.0983643576465,1.0,100,1.0,1.0,0.005,4122.0983643576465,300,1.0,1433.6018,200.00000010221265,1.0,4123.492,4122.0983643576465,
