AvgVanillaIw,MinVanillaIw,Delta,VarDiscRet,AvgRet,J,MaxNormIw,ESSRenyi,MinNormIw,AvgDiscRet,Bound,eRenyi2,EpsThisIter,AvgEpLen,VarRet,MaxVanillaIw,AvgNormIw,VarNormIw,ESSClassic,VanillaAvgRet,VarVanillaIw,BatchSize,VarJ,IterType
1.0681424,0.1988233,1.0,83958.67826312238,148.23435896617477,518.7746,0.11298969,,0.0018613932,148.23435896617477,518.7746,inf,100,15.83,83958.67826312238,12.068908,0.009999999,0.00027435413,26.90988817840141,148.23435896617477,3.1301835,100,1911.3531,1
1.8289478,0.08285754,1.0,106143.70060606382,148.23435896617477,208.07935,0.02749992,108.93669364217098,0.00045303395,216.30462078181566,208.07935,1.8359287,100,15.83,83958.67826312238,5.0295916,0.01,2.934099e-05,77.49079885831871,148.23435896617477,0.9814708,200,384.79977,
1.6100669e-38,,1.0,28994.65668633722,102.55219333980551,1779.6649,1.0,3.467560396612092e-36,,102.55219333980551,1779.6649,5.767744e+37,100,11.26,28994.65668633722,3.220134e-36,0.005,0.005,inf,102.55219333980551,,200,,1
1.0,1.0,1.0,2654546.624843939,4153.235247241675,4153.2354,0.01,200.0,0.01,4153.235247241675,4153.2354,1.0,100,415.75,2654546.624843939,1.0,0.009999998,3.5044917e-18,100.0,4153.235247241675,,200,1621.1111,2
0.03300057,,1.0,2210118.092746134,4338.433052797683,4999.11,0.9382322,1.1122503515966797e-10,,4338.433052797683,4999.11,1798156300000.0,100,434.21,2210118.092746134,6.192439,0.005000001,0.0044175484,1.1311038829395927,4338.433052797683,0.192435,200,0.007758721,1
1.0,1.0,1.0,1197289.5126686273,4749.621076591787,4749.6206,0.01,200.0,0.01,4749.621076591787,4749.6206,1.0,100,475.07,1197289.5126686273,1.0,0.009999998,3.5044917e-18,100.0,4749.621076591787,,200,1088.7225,2
inf,0.16148725,1.0,1197280.9995259487,4338.433052797683,nan,nan,nan,nan,4749.603500142565,nan,nan,100,434.21,2210118.092746134,inf,nan,nan,nan,4338.433052797683,nan,300,nan,
1.2682449e-38,,1.0,2293392.628503237,4239.265992535502,4999.108,0.61636955,2.6397333136181467e-11,,4239.265992535502,4999.108,11364784000000.0,100,424.34,2293392.628503237,2.3451225e-36,0.0033333334,0.0017516739,inf,4239.265992535502,,300,0.024970334,1
1.0,1.0,1.0,1621636.391393967,4652.374769959534,4652.3745,0.01,300.0,0.01,4652.374769959534,4652.3745,1.0,100,465.31,1621636.391393967,1.0,0.009999998,3.5044917e-18,100.0,4652.374769959534,,300,1267.0516,2
1.0,1.0,1.0,1189962.2014271957,4750.968223117941,4701.672,0.005,300.0,0.005,4750.968223117941,4701.672,1.0,100,475.15,1189962.2014271957,1.0,0.0049999994,2.179301e-19,200.00000010221265,4750.968223117941,,300,1180.7504,2
inf,4.2641694e+35,1.0,1835519.7611566621,4239.265992535502,nan,nan,nan,nan,4602.468266579361,nan,nan,100,424.34,2293392.628503237,inf,nan,nan,nan,4239.265992535502,nan,400,nan,
1.4084583e-12,,1.0,2683177.0874193157,4152.239288112698,4999.2603,0.99977005,2.1941641801619143e-33,,4152.239288112698,4999.2603,1.8230176e+35,100,415.65,2683177.0874193157,5.632538e-10,0.0025000004,0.002498848,1.000460104960534,4152.239288112698,7.9313625e-22,400,0.009773075,1
1.0,1.0,1.0,1192823.3105086882,4750.678199950327,4750.678,0.01,400.0,0.01,4750.678199950327,4750.678,1.0,100,475.12,1192823.3105086882,1.0,0.009999998,3.5044917e-18,100.0,4750.678199950327,,400,1086.6898,2
1.0,1.0,1.0,2042615.3706037507,4546.977767339859,4648.828,0.005,400.0,0.005,4546.977767339859,4648.828,1.0,100,454.8,2042615.3706037507,1.0,0.0049999994,2.179301e-19,200.00000010221265,4546.977767339859,,400,1269.6124,2
1.0,1.0,1.0,728038.1291563158,4850.672923816954,4716.1094,0.0033333334,400.0,0.0033333334,4850.672923816954,4716.1094,1.0,100,485.1,728038.1291563158,1.0,0.0033333336,5.4391416e-20,299.999969473632,4850.672923816954,,400,1150.6158,2
inf,1775398700.0,1.0,966787.47361837,4152.239288112698,nan,nan,nan,nan,4800.277230488834,nan,nan,100,415.65,2683177.0874193157,inf,nan,nan,nan,4152.239288112698,nan,500,nan,
1.823451e-23,,1.0,2899062.369674894,4028.252124208863,4999.26,0.99919814,8.457484844533578e-09,,4028.252124208863,4999.26,59119230000.0,100,403.27,2899062.369674894,9.1099445e-21,0.0019999999,0.0019967887,1.0016127055177246,4028.252124208863,1.65e-43,500,0.0030614436,1
1.0,1.0,1.0,248999.68371814268,4950.0677691082265,4950.068,0.01,500.0,0.01,4950.0677691082265,4950.068,1.0,100,495.02,248999.68371814268,1.0,0.009999998,3.5044917e-18,100.0,4950.0677691082265,,500,496.4974,2
1.0,1.0,1.0,733863.0686451183,4850.071177178803,4900.0693,0.005,500.0,0.005,4850.071177178803,4900.0693,1.0,100,485.04,733863.0686451183,1.0,0.0049999994,2.179301e-19,200.00000010221265,4850.071177178803,,500,699.2974,2
1.0,1.0,1.0,731908.9954977406,4850.270328010548,4883.47,0.0033333334,500.0,0.0033333334,4850.270328010548,4883.47,1.0,100,485.06,731908.9954977406,1.0,0.0033333336,5.4391416e-20,299.999969473632,4850.270328010548,,500,753.719,2
1.0,1.0,1.0,494944.4635396807,4899.975079503685,4887.5967,0.0025,500.0,0.0025,4899.975079503685,4887.5967,1.0,100,490.02,494944.4635396807,1.0,0.0024999997,5.434597e-20,400.0,4899.975079503685,,500,740.68823,2
0.8599751,3.7442686e-27,1.0,967753.4723243348,4800.175284340859,4932.234,0.043360505,,8.707854e-30,4800.175284340859,4932.234,inf,100,480.06,967753.4723243348,18.644478,0.002,1.5310652e-05,103.73427766840618,4800.175284340859,2.8307753,500,803.7898,1
1.0,1.0,1.0,1198521.8735847753,4750.067206775319,4750.0674,0.01,500.0,0.01,4750.067206775319,4750.0674,1.0,100,475.06,1198521.8735847753,1.0,0.009999998,3.5044917e-18,100.0,4750.067206775319,,500,1089.2826,2
1.0,1.0,1.0,494942.18582746893,4899.963781110425,4825.0156,0.005,500.0,0.005,4899.963781110425,4825.0156,1.0,100,490.02,494942.18582746893,1.0,0.0049999994,2.179301e-19,200.00000010221265,4899.963781110425,,500,918.6305,2
1.0,1.0,1.0,968717.4317761506,4800.068090440125,4816.6997,0.0033333334,500.0,0.0033333334,4800.068090440125,4816.6997,1.0,100,480.05,968717.4317761506,1.0,0.0033333336,5.4391416e-20,299.999969473632,4800.068090440125,,500,939.3631,2
1.0,1.0,1.0,733862.679053838,4850.070742050801,4825.042,0.0025,500.0,0.0025,4850.070742050801,4825.042,1.0,100,485.04,733862.679053838,1.0,0.0024999997,5.434597e-20,400.0,4850.070742050801,,500,918.4999,2
0.88291126,,1.0,1420442.3381039624,4700.37727658084,4985.0674,0.34319967,,,4700.37727658084,4985.0674,inf,100,470.1,1420442.3381039624,151.50743,0.002,0.00034002247,5.825088540658083,4700.37727658084,66.264626,500,290.50928,1
1.0,1.0,1.0,248996.25415282123,4950.033183417618,4950.033,0.01,500.0,0.01,4950.033183417618,4950.033,1.0,100,495.02,248996.25415282123,1.0,0.009999998,3.5044917e-18,100.0,4950.033183417618,,500,496.49402,2
1.0,1.0,1.0,1197546.140472815,4750.129594356976,4850.081,0.005,500.0,0.005,4750.129594356976,4850.081,1.0,100,475.07,1197546.140472815,1.0,0.0049999994,2.179301e-19,200.00000010221265,4750.129594356976,,500,852.0733,2
1.0,1.0,1.0,733853.1335278348,4850.039236573401,4850.0674,0.0033333334,500.0,0.0033333334,4850.039236573401,4850.0674,1.0,100,485.04,733853.1335278348,1.0,0.0033333336,5.4391416e-20,299.999969473632,4850.039236573401,,500,852.1683,2
1.0,1.0,1.0,1198509.6218547141,4750.043320031381,4825.0615,0.0025,500.0,0.0025,4750.043320031381,4825.0615,1.0,100,475.06,1198509.6218547141,1.0,0.0024999997,5.434597e-20,400.0,4750.043320031381,,500,918.232,2
1.3317341,2.7720176e-05,1.0,967740.0307648355,4800.141986381928,4958.569,0.11191222,,4.1630198e-08,4800.141986381928,4958.569,inf,100,480.06,967740.0307648355,74.518654,0.002,4.706156e-05,39.240744424361715,4800.141986381928,20.8661,500,383.7063,1
