AvgDiscRet,VarNormIw,ESSClassic,MaxVanillaIw,Bound,Delta,EpsThisIter,VarVanillaIw,VarRet,J,VanillaAvgRet,BatchSize,IterType,MinVanillaIw,AvgRet,eRenyi2,ESSRenyi,VarDiscRet,VarJ,AvgEpLen,MinNormIw,MaxNormIw,AvgNormIw,AvgVanillaIw
132.93902769122084,2.2298338e-05,81.91662431791235,2.8964438,-165.36462,0.2,100,0.23210603,42196.53670637394,189.811,132.93902769122084,100,1,0.086304426,132.93902769122084,1.2476119,80.15313221909955,42196.53670637394,467.7791,14.3,0.0008459138,0.028389527,0.01,1.0202508
132.4288588766598,0.00050449854,16.681858587595435,12.14612,-43.827606,0.2,100,3.739236,31944.577094642907,442.40317,132.4288588766598,100,1,3.941436e-05,132.4288588766598,3.845585,26.003845239852588,31944.577094642907,1240.4346,14.25,4.5781812e-07,0.14108345,0.010000002,0.86091745
539.8433151579972,4.1028612e-05,71.11448872176287,3.2076995,-322.36224,0.2,100,0.511435,710445.713035567,861.49786,539.8433151579972,100,1,0.032763213,539.8433151579972,1.4015338,71.3503998241716,710445.713035567,1549.5804,54.98,0.0002934504,0.028730415,0.01,1.1164821
691.0246160602488,0.000121553676,45.384791988611354,5.1521482,-22.679932,0.2,100,1.3254882,845143.5886290041,1415.7626,691.0246160602488,100,1,0.009112,691.0246160602488,2.0694015,48.323150376528034,845143.5886290041,2703.4526,70.1,8.725892e-05,0.04933833,0.01,1.0442486
1272.3533646571984,0.0023563586,4.110498611724556,90.2759,1638.922,0.2,100,81.13049,2116424.2077397946,3541.517,1272.3533646571984,100,1,0.03201439,1272.3533646571984,3.6198678,27.625318237856376,2116424.2077397946,7312.4824,128.16,0.00017253365,0.48651972,0.010000002,1.8555446
1988.224688190969,0.00032394505,23.76959032663025,8.232081,2506.9429,0.2,100,4.108632,3659614.592696819,4413.916,1988.224688190969,100,1,2.7573274e-10,1988.224688190969,3.63655,27.498591077989897,3659614.592696819,1714.7079,199.63,2.4483605e-12,0.073096514,0.01,1.1261934
3815.0732711710707,8.247509e-05,55.05082996723828,2.9289942,3438.3787,0.2,100,0.57007724,3006430.8706401982,4718.635,3815.0732711710707,100,1,0.0030983752,3815.0732711710707,1.6390558,61.01073377981594,3006430.8706401982,683.88336,381.92,3.7267353e-05,0.035230033,0.01,0.8313913
4782.908601702072,1.0567207e-05,90.5292397413572,1.4756194,3868.9116,0.2,100,0.10107642,752537.780640689,4915.692,4782.908601702072,100,1,0.17011361,4782.908601702072,1.0957488,91.26179433488976,752537.780640689,325.25607,478.4,0.001739379,0.015087926,0.01,0.97801346
4818.55564382789,9.168765e-06,91.67829553845836,1.4877851,3889.8328,0.2,100,0.08893368,710580.9588285858,4931.233,4818.55564382789,100,1,0.27715895,4818.55564382789,1.0845145,92.2071582435172,710580.9588285858,311.83493,481.93,0.0028141758,0.0151064545,0.01,0.98486716
4997.189637977016,3.3780352e-09,99.99666441412872,1.0120554,3997.2092,0.2,100,3.3747496e-05,728.9213999452769,4997.227,4997.189637977016,100,1,0.9856832,4997.189637977016,1.0000358,99.9964238492066,728.9213999452769,26.495207,499.74,0.009861633,0.010125483,0.01,0.99951315
4977.381039393268,5.2281257e-07,99.48509980666206,1.0956427,3979.894,0.2,100,0.0051245075,50628.32209350452,4982.1216,4977.381039393268,100,1,0.7337681,4977.381039393268,1.00446,99.55598259249533,50628.32209350452,177.08847,497.76,0.007411494,0.011066643,0.01,0.9900407
4908.201231725168,1.6025838e-06,98.43823815709081,1.579698,3921.6287,0.2,100,0.016535733,419708.54024089046,4929.09,4908.201231725168,100,1,0.47963414,4908.201231725168,1.014978,98.52429802121219,419708.54024089046,544.4911,490.85,0.0047218124,0.015551515,0.01,1.015784
4954.709940973219,1.6831966e-06,98.36094785881657,1.153816,3965.4783,0.2,100,0.016595792,71540.50590956831,4973.521,4954.709940973219,100,1,0.47972023,4954.709940973219,1.0161504,98.41063330301533,71540.50590956831,154.35873,495.51,0.0048312163,0.011619969,0.010000002,0.9929596
4900.820483177813,6.1416763e-06,94.26822716574296,1.2089665,3955.35,0.2,100,0.05471507,297223.8426865547,4973.738,4900.820483177813,100,1,0.077527694,4900.820483177813,1.0371137,96.4214465846891,297223.8426865547,143.65042,490.15,0.0008213851,0.012808675,0.01,0.94386536
4945.212608889385,1.9236293e-06,98.13120490662759,1.2081957,3967.6672,0.2,100,0.019938098,198228.98683849655,4977.779,4945.212608889385,100,1,0.31070754,4945.212608889385,1.0203254,98.00794708795658,198228.98683849655,159.3313,494.55,0.0030519022,0.011867414,0.01,1.0180783
4999.9091787664,2.6070783e-11,99.99997329723043,1.0013003,3999.9097,0.2,100,2.6070862e-07,0.009725574610774864,4999.9097,4999.9091787664,100,1,0.99896795,4999.9091787664,1.0000002,99.99997615814777,0.009725574610774864,0.09807206,500.0,0.00998964,0.010012964,0.01,1.0000039
4999.897240695516,4.9824374e-11,99.99993133636467,1.0009329,3999.8975,0.2,100,4.982527e-07,0.027878073055089492,4999.898,4999.897240695516,100,1,0.99764514,4999.897240695516,1.0000012,99.99988079085256,0.027878073055089492,0.16588101,500.0,0.009976324,0.010009201,0.010000002,1.0000129
4929.786920060723,3.0189767e-06,97.09796749185247,1.2300802,3953.5999,0.2,100,0.030179502,203810.14831676625,4967.312,4929.786920060723,100,1,0.40710515,4929.786920060723,1.0276124,97.31295122014032,203810.14831676625,197.03214,493.02,0.0040717437,0.012302894,0.01,0.99983
