VarRet,VarVanillaIw,AvgRet,IterType,J,AvgNormIw,VarNormIw,MinVanillaIw,ESSRenyi,VarJ,AvgEpLen,renyi2,Bound,VarDiscRet,AvgVanillaIw,delta,ESSClassic,MaxVanillaIw,MinNormIw,EpsThisIter,MaxNormIw,VanillaAvgRet,AvgDiscRet,BatchSize,SamplesThisIter
3152.81434199,5.12762e+21,47.6226153213,1,44392.1,6.40484e-07,1.94238e-08,,nan,5151.8,5.76435323957,nan,616.198,3152.81434199,3.29077e+08,0.8,20.9034836073,1.85949e+13,,8674,0.0361913,47.6226153213,47.6226153213,100,50000
5820.44868921,2.35896e+23,54.8937208572,1,43476.1,7.21126e-07,8.84923e-09,,nan,18879.9,6.49013499481,nan,439.321,5820.44868921,3.72323e+09,0.8,16.7713930468,1.06471e+14,,7704,0.0206215,54.8937208572,54.8937208572,100,50000
9754.44022878,7.89887e+22,58.4501550904,1,nan,7.60618e-07,1.47981e-08,,nan,nan,6.84556407448,nan,nan,9754.44022878,1.7573e+09,0.8,20.5207428956,6.63561e+13,,7304,0.0287211,58.4501550904,58.4501550904,100,50000
6072.28719097,5.07388e+24,56.5716733738,1,56366.1,7.39952e-07,5.71169e-08,,nan,11610.6,6.65956313266,nan,795.517,6072.28719097,6.97414e+09,0.8,11.9812276258,7.55335e+14,,7508,0.0801405,56.5716733738,56.5716733738,100,50000
5969.12342708,1.62504e+28,55.2359113201,1,48790.9,7.25079e-07,7.05956e-08,,nan,7644.52,6.52571130253,nan,612.244,5969.12342708,3.4788e+11,0.8,9.998967587,4.7339e+16,,7662,0.0986676,55.2359113201,55.2359113201,100,50000
6955.91569959,5.93416e+19,60.4196629803,1,33609.5,7.82693e-07,6.52159e-08,,nan,16197.1,7.04423781347,nan,786.846,6955.91569959,2.36099e+07,0.8,12.0000027592,2.51359e+12,,7098,0.0833283,60.4196629803,60.4196629803,100,50000
14731.1317929,8.94907e+24,79.7021670552,1,79914.5,9.97049e-07,9.39798e-08,,nan,9226.32,8.97343862168,nan,1018.49,14731.1317929,9.72945e+09,0.8,9.99450155872,9.47139e+14,,5572,0.0970603,79.7021670552,79.7021670552,100,50000
19029.3449836,inf,110.993203192,1,77137.8,1.34452e-06,1.34447e-07,,nan,10023.2,12.1006776379,nan,959.512,19029.3449836,9.47527e+14,0.8,9.99999978943,7.04723e+19,,4132,0.0999987,110.993203192,110.993203192,100,50000
18410.4191919,1.31041e+24,114.86093527,1,81579.2,1.3875e-06,1.1527e-07,,nan,11718.0,12.4875124875,nan,1112.07,18410.4191919,4.6782e+09,0.8,11.9999734004,2.80542e+14,,4004,0.0832057,114.86093527,114.86093527,100,50000
38206.0859701,3.66351e+16,151.999333531,1,nan,1.80024e-06,8.40853e-08,,nan,nan,16.2022034997,nan,nan,38206.0859701,1.18828e+06,0.8,11.7506167361,4.01796e+10,,3086,0.0608719,151.999333531,151.999333531,100,50000
119294.605974,3.45257e+18,300.538692222,1,232850.0,3.45065e-06,1.85396e-07,,nan,12404.9,31.0559006211,nan,1682.94,119294.605974,1.4891e+07,0.8,11.7478809776,2.85714e+11,,1610,0.066208,300.538692222,300.538692222,100,50000
102596.676823,5.48207e+32,242.24488478,1,247391.0,2.80301e-06,1.42607e-07,,nan,14592.2,25.2270433905,nan,1952.73,102596.676823,1.7379e+14,0.8,6.30457532632,3.51156e+18,,1982,0.0566367,242.24488478,242.24488478,100,50000
223431.257641,9.44848e+29,202.274975374,1,356246.0,2.35805e-06,2.20214e-07,,nan,35151.4,21.2224108659,nan,4208.87,223431.257641,4.88439e+12,0.8,9.9917390919,2.00092e+17,,2356,0.0965989,202.274975374,202.274975374,100,50000
157657.005921,inf,202.598246898,1,272958.0,2.36206e-06,1.4347e-07,,nan,21362.3,21.2585034014,nan,3064.06,157657.005921,4.23513e+19,0.8,8.81533689306,1.31202e+24,,2352,0.073175,202.598246898,202.598246898,100,50000
128226.651001,3.43205e+23,219.988840871,1,nan,2.55545e-06,1.33541e-07,,nan,nan,22.9990800368,nan,nan,128226.651001,4.09674e+09,0.8,11.5662172017,1.03865e+14,,2174,0.0647884,219.988840871,219.988840871,100,50000
966623.831738,1.18914e+22,578.575776012,1,610878.0,6.53595e-06,3.52021e-07,,nan,26481.9,58.8235294118,nan,4466.4,966623.831738,1.20127e+09,0.8,11.5517908942,1.20818e+13,,850,0.0657352,578.575776012,578.575776012,100,50000
332906.808318,inf,260.927788456,1,464963.0,3.00951e-06,2.47224e-07,,nan,33091.4,27.0855904659,nan,4277.52,332906.808318,4.50414e+17,0.8,11.9996260473,1.23829e+22,,1846,0.0827384,260.927788456,260.927788456,100,50000
