LearnableVariance,InitialReturnStd,InitialReturnMean,EmpiricalD2,VarianceInit,MeanIWNorm,MeanIW,MaxIWNorm,OptimizationReturnMean,EpLenMean,MinIWNorm,InitialReturnMin,OptimizationReturnMin,Iteration,ESSClassic,StdIWNorm,OptimizationReturnMax,InitialReturnMax,Bound,InitialBound,EpisodesSoFar,MinIW,ReturnStepMaxmin,EpRewMean,TimestepsSoFar,TimeElapsed,EpThisIter,StdIW,ReturnMeanIW,ReturnStepMax,Weights,MaxIW,J_sample_variance,MeanEntropy,ESSRenyi
True,0.940319,-414.54102,33.097763,-1,0.004659856,0.46598566,0.052284956,1.5681986,500.0,0.0002701146,-416.10925,,1,26.671534,0.007726536,3.9959106,-412.11334,-272.60468,-428.41135,100,0.02701146,0.8428194,-414.54105456098915,50000,14.468472003936768,100,0.77265364,-192.80789,0.8428194,[0. 0. 0.],5.2284956,37983.945,1.4493515,3.0213523
True,2.038884,-412.24515,30.723145,-1,0.006056651,0.60566515,0.073790595,3.3326242,500.0,0.00019414893,-415.57776,,2,20.432472,0.011951985,9.0877075,-406.49005,-325.11298,-426.09772,200,0.019414894,0.8442325,-412.2451353915036,100000,29.869190454483032,100,1.1951985,-248.33018,0.8442325,[-0.009  0.202  0.03 ],7.37906,64076.656,1.4702827,3.2548752
True,3.5804935,-407.38773,20.666721,-1,0.004688454,0.46884537,0.059566304,6.2732944,500.0,1.5197663e-05,-413.661,,3,26.136024,0.007881815,16.082,-397.579,-254.84055,-421.1764,300,0.0015197663,0.8488219,-407.3877164371312,150000,51.63732695579529,100,0.7881814,-192.15619,0.8488219,[-0.02   0.366  0.051],5.9566307,37998.69,1.5055431,4.838697
True,2.5927377,-411.42444,26.621523,-1,0.007069487,0.70694876,0.08598005,3.93826,500.0,4.4995406e-05,-415.36267,,4,19.766617,0.0142429285,14.686096,-400.67657,-361.2236,-425.26984,400,0.0044995407,0.84894156,-411.4244119749963,200000,71.00267195701599,100,1.4242928,-289.78668,0.84894156,[-0.025  0.271  0.087],8.598005,87212.49,1.5527852,3.756359
True,3.2472715,-408.5025,51.392563,-1,0.003944385,0.3944385,0.04441475,6.492563,500.0,6.348005e-06,-414.99506,,5,24.612892,0.006903137,15.808899,-399.18616,-259.88254,-422.33566,500,0.0006348005,0.84895384,-408.5024904303253,250000,91.0623037815094,100,0.69031376,-160.71448,0.84895384,[0.026 0.356 0.134],4.4414754,27095.277,1.4937642,1.9458069
True,4.163544,-405.8867,43.77124,-1,0.005975278,0.59752774,0.15944447,9.164151,500.0,8.004482e-06,-415.05084,,6,10.473362,0.017469928,18.211365,-396.83948,-332.56754,-419.72168,600,0.00080044824,0.8492143,-405.8866862870753,300000,111.04021883010864,100,1.7469926,-241.0352,0.8492143,[0.02  0.442 0.075],15.9444475,62701.574,1.4446989,2.284605
True,6.1379285,-398.3894,36.169693,-1,0.004496612,0.44966117,0.06464197,14.639342,500.0,6.9029575e-06,-413.02878,,7,14.464828,0.010934556,27.455017,-385.57376,-261.20258,-412.1571,700,0.00069029577,0.85085124,-398.3894355712831,350000,130.44798374176025,100,1.0934556,-178.40234,0.85085124,[0.142 0.533 0.026],6.4641967,35270.594,1.3812833,2.7647457
True,6.771584,-396.81686,45.008247,-1,0.0049915235,0.49915236,0.059067287,14.416117,500.0,9.601426e-06,-411.23303,,8,18.61173,0.010438082,29.825623,-381.4074,-290.26566,-410.52466,800,0.0009601427,0.8505785,-396.816916346997,400000,149.2575125694275,100,1.0438081,-198.30273,0.8505785,[ 0.115  0.538 -0.038],5.9067287,42916.48,1.318555,2.221815
True,6.228747,-398.1818,42.243233,-1,0.0047802576,0.4780258,0.1163429,15.462437,500.0,1.8000248e-05,-413.64423,,9,12.408908,0.012700314,31.510315,-382.1339,-277.3746,-411.9699,900,0.0018000248,0.85096145,-398.18179176315664,450000,166.99146008491516,100,1.2700315,-187.75885,0.85096145,[ 0.144  0.507 -0.1  ],11.634291,40450.62,1.2814342,2.367243
True,12.013098,-385.55664,49.210453,-1,0.004416728,0.44167277,0.047030266,18.954792,499.52,5.851978e-06,-404.5114,,10,19.921326,0.008855232,75.61801,-328.8934,-264.62018,-399.04034,1000,0.0005851978,0.857505,-385.556617141068,499952,185.78480458259583,100,0.8855232,-170.0317,0.857505,[ 0.153  0.588 -0.137],4.703027,32658.518,1.2227298,2.0320885
