EmpiricalD2,InitialReturnMin,J_sample_variance,OptimizationReturnMean,Iteration,StdIWNorm,ESSClassic,EpisodesSoFar,EpRewMean,InitialBound,InitialReturnMean,EpLenMean,MaxIW,InitialReturnStd,MeanIW,OptimizationReturnMax,Weights,Bound,ReturnMeanIW,ReturnStepMax,MinIW,ESSRenyi,ReturnStepMaxmin,MeanEntropy,StdIW,MeanIWNorm,VarianceInit,MinIWNorm,MaxIWNorm,TimeElapsed,LearnableVariance,OptimizationReturnMin,EpThisIter,InitialReturnMax,TimestepsSoFar
51.895786,-416.32062,49950.996,1.7224945,1,0.00991544,22.491762,100,-414.59812461435797,-428.47546,-414.5981,500.0,7.456925,0.90505767,0.53413355,5.444977,[-0.  0.  0.],-321.35013,-221.37943,0.8423592,0.00213539,1.9269388,0.8423592,1.4755147,0.99154407,0.0053413347,-1,2.1353899e-05,0.07456925,26.325955390930176,True,,100,-410.87564,50000
35.353592,-415.75095,39871.15,2.1344297,2,0.009768438,19.310024,200,-413.6165117405355,-427.47488,-413.61652,500.0,6.9574475,1.2972088,0.47786668,7.4398193,[0.014 0.076 0.057],-280.4527,-198.05241,0.84336805,1.7914011e-06,2.8285668,0.84336805,1.4254178,0.97684383,0.004778667,-1,1.7914012e-08,0.069574475,59.9642333984375,True,,100,-408.31113,100000
33.020504,-416.08014,67290.8,1.2243836,3,0.010649424,25.333954,300,-414.85575699657204,-428.7251,-414.85574,500.0,4.4889803,0.6624936,0.6203204,3.4269104,[-0.005 -0.07   0.006],-337.32953,-257.6315,0.84343106,0.0002075594,3.0284214,0.84343106,1.3788484,1.0649425,0.006203204,-1,2.075594e-06,0.0448898,97.85360455513,True,,100,-412.65323,150000
1.2491558,-416.35632,152867.39,0.7777805,4,0.0049107736,78.35529,400,-415.5785422810912,-429.45706,-415.57852,500.0,3.0544784,0.47502953,0.93434685,2.3823242,[ 0.103 -0.259 -0.04 ],-403.6361,-388.12466,0.8418844,0.34837633,80.05407,0.8418844,1.3882946,0.49107736,0.009343468,-1,0.0034837632,0.030544784,135.850830078125,True,,100,-413.974,200000
1.4854888,-416.21664,158868.55,0.8548669,5,0.0075469846,61.449253,500,-415.36177791297433,-429.23566,-415.36176,500.0,5.771347,0.5418325,0.9528299,2.5470886,[ 0.09  -0.194 -0.031],-412.64688,-395.7373,0.8419821,0.22338039,67.31791,0.8419821,1.4077283,0.7546985,0.009528299,-1,0.0022338037,0.057713468,177.36777424812317,True,,100,-413.66956,250000
31.678564,-416.2368,18843.627,1.0376303,6,0.006019487,22.908587,600,-415.19915430292485,-429.0737,-415.1992,500.0,2.9503582,0.65570086,0.32813737,4.0471497,[ 0.107 -0.189 -0.011],-214.38281,-136.29164,0.84210193,0.00024899788,3.1567087,0.84210193,1.3457173,0.6019487,0.0032813738,-1,2.4899787e-06,0.02950358,223.82888984680176,True,,100,-412.18964,300000
39.088734,-416.35263,53246.152,0.8251639,7,0.009403576,25.587805,700,-415.5274634744227,-429.40588,-415.52747,500.0,6.08063,0.501089,0.5514263,2.282196,[ 0.105 -0.219 -0.073],-315.61902,-228.84976,0.84204763,0.0068690265,2.558282,0.84204763,1.3834193,0.9403576,0.0055142622,-1,6.8690264e-05,0.060806297,264.84368085861206,True,,100,-414.07043,350000
31.905293,-416.10712,53685.19,1.5472708,8,0.012505008,16.403744,800,-414.55984915956856,-428.43008,-414.55984,500.0,11.052931,0.9853118,0.5539391,4.324829,[ 0.146  0.003 -0.036],-307.41626,-229.07054,0.84400725,0.009020222,3.1342762,0.84400725,1.4067917,1.2505008,0.005539391,-1,9.020222e-05,0.1105293,302.55593371391296,True,,100,-411.7823,400000
1.1178375,-415.82367,165757.19,3.782865,9,0.0038012492,86.78562,900,-412.04080455109477,-425.90158,-412.04083,500.0,2.1551063,2.343707,0.9741527,11.621887,[ 0.109  0.214 -0.012],-415.73444,-401.0797,0.84374964,0.421988,89.458435,0.84374964,1.41589,0.38012493,0.009741526,-1,0.00421988,0.021551063,346.8635859489441,True,,100,-404.20178,450000
2.0102546,-415.43005,144938.62,3.7667944,10,0.010467031,43.144073,1000,-411.66326113462446,-425.5109,-411.66324,500.0,9.105401,2.4004676,0.911793,9.761017,[ 0.1    0.231 -0.003],-395.6242,-375.9905,0.8484989,0.12786575,49.74494,0.8484989,1.4390444,1.0467031,0.009117929,-1,0.0012786575,0.09105401,385.426233291626,True,,100,-405.66904,500000
10.299098,-415.5771,93552.516,3.0067346,11,0.011291277,29.602304,1100,-412.57035296946765,-426.4229,-412.57034,500.0,7.090609,1.9759252,0.7321947,9.974945,[0.116 0.196 0.02 ],-346.27142,-301.81546,0.8484858,0.011396102,9.709588,0.8484858,1.4738735,1.1291276,0.0073219473,-1,0.00011396102,0.07090609,428.277636051178,True,,100,-405.60214,550000
6.730631,-415.34702,88799.11,4.2696786,12,0.00971073,35.081554,1200,-411.07733666330574,-424.92224,-411.07733,500.0,4.9279776,2.3859918,0.7138504,10.937103,[-0.31   0.245  0.055],-330.93536,-295.0169,0.8484009,0.0026049092,14.857449,0.8484009,1.4636912,0.9710729,0.0071385037,-1,2.6049092e-05,0.049279775,463.17795419692993,True,,100,-404.4099,600000
18.444134,-415.73978,71067.48,2.6066065,13,0.014716089,15.821605,1300,-413.1331690108776,-426.99118,-413.13318,500.0,8.609483,1.5955263,0.637995,8.496918,[-0.361  0.121  0.045],-323.68277,-264.16736,0.8485196,9.7039105e-05,5.421778,0.8485196,1.4124721,1.471609,0.0063799494,-1,9.70391e-07,0.08609483,505.1657838821411,True,,100,-407.24286,650000
25.122314,-416.28018,61000.26,1.8798666,14,0.012187391,19.001678,1400,-414.40031454503537,-428.2763,-414.4003,500.0,10.986633,0.96643007,0.5902945,5.071533,[-0.301  0.031 -0.006],-314.1162,-244.56667,0.8485349,0.010151347,3.980525,0.8485349,1.4652098,1.2187392,0.005902944,-1,0.00010151347,0.10986633,547.4118452072144,True,,100,-411.20865,700000
13.146121,-416.01596,114594.2,1.6033496,15,0.021756813,12.163091,1500,-414.4126085910201,-428.27982,-414.41257,500.0,18.067814,1.0447665,0.8096154,6.508362,[-0.314 -0.01   0.046],-386.1104,-335.8313,0.8484567,0.0028703683,7.6068068,0.8484567,1.4119762,2.1756814,0.008096154,-1,2.8703682e-05,0.18067813,589.1584572792053,True,,100,-409.5076,750000
43.71667,-415.81818,34815.332,1.0359057,16,0.009783361,17.236626,1600,-414.78227174311877,-428.64285,-414.78226,500.0,7.602067,0.78746086,0.44647297,3.6579895,[-0.319 -0.027 -0.007],-276.93542,-185.29106,0.8484726,0.00048603865,2.287457,0.8484726,1.3500209,0.97833616,0.0044647297,-1,4.8603865e-06,0.076020665,634.292477607727,True,,100,-412.1602,800000
2.4764748,-416.24405,133923.42,1.1158338,17,0.009469526,46.0443,1700,-415.12821588248016,-429.00305,-415.12823,500.0,5.5252724,0.67555654,0.8747773,3.1458435,[-0.284 -0.118 -0.069],-385.37497,-363.54044,0.8485447,0.024176966,40.37998,0.8485447,1.3329446,0.9469526,0.008747772,-1,0.00024176965,0.055252723,677.5773866176605,True,,100,-413.0982,850000
31.162766,-416.3763,29531.93,0.689137,18,0.009900697,14.676998,1800,-415.68717569842937,-429.56638,-415.6872,500.0,8.073632,0.4267805,0.41063058,2.083496,[-0.288 -0.235 -0.086],-247.9365,-170.45772,0.8485021,0.0033795605,3.208958,0.8485021,1.3004189,0.99006957,0.004106306,-1,3.3795604e-05,0.080736324,722.0450818538666,True,,100,-414.29282,900000
1.4575982,-416.2176,142051.61,1.438526,19,0.0058888574,70.067184,1900,-414.7790617312491,-428.65298,-414.77905,500.0,3.0863352,0.88252807,0.90097886,4.526062,[-0.312  0.028 -0.119],-390.15872,-373.4086,0.8485443,0.19917719,68.60601,0.8485443,1.3140296,0.5888857,0.009009788,-1,0.0019917719,0.03086335,761.4370884895325,True,,100,-411.69153,950000
