MaxIWNorm,StdIWNorm,Bound,InitialBound,TimestepsSoFar,ReturnStepMaxmin,J_sample_variance,TimeElapsed,MinIWNorm,Weights,MeanIW,ESSClassic,OptimizationReturnMax,EpThisIter,Iteration,MaxIW,MeanIWNorm,StdIW,ReturnMeanIW,InitialReturnStd,MeanEntropy,InitialReturnMin,InitialReturnMax,MinIW,InitialReturnMean,EpRewMean,OptimizationReturnMin,OptimizationReturnMean,ReturnStepMax,EmpiricalD2,EpLenMean,VarianceInit,ESSRenyi,EpisodesSoFar,LearnableVariance
0.041847732,0.009042187,-346.1352,-428.24258,50000,0.8424839,88805.38,4.347982883453369,4.3346416e-05,[0. 0. 0.],0.71306616,38.343494,3.5591125,100,1,4.1847734,0.0071306606,0.9042187,-296.0385,0.8281839,1.4188372,-415.8217,-412.26257,0.0043346416,-414.38193,-414.38189681112766,,1.4397892,0.8424839,13.063103,500.0,-1,7.655149,100,True
0.06547549,0.011915096,-303.44568,-429.27707,100000,0.84215754,41626.965,9.587954998016357,4.33662e-06,[-1.328e-01 -2.046e-01 -8.763e-05],0.4876898,14.349089,2.671875,100,2,6.5475492,0.004876898,1.1915096,-202.6872,0.54700184,1.3562009,-416.2519,-413.58002,0.000433662,-415.40204,-415.40201699271796,,0.84987426,0.84215754,52.73433,500.0,-1,1.8962979,200,True
0.09337587,0.0127818175,-325.08417,-429.60458,150000,0.84198284,55246.773,14.071308612823486,3.4191203e-06,[-0.103 -0.329 -0.063],0.5617583,16.188837,1.7504578,100,3,9.337587,0.0056175827,1.2781817,-233.51158,0.37943116,1.2948146,-416.3108,-414.56033,0.00034191203,-415.72757,-415.72757222905756,,0.5832184,0.84198284,43.545,500.0,-1,2.296475,300,True
0.06463519,0.009972583,-395.56647,-429.41888,200000,0.8418719,140863.95,19.222601175308228,0.00027570178,[-0.05  -0.209 -0.124],0.89688873,44.715908,1.8591919,100,4,6.4635186,0.008968887,0.9972582,-372.93777,0.43093628,1.2725252,-416.3692,-414.51,0.027570179,-415.5399,-415.5399014146626,,0.8293021,0.8418719,2.658301,500.0,-1,37.61801,400,True
0.06250329,0.009616439,-306.73206,-429.72485,250000,0.8417915,49593.023,27.076573371887207,0.000104577295,[-0.094 -0.321 -0.146],0.5320877,23.439262,1.4481201,100,5,6.2503295,0.0053208773,0.9616439,-221.08295,0.31260598,1.2940797,-416.42776,-414.97964,0.01045773,-415.8439,-415.84390619143846,,0.5838583,0.8417915,38.072277,500.0,-1,2.626583,500,True
0.08525871,0.012952062,-308.26337,-428.87418,300000,0.84206903,48311.176,34.54794478416443,3.0976762e-06,[ 0.089 -0.043 -0.125],0.5254391,14.131847,4.0071106,100,6,8.525871,0.0052543906,1.2952063,-217.94342,0.6828748,1.2316732,-416.19345,-412.18634,0.00030976764,-415.0011,-415.00108168825506,,1.1923709,0.84206903,42.385685,500.0,-1,2.359287,600,True
0.039699756,0.008609027,-292.55682,-428.50082,350000,0.8423909,38695.973,43.82518219947815,2.1803066e-06,[ 0.079  0.034 -0.187],0.47037452,22.989496,4.558563,100,7,3.9699757,0.0047037443,0.86090267,-195.1577,0.99560046,1.1675864,-416.10016,-411.5416,0.00021803068,-414.63086,-414.6308523508906,,1.4693046,0.8423909,49.31249,500.0,-1,2.0278838,700,True
0.087264106,0.010932769,-271.5619,-429.0212,400000,0.84207654,34016.617,54.35966110229492,3.4334962e-06,[ 0.085 -0.029 -0.251],0.4407572,13.980851,4.581726,100,8,8.726411,0.0044075726,1.093277,-183.0226,0.7184029,1.1030419,-416.3434,-411.7617,0.00034334962,-415.1431,-415.1430894564092,,1.200318,0.84207654,40.70157,500.0,-1,2.4569077,800,True
0.05299744,0.009061173,-311.52856,-429.07138,450000,0.8421794,63072.184,68.58657765388489,4.8808613e-07,[ 0.073 -0.045 -0.316],0.6001743,30.493704,4.286194,100,9,5.299744,0.006001742,0.90611726,-249.40282,0.7445538,1.1393878,-416.34854,-412.06235,4.8808615e-05,-415.19308,-415.1931099277735,,1.155433,0.8421794,20.038797,500.0,-1,4.9903193,900,True
0.03240289,0.0049811555,-231.04034,-429.64737,500000,0.84201413,25472.688,87.50154781341553,0.00018816987,[ 0.051 -0.179 -0.28 ],0.38143146,36.963066,1.6242371,100,10,3.2402892,0.003814314,0.49811557,-158.47787,0.3363706,1.1593617,-416.328,-414.70377,0.018816987,-415.7698,-415.76980596929786,,0.558197,0.84201413,27.339798,500.0,-1,3.6576715,1000,True
0.075278535,0.009614906,-293.25153,-428.50775,550000,0.8425676,45277.953,106.99879026412964,0.00020583706,[ 0.043  0.055 -0.26 ],0.50880885,21.877403,4.828888,100,11,7.527854,0.0050880886,0.9614907,-210.3563,0.97352934,1.1798717,-416.03375,-411.20486,0.020583706,-414.63992,-414.6399477939308,,1.3938049,0.8425676,35.73094,500.0,-1,2.7986948,1100,True
0.07446011,0.012377972,-372.24445,-425.7522,600000,0.8436746,117833.21,131.78366422653198,7.5558855e-05,[ 0.134  0.224 -0.239],0.82128143,30.566906,10.444061,100,12,7.4460115,0.008212815,1.2377973,-339.54028,2.2903488,1.1543407,-415.8485,-405.40445,0.0075558857,-411.8906,-411.89057799860836,,3.9579337,0.8436746,5.566455,500.0,-1,17.964756,1200,True
0.085379645,0.011115335,-341.90503,-427.32358,650000,0.8425353,88400.69,162.06610107421875,4.596024e-05,[ 0.118  0.142 -0.265],0.71120423,29.047615,6.543152,100,13,8.537965,0.0071120425,1.1115335,-294.56564,1.6660717,1.189511,-415.93875,-409.3956,0.0045960243,-413.45895,-413.4589577738941,,2.479792,0.8425353,11.6581335,500.0,-1,8.5777025,1300,True
