OptimizationReturnMin,InitialReturnMean,VarianceInit,TimeElapsed,OptimizationReturnMax,MeanEntropy,InitialReturnMin,MinIWNorm,EmpiricalD2,MeanIW,StdIW,OptimizationReturnMean,ESSClassic,MeanIWNorm,Weights,Iteration,EpisodesSoFar,MinIW,MaxIW,StdIWNorm,InitialReturnStd,TimestepsSoFar,EpRewMean,ReturnStepMaxmin,Bound,EpLenMean,InitialReturnMax,MaxIWNorm,ReturnStepMax,InitialBound,ESSRenyi,LearnableVariance,EpThisIter,ReturnMeanIW,J_sample_variance
,-414.55774,-1,34.84672927856445,3.7032776,1.4684272,-415.92603,2.7934979e-05,31.01395,0.5890287,1.0435076,1.368299,24.163504,0.005890287,[ 0. -0.  0.],1,100,0.0027934979,6.551159,0.0104350755,0.9000608,50000,-414.557725982666,0.8428194,-321.5626,500.0,-412.22275,0.065511584,0.8428194,-428.4219,3.2243555,True,100,-244.35262,60630.227
,-414.8694,-1,70.76505422592163,4.2280884,1.5233678,-416.27066,0.000100671765,32.00762,0.6462756,1.0788256,1.4012833,26.409254,0.0064627565,[-0.01  -0.11   0.049],2,200,0.010067177,5.8757668,0.010788256,0.7923799,100000,-414.869377181679,0.8422572,-346.5923,500.0,-412.04257,0.058757666,0.8422572,-428.74506,3.124256,True,100,-268.09018,73109.195
,-414.59183,-1,110.13575291633606,3.9435425,1.4579537,-415.95728,3.9507145e-06,45.0317,0.3967133,0.92295367,1.3654233,15.594285,0.003967133,[-0.004 -0.071  0.104],3,300,0.00039507146,8.576875,0.009229536,0.8973583,150000,-414.5918535347283,0.84274304,-257.55008,500.0,-412.01373,0.085768744,0.84274304,-428.4571,2.2206578,True,100,-164.50644,27506.732
,-414.79782,-1,148.31518149375916,4.581482,1.5134379,-416.1417,4.2288546e-05,41.17766,0.60400605,1.082256,1.343873,23.749956,0.006040061,[-0.067 -0.087  0.039],4,400,0.0042288546,7.8767715,0.010822558,0.8615067,200000,-414.79782063364985,0.84328175,-339.67142,500.0,-411.5602,0.07876771,0.84328175,-428.66922,2.4285011,True,100,-250.65897,63818.863
,-415.0303,-1,189.0103268623352,4.0522766,1.5320643,-416.08612,9.0892776e-05,28.804375,0.5808586,1.2286904,1.055801,18.266525,0.0058085853,[ 0.048 -0.157  0.095],5,500,0.009089278,9.434411,0.012286903,0.75878805,250000,-415.0303209848702,0.84264314,-315.3897,500.0,-412.03384,0.09434411,0.84264314,-428.89984,3.471695,True,100,-240.95232,59007.36
,-414.55627,-1,228.72258520126343,3.8702393,1.4668074,-415.94122,5.39099e-06,43.403717,0.45553765,0.9746588,1.3849622,17.928223,0.0045553762,[ 1.171 -0.116  0.113],6,600,0.000539099,5.0280695,0.009746587,0.8559018,300000,-414.556263807714,0.84229,-280.24725,500.0,-412.07098,0.050280694,0.84229,-428.421,2.30395,True,100,-188.90448,36265.902
,-414.69876,-1,268.72195625305176,3.8026428,1.4332389,-416.0159,0.00018058681,3.0283134,0.8277221,1.403787,1.3171457,25.79783,0.00827722,[ 1.175 -0.116  0.048],7,700,0.018058682,11.23311,0.014037871,0.81814015,350000,-414.69875558152796,0.8429845,-367.47943,500.0,-412.21326,0.1123311,0.8429845,-428.56592,33.021683,True,100,-343.34766,119774.766
,-414.797,-1,308.3866009712219,4.0155945,1.3831925,-416.13638,4.0913005e-06,20.193598,0.63701284,1.589286,1.3393668,13.8417,0.0063701277,[ 1.145 -0.152  0.014],8,800,0.00040913007,11.501114,0.015892858,0.7928574,400000,-414.79701830476523,0.8427113,-326.91367,500.0,-412.1208,0.11501113,0.8427113,-428.6682,4.9520645,True,100,-264.5802,70980.41
,-415.51126,-1,353.1992738246918,2.7565308,1.4368373,-416.16373,5.1468145e-05,26.912535,0.4993815,0.8052403,0.6524887,27.77719,0.004993815,[ 1.153 -0.291 -0.036],9,900,0.0051468145,5.1289334,0.008052403,0.4320669,450000,-415.5112344789505,0.84202653,-279.45056,500.0,-413.4072,0.051289335,0.84202653,-429.38336,3.7157407,True,100,-207.48575,43628.117
,-415.4039,-1,395.8827452659607,2.3691711,1.4931669,-416.1791,6.823772e-05,37.667885,0.46724865,0.58647317,0.77519685,38.828403,0.0046724863,[ 1.253 -0.331  0.018],10,1000,0.0068237726,2.8285475,0.0058647315,0.51204,500000,-415.4039066800475,0.84204924,-279.25293,500.0,-413.80994,0.028285474,0.84204924,-429.27658,2.6547813,True,100,-194.11076,38196.64
,-415.38797,-1,442.9628472328186,2.190155,1.4815238,-416.1951,6.152187e-05,4.4342213,0.8262593,1.065599,0.80713195,37.548252,0.008262593,[ 1.254 -0.37   0.074],11,1100,0.006152187,7.061589,0.010655989,0.48439094,550000,-415.3879671895504,0.8421502,-372.75433,500.0,-414.00494,0.07061589,0.8421502,-429.2611,22.551874,True,100,-343.54077,119451.516
,-415.77563,-1,485.41024374961853,1.9567261,1.4232044,-416.3376,1.0284302e-05,43.46617,0.5588031,1.1818122,0.56194216,18.272192,0.005588031,[ 1.228 -0.595  0.063],12,1200,0.0010284303,7.166807,0.01181812,0.3285791,600000,-415.7756419710815,0.84204406,-323.77475,500.0,-414.38086,0.07166807,0.84204406,-429.65356,2.3006396,True,100,-232.27919,54673.96
