EpThisIter,LearnableVariance,J_sample_variance,ESSClassic,MaxIW,InitialReturnMean,MeanEntropy,StdIW,OptimizationReturnMin,TimestepsSoFar,InitialBound,MaxIWNorm,MinIWNorm,MeanIW,MinIW,EpLenMean,VarianceInit,StdIWNorm,TimeElapsed,InitialReturnStd,OptimizationReturnMean,ReturnMeanIW,EpisodesSoFar,InitialReturnMax,EpRewMean,Iteration,OptimizationReturnMax,Weights,ReturnStepMaxmin,EmpiricalD2,ESSRenyi,MeanIWNorm,InitialReturnMin,Bound,ReturnStepMax
100,True,60667.793,13.737939,11.093191,-414.4485,1.3754766,1.4755578,,50000,-428.31967,0.11093191,2.9437495e-05,0.58885324,0.0029437495,500.0,-1,0.014755579,12.516789674758911,0.9090001,1.6880585,-243.6754,100,-412.0068,-414.44848052948714,1,4.12973,[0. 0. 0.],0.8421727,27.779314,3.5998008,0.0058885324,-416.13654,-316.78516,0.8421727
100,True,61544.04,21.775032,8.537104,-412.68793,1.4285756,1.1251827,,100000,-426.5466,0.08537103,0.00010545693,0.5936491,0.010545693,500.0,-1,0.011251827,30.50064468383789,1.8830409,3.074272,-245.28378,200,-407.39084,-412.68787435263397,2,8.371307,[ 0.011  0.174 -0.043],0.84367454,25.814983,3.8737192,0.005936491,-415.76215,-315.69788,0.84367454
100,True,40352.59,20.104267,5.5392504,-413.1515,1.3900613,0.9580806,,150000,-427.01038,0.055392504,3.710153e-05,0.4806007,0.0037101533,500.0,-1,0.009580806,48.36222267150879,1.3713354,2.6138263,-197.97789,300,-408.5194,-413.1514954657853,3,7.2459106,[0.017 0.144 0.01 ],0.84264684,46.05204,2.1714566,0.0048060063,-415.76532,-292.0263,0.84264684
100,True,74930.23,23.640533,6.1906323,-409.10284,1.4442936,1.1788507,,200000,-422.9394,0.061906323,0.00018800652,0.65592766,0.018800654,500.0,-1,0.011788508,72.24136209487915,3.1216948,5.9940977,-268.75198,400,-400.12357,-409.10285615727304,4,14.973389,[ 0.08   0.318 -0.029],0.8465998,27.514685,3.6344228,0.0065592765,-415.09695,-341.33093,0.8465998
100,True,46773.27,25.029333,5.509534,-409.80957,1.494996,0.8961241,,250000,-423.65768,0.055095337,4.194309e-05,0.5177822,0.004194309,500.0,-1,0.008961242,107.63283038139343,3.3669896,5.633942,-212.41927,500,-399.56918,-409.80956958264113,5,15.874329,[0.054 0.314 0.025],0.8483125,25.789108,3.877606,0.005177822,-415.4435,-282.74414,0.8483125
100,True,114851.38,16.467854,16.33137,-411.1839,1.4500188,1.8270468,,300000,-425.0367,0.16331369,5.4272383e-05,0.81122506,0.0054272385,500.0,-1,0.018270466,148.43526005744934,2.6446404,4.4016576,-334.2734,600,-399.7082,-411.1838816280663,6,15.87735,[0.044 0.263 0.076],0.8484932,8.213053,12.17574,0.008112251,-415.58554,-373.9735,0.8484932
100,True,25015.43,14.271082,8.275207,-412.49744,1.4134512,0.9262988,,350000,-426.35522,0.082752064,2.4425066e-05,0.3779339,0.0024425066,500.0,-1,0.009262987,187.54285526275635,1.9693105,3.2363448,-154.86517,700,-405.41055,-412.49744906634095,7,10.323242,[0.014 0.211 0.031],0.8484498,43.57387,2.2949533,0.0037793387,-415.7338,-246.34116,0.8484498
100,True,46339.01,22.035265,5.216609,-407.4407,1.3996465,0.9667516,,400000,-421.2995,0.05216609,0.00022544488,0.51395476,0.022544488,500.0,-1,0.009667515,232.81309008598328,4.1929445,8.324465,-207.24283,800,-396.5956,-407.44067177504303,8,19.169525,[-0.068  0.378 -0.005],0.84848607,39.17319,2.5527663,0.0051395474,-415.76514,-293.98322,0.84848607
100,True,46102.574,23.551533,6.3111057,-399.32147,1.4265032,0.9340752,,450000,-413.01083,0.06311106,9.156535e-05,0.51845014,0.009156535,500.0,-1,0.009340752,276.1728401184082,6.076408,11.359056,-204.99156,900,-377.8794,-399.32148387506606,9,32.801147,[-0.108  0.509 -0.019],0.8498641,36.63967,2.7292821,0.0051845014,-410.68054,-287.8542,0.8498641
100,True,101579.49,33.43253,5.971441,-391.1986,1.4239362,1.0818151,,500000,-404.9783,0.059714407,3.606642e-05,0.76666677,0.0036066421,500.0,-1,0.010818152,314.6149072647095,7.963661,22.193218,-305.94894,1000,-364.44504,-391.1985928697884,10,48.946777,[-0.172  0.598  0.008],0.8581388,6.9683843,14.350529,0.007666667,-413.3918,-342.32425,0.8581388
