J_sample_variance,ESSRenyi,StdIW,VarianceInit,OptimizationReturnMin,InitialReturnStd,OptimizationReturnMax,ReturnStepMaxmin,InitialBound,ESSClassic,InitialReturnMean,ReturnStepMax,TimeElapsed,EpisodesSoFar,MinIWNorm,EpRewMean,EmpiricalD2,InitialReturnMin,MeanEntropy,MeanIWNorm,Iteration,TimestepsSoFar,Bound,MaxIW,MeanIW,EpLenMean,MinIW,OptimizationReturnMean,Weights,EpThisIter,ReturnMeanIW,LearnableVariance,InitialReturnMax,StdIWNorm,MaxIWNorm
77168.195,4.9211493,1.3117307,-1,,0.90166247,3.9924011,0.84355056,-428.28876,20.4268,-414.4269,0.84355056,38.151047468185425,100,4.663044e-05,-414.42689684301615,20.320457,-415.85495,1.4708263,0.0066460175,1,50000,-337.85568,8.597836,0.66460174,500.0,0.004663044,1.428053,[ 0. -0.  0.],100,-275.36902,True,-411.86255,0.013117309,0.08597835
171835.92,93.609695,0.25900376,-1,,0.95044994,4.3129883,0.84381604,-428.3364,93.60955,-414.46722,0.84381604,77.0752158164978,200,0.0055837417,-414.46723043993114,1.0682654,-416.07492,1.4676509,0.009912884,2,100000,-424.99606,1.7543513,0.9912884,500.0,0.55837417,1.6076941,[ 0.01  -0.008  0.052],100,-410.66132,True,-411.76193,0.0025900374,0.017543511
47300.27,2.3867593,1.2457125,-1,,1.1808605,5.6064453,0.84304655,-427.94995,14.8475485,-414.08456,0.84304655,115.59368395805359,300,9.616887e-07,-414.08458148792386,41.897816,-415.9612,1.4031191,0.005201715,3,150000,-305.17822,8.223162,0.5201715,500.0,9.6168864e-05,1.8766288,[-0.029  0.027  0.049],100,-215.42972,True,-410.35477,0.012457125,0.08223162
31978.576,1.9984156,0.9079478,-1,,0.8791268,4.424835,0.84230804,-428.499,18.138678,-414.6221,0.84230804,151.95078325271606,400,3.3246024e-06,-414.6221267807484,50.039642,-416.30585,1.3366041,0.0042738994,4,200000,-275.50323,5.5747576,0.42738995,500.0,0.00033246024,1.6837186,[-0.033 -0.002 -0.016],100,-177.34012,True,-411.881,0.009079478,0.055747576
92857.766,24.153852,0.9105835,-1,,0.9076046,4.9722595,0.8430057,-428.28873,39.038445,-414.4191,0.8430057,190.54469513893127,500,6.670065e-05,-414.41908994406464,4.140126,-416.09015,1.351985,0.007286818,5,250000,-330.64102,6.2859497,0.72868186,500.0,0.006670065,1.6710596,[-0.02   0.006 -0.082],100,-302.41998,True,-411.1179,0.009105834,0.0628595
58781.02,2.5712988,1.3547772,-1,,0.6103046,2.91568,0.84218806,-429.0059,15.470777,-415.1324,0.84218806,231.05243468284607,600,2.0182895e-06,-415.132359457165,38.89085,-416.20697,1.2880373,0.0057958956,6,300000,-327.2483,8.022869,0.57958955,500.0,0.00020182895,1.074611,[-0.039 -0.125 -0.067],100,-240.72922,True,-413.2913,0.013547771,0.08022869
170723.88,91.69834,0.32572886,-1,,0.6040774,3.9603882,0.84242535,-429.3044,90.187775,-415.42734,0.84242535,274.1777286529541,700,0.004684779,-415.4273686264455,1.0905323,-416.31104,1.2966928,0.009875213,7,350000,-424.7868,2.0612998,0.98752123,500.0,0.4684779,0.88366944,[-0.04  -0.154 -0.131],100,-410.29523,True,-412.35065,0.0032572886,0.020612998
21572.49,2.965628,0.5264998,-1,,0.4460576,2.060669,0.84194994,-429.37662,30.776747,-415.50098,0.84194994,314.7122676372528,800,0.00019974809,-415.50097254663706,33.719673,-416.2695,1.2985346,0.0035106177,8,400000,-226.28186,3.7591093,0.35106182,500.0,0.01997481,0.76852965,[-0.037 -0.169 -0.122],100,-145.70786,True,-414.20883,0.005264998,0.037591092
31755.408,1.8331925,0.9063736,-1,,1.4185879,6.4829407,0.8434389,-427.60037,18.11724,-413.7382,0.8434389,355.4532940387726,900,3.1790812e-06,-413.7381768552959,54.549644,-415.86655,1.2316898,0.0042634094,9,450000,-278.87677,5.746516,0.42634097,500.0,0.00031790812,2.1283703,[ 0.014  0.104 -0.12 ],100,-176.49356,True,-409.3836,0.009063737,0.057465162
142323.08,54.46526,0.74481404,-1,,1.3951995,6.1690674,0.84310406,-427.68912,59.45677,-413.817,0.84310406,394.1648280620575,1000,0.000930964,-413.81698780849575,1.8360327,-416.16403,1.2443817,0.009019645,10,500000,-392.66397,4.243255,0.9019645,500.0,0.093096405,2.3470414,[-0.104  0.111 -0.187],100,-373.8672,True,-409.99496,0.0074481405,0.04243255
151172.61,62.394207,0.7106169,-1,,1.0196114,4.911377,0.8425002,-428.37247,63.138428,-414.50723,0.8425002,436.5326118469238,1100,0.00096642104,-414.5072449825704,1.6027129,-415.95706,1.2306396,0.009300269,11,550000,-402.6571,5.138484,0.930027,500.0,0.09664211,1.4498166,[-0.098  0.044 -0.175],100,-385.10394,True,-411.0457,0.007106169,0.05138484
42399.418,2.2854009,1.0346702,-1,,1.3310328,7.413574,0.8436895,-427.82812,18.478086,-413.96558,0.8436895,479.7600808143616,1200,4.281754e-06,-413.9656110586226,43.756,-415.8759,1.1665201,0.004925987,12,600000,-295.51974,7.230481,0.4925987,500.0,0.0004281754,1.9102771,[-0.139  0.108 -0.188],100,-203.82144,True,-408.4623,0.010346702,0.07230481
36050.74,3.4652166,0.89840734,-1,,1.3619814,6.0686646,0.842692,-427.61365,20.352476,-413.7492,0.842692,519.926988363266,1300,3.160029e-05,-413.74918791532514,28.858225,-415.93277,1.1156619,0.0045414628,13,650000,-262.09613,6.890976,0.45414627,500.0,0.0031600292,2.1835804,[-0.157  0.148 -0.252],100,-187.61665,True,-409.8641,0.008984073,0.06890976
34760.86,1.7999839,1.009857,-1,,2.6513286,10.831024,0.8463894,-425.7289,16.31323,-411.86966,0.8463894,562.990124464035,1400,5.9733084e-06,-411.8696437065303,55.556053,-415.7788,1.0572472,0.0044586305,14,700000,-286.36102,6.6924963,0.44586304,500.0,0.00059733086,3.9091666,[-0.18   0.247 -0.303],100,-183.0595,True,-404.94778,0.01009857,0.06692496
33989.44,2.2259185,0.9405021,-1,,4.294049,18.57785,0.84835136,-422.30292,17.974146,-408.45758,0.84835136,605.5042595863342,1500,1.29262635e-05,-408.45762768879536,44.925274,-415.35797,0.9989664,0.0044025923,15,750000,-271.04346,6.880147,0.44025925,500.0,0.0012926264,6.9003453,[-0.216  0.32  -0.362],100,-178.24373,True,-396.78012,0.009405021,0.06880147
83088.195,5.121876,1.1257393,-1,,4.4928513,20.61911,0.84842664,-418.349,27.3782,-404.52512,0.84842664,650.1137571334839,1600,7.1207905e-05,-404.5251005612314,19.524097,-414.71783,1.0403479,0.0069120484,16,800000,-342.2627,6.592407,0.6912049,500.0,0.007120791,10.192731,[-0.202  0.368 -0.42 ],100,-281.18018,True,-394.09872,0.011257393,0.06592407
164302.72,92.27287,0.3274009,-1,,4.3291383,23.941833,0.8485273,-422.12897,89.79207,-408.28625,0.8485273,687.1339173316956,1700,0.004920837,-408.28622088611127,1.0837421,-415.2828,1.0465686,0.009710245,17,850000,-410.21063,2.1312928,0.97102445,500.0,0.4920837,6.996588,[-0.158  0.325 -0.379],100,-395.79993,True,-391.34097,0.003274009,0.021312928
104194.266,17.347658,1.1093502,-1,,4.051269,19.429077,0.84854364,-421.38397,32.66147,-407.53757,0.84854364,729.7795221805573,1800,0.0001663182,-407.5376137518883,5.764467,-415.3903,1.0842276,0.0077259983,18,900000,-347.93222,7.433065,0.7725999,500.0,0.016631821,7.8526793,[-0.131  0.334 -0.372],100,-314.6881,True,-395.9612,0.011093501,0.07433065
88221.625,4.939777,1.2969657,-1,,3.829574,19.477875,0.8489028,-421.43457,23.092386,-407.5798,0.8489028,772.4764173030853,1900,5.8060283e-05,-407.57977421581745,20.24383,-415.64395,1.1350542,0.0071068676,19,950000,-352.77164,7.46449,0.71068674,500.0,0.0058060284,8.0641775,[-0.028  0.328 -0.335],100,-290.43454,True,-396.16608,0.012969657,0.0746449
46615.875,3.4084923,1.1913688,-1,,3.1254804,15.693085,0.84890807,-422.67838,15.843466,-408.8477,0.84890807,816.0091211795807,2000,0.00028315,-408.8476459801197,29.338486,-414.9217,1.1562063,0.0051692487,20,1000000,-284.90558,10.48059,0.51692486,500.0,0.028315002,6.074045,[-0.054  0.311 -0.284],100,-209.99144,True,-399.2286,0.011913687,0.104805894
94656.58,4.4265184,1.360357,-1,,4.758791,24.159424,0.8502195,-417.95392,22.701677,-404.12762,0.8502195,857.6037306785583,2100,6.0136907e-05,-404.1276344335079,22.591118,-414.78833,1.2085705,0.0073721944,21,1050000,-364.48044,8.010148,0.7372196,500.0,0.006013691,10.660694,[-0.054  0.406 -0.263],100,-298.76398,True,-390.6289,0.013603571,0.080101475
160319.61,84.24523,0.4153818,-1,,5.0439816,21.543518,0.84968615,-418.32428,84.27438,-404.51474,0.84968615,901.7464671134949,2200,0.002449653,-404.5147578112781,1.1870108,-414.28732,1.2035489,0.00961594,22,1100000,-405.47406,2.1517537,0.9615939,500.0,0.24496531,9.772562,[-0.074  0.396 -0.21 ],100,-390.42853,True,-392.7438,0.0041538174,0.021517536
