VarNormIw,AvgEpLen,Bound,MinVanillaIw,ESSClassic,MaxVanillaIw,AvgVanillaIw,VarRet,MinNormIw,Delta,AvgNormIw,BatchSize,VanillaAvgRet,ESSRenyi,IterType,AvgDiscRet,VarJ,EpsThisIter,J,eRenyi2,MaxNormIw,VarVanillaIw,AvgRet,VarDiscRet
0.00019011,16.78,95.5224,0.0331957,34.6970513374,16.4888,1.42616,10464.2007747,0.000232763,0.2,0.01,100,153.812071012,54.4684635325,1,153.812071012,200.113,100,233.277,1.83592,0.115617,3.8667,153.812071012,10464.2007747
0.00185144,20.54,159.261,8.49103e-07,5.17350787132,65.9363,1.56891,13737.0699221,5.41206e-09,0.2,0.01,100,188.844203994,20.0250920949,1,188.844203994,857.013,100,449.025,4.99373,0.420268,45.5728,188.844203994,13737.0699221
0.0015025,30.56,213.561,0.00768289,6.29932568703,51.9426,1.58019,24942.3035443,4.86199e-05,0.2,0.01,100,282.445053934,30.0611162559,1,282.445053934,771.723,100,508.435,3.32656,0.32871,37.5175,282.445053934,24942.3035443
0.00301628,34.73,328.047,7.23836e-05,3.24031854022,79.219,1.44101,43698.036428,5.02311e-07,0.2,0.01,100,321.472421521,19.6825732316,1,321.472421521,3451.43,100,1104.76,5.08064,0.549745,62.6336,321.472421521,43698.036428
0.00303983,39.95,313.003,0.000317841,3.21602613789,94.4533,1.70951,48512.2877707,1.85925e-06,0.2,0.01,100,369.623772086,27.7530499013,1,369.623772086,1118.41,100,710.182,3.60321,0.552515,88.8371,369.623772086,48512.2877707
8.82027e-05,47.81,98.7665,0.0697674,53.3843857488,5.42215,0.99371,59263.0419211,0.000702091,0.2,0.01,100,442.205127938,63.0894644997,1,442.205127938,714.544,100,571.807,1.58505,0.0545647,0.870965,442.205127938,59263.0419211
0.00124575,55.63,311.488,0.00143727,7.50024090674,54.559,1.59365,94393.326221,9.01871e-06,0.2,0.01,100,514.992505684,31.3271938276,1,514.992505684,1238.73,100,957.093,3.19211,0.342352,31.6386,514.992505684,94393.326221
0.00441169,71.55,754.845,1.99496e-05,2.23835247171,123.35,1.85923,203772.440136,1.073e-07,0.2,0.01,100,661.6991466,13.7785947535,1,661.6991466,4624.89,100,2436.13,7.25763,0.663449,152.501,661.6991466,203772.440136
0.00596804,102.79,1991.11,0.0237703,1.66434680168,294.508,3.80338,404357.595696,6.24979e-05,0.2,0.01,100,948.188543815,26.1235097786,1,948.188543815,6170.76,100,3777.2,3.82797,0.774332,863.318,948.188543815,404357.595696
0.00022093,102.79,-1491.18,0.0033955,31.3754051218,42.0693,4.09897,404357.595696,8.28378e-06,0.2,0.01,200,948.188543815,25.3721477684,,1080.27509411,1022.73,100,1050.42,7.88266,0.102634,37.1198,948.188543815,535553.110055
0.00440961,91.37,3724.6,1.21885e-09,1.13312815705,2126.39,11.3204,203048.645831,5.38343e-13,0.2,0.005,200,843.475952351,200.0,1,843.475952351,2739.28,100,4370.11,1.0,0.939189,22603.7,843.475952351,203048.645831
3.50449e-18,176.61,693.389,1.0,100.0,1.0,1.0,958467.344785,0.01,0.2,0.01,200,1624.67848068,200.0,2,1624.67848068,974.106,100,1624.68,1.0,0.01,,1624.67848068,958467.344785
0.00218719,91.37,-inf,0.000470281,2.27143509754,8.20447e+08,8.20212e+06,203048.645831,2.86682e-13,0.2,0.005,300,843.475952351,20963.6190631,,1677.37881627,9270.61,100,2090.89,0.0143105,0.500144,5.8857e+15,843.475952351,973304.384969
0.00202079,102.42,2406.75,0.000143672,1.64595996051,871.646,3.72996,461795.148806,1.28395e-07,0.2,0.00333333,300,943.042440419,40.6108183484,1,943.042440419,9849.89,100,3839.26,7.38719,0.778959,2530.3,943.042440419,461795.148806
3.50449e-18,135.9,319.688,1.0,100.0,1.0,1.0,845913.970691,0.01,0.2,0.01,300,1253.47917869,300.0,2,1253.47917869,915.126,100,1253.48,1.0,0.01,,1253.47917869,845913.970691
2.1793e-19,123.78,537.173,1.0,200.000000102,1.0,1.0,676765.845024,0.005,0.2,0.005,300,1141.44760741,300.0,2,1141.44760741,869.979,100,1197.46,1.0,0.005,,1141.44760741,676765.845024
