Weights,ESSRenyi,InitialReturnMax,MaxIWNorm,MeanEntropy,ESSClassic,InitialReturnMin,EntropyCoefficient,InitialReturnMean,MinIW,EmpiricalD2,MaxIW,ReturnStepMax,MeanIW,TimestepsSoFar,InitialReturnStd,MeanIWNorm,Bound,TimeElapsed,StdIWNorm,EpRewMean,ReturnStepMaxmin,InitialBound,StdIW,MinIWNorm,EpThisIter,Iteration,ReturnMeanIW,EpLenMean,J_sample_variance,EpisodesSoFar
[-0.689  0.919 -0.673  0.288  0.   ],36.35755,9.20005,0.04039952,1.5361378,62.27303,-4.7708664,10.0,3.7384034e-06,0.18544653,2.7504601,4.0399523,100.0,0.9875074,1745,3.275067,0.009875073,15.224354,2.3558225631713867,0.0076862816,-108.67197648780628,86.90667,13.882788,0.7686282,0.0018544652,100,1,0.37157068,17.45,25.186686,100
[-0.676  0.902 -0.653  0.247  0.117],1.361105,10.229973,1.1394886,1.5862604,4.14221,-4.670555,10.0,-7.400513e-06,0.004333848,73.46972,113.94886,100.0,2.6954713,3505,3.3128467,0.026954712,19.275658,5.702164173126221,0.12966786,-108.91273033025267,86.99316,15.020371,12.966786,4.333848e-05,100,2,6.3359103,17.6,2658.4211,200
[-0.735  0.841 -0.594  0.257  0.167],0.051663052,8.019363,32.606495,1.7249745,1.069946,-3.8791122,10.0,1.1444092e-05,0.0069827293,1935.6193,3260.6494,100.0,33.728764,5225,2.5674627,0.33728766,57.692715,9.126987218856812,3.243274,-109.28879662594318,86.66867,15.595304,324.3274,6.982729e-05,100,3,52.203545,17.2,284720.16,300
[-0.67   0.877 -0.506  0.347  0.306],28.741266,11.174103,0.05026573,1.8727212,57.755898,-4.440857,10.0,5.645752e-06,0.102601185,3.479318,5.026573,100.0,0.8375392,7101,2.6916928,0.008375393,17.854317,12.677907228469849,0.0071629183,-110.0029485430614,87.61399,16.87728,0.71629184,0.0010260119,100,4,-0.1781289,18.76,6.7642317,400
[-0.668  0.879 -0.496  0.339  0.454],30.972702,7.7605896,0.06204371,2.0026252,48.29768,-4.153969,10.0,-1.2969971e-06,0.07599075,3.2286496,6.2043715,100.0,0.8721433,9002,2.9235382,0.008721433,19.435455,15.500510692596436,0.009023597,-110.62260214751359,87.77858,18.468523,0.9023598,0.0007599075,100,5,-0.12597834,19.01,22.090553,500
[-0.678  0.851 -0.484  0.314  0.584],0.16490172,9.065651,4.7548313,1.8759072,1.1841766,-4.671753,10.0,2.3651123e-06,1.0496742e-06,606.4218,475.48315,100.0,5.1781025,11078,3.1736073,0.05178102,37.755623,18.35510492324829,0.4730157,-111.89229117136748,88.65262,19.724068,47.30158,1.0496742e-08,100,6,26.438133,20.76,62894.5,600
[-0.665  0.799 -0.732  0.269  0.457],48.426147,12.525093,0.048152916,1.9957733,63.689865,-4.123047,10.0,-1.5258789e-07,0.27041304,2.065,4.815292,100.0,1.0090923,12826,2.749557,0.010090922,19.171598,21.799720525741577,0.0076192054,-109.14056133676762,86.8911,18.341568,0.7619206,0.0027041303,100,7,-0.18617907,17.48,11.3903055,700
[-0.669  0.793 -0.722  0.24   0.577],31.223005,12.461105,0.044617344,2.1376944,58.76465,-4.013748,10.0,2.0599366e-06,0.19841151,3.2027667,4.4617343,100.0,0.8766446,14574,3.4573545,0.008766446,20.62283,24.387481689453125,0.007343452,-108.9515458564723,86.90051,19.542364,0.7343452,0.001984115,100,8,-0.010756489,17.48,14.48997,800
[-0.641  0.817 -0.675  0.206  0.719],23.111471,9.794815,0.031002697,2.293928,61.871094,-4.025589,10.0,-8.544922e-06,0.17763881,4.3268557,3.1002698,100.0,0.82208663,16428,3.1721766,0.008220866,22.19954,27.233423709869385,0.006453583,-110.00726334518437,87.54867,21.050442,0.6453583,0.0017763881,100,9,-0.060597807,18.54,9.1214695,900
[-0.638  0.827 -0.654  0.204  0.875],17.094336,10.015366,0.087696426,2.4491572,34.513954,-4.808159,10.0,5.645752e-06,0.15287244,5.8498907,8.769643,100.0,0.9524939,18398,3.6618688,0.009524939,24.399984,30.078388452529907,0.013120163,-110.78489032449183,88.11173,22.60544,1.3120165,0.0015287244,100,10,0.71586835,19.7,71.580826,1000
