Weights,EpisodesSoFar,MinIW,ReturnStepMaxmin,InitialBound,MinD2w0t,InitialReturnMax,MeanD2w0t,ReturnMeanIW,MaxD2w0t,ReturnStepMax,MeanIW,Iteration,EpThisIter,InitialReturnMin,InitialReturnStd,Bound,StdIW,EpRewMean,J_sample_variance,StdD2w0t,TimestepsSoFar,TimeElapsed,EmpiricalD2,MaxIW,EpLenMean,InitialReturnMean
[-0.365 -0.68  -0.484 -0.253  0.   ],100,0.67939025,93.704056,-96.92276,,25.629276,0.09276398,187.0851,1.0565846,100.0,1.0349598,1,100,-16.882248,8.854463,-94.23018,0.19305767,-121.62483749719935,929.64496,0.29238924,4573,9.297759771347046,1.0303264,1.807748,45.73,1.2969971e-06
[-0.361 -0.677 -0.48  -0.258 -0.013],200,0.6860542,93.82512,-95.39143,,28.031296,0.09055065,187.76855,1.0372623,100.0,1.0237025,2,100,-16.125542,8.332215,-93.71408,0.13242568,-120.10335517460692,515.4839,0.2886168,9054,25.39144802093506,1.0162338,1.4386442,44.81,-2.670288e-07
[-0.368 -0.668 -0.483 -0.256 -0.016],300,0.8117846,93.75522,-92.61754,,21.35926,0.090022184,187.65926,1.0182035,100.0,1.0132651,3,100,-15.860962,7.6733055,-91.56377,0.111060515,-120.61622805907571,394.51755,0.2871765,13528,40.454010248184204,1.0099015,1.4616191,44.74,5.1116945e-06
[-0.364 -0.668 -0.479 -0.259 -0.008],400,0.6596335,93.823555,-86.4955,,26.28455,0.09129722,189.74539,1.0382738,100.0,1.022147,4,100,-13.886131,7.955411,-84.60565,0.1483957,-121.84828832505174,714.3469,0.2902062,18031,56.02870321273804,1.0227585,1.6300805,45.03,-4.7683716e-06
[-0.36  -0.669 -0.472 -0.259 -0.015],500,0.6609774,93.889336,-96.13257,,24.735012,0.093302816,184.08363,1.0366949,100.0,1.0303593,5,100,-15.489807,8.856761,-93.72255,0.14381915,-121.06440602679666,553.91815,0.2930239,22634,71.22105026245117,1.0237715,1.5055865,46.03,-4.615784e-06
[-0.362 -0.666 -0.475 -0.255 -0.027],600,0.59196997,93.85078,-97.08513,,26.833195,0.09410563,183.07655,1.0475914,100.0,1.0349281,6,100,-16.203247,9.381413,-93.74797,0.15366262,-121.39213765838441,614.42236,0.29392445,27283,86.36551570892334,1.0248197,1.4121369,46.49,6.1416627e-06
[-0.377 -0.673 -0.485 -0.252 -0.036],700,0.72698265,93.75184,-89.958466,,20.910946,0.09125599,188.25859,1.0403938,100.0,1.0255386,7,100,-16.210365,7.246054,-88.09007,0.18051341,-121.13803783710902,792.51825,0.2899072,31791,101.00708079338074,1.0217901,1.7334225,45.08,-3.8146972e-08
[-0.379 -0.66  -0.482 -0.25  -0.026],800,0.65356123,93.69202,-82.99986,,28.823189,0.08853061,194.04845,1.0579236,100.0,1.0298152,8,100,-13.903206,8.701337,-80.585556,0.16507655,-119.97991306887539,650.96814,0.28577062,36170,114.95470833778381,1.0298544,1.6716965,43.79,-6.8664554e-07
[-0.365 -0.656 -0.476 -0.257 -0.031],900,0.72068393,93.91986,-97.89499,,24.209343,0.092958435,179.16881,1.0237354,100.0,1.0123132,9,100,-14.951889,8.27346,-96.72566,0.088630565,-120.10219343174444,277.92792,0.29120216,40794,129.38459277153015,1.008573,1.3853204,46.24,-2.1362305e-06
[-0.374 -0.656 -0.478 -0.259 -0.031],1000,0.52456385,93.890305,-95.587875,,32.518314,0.09280764,186.35738,1.0800774,100.0,1.0382077,10,100,-15.081398,8.442105,-92.511215,0.21638869,-119.89441006320654,1119.297,0.29302692,45353,143.96998739242554,1.0385497,2.2505665,45.59,-7.93457e-06
[-0.374 -0.664 -0.476 -0.255 -0.03 ],1100,0.5149304,93.85954,-90.893814,,21.023094,0.09417524,192.5248,1.1340817,100.0,1.0673809,11,100,-16.782928,8.456819,-85.388535,0.2850549,-120.3423005251491,2031.9882,0.29799315,49897,158.11227178573608,1.0633353,2.4026282,45.44,6.1035155e-07
[-0.362 -0.654 -0.466 -0.245 -0.039],1200,0.6492686,93.68023,-92.633316,,22.034782,0.09224961,190.37737,1.0783181,100.0,1.0438422,12,100,-16.313461,8.349182,-88.53581,0.19045524,-120.77230314592548,1055.3964,0.29260305,54419,172.8147530555725,1.0326418,1.7617389,45.22,7.095337e-06
[-0.375 -0.664 -0.474 -0.252 -0.034],1300,0.80943954,93.86703,-103.32689,,31.242489,0.093123496,179.2325,1.0204692,100.0,1.0077636,13,100,-15.741028,8.655327,-102.57536,0.09513148,-121.413894122782,266.57095,0.29105583,59062,187.82781863212585,1.0099242,1.3616524,46.43,-1.8692017e-06
[-0.38  -0.663 -0.473 -0.249 -0.036],1400,0.70787096,94.0088,-99.07677,,21.598606,0.09625568,177.06615,1.0455127,100.0,1.0249169,14,100,-16.025085,8.508881,-96.74666,0.13069154,-121.69536552196755,479.1284,0.29686758,63819,202.8450312614441,1.0192646,1.4932315,47.57,-3.852844e-06
[-0.38  -0.656 -0.466 -0.251 -0.043],1500,0.63928753,93.87,-100.332184,,19.951065,0.09364041,182.57286,1.0321229,100.0,1.0202452,15,100,-17.101494,7.854016,-98.474655,0.13772976,-121.55160215308025,571.81213,0.29320306,68447,217.27815699577332,1.0198314,1.3692975,46.28,-2.9754638e-06
[-0.38  -0.66  -0.463 -0.255 -0.048],1600,0.591394,94.09138,-103.70706,,22.465393,0.09725666,175.27023,1.0568322,100.0,1.0383543,16,100,-16.24456,7.753157,-101.19037,0.20187867,-120.6083854774869,758.64044,0.29898483,73232,231.7820007801056,1.0336895,2.2155704,47.85,2.2506713e-06
[-0.374 -0.662 -0.462 -0.258 -0.031],1700,0.82438993,94.07188,-113.513016,,28.66737,0.09580847,171.79132,1.0146642,100.0,1.0098135,17,100,-18.311607,8.757129,-112.416016,0.07743093,-120.26744846923344,208.19864,0.29489294,78006,245.83333253860474,1.005117,1.4674655,47.74,-3.1661987e-06
[-0.37  -0.653 -0.456 -0.255 -0.033],1800,0.7217727,94.144264,-108.3468,,22.31828,0.096588165,171.56866,1.0218673,100.0,1.0158879,18,100,-17.274849,8.331555,-106.47708,0.10079596,-120.19135586025999,286.1722,0.29630178,82809,260.28188729286194,1.0101849,1.4515855,48.03,1.0681152e-06
[-0.382 -0.659 -0.463 -0.256 -0.038],1900,0.77115625,94.00417,-112.36934,,22.278618,0.0961744,177.44963,1.0467266,100.0,1.0389072,19,100,-16.064636,8.955931,-109.257614,0.17557585,-120.9723716316526,675.4074,0.29692653,87557,274.3669149875641,1.0218625,1.8417878,47.48,2.708435e-06
[-0.376 -0.642 -0.456 -0.25  -0.035],2000,0.4651996,94.21069,-107.71977,,19.819267,0.10212133,182.97287,1.1646581,100.0,1.1065363,20,100,-17.059875,8.213673,-100.26755,0.33677685,-121.78561537447986,2189.118,0.31132707,92420,288.8851914405823,1.101561,2.5332608,48.63,2.0217894e-06
[-0.374 -0.653 -0.451 -0.246 -0.048],2100,0.6490694,94.11172,-109.337006,,27.227379,0.09764506,171.4364,1.0396949,100.0,1.0271578,21,100,-18.309883,9.151487,-107.255066,0.13886693,-120.66660638252901,415.66556,0.29837066,97257,303.6672809123993,1.017204,1.5345975,48.37,-5.340576e-07
[-0.386 -0.645 -0.453 -0.244 -0.052],2200,0.62485594,94.09021,-96.74855,,23.385815,0.09634254,183.21902,1.0962317,100.0,1.0599515,22,100,-16.660316,9.010491,-91.85776,0.21061023,-120.92775107021329,1130.8446,0.29919878,101956,318.10772943496704,1.0466049,1.833034,46.99,2.0599366e-06
[-0.39  -0.656 -0.457 -0.253 -0.044],2300,0.65408003,93.94631,-91.78682,,20.995079,0.09528709,182.31812,1.0809636,100.0,1.0470996,23,100,-15.338684,9.16337,-87.9895,0.24567819,-120.40257887173739,1348.8472,0.29708064,106622,332.57552123069763,1.0363966,2.67287,46.66,1.6403199e-06
[-0.394 -0.637 -0.45  -0.254 -0.039],2400,0.78718704,94.00895,-107.55379,,23.175201,0.097365946,168.92358,1.012542,100.0,1.0069375,24,100,-15.236923,8.628693,-106.828,0.08126236,-121.12465563589816,258.87247,0.29697868,111475,347.52384185791016,1.0059133,1.270115,48.53,-1.1825562e-06
[-0.401 -0.639 -0.452 -0.256 -0.038],2500,0.4403643,94.03806,-114.61084,,41.634434,0.09778582,173.90834,1.0852982,100.0,1.0531989,25,100,-16.76764,9.083924,-111.38463,0.24094045,-119.88559582437767,863.46497,0.2995563,116291,362.4328508377075,1.0502515,1.9063573,48.16,8.239746e-06
[-0.385 -0.638 -0.447 -0.263 -0.043],2600,0.47834072,93.97826,-107.605545,,23.90821,0.09623084,187.33588,1.1613332,100.0,1.0872343,26,100,-17.30037,9.273574,-102.077545,0.3591597,-118.95807623435003,2482.7832,0.30149397,120918,376.39558482170105,1.0917878,2.4794238,46.27,2.670288e-07
[-0.382 -0.627 -0.449 -0.269 -0.046],2700,0.83847415,94.030136,-107.93887,,21.570217,0.09370593,175.65675,1.0066911,100.0,1.0027878,27,100,-17.412636,8.987279,-107.57036,0.067246124,-120.62209266312436,214.89384,0.29167467,125596,390.29744958877563,1.003482,1.1770406,46.78,1.335144e-06
[-0.387 -0.629 -0.45  -0.27  -0.045],2800,0.85628086,93.967285,-99.58154,,25.740433,0.09374252,173.68314,1.0068808,100.0,1.0030367,28,100,-16.222725,8.682917,-99.278595,0.06576196,-119.19873297619638,191.07494,0.29171723,130276,404.62853622436523,1.0043278,1.2644131,46.8,2.8991699e-06
[-0.391 -0.63  -0.45  -0.269 -0.042],2900,0.84589374,93.95286,-99.535065,,24.253212,0.09317972,177.43683,1.0109849,100.0,1.0080253,29,100,-16.27034,8.8406315,-98.89401,0.068981744,-120.37547952744416,138.60695,0.29114303,134922,419.1562991142273,1.0057541,1.2241623,46.46,4.234314e-06
