Iteration,EpLenMean,ReturnStepMaxmin,InitialReturnStd,ReturnStepMax,Bound,ReturnMeanIW,EpisodesSoFar,StdD2w0t,TimestepsSoFar,MeanD2w0t,MinIW,MaxIW,InitialReturnMean,MeanIW,InitialBound,MinD2w0t,Weights,EmpiricalD2,J_sample_variance,StdIW,InitialReturnMin,EpThisIter,TimeElapsed,EpRewMean,InitialReturnMax,MaxD2w0t
20,16.92,86.58463,2.96857,100.0,396.22766,599.11456,2000,0.22625187,34207,0.04074944,0.17430617,5.59393,7.2479247e-06,1.1141119,360.9747,,[-0.519  0.975 -0.686  0.226 -0.303],1.4931242,163834.53,0.8209212,-4.6028748,100,193.72116088867188,-108.09546961776705,9.049446,8.013313
21,16.58,86.25909,2.7144177,100.0,415.2846,622.62134,2100,0.2023065,35865,0.03732213,0.1201755,3.3934085,2.4414062e-06,1.1294211,366.69635,,[-0.533  0.933 -0.713  0.238 -0.289],1.3262169,101826.48,0.6301268,-3.7305222,100,202.87818384170532,-108.61326051221202,11.121689,1.5117822
22,16.68,86.36597,3.2133574,100.0,337.1745,564.1136,2200,0.18319987,37533,0.034028478,0.70809287,1.8654776,4.196167e-06,1.0244895,328.81726,,[-0.47   0.943 -0.697  0.227 -0.35 ],1.0307943,10461.19,0.19553049,-4.0280304,100,213.05218625068665,-108.27040357077107,10.727341,1.089091
23,16.46,86.24974,2.926335,100.0,351.50723,566.3476,2300,0.1801807,39179,0.03324353,0.7199887,1.3986595,1.4495849e-06,1.0151955,345.7807,,[-0.477  0.954 -0.689  0.221 -0.332],1.0182661,3794.7432,0.1188634,-4.327629,100,222.49244737625122,-108.01315675635644,8.408295,1.0378487
24,16.11,85.941605,2.6176662,100.0,408.85138,638.8158,2400,0.2105037,40790,0.03789744,0.16296735,4.893927,3.0517577e-07,1.1224871,371.04614,,[-0.492  0.96  -0.686  0.217 -0.347],1.5992154,173781.64,0.81437033,-3.7765045,100,230.79073524475098,-108.27074921911813,12.893707,1.8017288
25,16.7,86.40071,2.804632,100.0,8452.879,11462.435,2500,128.99733,42460,4.819855,0.001435816,2275.4656,-1.2512207e-05,23.21342,365.32663,,[-0.51   0.941 -0.677  0.217 -0.354],1846.4642,11852357000.0,223.40811,-3.8976364,100,239.60931396484375,-108.3177850612241,8.923424,16927.299
26,16.4,86.09427,2.3793647,100.0,456.4816,736.0986,2600,0.5112702,44100,0.06936278,0.013699882,24.851278,1.1138916e-05,1.327436,391.10992,,[-0.276  0.961 -0.683  0.203 -0.277],4.7246795,2036553.9,2.735863,-3.694313,100,254.13218641281128,-108.80589841284147,6.419052,18.169893
27,16.73,86.36618,2.9763744,100.0,383.88266,642.2215,2700,0.24751194,45773,0.04382559,0.027235888,8.318494,-1.04522705e-05,1.1869644,334.47687,,[-0.341  0.933 -0.695  0.252 -0.344],2.0987911,401946.34,1.2828683,-4.097748,100,265.5172162055969,-108.53647532641952,12.479416,3.501493
28,16.55,86.36331,2.8219533,100.0,363.13687,592.2805,2800,0.19458486,47428,0.03591122,0.3861974,3.035307,2.670288e-06,1.0745239,338.10696,,[-0.382  0.93  -0.668  0.234 -0.356],1.1908638,50453.01,0.43969375,-3.85437,100,275.7004556655884,-107.9053302410154,12.111244,1.3290823
29,16.39,86.18086,2.7343817,100.0,772.5032,1488.4006,2900,2.4678464,49067,0.24126588,0.0008507756,255.22919,2.0599366e-06,2.8710828,375.78833,,[-0.386  0.921 -0.667  0.243 -0.321],35.889915,76359176.0,18.015678,-4.331108,100,284.8656175136566,-107.94511046632644,9.535568,81.650444
30,16.92,86.59085,3.1280198,100.0,393.5192,595.51996,3000,0.21572798,50759,0.039882347,0.09892433,4.3949594,7.6293944e-08,1.1053083,360.8557,,[-0.351  0.959 -0.702  0.23  -0.325],1.3425924,102630.73,0.64248735,-4.374092,100,296.1990444660187,-108.074425193593,9.983772,1.8971618
31,16.81,86.506195,2.554157,100.0,409.97507,617.06366,3100,0.21378623,52440,0.03943847,0.125287,3.6495595,-3.7384034e-06,1.1403972,366.5365,,[-0.357  0.945 -0.714  0.26  -0.348],1.4229245,135701.02,0.73662543,-3.964508,100,305.89587926864624,-108.3605404251146,8.259026,2.5159466
32,16.25,86.04796,2.6021783,100.0,644.1462,1201.8167,3200,2.3609807,54065,0.1937371,0.00045957635,88.02963,3.7384034e-06,2.2488744,357.25772,,[-0.367  0.932 -0.706  0.222 -0.4  ],23.884233,22312842.0,9.426273,-4.061325,100,315.6071765422821,-108.19767832430105,8.818787,170.96918
33,15.99,85.87485,2.386705,100.0,601.36536,914.3142,3300,0.7748377,55664,0.09078817,0.07163844,44.169403,4.5013426e-06,1.6038747,406.698,,[-0.399  0.871 -0.717  0.256 -0.437],3.220778,3640229.2,3.3779209,-4.104805,100,327.3191978931427,-107.97681714127275,7.7613983,23.883667
34,16.04,85.868515,2.8996692,100.0,431.69037,626.1681,3400,0.21806937,57268,0.038865313,0.051535636,6.631616,-2.2888185e-06,1.0966964,402.57355,,[-0.373  0.792 -0.797  0.256 -0.399],1.5564094,277906.34,1.0029284,-3.7449112,100,338.04163908958435,-108.149484340326,9.7958145,2.6213675
35,16.52,86.301125,3.267869,100.0,689.3104,1086.9657,3500,1.2095785,58920,0.11753164,0.0003846641,56.57174,-6.408691e-06,2.0610013,367.85437,,[-0.353  0.789 -0.825  0.28  -0.428],17.086687,13130058.0,7.366897,-4.2453766,100,346.77259373664856,-107.925504978072,12.642441,82.74305
36,16.54,86.24951,2.692265,100.0,423.11215,626.78394,3600,0.22172529,60574,0.040312514,0.04738409,4.087884,-8.392334e-06,1.134508,380.44342,,[-0.507  0.787 -0.82   0.312 -0.478],1.673392,167211.08,0.8140711,-4.30011,100,358.6506178379059,-108.42449479875215,9.384636,2.245166
37,16.32,86.12521,2.6008127,100.0,422.789,626.76514,3700,0.2236699,62206,0.04018187,0.11166082,4.7623396,4.5776366e-07,1.1197968,390.65198,,[-0.531  0.753 -0.837  0.321 -0.509],1.4462242,163420.53,0.77278495,-3.8904877,100,368.4788203239441,-108.12544441445088,6.5062103,2.5143428
38,16.47,86.240364,3.127266,100.0,420.75177,618.85626,3800,0.22657289,63853,0.039931927,0.18393295,5.2914143,1.2207031e-06,1.1195667,384.25742,,[-0.536  0.736 -0.843  0.286 -0.484],1.8077781,211820.58,0.9230652,-3.8709106,100,378.0614433288574,-108.06499343836245,9.034332,4.7924757
39,16.23,86.07121,2.5831919,100.0,442.85666,668.3669,3900,0.21767896,65476,0.03864298,0.08743033,8.779122,3.4332274e-06,1.1991007,377.59836,,[-0.549  0.714 -0.836  0.253 -0.474],1.8962456,344711.03,1.1685016,-3.979004,100,386.5818679332733,-107.99137152051688,7.465721,3.3294735
40,16.43,86.215,2.8624306,100.0,510.26703,769.47833,4000,0.40775833,67119,0.06306495,0.040749677,17.346983,4.4250487e-06,1.4056178,386.76575,,[-0.499  0.726 -0.844  0.269 -0.466],2.8318722,1046932.6,1.9580246,-4.254898,100,397.30633521080017,-108.24035936503144,8.713448,8.95742
41,16.2,86.073746,2.625099,100.0,409.79608,588.6193,4100,0.19076096,68739,0.03474096,0.19093922,3.3920872,8.239746e-06,1.0394022,395.58105,,[-0.532  0.75  -0.807  0.214 -0.457],1.2364534,64038.418,0.49724713,-4.563202,100,407.4670534133911,-107.55254246707231,7.790962,1.7869654
