InitialBound,EpRewMean,ReturnStepMax,MinD2w0t,EpisodesSoFar,MinIW,ReturnStepMaxmin,MeanD2w0t,TimeElapsed,MeanIW,InitialReturnMax,MaxD2w0t,EmpiricalD2,ReturnMeanIW,MaxIW,Weights,EpThisIter,InitialReturnMin,Bound,Iteration,TimestepsSoFar,InitialReturnMean,InitialReturnStd,StdIW,EpLenMean,StdD2w0t,J_sample_variance
-97.68402,-141.8229098366061,100.0,,100,0.90603024,93.845825,0.09226948,9.632842540740967,1.0029023,6.4169464,1.0049833,1.0017956,209.05933,1.1445667,[ 0.579 -0.554  0.227  0.402  0.   ],100,-2.4639435,-97.361206,1,4609,-3.8146973e-07,2.1648557,0.043308586,46.09,0.28956077,48.41752
-63.071198,-137.30816042676804,100.0,,200,0.460732,93.30856,0.08381496,23.043776035308838,1.0341067,7.1336823,1.0915483,1.0515171,242.58289,1.7419578,[ 0.577 -0.549  0.227  0.4    0.002],100,-2.226204,-59.24115,2,8713,2.1362305e-06,1.6081518,0.23188858,41.04,0.2803226,2111.3958
-92.75699,-142.8473917336113,100.0,,300,0.5841361,93.836136,0.09377543,37.603904008865356,1.030355,5.940872,1.0459805,1.0197586,214.0667,1.3856362,[ 0.579 -0.539  0.23   0.41   0.015],100,-1.8120499,-89.25673,3,13348,-1.6784668e-06,1.6239003,0.1516535,46.35,0.29338178,644.5356
-79.8239,-141.43038749841247,100.0,,400,0.55941075,93.73509,0.09170781,50.46136999130249,1.0305469,5.0365753,1.0832323,1.058002,219.27827,1.8226616,[ 0.589 -0.558  0.235  0.418  0.007],100,-2.1492844,-76.643295,4,17863,1.6021728e-06,1.6168714,0.23449516,45.15,0.29113182,1396.0248
-88.01567,-140.12516709864033,100.0,,500,0.7652547,93.586395,0.08794456,64.02134084701538,1.0097467,5.6677704,1.0270748,1.0116495,222.45609,1.3933533,[ 0.583 -0.571  0.232  0.412  0.005],100,-2.045082,-86.878815,5,22240,-2.2888183e-07,1.8247411,0.112573765,43.77,0.28392497,391.67606
-53.055115,-135.9216374553389,100.0,,600,0.65625155,93.159454,0.08060123,75.979088306427,1.0297222,5.689064,1.0571499,1.0290964,248.2069,1.4562259,[ 0.581 -0.56   0.23   0.41   0.009],100,-1.9387436,-49.847977,6,26214,3.0517577e-07,1.7345576,0.15495306,39.74,0.27432686,1017.15796
-76.074005,-138.67185889333334,100.0,,700,0.55629367,93.44806,0.08554674,88.51518416404724,1.0257753,3.9886246,1.0512131,1.0272667,231.94101,1.5757135,[ 0.581 -0.554  0.235  0.422  0.004],100,-1.9633484,-73.8342,7,30447,-1.487732e-05,1.5186261,0.17137331,42.33,0.28130943,1049.8613
-67.83676,-137.74172350687797,100.0,,800,0.31574678,93.37143,0.08969854,101.62949824333191,1.1205536,5.4628296,1.4257305,1.1708223,257.53687,3.501439,[ 0.589 -0.554  0.24   0.433  0.003],100,-2.1179352,-55.756165,8,34603,7.019043e-06,1.7839826,0.50424093,41.56,0.29873168,9602.883
-70.03548,-139.05397717420507,100.0,,900,0.7196629,93.482346,0.08636892,115.05935788154602,1.0211805,4.133499,1.0436859,1.0145237,229.9383,1.8581704,[ 0.584 -0.522  0.238  0.457  0.011],100,-1.8897705,-68.28641,9,38870,-2.9754638e-06,1.4540039,0.1484168,42.67,0.28276175,814.6853
-73.02107,-138.2531763310248,100.0,,1000,0.671495,93.43216,0.0871401,128.64033389091492,1.0645189,5.9739532,1.1889454,1.0403416,242.73817,3.0135233,[ 0.581 -0.518  0.236  0.47   0.017],100,-2.2114792,-66.60295,10,43080,5.7983398e-06,1.938912,0.2714311,42.1,0.2876098,3083.131
-100.2211,-142.51600477298248,100.0,,1100,0.761164,93.83182,0.093392015,141.48865151405334,1.0314299,4.2361145,1.0595891,1.0158298,214.15259,1.528202,[ 0.592 -0.527  0.238  0.447  0.014],100,-2.0055542,-97.02109,11,47701,-7.095337e-06,1.4529966,0.1375227,46.21,0.29268453,499.65976
-42.558136,-135.4645845493196,100.0,,1200,0.19895092,93.07263,0.086013235,153.45335698127747,1.129844,4.4864883,1.5755847,1.3592969,274.5617,5.651159,[ 0.596 -0.539  0.242  0.451  0.023],100,-2.0154877,-31.354858,12,51612,8.31604e-06,1.7037859,0.7486374,39.11,0.29668182,23305.611
-87.03558,-140.9027584950521,100.0,,1300,0.6593898,93.68007,0.09007557,167.13851833343506,1.0267493,6.477333,1.0666491,1.0144771,220.89537,1.5638838,[ 0.575 -0.566  0.237  0.43   0.009],100,-1.8679123,-84.713,13,56071,1.9836425e-06,1.7110993,0.11375874,44.59,0.287888,430.8199
-90.2139,-140.9491439392125,100.0,,1400,0.8414774,93.69919,0.08968078,181.2622754573822,1.0053067,6.379509,1.01102,1.0062677,216.25607,1.3817873,[ 0.571 -0.563  0.241  0.438  0.012],100,-2.230812,-89.7944,14,60545,6.942749e-06,1.8033996,0.07653344,44.74,0.28608662,166.69566
-75.839386,-137.83210161761426,100.0,,1500,0.7215582,93.38458,0.08389845,193.87602281570435,1.0176741,6.741173,1.037991,1.0107938,233.96019,1.332465,[ 0.573 -0.559  0.243  0.435  0.013],100,-1.9585571,-74.44252,15,64712,-1.5258789e-06,1.7385334,0.11356475,41.67,0.2782603,432.8024
-49.950943,-134.9648258611868,100.0,,1600,0.67334145,93.02867,0.078585684,206.24568223953247,1.0345386,4.8556137,1.0752097,1.0180633,256.4189,1.4327006,[ 0.573 -0.554  0.244  0.433  0.005],100,-2.075264,-45.510284,16,68584,1.2283325e-05,1.75129,0.12378276,38.72,0.2712616,717.55695
-40.677002,-134.06139356000853,100.0,,1700,0.6227491,92.92552,0.07673451,217.85051822662354,1.0333792,4.92955,1.0722623,1.019813,260.2238,1.9008954,[ 0.583 -0.563  0.249  0.424 -0.006],100,-2.177475,-37.44394,17,72374,1.7547608e-06,1.8072729,0.1527791,37.9,0.2679606,947.67676
-58.34294,-136.78972844729026,100.0,,1800,0.74322945,93.23158,0.081057996,229.5088653564453,1.0047728,4.857094,1.0145088,1.0093505,239.5697,1.2434558,[ 0.576 -0.556  0.25   0.431 -0.018],100,-1.9980392,-57.797516,18,76416,1.0681152e-06,1.606857,0.09265696,40.42,0.27331996,317.06555
-61.299606,-136.38694703672823,100.0,,1900,0.70235175,93.21626,0.08154653,241.16815495491028,1.0397109,4.5099335,1.1115433,1.0197227,246.945,1.8533053,[ 0.585 -0.558  0.252  0.435 -0.017],100,-2.0494385,-57.497864,19,80437,1.3122559e-05,1.6686361,0.16560623,40.21,0.27578416,1063.7491
-78.91896,-139.67405013423453,100.0,,2000,0.557381,93.58557,0.08844471,253.58687281608582,1.0391906,6.3984222,1.0709541,1.0438665,228.37518,1.6987596,[ 0.586 -0.551  0.247  0.424 -0.009],100,-1.9833832,-74.35846,20,84792,-3.5858154e-06,1.8170043,0.18761611,43.55,0.28635448,1134.4475
-59.96463,-137.775617293741,100.0,,2100,0.6887218,93.33774,0.08340922,266.6147472858429,1.0219476,5.8440475,1.0396148,1.0216577,237.20601,1.6599112,[ 0.602 -0.555  0.255  0.423 -0.008],100,-1.7487106,-57.55455,21,88928,-1.1672973e-05,1.6369046,0.15451005,41.36,0.27776167,711.2343
-78.13191,-139.65330112034022,100.0,,2200,0.5612287,93.57324,0.08928357,279.1898386478424,1.0511717,4.864044,1.1348839,1.050623,231.84308,2.2664878,[ 0.59  -0.553  0.252  0.424  0.001],100,-2.0553665,-73.08472,22,93274,3.0517577e-07,1.607783,0.25840858,43.46,0.28942943,2200.7969
-57.81723,-136.5855030089217,100.0,,2300,0.7364607,93.18436,0.0807435,291.29749488830566,1.0180862,5.573349,1.0414686,1.0174612,244.82864,1.3834364,[ 0.575 -0.547  0.242  0.426 -0.011],100,-1.8626862,-55.367737,23,97282,-1.1672973e-05,1.6630025,0.1225252,40.08,0.2735321,551.61774
-93.444916,-141.44927966608586,100.0,,2400,0.7458754,93.7287,0.090779066,304.84402418136597,1.0158819,6.7372513,1.0399224,1.0099511,216.93568,1.4017692,[ 0.563 -0.546  0.241  0.422 -0.018],100,-2.0089722,-91.600204,24,101793,-2.7465821e-06,1.7738777,0.09252886,45.11,0.28827614,242.80173
-77.039505,-138.29901893026133,100.0,,2500,0.81200624,93.42529,0.08460842,316.66875767707825,1.0142274,6.223274,1.0244449,1.0067062,231.71442,1.3738208,[ 0.563 -0.555  0.244  0.429 -0.017],100,-2.0367737,-75.53436,25,106000,8.163453e-06,1.7749993,0.07855824,42.07,0.27915552,248.51837
-50.891357,-137.92019784358956,100.0,,2600,0.6904306,93.36763,0.08414686,328.9360635280609,1.0282966,7.7019577,1.0633687,1.0314498,237.67755,1.9349575,[ 0.567 -0.562  0.246  0.439 -0.015],100,-1.978035,-46.919403,26,110159,-5.1879883e-06,1.6342217,0.16223557,41.59,0.27937675,932.5817
-80.70848,-140.4112599063656,100.0,,2700,0.70994526,93.62781,0.089339375,340.71646761894226,1.0289669,5.5158615,1.0650314,1.0181384,224.81679,1.3544118,[ 0.549 -0.554  0.239  0.435 -0.008],100,-1.9369736,-77.59807,27,114566,-6.1035155e-07,1.6176373,0.1303923,44.07,0.28739443,599.7249
-64.75302,-136.59429090688855,100.0,,2800,0.4788864,93.23456,0.08318344,353.6073524951935,1.0389295,5.8539047,1.164639,1.0860358,246.89558,2.5782802,[ 5.445e-01 -5.542e-01  2.429e-01  4.452e-01  2.995e-04],100,-2.2948837,-61.800278,28,118604,2.2125244e-06,1.7964685,0.36362636,40.38,0.28075328,5107.8228
-98.022964,-142.52096995959934,100.0,,2900,0.53534216,93.872696,0.09502549,365.67369627952576,1.0566692,6.25988,1.1299425,1.0975567,216.5444,2.0543005,[ 0.55  -0.539  0.247  0.435  0.002],100,-2.322174,-92.02664,29,123256,-9.384155e-06,1.9107156,0.29645133,46.52,0.29680932,2239.1184
