MeanIW,TimeElapsed,J_sample_variance,TimestepsSoFar,EpLenMean,StdIW,EmpiricalD2,Iteration,MinIWNorm,MinIW,InitialReturnMax,ESSClassic,InitialReturnMean,Weights,ReturnMeanIW,EpRewMean,InitialBound,InitialReturnMin,EpThisIter,MeanIWNorm,EpisodesSoFar,MaxIW,InitialReturnStd,MaxIWNorm,ESSRenyi,Bound,StdIWNorm
0.9525302,3.348987102508545,6.8304,6118,61.18,0.39038926,1.2291292,1,0.002659457,0.2659457,7.9890747,85.61846,-6.3323973e-06,[ 0.74  -1.049  0.227  0.317  0.   ],0.18095437,-156.47245121225333,-0.26630884,-2.890129,100,0.009525302,100,2.823201,2.3183522,0.028232008,81.35841,-0.11428481,0.0039038926
1.2480248,8.66877818107605,1632.893,12453,63.35,3.8412602,12.8824215,2,0.00022466507,0.022466507,10.479111,9.548096,-7.171631e-06,[ 0.759 -1.054  0.213  0.306 -0.022],3.8664324,-158.67825970374045,-0.34931087,-2.845436,100,0.012480247,200,38.360023,2.3010237,0.38360023,7.7625155,2.6127086,0.038412593
1.0,13.366366624832153,7.9747586,18721,62.68,1.0869475e-06,1.0,3,0.009999966,0.9999966,10.791962,100.0,2.2888183e-07,[ 0.732 -1.113  0.214  0.233  0.041],4.4703484e-07,-157.3139573317178,-0.35973182,-3.2138214,100,0.01,300,1.0000027,2.8098056,0.010000027,100.0,-0.3597316,1.0896872e-08
3.5038385,17.0442636013031,14096.025,25077,63.56,25.225409,88.59445,4,9.078978e-05,0.009078978,8.676628,1.8928337,-5.0354006e-06,[ 0.732 -1.113  0.214  0.233  0.041],11.464697,-158.05227409626522,-0.28922597,-3.3817062,100,0.03503838,400,254.00513,2.8866537,2.5400512,1.1287389,8.742415,0.25225407
1.1657898,22.370222330093384,41.76628,30323,52.46,1.6300634,3.0577414,5,0.0004794177,0.04794177,8.704704,33.83982,-4.4250487e-06,[ 0.667 -1.05   0.251  0.184  0.084],0.8508613,-147.32560774948078,-0.29016122,-3.153038,100,0.011657898,500,12.782611,2.6105633,0.12782611,32.703876,0.34348154,0.016300635
0.92083514,26.663716077804565,7.412743,35632,53.09,0.47116423,1.2503953,6,0.0019227958,0.19227958,9.770195,79.25144,2.2125244e-06,[ 0.648 -1.079  0.236  0.128  0.127],0.17071024,-147.30142041735016,-0.32567096,-3.6387558,100,0.009208351,600,3.4946053,2.807793,0.03494605,79.97471,-0.19346103,0.0047116424
1.000008,30.67746138572693,8.821663,41854,62.22,0.0001303415,1.0,7,0.00999717,0.99971706,12.303825,100.0,-6.2561035e-06,[ 0.652 -1.074  0.214  0.111  0.106],4.503131e-05,-156.2310748221281,-0.41013378,-3.5301437,100,0.01000008,700,1.0004088,2.9551685,0.010004087,100.0,-0.4100825,1.3033995e-06
1.1760389,35.38382959365845,526.95294,48435,65.81,2.1174898,6.8296647,8,0.00064876676,0.064876676,12.235413,23.57435,-2.0599366e-06,[ 0.652 -1.074  0.214  0.111  0.106],2.7654145,-159.1185731849402,-0.40784916,-4.237648,100,0.0117603885,800,17.929893,3.5389907,0.17929894,14.642007,1.6995621,0.021174898
1.0,40.48168182373047,13.210226,54554,61.19,,1.0,9,0.01,1.0,13.762001,100.0,2.5177003e-06,[ 0.694 -1.149  0.248  0.043  0.156],2.5629997e-06,-154.6095668419851,-0.45873082,-4.037369,100,0.010000002,900,1.0,3.616369,0.01,100.0,-0.45873082,1.8626451e-09
0.99019015,44.00837707519531,65.21114,59929,53.75,0.8653854,1.9685452,10,0.0011196953,0.11196953,13.568382,56.695637,-3.1280517e-06,[ 0.694 -1.149  0.248  0.043  0.156],0.79173636,-147.65179165280654,-0.45228255,-3.8193893,100,0.0099019,1000,4.9294147,3.3305454,0.049294148,50.798935,0.15716636,0.008653854
