InitialReturnMax,TimestepsSoFar,StdIWNorm,InitialReturnStd,MeanIW,EpLenMean,ESSRenyi,Bound,StdIW,ReturnMeanIW,MeanIWNorm,InitialReturnMean,EpRewMean,InitialReturnMin,ESSClassic,J_sample_variance,EmpiricalD2,TimeElapsed,Weights,MinIWNorm,EpisodesSoFar,EpThisIter,InitialBound,MaxIW,MinIW,MaxIWNorm,Iteration
24.839783,2109,0.13205841,7.1004186,1.9721322,21.09,0.97745365,23.556347,13.205841,31.931225,0.019721324,5.8746336e-06,-108.72408929228146,-7.128029,2.181528,108859.125,102.30664,2.807614803314209,[ 0.911 -0.288 -0.586 -0.882  0.   ],1.6751055e-07,100,100,-0.8279869,132.74065,1.6751055e-05,1.3274064,1
53.171127,3994,0.0037314498,7.0076275,1.0056504,18.85,86.026855,-0.83557487,0.373145,1.0753235,0.010056504,4.196167e-06,-107.7949489946099,-6.5145874,87.898415,233.28278,1.1624277,8.008187770843506,[ 0.972 -0.333 -0.653 -0.992 -0.059],0.0050370125,200,100,-1.7723668,2.6930118,0.50370127,0.026930116,2
24.472862,5828,0.009403014,5.0899253,1.0450149,18.34,46.773006,0.08546245,0.9403015,1.2782576,0.010450149,2.3651123e-06,-108.11470575802345,-5.771538,55.25975,127.2266,2.1379852,12.257813215255737,[ 0.945 -0.311 -0.653 -0.969 -0.013],0.0018255663,300,100,-0.8157598,5.4848223,0.18255663,0.05484822,3
42.39521,7764,0.007886566,7.7444296,1.103368,19.36,68.55408,-0.29255855,0.78865665,1.4142268,0.011033679,-3.6621093e-06,-108.47923052927185,-5.538704,66.18576,372.1122,1.4587024,15.206026315689087,[ 0.954 -0.275 -0.653 -0.972  0.069],0.0008078056,400,100,-1.4131775,5.997857,0.080780566,0.05997857,4
44.62099,9638,0.008053091,7.019124,1.0192026,18.74,51.632664,0.6957717,0.8053092,2.765702,0.010192025,5.9127806e-06,-107.90573209491947,-5.963089,61.564392,1091.2509,1.9367585,18.04099130630493,[ 0.93  -0.289 -0.669 -1.003  0.108],0.00076863664,500,100,-1.4873606,7.2720103,0.07686367,0.0727201,5
48.702785,11805,0.022981977,10.674779,1.1672896,21.67,25.38334,7.320034,2.298198,10.542276,0.011672896,-4.272461e-06,-107.50796129041386,-8.609283,20.507343,7725.692,3.9395916,21.925467014312744,[ 0.956 -0.243 -0.619 -1.018  0.182],8.903307e-05,600,100,-1.6234305,16.779205,0.008903307,0.16779205,6
43.388462,13837,0.025340876,8.121615,1.1789497,20.32,19.104555,6.434563,2.5340877,9.74347,0.011789496,-4.5776366e-07,-107.31360084287145,-7.0396805,17.793228,11842.948,5.234354,25.48874545097351,[ 0.918 -0.2   -0.541 -1.029  0.087],0.00048110686,700,100,-1.4462824,25.022602,0.048110686,0.25022602,7
43.617165,15919,0.037675846,8.009864,1.348579,20.82,23.882008,4.6208935,3.767585,7.5959883,0.01348579,-8.010864e-07,-108.00506798846715,-7.419243,11.357175,5666.8535,4.1872525,29.503199338912964,[ 0.856 -0.132 -0.527 -1.031  0.198],0.00044085766,800,100,-1.4539064,37.352577,0.044085767,0.37352577,8
47.420567,18047,0.009484918,9.149729,1.0928562,21.28,52.11777,0.86148095,0.9484918,3.0510194,0.010928562,6.3323973e-06,-107.60434416717283,-8.378685,57.036804,1223.5176,1.9187313,32.96626687049866,[ 0.65  -0.109 -0.511 -1.012  0.146],0.00017460778,900,100,-1.5806794,7.0504484,0.017460778,0.07050448,9
34.1883,19945,0.03926604,6.4829884,1.4994073,18.98,7.0374007,7.4639974,3.926604,11.759857,0.014994073,7.5912476e-06,-107.90338312701755,-5.770645,12.725947,18056.445,14.209792,36.475696325302124,[ 0.613 -0.138 -0.514 -1.055  0.147],2.3033988e-06,1000,100,-1.1396024,39.22504,0.00023033988,0.3922504,10
