MaxIW,InitialReturnMean,ReturnMeanIW,ReturnStepMax,InitialReturnStd,StdIW,StdD2w0t,EpThisIter,TimestepsSoFar,ReturnStepMaxmin,Bound,TimeElapsed,J_sample_variance,MaxD2w0t,MeanIW,EpisodesSoFar,Weights,Iteration,InitialReturnMin,InitialReturnMax,MinD2w0t,MeanD2w0t,InitialBound,EmpiricalD2,EpLenMean,EpRewMean,MinIW
1.3659141,-93.01559,-90.82904,100.0,3.275067,0.10448721,0.1848514,100,1745,99.36191,-327.85208,4.1247265338897705,108.24798,1.0332718,0.9751513,100,[-0.689  0.919 -0.673  0.288  0.   ],1,-97.78645,-83.81554,,0.035150956,-329.01566,1.0128086,17.45,-108.67197648780628,0.6783786
1.3725502,-92.77617,-90.891396,100.0,3.2751873,0.123591416,0.18417214,100,3482,99.393005,-312.53525,13.851617574691772,118.965256,1.0209029,0.97883517,200,[-0.697  0.915 -0.68   0.297 -0.003],2,-98.00152,-83.83188,,0.03493894,-313.485,1.0171727,17.37,-108.3252487400502,0.6897881
1.2734025,-92.57459,-90.64605,100.0,3.0270898,0.10203598,0.18360932,100,5218,99.39238,-317.44083,22.489495515823364,89.64102,1.022322,0.97813916,300,[-0.694  0.919 -0.683  0.297 -0.008],3,-97.05101,-82.47676,,0.03482333,-318.70483,1.0119853,17.36,-108.06564327072277,0.76560485
1.4986167,-92.9016,-89.43114,100.0,2.9071705,0.1456199,0.18436494,100,6937,99.34335,-327.1183,31.471543312072754,168.60571,1.0581472,0.9603733,400,[-0.674  0.917 -0.684  0.3   -0.009],4,-97.66759,-84.75641,,0.03478575,-328.90167,1.029841,17.19,-108.26725228395998,0.60509354
1.2085066,-93.30582,-92.47902,100.0,3.0328605,0.06382482,0.17866437,100,8580,99.36893,-318.9989,40.62243366241455,38.966686,1.0088897,0.9910289,500,[-0.681  0.908 -0.689  0.307 -0.008],5,-97.467735,-82.39951,,0.032933105,-319.43607,1.0049895,16.43,-108.03312346043904,0.8596028
1.2281346,-93.38982,-92.06942,100.0,2.7467017,0.060514,0.1850064,100,10344,99.36399,-345.2908,50.31200623512268,35.325344,1.0135661,0.98532736,600,[-0.684  0.908 -0.684  0.305 -0.002],6,-97.53849,-84.873375,,0.03537951,-345.94446,1.0048475,17.64,-109.25216760088924,0.83789366
1.2083166,-93.02449,-91.810486,100.0,3.0056639,0.060219813,0.18322013,100,12073,99.35445,-341.14325,59.71213102340698,43.6071,1.0112665,0.98558396,700,[-0.688  0.911 -0.68   0.3    0.002],7,-97.42543,-83.992516,,0.03467478,-341.78687,1.0046415,17.29,-108.50754855877663,0.80266404
1.4964573,-93.871735,-89.31022,100.0,2.630848,0.17740797,0.18296653,100,13757,99.39095,-343.9856,68.69073033332825,235.95203,1.0655663,0.94945943,800,[-0.692  0.914 -0.678  0.295 -0.004],8,-97.86838,-86.020096,,0.034155373,-346.4264,1.0474297,16.84,-109.0551383580917,0.5758251
1.4130652,-93.28787,-91.68114,100.0,3.3145103,0.110593855,0.18099977,100,15439,99.375946,-323.57925,77.67495441436768,105.29354,1.0158235,0.9817178,900,[-0.707  0.908 -0.676  0.299 -0.005],9,-97.777466,-82.75249,,0.033769947,-324.5053,1.0126989,16.82,-108.3683603811767,0.8076573
1.118581,-93.39341,-93.07715,100.0,2.591712,0.043721735,0.17981954,100,17109,99.383514,-313.93393,86.34973287582397,18.864832,1.004946,0.9968156,1000,[-7.000e-01  9.128e-01 -6.756e-01  2.977e-01 -6.106e-05],10,-97.43889,-80.13387,,0.033427313,-314.10223,1.0021865,16.7,-108.3673611897343,0.87009275
1.4440315,-93.574295,-91.335495,100.0,2.7746272,0.14722782,0.18022521,100,18768,99.37486,-304.22705,95.79576420783997,176.40988,1.0510747,0.9749132,1100,[-0.7    0.911 -0.674  0.295  0.003],11,-97.67194,-82.938774,,0.033386383,-305.44733,1.0223793,16.59,-108.47197939350434,0.56254494
1.0870967,-93.49292,-93.130615,100.0,2.8766727,0.04280447,0.18065225,100,20453,99.38056,-331.5849,104.01938772201538,23.7541,1.0051956,0.9957347,1200,[-0.692  0.917 -0.677  0.302  0.001],12,-97.82442,-83.83842,,0.033735767,-331.77826,1.0019426,16.85,-108.63184428645836,0.8665781
1.2440327,-93.47683,-90.11464,100.0,2.9617004,0.12627584,0.18084332,100,22117,99.36728,-309.45746,112.52979302406311,136.17119,1.0415732,0.96285844,1300,[-0.696  0.915 -0.679  0.305 -0.002],13,-97.357376,-82.73497,,0.03355224,-311.33905,1.0190475,16.64,-108.42182031062497,0.5591821
1.1837411,-93.50617,-92.09791,100.0,2.729993,0.10409025,0.18116467,100,23801,99.37016,-298.17108,120.7626781463623,85.542496,1.023752,0.98432225,1400,[-0.702  0.907 -0.683  0.302 -0.019],14,-97.84097,-86.21068,,0.0338215,-298.95782,1.0116373,16.84,-108.62566270858635,0.705036
1.2552867,-92.76873,-91.56747,100.0,3.2452304,0.074140765,0.18391001,100,25542,99.40072,-362.27554,128.84685039520264,56.481415,1.012184,0.98591095,1500,[-0.706  0.902 -0.683  0.296 -0.029],15,-97.53689,-82.56053,,0.03493094,-362.90073,1.0056825,17.41,-108.32958539280375,0.7935359
1.1653398,-93.42146,-93.18088,100.0,3.2065349,0.030570777,0.18009104,100,27218,99.397766,-314.00708,137.65342497825623,20.751816,1.003883,0.99716717,1600,[-0.707  0.902 -0.683  0.301 -0.025],16,-97.58741,-81.74741,,0.03353851,-314.13028,1.0009842,16.76,-108.44801162961947,0.90607214
1.2838356,-94.01425,-92.58119,100.0,2.4828691,0.08215101,0.18032512,100,28884,99.37572,-301.99323,146.01697397232056,64.030334,1.0248055,0.98367435,1700,[-0.707  0.901 -0.683  0.299 -0.023],17,-97.4643,-85.16899,,0.03347945,-302.7337,1.0094304,16.66,-109.03540397716071,0.7644942
1.3961252,-93.16744,-91.166794,100.0,3.0304635,0.10761791,0.1803897,100,30545,99.38018,-300.82007,154.27641558647156,89.46959,1.0250276,0.9783113,1800,[-0.707  0.9   -0.678  0.291 -0.014],18,-97.3606,-83.10625,,0.033438224,-301.8869,1.0127482,16.61,-108.0326459586945,0.7843772
1.2020533,-93.633865,-92.96293,100.0,2.5250232,0.048263505,0.17947254,100,32207,99.404785,-342.01205,163.51295137405396,28.074547,1.0056431,0.99243826,1900,[-0.707  0.896 -0.68   0.297 -0.004],19,-97.19093,-86.90552,,0.033278022,-342.39624,1.0023577,16.62,-108.5577584084963,0.88641006
1.1663431,-93.06507,-92.165085,100.0,3.1073658,0.073734514,0.18204077,100,33916,99.36363,-321.203,172.1170859336853,49.32921,1.0088238,0.98982775,2000,[-0.7    0.895 -0.68   0.297  0.003],20,-97.68289,-83.30395,,0.03424506,-321.77875,1.0041822,17.09,-108.372608873271,0.7711877
1.4055257,-93.47119,-91.14811,100.0,2.7101398,0.09637072,0.18199924,100,35607,99.370964,-344.6721,180.79671335220337,85.01664,1.0325421,0.97450763,2100,[-0.693  0.898 -0.676  0.295 -0.002],21,-97.76809,-84.02447,,0.034049954,-346.02585,1.0103133,16.91,-108.67552749627058,0.7447571
1.3219763,-93.33123,-91.974625,100.0,2.7886367,0.10141619,0.1786703,100,37247,99.39753,-304.46106,188.63005685806274,93.25026,1.0231137,0.98480284,2200,[-0.683  0.89  -0.684  0.301  0.005],22,-97.53126,-82.5187,,0.032902,-305.20428,1.0114771,16.4,-108.0247593417855,0.7573606
1.2955995,-93.49329,-92.05493,100.0,2.8142657,0.09311988,0.17920364,100,38893,99.37378,-298.2297,196.7936189174652,69.79933,1.0397793,0.9841259,2300,[-0.685  0.9   -0.683  0.307  0.004],23,-97.657585,-83.32402,,0.03306209,-298.94495,1.0108407,16.46,-108.26171576734,0.7838647
1.1041317,-93.36921,-92.70691,100.0,3.3911295,0.054916512,0.18111247,100,40586,99.3629,-341.6822,205.30148696899414,35.816696,1.0128121,0.9926943,2400,[-0.687  0.891 -0.686  0.298  0.001],24,-97.53553,-81.55352,,0.03390627,-342.1316,1.002017,16.93,-108.55855037568799,0.69622225
1.1556969,-93.385345,-92.90487,100.0,2.677748,0.0647272,0.17991966,100,42257,99.36365,-313.825,213.06051015853882,38.31348,1.0101485,0.9949998,2500,[-0.682  0.887 -0.691  0.299 -0.002],25,-97.58242,-85.772285,,0.033455905,-314.09415,1.0038106,16.71,-108.37549693286017,0.8214511
1.2104379,-93.04856,-91.35531,100.0,3.0387545,0.08320898,0.18340641,100,43983,99.3603,-320.74326,222.04892301559448,60.479126,1.0196489,0.98142385,2600,[-6.853e-01  8.821e-01 -6.923e-01  2.980e-01  1.122e-05],26,-97.4483,-86.0495,,0.034678765,-321.76224,1.0099137,17.26,-108.52725745539901,0.8011737
1.2433813,-93.28037,-91.92272,100.0,2.7181656,0.09115684,0.18193184,100,45683,99.36728,-318.6833,230.54631662368774,74.75805,1.0124093,0.98454076,2700,[-0.7    0.88  -0.697  0.305  0.007],27,-97.7804,-83.507195,,0.034132406,-319.4106,1.0077753,17.0,-108.53191611979791,0.74277365
1.2946897,-92.8298,-91.408966,100.0,3.155983,0.108074196,0.18305047,100,47401,99.348145,-344.6323,239.0779881477356,100.543045,1.0200537,0.9842415,2800,[-0.699  0.882 -0.698  0.302 -0.003],28,-97.576004,-83.42029,,0.034529623,-345.38446,1.0120655,17.18,-108.19587971843526,0.7239746
