ReturnStepMax,InitialReturnStd,MinIW,EpisodesSoFar,EpRewMean,TimestepsSoFar,J_sample_variance,ESSRenyi,MinIWNorm,MeanIW,InitialBound,ReturnStepMaxmin,Bound,Iteration,MaxIWNorm,ESSClassic,TimeElapsed,MeanIWNorm,StdIWNorm,MaxIW,InitialReturnMax,EpLenMean,InitialReturnMean,EpThisIter,Weights,EmpiricalD2,EntropyCoefficient,ReturnMeanIW,StdIW,MeanEntropy,InitialReturnMin
100.0,3.275067,1.0,100,-108.67197648780628,1745,10.83441,100.0,0.01,1.0,6.7880616,86.90667,6.7880616,1,0.01,100.0,4.997752904891968,0.009999999,9.313226e-10,1.0,9.20005,17.45,3.7384034e-06,100,[-0.689  0.919 -0.673  0.288  0.   ],1.0,5.0,3.7066638e-06,,1.4189452,-4.7708664
100.0,3.3339055,1.0,200,-108.25426774505988,3482,11.227199,100.0,0.01,1.0,6.7744417,86.92845,6.7744417,2,0.01,100.0,11.163115739822388,0.009999999,9.313226e-10,1.0,9.608803,17.37,9.155274e-06,100,[-0.689  0.919 -0.673  0.288  0.   ],1.0,5.0,9.11206e-06,,1.4189452,-5.2866364
100.0,2.8516698,0.7789979,300,-108.1997526952389,5179,8.289189,98.78339,0.0077899788,0.999999,6.839597,86.65897,6.90781,3,0.014953194,98.61938,15.697998523712158,0.0099999895,0.0011831932,1.4953195,7.654022,16.97,5.264282e-06,100,[-0.689  0.919 -0.673  0.288  0.   ],1.012316,4.9999747,0.060162455,0.118319325,1.4208769,-4.3059845
100.0,3.0010264,1.0,400,-108.16236587059053,6888,9.097131,100.0,0.01,1.0,6.7903566,86.7057,6.7903566,4,0.01,100.0,21.369951486587524,0.009999999,9.313226e-10,1.0,9.420853,17.09,4.5776366e-07,100,[-0.69   0.916 -0.67   0.29   0.002],1.0,5.0,4.4330955e-07,,1.4208769,-4.6830444
100.0,3.1300333,1.0,500,-108.6520551572261,8597,9.896069,100.0,0.01,1.0,6.621129,86.672356,6.621129,5,0.01,100.0,26.027268171310425,0.009999999,9.313226e-10,1.0,14.497368,17.09,-9.994506e-06,100,[-0.69   0.916 -0.67   0.29   0.002],1.0,5.0,-1.0002404e-05,,1.4208769,-4.3451843
100.0,3.4146786,1.0,600,-107.92085478799018,10251,11.777808,100.0,0.01,1.0,6.652966,86.29542,6.652966,6,0.01,100.0,30.49214482307434,0.009999999,9.313226e-10,1.0,13.542267,16.54,-9.536743e-06,100,[-0.69   0.916 -0.67   0.29   0.002],1.0,5.0,-9.551644e-06,,1.4208769,-4.1716385
100.0,3.0597837,1.0,700,-108.98183848600894,12008,9.456844,100.0,0.01,1.0,6.7080903,86.95019,6.7080903,7,0.01,100.0,35.39045977592468,0.009999999,9.313226e-10,1.0,11.888847,17.57,9.918213e-07,100,[-0.69   0.916 -0.67   0.29   0.002],1.0,5.0,1.0021031e-06,,1.4208769,-4.499855
100.0,3.3011909,0.104817815,800,-108.26067628468485,13684,166.89352,38.391716,0.0010481782,0.9999997,6.659939,86.43077,8.249981,8,0.096152484,36.530735,39.712360858917236,0.009999996,0.013181123,9.615249,13.333534,16.76,5.722046e-06,100,[-0.69   0.916 -0.67   0.29   0.002],2.6047287,4.9999924,1.8042412,1.3181124,1.4326116,-4.498337
100.0,2.9808803,1.0,900,-108.60866982839427,15352,8.975401,100.0,0.01,1.0,6.732189,86.34665,6.732189,9,0.01,100.0,45.8101851940155,0.009999999,9.313226e-10,1.0,12.926277,16.68,7.5531007e-06,100,[-0.704  0.885 -0.637  0.274  0.014],1.0,5.0,7.5511634e-06,,1.4326116,-4.822319
100.0,3.3528743,0.3721172,1000,-108.6848703106848,17117,13.092513,77.89716,0.0037211718,0.99999976,6.784485,87.048195,7.0116725,10,0.043092623,76.22928,50.870612382888794,0.009999997,0.005584187,4.3092623,11.357246,17.65,2.1362305e-06,100,[-0.704  0.885 -0.637  0.274  0.014],1.2837437,4.9999943,0.1424885,0.5584187,1.4596254,-4.693985
