MinIW,InitialBound,MinD2w0t,MaxD2w0t,StdD2w0t,Bound,InitialReturnMin,InitialReturnMax,EpLenMean,MeanD2w0t,InitialReturnStd,ReturnMeanIW,EpisodesSoFar,ReturnStepMaxmin,StdIW,Iteration,TimestepsSoFar,EpThisIter,InitialReturnMean,EpRewMean,EmpiricalD2,MeanIW,Weights,TimeElapsed,J_sample_variance,MaxIW,ReturnStepMax
0.41535604,-48.68228,,1.1292734,0.26652792,-42.312027,-16.716774,33.927227,35.4,0.073532805,12.600159,235.21117,100,92.924065,0.32850054,1,3540,100,-1.2207031e-06,-107.5568281044892,1.0590321,1.0690663,[-0.563 -1.093 -0.809 -1.04   0.   ],7.298922300338745,3557.1033,2.7086675,100.0
0.30885684,-74.083145,,1.5342634,0.28832066,-62.80838,-18.341827,58.67177,37.84,0.082236566,14.13668,231.85132,200,93.29602,0.75319064,2,7324,100,-4.15802e-06,-107.9192080172502,1.2857137,1.1626447,[-0.577 -1.087 -0.817 -1.025  0.006],20.00114679336548,15085.854,5.04723,100.0
0.6668967,-80.95784,,1.0506079,0.26785582,-78.728485,-17.11258,46.303925,38.07,0.07689221,13.93678,206.90799,300,93.35845,0.16182062,3,11131,100,-1.0681152e-06,-107.38771881268629,1.0308148,1.0213854,[-0.604 -1.086 -0.81  -1.009  0.011],31.403902769088745,686.292,1.5876449,100.0
0.66266274,-65.795456,,1.07115,0.26836914,-62.546448,-17.776337,31.696835,37.43,0.07633194,12.243257,215.37283,400,93.22463,0.21030402,4,14874,100,-3.0517579e-06,-108.08611311510296,1.0353894,1.0335999,[-0.593 -1.089 -0.811 -1.017  0.006],43.79364085197449,1440.7683,1.8041099,100.0
0.9109524,-63.902817,,1.0019594,0.26143676,-63.827606,-19.1279,52.241936,36.87,0.07376644,13.991619,210.64432,500,93.20061,0.02770467,5,18561,100,3.4332274e-06,-106.91184223531087,1.0007952,1.0010629,[-0.595 -1.087 -0.813 -1.021  0.022],56.59666895866394,210.85472,1.0762709,100.0
0.608741,-60.870712,,1.0807382,0.26467824,-57.11702,-15.714249,35.37208,36.67,0.074446574,12.560661,220.82109,600,93.10837,0.15857108,6,22228,100,5.645752e-06,-108.02518844559505,1.0207134,1.0358397,[-0.595 -1.086 -0.812 -1.021  0.021],66.74465417861938,1109.8286,1.8560188,100.0
0.30507123,-35.46814,,1.6687294,0.28770286,-21.669037,-14.116936,31.966965,34.44,0.077841476,10.470741,271.31122,700,92.6525,0.945413,7,25672,100,1.335144e-06,-109.30528664223577,1.3642776,1.2062131,[-0.61  -1.08  -0.812 -1.023  0.026],77.96634554862976,28759.055,7.195903,100.0
0.59525925,-36.34134,,1.1386889,0.2627502,-28.152756,-15.992043,35.45802,34.52,0.07152879,12.091864,243.67436,800,92.78303,0.17930734,8,29124,100,-3.2806397e-06,-107.30589246105708,1.0525874,1.067917,[-0.634 -1.082 -0.801 -1.012  0.053],88.9545066356659,1363.287,1.5984049,100.0
0.80864644,-109.07449,,1.0103301,0.27791354,-108.71706,-21.209114,51.35374,41.95,0.08410183,14.850279,178.3426,900,93.938934,0.07334759,9,33319,100,2.632141e-06,-106.1559191649392,1.0039799,1.0049915,[-0.636 -1.102 -0.816 -1.019  0.032],102.77241802215576,437.4023,1.2128361,100.0
0.4761207,-72.70557,,1.247613,0.27422273,-63.830994,-17.631104,65.19903,36.72,0.077147804,15.474454,227.74466,1000,93.19705,0.32985747,10,36991,100,4.6920777e-06,-106.54202654037599,1.0872054,1.0870092,[-0.632 -1.106 -0.815 -1.019  0.029],112.72955346107483,3626.0408,2.2416291,100.0
