ReturnStepMax,StdIWNorm,ReturnStepMaxmin,EmpiricalD2,InitialBound,InitialReturnMax,Bound,ESSRenyi,MinIW,EntropyCoefficient,MaxIW,MeanIW,InitialReturnStd,TimeElapsed,InitialReturnMean,ReturnMeanIW,EpLenMean,ESSClassic,StdIW,Weights,J_sample_variance,EpisodesSoFar,MeanIWNorm,MinIWNorm,MeanEntropy,EpRewMean,InitialReturnMin,Iteration,TimestepsSoFar,EpThisIter,MaxIWNorm
100.0,0.008082752,86.90667,1.6963239,-0.30666468,9.20005,0.20071325,58.951008,0.20493239,,6.1914997,1.1177562,3.275067,4.902205228805542,3.7384034e-06,0.6001273,17.45,65.66389,0.8082752,[-0.689  0.919 -0.673  0.288  0.   ],38.03979,100,0.011177561,0.0020493239,1.4358878,-108.67197648780628,-4.7708664,1,1745,100,0.061914995
100.0,0.00670521,86.64641,1.3616347,-0.33044735,9.913506,-0.19121344,73.44113,0.33213156,,4.15865,1.0951434,3.17065,13.201395988464355,2.822876e-06,0.19438593,17.02,72.73406,0.670521,[-0.651  0.917 -0.629  0.22   0.017],17.636824,200,0.010951434,0.0033213156,1.4400061,-108.37904972530612,-4.7280884,2,3447,100,0.0415865
100.0,9.313226e-10,86.42361,1.0,-0.2872258,8.616737,-0.2872258,100.0,1.0,,1.0,1.0,2.4051454,18.447951078414917,-1.2207031e-06,-1.2144446e-06,16.72,100.0,,[-0.651  0.903 -0.612  0.234  0.021],5.843156,300,0.009999999,0.01,1.4400061,-108.18841660497375,-4.074074,3,5119,100,0.01
100.0,0.016088715,86.24475,4.2153707,-0.2946631,8.840103,0.44698995,23.722706,0.040074244,,12.229866,0.99130106,3.0212307,22.98404622077942,7.019043e-06,1.051988,16.43,27.517159,1.6088716,[-0.651  0.903 -0.612  0.234  0.021],78.947205,400,0.009913009,0.00040074243,1.4166317,-107.83200387980278,-4.334038,4,6762,100,0.12229866
100.0,0.3152538,86.86696,157.77318,-0.4470975,13.41288,33.7968,0.6338213,0.06729584,-2.1147032,317.56152,4.114703,3.312573,28.937281370162964,-1.4495849e-06,42.51365,17.34,1.6750209,31.525377,[-0.66   0.917 -0.656  0.194 -0.002],181479.94,500,0.04114704,0.0006729584,1.4663876,-108.72836412418377,-4.472702,5,8496,100,3.175615
100.0,1.5756376e-06,86.67171,1.0,-0.39182067,11.754601,-0.39175135,100.0,0.99963033,,1.00042,1.0000037,3.2696373,33.880759954452515,-6.1035155e-07,6.869063e-05,17.14,100.00001,0.00015756451,[-0.736  0.877 -0.728  0.154  0.047],10.799265,600,0.010000037,0.009996303,1.4664423,-108.68310529479186,-4.277046,6,10210,100,0.010004199
100.0,0.0036645078,86.1924,1.1754861,-0.3682659,11.0475235,-0.21027468,85.07119,0.28011513,,2.171065,0.97998506,3.110857,37.17991304397583,-1.5106201e-05,0.18898223,16.37,87.73259,0.3664508,[-0.736  0.877 -0.728  0.154  0.047],13.220799,700,0.00979985,0.0028011512,1.4657111,-107.76247428463454,-4.2196426,7,11847,100,0.021710651
100.0,9.313226e-10,86.04768,1.0,-0.31130397,9.339127,-0.31130397,100.0,1.0,,1.0,1.0,3.0508947,40.61031746864319,3.0517577e-07,2.6915222e-07,16.18,100.0,,[-0.739  0.864 -0.719  0.164  0.047],9.4019785,800,0.009999999,0.01,1.4657111,-107.69179230897903,-4.552597,8,13465,100,0.01
100.0,0.004595405,86.134796,1.2555339,-0.33218455,9.965363,-0.24457201,79.64739,0.3224162,,2.6297252,0.96342313,2.825023,44.10951209068298,-5.7983398e-06,0.12763631,16.31,81.46528,0.45954052,[-0.739  0.864 -0.719  0.164  0.047],9.627174,900,0.009634232,0.0032241617,1.4717065,-108.00519225332728,-4.327774,9,15096,100,0.02629725
100.0,9.313226e-10,86.216675,1.0,-0.19513318,5.854149,-0.19513318,100.0,1.0,,1.0,1.0,2.353259,47.53572416305542,5.1116945e-06,5.1259995e-06,16.45,100.0,,[-0.737  0.881 -0.732  0.158  0.053],5.5937653,1000,0.009999999,0.01,1.4717065,-108.33066450109989,-3.9538803,10,16741,100,0.01
100.0,0.0037699763,86.57462,1.1874381,-0.46539077,13.961365,-0.37398642,84.21491,0.31363836,,1.9420497,0.9941558,3.1130211,50.801737546920776,-1.1901855e-05,0.13313518,16.93,87.427635,0.37699762,[-0.737  0.881 -0.732  0.158  0.053],13.507901,1100,0.009941557,0.0031363836,1.4726342,-108.3583093206758,-4.3731384,11,18434,100,0.019420497
100.0,0.0069948304,86.44198,1.5965636,-0.37921312,11.376411,0.06657326,62.634525,0.037265737,,3.6854928,0.99741656,3.346015,54.42589831352234,6.1035155e-07,0.5457295,16.79,67.03246,0.6994831,[-0.737  0.888 -0.749  0.15   0.054],34.12749,1200,0.009974166,0.00037265735,1.3847942,-108.44704115289649,-4.2686386,12,20113,100,0.036854926
100.0,2.0438883,86.36587,6713.212,-0.31683835,9.50528,137.98987,0.014895999,0.06420975,-19.377598,2054.9993,21.377598,2.9297898,59.96195340156555,4.348755e-06,194.99045,16.7,1.0821269,204.38885,[-0.71   0.828 -0.772  0.163 -0.034],3815660.2,1300,0.21377602,0.0006420975,1.6018667,-108.60177265031263,-3.9179993,13,21783,100,20.549992
100.0,0.08161173,86.56091,64.74392,-0.31816268,9.545036,4.3746805,1.5445466,2.2724983e-06,,81.35547,1.1958404,2.9226472,66.72032690048218,5.1879883e-06,6.934774,16.9,2.1019156,8.161174,[-0.705  0.936 -0.7    0.189  0.183],5207.17,1400,0.0119584035,2.2724983e-08,1.4838041,-108.29517466137331,-4.4950256,14,23473,100,0.81355464
100.0,0.004704527,86.79097,1.2042687,-0.3793015,11.378677,-0.23249373,83.03795,0.4429932,,3.9026794,0.99469954,3.1475394,73.06029295921326,-1.2207031e-05,0.18373516,17.29,81.719986,0.47045273,[-0.744  0.835 -0.638  0.171  0.065],11.326008,1500,0.009946996,0.0044299318,1.4922746,-108.74335875432405,-4.2547455,15,25202,100,0.039026793
100.0,1.4881778e-06,86.786766,1.0000001,-0.35265616,10.57959,-0.35257643,99.999985,0.9992365,,1.0003098,0.9999954,3.0517013,78.50979804992676,-3.1280517e-06,7.662177e-05,17.23,100.0,0.00014881564,[-0.741  0.848 -0.637  0.143  0.073],9.406786,1600,0.009999953,0.009992365,1.4922882,-108.56682545247759,-4.1176224,16,26925,100,0.010003098
100.0,0.01498141,86.64039,4.802519,-0.43273565,12.982033,0.68634987,20.822407,0.014732758,,13.911903,0.85155976,3.2653773,83.42563843727112,-1.1444092e-06,1.6346723,16.97,24.419407,1.498141,[-0.741  0.848 -0.637  0.143  0.073],334.19925,1700,0.008515597,0.00014732758,1.4531525,-108.08043025030408,-4.1887283,17,28622,100,0.13911903
100.0,0.005074256,87.017975,1.5263051,-0.3280613,9.841736,-0.10244882,65.5177,0.21594352,,2.3135948,0.93668413,3.127419,90.83256649971008,-3.4332274e-06,0.30284607,17.63,77.31164,0.50742567,[-0.732  0.897 -0.515  0.127  0.034],12.948536,1800,0.009366841,0.002159435,1.4574637,-108.86773715883518,-4.1835938,18,30385,100,0.023135947
100.0,0.030074166,87.018,5.2651916,-0.31348094,9.40416,0.6909047,18.99266,0.005941187,,16.674109,1.4566351,3.0950315,95.93179202079773,-8.926391e-06,1.4101977,17.7,19.001625,3.0074162,[-0.737  0.883 -0.491  0.137  0.039],192.62585,1900,0.014566351,5.941187e-05,1.37107,-109.35078928436293,-5.1818542,19,32155,100,0.16674109
100.0,0.010317658,87.003876,1.704066,-0.30707273,9.212173,0.042090386,58.68317,0.047884207,,8.54873,1.1240829,2.78693,103.14443135261536,-2.2888183e-07,0.4429424,17.7,54.27433,1.0317658,[-0.765  0.824 -0.512  0.2   -0.048],18.187145,2000,0.011240828,0.00047884206,1.4004138,-109.52571791125811,-4.5915604,20,33925,100,0.0854873
100.0,9.313226e-10,86.34196,1.0,-0.46840695,14.052322,-0.46840695,100.0,1.0,,1.0,1.0,3.3121014,108.08807921409607,3.8146973e-06,3.8184226e-06,16.57,100.0,,[-0.786  0.796 -0.552  0.163 -0.018],11.080824,2100,0.009999999,0.01,1.4004138,-107.98758856663433,-4.3944626,21,35582,100,0.01
100.0,3.8319976e-07,86.641235,1.0,-0.2828132,8.4844055,-0.28280386,100.0,0.9998788,,1.0001309,1.0000026,2.4435763,111.57037782669067,3.0517577e-07,9.655952e-06,17.02,100.00002,3.8321676e-05,[-0.786  0.796 -0.552  0.163 -0.018],6.0314374,2200,0.010000025,0.009998788,1.4004138,-108.46136679019399,-4.5018463,22,37284,100,0.010001308
100.0,0.0045131794,86.545074,1.3069489,-0.40242088,12.072472,-0.25176454,76.514084,0.23339988,,3.1329303,0.965976,2.8377683,115.2502498626709,-5.1116945e-06,0.20828466,16.85,82.0823,0.451318,[-0.786  0.796 -0.552  0.163 -0.018],16.793833,2300,0.00965976,0.0023339987,1.4052519,-108.25246368909193,-3.9204788,23,38969,100,0.0313293
100.0,0.01512616,86.715904,3.707294,-0.26259843,7.8778915,0.19091117,26.973852,0.0067568687,,10.024769,0.9191908,2.611168,119.10511684417725,-2.0599366e-06,0.696523,17.21,26.968834,1.5126162,[-0.786  0.783 -0.54   0.181 -0.014],33.875423,2400,0.009191908,6.756868e-05,1.390533,-109.05651083593416,-3.7221985,24,40690,100,0.10024769
100.0,9.313226e-10,86.94428,1.0,-0.24990731,7.4970474,-0.24990731,100.0,1.0,,1.0,1.0,2.5001397,124.00276279449463,-5.722046e-06,-5.7294965e-06,17.58,100.0,,[-0.77   0.835 -0.565  0.2   -0.028],6.313837,2500,0.009999999,0.01,1.390533,-109.32669554494525,-4.2385864,25,42448,100,0.01
100.0,0.009265241,86.852325,2.164913,-0.31947964,9.5846405,0.009345233,46.191235,0.10339853,,5.5056353,0.92306364,3.2234945,127.99638056755066,8.392334e-06,0.4794285,17.42,49.812904,0.92652416,[-0.77   0.835 -0.565  0.2   -0.028],24.365553,2600,0.009230637,0.0010339853,1.3931882,-108.99150368456904,-3.7993622,26,44190,100,0.055056352
100.0,0.045702204,86.70627,16.125967,-0.33418205,10.0251465,2.1700754,6.2011786,0.008002083,,42.706154,1.1432048,2.8535182,133.01144647598267,-1.0528564e-05,3.5120132,17.15,5.8886495,4.5702205,[-0.782  0.83  -0.619  0.189 -0.026],1533.1615,2700,0.011432047,8.002083e-05,1.3510892,-108.70734875637804,-3.956627,27,45905,100,0.42706153
