EpRewMean,ReturnStepMax,TimeElapsed,MeanIWNorm,MinIWNorm,InitialReturnStd,InitialReturnMin,InitialReturnMean,MeanIW,StdIWNorm,TimestepsSoFar,J_sample_variance,InitialBound,Iteration,ReturnStepMaxmin,StdIW,EmpiricalD2,EpisodesSoFar,EpThisIter,Bound,ESSRenyi,EpLenMean,MaxIW,ESSClassic,MinIW,ReturnMeanIW,MaxIWNorm,InitialReturnMax,Weights
-108.67197648780628,100.0,2.8917603492736816,0.011177561,0.0020493239,3.275067,-4.7708664,3.7384034e-06,1.1177562,0.008082752,1745,38.03979,-0.30666468,1,99.36191,0.8082752,1.6963239,100,100,0.20071325,58.951008,17.45,6.1914997,65.66389,0.20493239,0.6001273,0.061914995,9.20005,[-0.689  0.919 -0.673  0.288  0.   ]
-108.37904972530612,100.0,8.727938890457153,0.010951434,0.0033213156,3.17065,-4.7280884,2.822876e-06,1.0951434,0.00670521,3447,17.636824,-0.33044735,2,99.381905,0.670521,1.3616347,200,100,-0.19121344,73.44113,17.02,4.15865,72.73406,0.33213156,0.19438593,0.0415865,9.913506,[-0.651  0.917 -0.629  0.22   0.017]
-108.18841660497375,100.0,12.393037796020508,0.009999999,0.01,2.4051454,-4.074074,-1.2207031e-06,1.0,9.313226e-10,5119,5.843156,-0.2872258,3,99.3648,,1.0,300,100,-0.2872258,100.0,16.72,1.0,100.0,1.0,-1.2144446e-06,0.01,8.616737,[-0.651  0.903 -0.612  0.234  0.021]
-107.83200387980278,100.0,16.248270511627197,0.009913009,0.00040074243,3.0212307,-4.334038,7.019043e-06,0.99130106,0.016088715,6762,78.947205,-0.2946631,4,99.37098,1.6088716,4.2153707,400,100,0.44698995,23.722706,16.43,12.229866,27.517159,0.040074244,1.051988,0.12229866,8.840103,[-0.651  0.903 -0.612  0.234  0.021]
-108.72836412418377,100.0,21.053152084350586,0.04171224,0.0007544801,3.312573,-4.472702,-1.4495849e-06,4.171224,0.32065308,8496,187776.53,-0.4470975,5,99.407715,32.065308,146.81195,500,100,37.80785,0.68114346,17.34,323.02908,1.6640579,0.07544801,43.225132,3.2302907,13.41288,[-0.66   0.917 -0.656  0.194 -0.002]
-108.44294090430277,100.0,25.710309743881226,0.009999999,0.01,3.506409,-4.450485,-2.8991699e-06,1.0,9.313226e-10,10202,12.419094,-0.38369662,6,99.35358,,1.0,600,100,-0.38369662,100.0,17.06,1.0,100.0,1.0,-2.8945506e-06,0.01,11.510811,[-0.743  0.879 -0.722  0.156  0.055]
-108.29578793042955,100.0,28.97873020172119,0.010116846,0.0025908353,3.3700743,-4.2644043,6.8664554e-07,1.0116848,0.004850796,11894,30.763218,-0.38994125,7,99.376755,0.48507962,1.3020946,700,100,-0.0771088,76.79934,16.92,3.664856,81.30755,0.25908354,0.36785144,0.03664856,11.698257,[-0.743  0.879 -0.722  0.156  0.055]
-108.2568744548511,100.0,34.095730781555176,0.010019353,0.002985379,3.0407712,-4.311905,-9.002685e-06,1.0019352,0.0044371975,13564,12.563225,-0.32473338,8,99.36062,0.44371977,1.241468,800,100,-0.21706437,80.549805,16.7,3.174786,83.60315,0.2985379,0.14474733,0.03174786,9.74173,[-0.771  0.872 -0.713  0.108  0.067]
-108.00570160839563,100.0,38.03420662879944,0.010000034,0.009998362,2.6769125,-4.1348877,-6.1798096e-06,1.0000035,5.2657913e-07,15186,7.2385545,-0.26969564,9,99.36897,5.2660936e-05,1.0,900,100,-0.2696763,100.0,16.22,1.0001229,100.0,0.9998362,1.3135374e-05,0.010001229,8.090683,[-0.771  0.88  -0.725  0.086  0.07 ]
-107.55395195796962,100.0,40.9025616645813,0.010316009,0.0021535677,2.9842765,-5.0102158,5.645752e-06,1.0316006,0.0052127717,16843,12.153355,-0.35275036,10,99.37186,0.5212772,1.284796,1000,100,-0.1360684,77.83337,16.57,2.871392,79.65985,0.21535678,0.26377645,0.02871392,10.58268,[-0.771  0.88  -0.725  0.086  0.07 ]
-107.87458783219999,100.0,45.73891019821167,0.014968937,1.2184049e-05,3.0333622,-4.9049683,4.272461e-06,1.4968938,0.058179144,18531,345.89395,-0.3752938,11,99.37325,5.817914,12.818268,1100,100,0.5895555,7.8013663,16.88,57.733364,6.208823,0.001218405,1.9332204,0.5773336,11.258942,[-0.763  0.898 -0.72   0.057  0.049]
-108.52133197867691,100.0,49.88521456718445,0.010000081,0.00999598,2.5520012,-3.4841309,-6.790161e-06,1.000008,1.7127893e-06,20154,6.5786786,-0.24464105,12,99.39204,0.00017128044,1.0,1200,100,-0.24459045,100.0,16.23,1.0006459,100.0,0.999598,4.380569e-05,0.0100064585,7.3390274,[-0.756  0.883 -0.717  0.166  0.005]
