Iteration,MinIW,MeanIW,TimeElapsed,ESSRenyi,InitialReturnMax,EpisodesSoFar,EpLenMean,InitialBound,StdIW,MinIWNorm,TimestepsSoFar,ReturnMeanIW,MaxIW,Weights,J_sample_variance,EmpiricalD2,ReturnStepMaxmin,EpThisIter,MaxIWNorm,InitialReturnStd,EpRewMean,MeanIWNorm,InitialReturnMean,ESSClassic,InitialReturnMin,StdIWNorm,ReturnStepMax,Bound
1,0.20493239,1.1177562,3.0202789306640625,58.951008,9.20005,100,17.45,-0.30666468,0.8082752,0.0020493239,1745,0.6001273,6.1914997,[-0.689  0.919 -0.673  0.288  0.   ],38.03979,1.6963239,86.90667,100,0.061914995,3.275067,-108.67197648780628,0.011177561,3.7384034e-06,65.66389,-4.7708664,0.008082752,100.0,0.20071325
2,0.33213156,1.0951434,7.76789402961731,73.44113,9.913506,200,17.02,-0.33044735,0.670521,0.0033213156,3447,0.19438593,4.15865,[-0.651  0.917 -0.629  0.22   0.017],17.636824,1.3616347,86.64641,100,0.0415865,3.17065,-108.37904972530612,0.010951434,2.822876e-06,72.73406,-4.7280884,0.00670521,100.0,-0.19121344
3,1.0,1.0,10.558234453201294,100.0,8.616737,300,16.72,-0.2872258,,0.01,5119,-1.2144446e-06,1.0,[-0.651  0.903 -0.612  0.234  0.021],5.843156,1.0,86.42361,100,0.01,2.4051454,-108.18841660497375,0.009999999,-1.2207031e-06,100.0,-4.074074,9.313226e-10,100.0,-0.2872258
4,0.040074244,0.99130106,13.301127195358276,23.722706,8.840103,400,16.43,-0.2946631,1.6088716,0.00040074243,6762,1.051988,12.229866,[-0.651  0.903 -0.612  0.234  0.021],78.947205,4.2153707,86.24475,100,0.12229866,3.0212307,-107.83200387980278,0.009913009,7.019043e-06,27.517159,-4.334038,0.016088715,100.0,0.44698995
5,0.06729584,4.114703,17.556984186172485,0.6338213,13.41288,500,17.34,-0.4470975,31.525377,0.0006729584,8496,42.51365,317.56152,[-0.66   0.917 -0.656  0.194 -0.002],181479.94,157.77318,86.86696,100,3.175615,3.312573,-108.72836412418377,0.04114704,-1.4495849e-06,1.6750209,-4.472702,0.3152538,100.0,36.897774
6,0.99963033,1.0000037,21.989461660385132,100.0,11.754601,600,17.14,-0.39182067,0.00015756451,0.009996303,10210,6.869063e-05,1.00042,[-0.736  0.877 -0.728  0.154  0.047],10.799265,1.0,86.67171,100,0.010004199,3.2696373,-108.68310529479186,0.010000037,-6.1035155e-07,100.00001,-4.277046,1.5756376e-06,100.0,-0.39175135
7,0.28011513,0.97998506,25.07960534095764,85.07119,11.0475235,700,16.37,-0.3682659,0.3664508,0.0028011512,11847,0.18898223,2.171065,[-0.736  0.877 -0.728  0.154  0.047],13.220799,1.1754861,86.1924,100,0.021710651,3.110857,-107.76247428463454,0.00979985,-1.5106201e-05,87.73259,-4.2196426,0.0036645078,100.0,-0.21027468
8,1.0,1.0,28.255316734313965,100.0,9.339127,800,16.18,-0.31130397,,0.01,13465,2.6915222e-07,1.0,[-0.739  0.864 -0.719  0.164  0.047],9.4019785,1.0,86.04768,100,0.01,3.0508947,-107.69179230897903,0.009999999,3.0517577e-07,100.0,-4.552597,9.313226e-10,100.0,-0.31130397
9,0.3224162,0.96342313,30.940311431884766,79.64739,9.965363,900,16.31,-0.33218455,0.45954052,0.0032241617,15096,0.12763631,2.6297252,[-0.739  0.864 -0.719  0.164  0.047],9.627174,1.2555339,86.134796,100,0.02629725,2.825023,-108.00519225332728,0.009634232,-5.7983398e-06,81.46528,-4.327774,0.004595405,100.0,-0.24457201
10,1.0,1.0,33.82545733451843,100.0,5.854149,1000,16.45,-0.19513318,,0.01,16741,5.1259995e-06,1.0,[-0.737  0.881 -0.732  0.158  0.053],5.5937653,1.0,86.216675,100,0.01,2.353259,-108.33066450109989,0.009999999,5.1116945e-06,100.0,-3.9538803,9.313226e-10,100.0,-0.19513318
11,0.31363836,0.9941558,36.5041618347168,84.21491,13.961365,1100,16.93,-0.46539077,0.37699762,0.0031363836,18434,0.13313518,1.9420497,[-0.737  0.881 -0.732  0.158  0.053],13.507901,1.1874381,86.57462,100,0.019420497,3.1130211,-108.3583093206758,0.009941557,-1.1901855e-05,87.427635,-4.3731384,0.0037699763,100.0,-0.37398642
12,0.037265737,0.99741656,39.41697335243225,62.634525,11.376411,1200,16.79,-0.37921312,0.6994831,0.00037265735,20113,0.5457295,3.6854928,[-0.737  0.888 -0.749  0.15   0.054],34.12749,1.5965636,86.44198,100,0.036854926,3.346015,-108.44704115289649,0.009974166,6.1035155e-07,67.03246,-4.2686386,0.0069948304,100.0,0.06657326
13,0.06420975,21.377598,43.1332585811615,0.014895999,9.50528,1300,16.7,-0.31683835,204.38885,0.0006420975,21783,194.99045,2054.9993,[-0.71   0.828 -0.772  0.163 -0.034],3815660.2,6713.212,86.36587,100,20.549992,2.9297898,-108.60177265031263,0.21377602,4.348755e-06,1.0821269,-3.9179993,2.0438883,100.0,169.0302
14,2.2724983e-06,1.1958404,48.100839138031006,1.5445466,9.545036,1400,16.9,-0.31816268,8.161174,2.2724983e-08,23473,6.934774,81.35547,[-0.705  0.936 -0.7    0.189  0.183],5207.17,64.74392,86.56091,100,0.81355464,2.9226472,-108.29517466137331,0.0119584035,5.1879883e-06,2.1019156,-4.4950256,0.08161173,100.0,4.3746805
15,0.4429932,0.99469954,51.9229850769043,83.03795,11.378677,1500,17.29,-0.3793015,0.47045273,0.0044299318,25202,0.18373516,3.9026794,[-0.744  0.835 -0.638  0.171  0.065],11.326008,1.2042687,86.79097,100,0.039026793,3.1475394,-108.74335875432405,0.009946996,-1.2207031e-05,81.719986,-4.2547455,0.004704527,100.0,-0.23249373
16,0.9992365,0.9999954,55.26469445228577,99.999985,10.57959,1600,17.23,-0.35265616,0.00014881564,0.009992365,26925,7.662177e-05,1.0003098,[-0.741  0.848 -0.637  0.143  0.073],9.406786,1.0000001,86.786766,100,0.010003098,3.0517013,-108.56682545247759,0.009999953,-3.1280517e-06,100.0,-4.1176224,1.4881778e-06,100.0,-0.35257643
17,0.014732758,0.85155976,58.055006980895996,20.822407,12.982033,1700,16.97,-0.43273565,1.498141,0.00014732758,28622,1.6346723,13.911903,[-0.741  0.848 -0.637  0.143  0.073],334.19925,4.802519,86.64039,100,0.13911903,3.2653773,-108.08043025030408,0.008515597,-1.1444092e-06,24.419407,-4.1887283,0.01498141,100.0,0.68634987
18,0.21594352,0.93668413,62.182865619659424,65.5177,9.841736,1800,17.63,-0.3280613,0.50742567,0.002159435,30385,0.30284607,2.3135948,[-0.732  0.897 -0.515  0.127  0.034],12.948536,1.5263051,87.017975,100,0.023135947,3.127419,-108.86773715883518,0.009366841,-3.4332274e-06,77.31164,-4.1835938,0.005074256,100.0,-0.10244882
19,0.005941187,1.4566351,65.1824061870575,18.99266,9.40416,1900,17.7,-0.31348094,3.0074162,5.941187e-05,32155,1.4101977,16.674109,[-0.737  0.883 -0.491  0.137  0.039],192.62585,5.2651916,87.018,100,0.16674109,3.0950315,-109.35078928436293,0.014566351,-8.926391e-06,19.001625,-5.1818542,0.030074166,100.0,0.6909047
20,0.047884207,1.1240829,70.34529113769531,58.68317,9.212173,2000,17.7,-0.30707273,1.0317658,0.00047884206,33925,0.4429424,8.54873,[-0.765  0.824 -0.512  0.2   -0.048],18.187145,1.704066,87.003876,100,0.0854873,2.78693,-109.52571791125811,0.011240828,-2.2888183e-07,54.27433,-4.5915604,0.010317658,100.0,0.042090386
21,1.0,1.0,73.76852178573608,100.0,14.052322,2100,16.57,-0.46840695,,0.01,35582,3.8184226e-06,1.0,[-0.786  0.796 -0.552  0.163 -0.018],11.080824,1.0,86.34196,100,0.01,3.3121014,-107.98758856663433,0.009999999,3.8146973e-06,100.0,-4.3944626,9.313226e-10,100.0,-0.46840695
22,0.9998788,1.0000026,76.58829665184021,100.0,8.4844055,2200,17.02,-0.2828132,3.8321676e-05,0.009998788,37284,9.655952e-06,1.0001309,[-0.786  0.796 -0.552  0.163 -0.018],6.0314374,1.0,86.641235,100,0.010001308,2.4435763,-108.46136679019399,0.010000025,3.0517577e-07,100.00002,-4.5018463,3.8319976e-07,100.0,-0.28280386
23,0.23339988,0.965976,79.26214647293091,76.514084,12.072472,2300,16.85,-0.40242088,0.451318,0.0023339987,38969,0.20828466,3.1329303,[-0.786  0.796 -0.552  0.163 -0.018],16.793833,1.3069489,86.545074,100,0.0313293,2.8377683,-108.25246368909193,0.00965976,-5.1116945e-06,82.0823,-3.9204788,0.0045131794,100.0,-0.25176454
24,0.0067568687,0.9191908,82.92733120918274,26.973852,7.8778915,2400,17.21,-0.26259843,1.5126162,6.756868e-05,40690,0.696523,10.024769,[-0.786  0.783 -0.54   0.181 -0.014],33.875423,3.707294,86.715904,100,0.10024769,2.611168,-109.05651083593416,0.009191908,-2.0599366e-06,26.968834,-3.7221985,0.01512616,100.0,0.19091117
