EpisodesSoFar,Bound,InitialReturnMean,MinIWNorm,InitialReturnMax,ESSClassic,InitialReturnMin,MaxIW,InitialReturnStd,J_sample_variance,ReturnMeanIW,MeanIWNorm,EmpiricalD2,TimeElapsed,MaxIWNorm,TimestepsSoFar,EpRewMean,EpLenMean,MeanIW,StdIWNorm,MinIW,EpThisIter,Iteration,InitialBound,StdIW,ESSRenyi,Weights
1800,17.094522,-1.3732911e-06,2.4611692e-05,7.296318,1.649331,-4.0420074,304.78232,2.557575,49481.76,22.04498,0.03922533,414.31015,96.43109035491943,3.0478232,32310,-108.5140445269198,16.67,3.9225333,0.3029015,0.0024611694,100,18,-0.24321198,30.290146,0.24136508,[ 0.86   0.666  0.62   0.478 -0.393]
1900,-0.21928895,5.340576e-07,0.0047632293,7.95874,92.809654,-5.589035,2.4301438,2.970675,10.434231,0.054019094,0.010253459,1.0613502,101.59207701683044,0.024301438,34018,-108.66431596196777,17.08,1.025346,0.0028539647,0.47632295,100,19,-0.26529086,0.2853965,94.219604,[ 0.842  0.645  0.58   0.353 -0.309]
2000,-0.081329554,1.5258789e-07,0.00427908,5.988716,88.96227,-5.2466507,2.3900661,2.466682,7.772224,0.1333217,0.010207515,1.1562238,106.32089018821716,0.023900662,35706,-109.00029308726816,16.88,1.0207515,0.00359548,0.427908,100,20,-0.19962372,0.359548,86.48845,[ 0.845  0.646  0.579  0.369 -0.303]
2100,0.04425332,6.4849855e-06,0.0006334703,8.7089,48.420906,-5.0484924,4.1267667,2.4307537,6.223459,0.5200887,0.0082059875,2.6867628,110.87423205375671,0.041267667,37355,-108.58954510680607,16.49,0.8205988,0.008469374,0.063347034,100,21,-0.2902902,0.84693736,37.219513,[ 0.84   0.646  0.592  0.352 -0.292]
2200,-0.18247417,9.460449e-06,0.009999904,5.474533,100.00002,-4.2160416,1.000008,2.4004703,5.8204727,1.0281801e-05,0.010000009,1.0,116.00880122184753,0.01000008,39000,-108.1352220916125,16.45,1.0000011,3.5795637e-08,0.9999904,100,22,-0.182475,3.5776145e-06,100.0,[ 0.84   0.658  0.656  0.37  -0.273]
2300,0.3582902,2.822876e-06,0.00047790146,9.579506,34.58374,-5.0603943,14.513388,2.4733562,32.160866,0.8577789,0.010708089,2.4468517,120.05853295326233,0.14513387,40645,-108.81331892928674,16.45,1.0708089,0.014727154,0.047790147,100,23,-0.31931412,1.4727155,40.868843,[ 0.84   0.658  0.656  0.37  -0.273]
2400,0.8382125,-1.121521e-05,6.357056e-06,7.2893753,12.838045,-3.8370056,22.443104,2.4780395,183.08115,1.5089447,0.012069404,7.6200924,125.0087993144989,0.22443104,42313,-108.4617181602544,16.68,1.2069405,0.0314485,0.0006357056,100,24,-0.2429904,3.1448498,13.1232,[ 0.838  0.618  0.711  0.379 -0.228]
2500,3.1300821,-5.569458e-06,0.00014412074,8.73085,6.114752,-4.24807,48.14499,2.668209,1785.0588,4.4639864,0.012395807,21.00771,131.0828936100006,0.48144987,43961,-107.9753831184573,16.48,1.2395806,0.04857178,0.014412075,100,25,-0.2910339,4.857178,4.760157,[ 0.806  0.557  0.738  0.409 -0.327]
2600,0.19994634,-2.2888185e-06,0.00044883206,8.88372,44.27964,-4.083008,7.8702803,2.8274913,64.31758,0.7763811,0.010507674,3.789248,136.89388155937195,0.0787028,45679,-108.94074701843991,17.18,1.0507674,0.011787224,0.044883206,100,26,-0.29612634,1.1787225,26.390461,[ 0.852  0.637  0.667  0.421 -0.262]
2700,5.0022774,2.5177003e-06,3.721681e-05,9.079109,2.5203376,-6.2752,112.12037,3.148239,6645.7,8.245499,0.017934553,114.84421,141.9582862854004,1.1212037,47380,-108.14814093532117,17.01,1.793455,0.111536786,0.0037216812,100,27,-0.30263448,11.153679,0.8707448,[ 0.822  0.598  0.676  0.357 -0.22 ]
