InitialReturnMean,ReturnMeanIW,ReturnStepMaxmin,EpLenMean,InitialBound,InitialReturnStd,MaxIW,EpThisIter,EpisodesSoFar,InitialReturnMin,J_sample_variance,Iteration,StdIW,InitialReturnMax,MeanIW,Weights,MaxD2w0t,EpRewMean,EmpiricalD2,MeanD2w0t,MinD2w0t,TimeElapsed,TimestepsSoFar,MinIW,ReturnStepMax,StdD2w0t,Bound
-4.119873e-06,239.33366,92.833694,35.09,-40.42276,10.794412,2.1134353,100,100,-16.371025,2984.949,1,0.2642707,33.495453,1.0619813,[-0.822 -0.493 -0.474 -0.749  0.   ],1.1276655,-108.1894935537418,1.0645664,0.0729357,,7.378129005432129,3509,0.5497838,100.0,0.26557583,-33.823196
5.340576e-07,268.17087,92.209496,31.45,-4.230591,12.161957,3.435524,100,200,-13.128273,5310.5947,2,0.36972994,38.102776,1.0603981,[-0.822 -0.495 -0.463 -0.753  0.007],1.2793683,-106.7811569133218,1.0871496,0.06511559,,20.652406454086304,6654,0.48144376,100.0,0.25153193,1.797699
-1.9073487e-07,189.14998,93.74674,40.56,-103.71843,13.728019,1.6631721,100,300,-18.836075,585.57916,3,0.12296268,32.00951,1.0189492,[-0.804 -0.508 -0.472 -0.768  0.001],1.0454546,-106.53610615023528,1.0131961,0.08179821,,34.997843503952026,10710,0.70014834,100.0,0.27530044,-102.01878
-5.9509275e-06,233.91563,92.71726,34.34,-48.413254,11.975485,1.1959885,100,400,-15.61071,338.32504,4,0.07218175,39.64436,1.0088667,[-0.807 -0.503 -0.467 -0.766 -0.006],1.0167965,-107.87472236457677,1.0072,0.06900138,,46.910074949264526,14144,0.7987113,100.0,0.2540938,-47.186295
-8.773804e-07,200.82095,93.482574,39.17,-73.57834,14.048459,1.3901178,100,500,-19.06321,710.8354,5,0.13846311,43.52731,1.0235927,[-0.813 -0.504 -0.47  -0.768 -0.012],1.0393217,-108.0589359591285,1.0211668,0.0792994,,60.61429262161255,18061,0.6462523,100.0,0.27200502,-71.548615
1.0299683e-06,250.98393,92.47963,33.33,-42.365875,11.604538,1.5271629,100,600,-14.609085,956.2917,6,0.13892494,38.421425,1.0405113,[-0.808 -0.498 -0.466 -0.767 -0.025],1.0773696,-108.66194198330915,1.0262058,0.06780837,,72.81268119812012,21394,0.5196531,100.0,0.25375637,-37.531235
-6.5612794e-06,252.58116,92.59884,33.44,-26.437347,12.227805,2.126316,100,700,-14.508148,4179.4014,7,0.28479394,43.556347,1.0718431,[-0.808 -0.496 -0.469 -0.764 -0.043],1.2546046,-107.0288813716601,1.0550501,0.06961425,,84.57291555404663,24738,0.36194617,100.0,0.26024097,-18.723343
-5.9509275e-06,218.08052,93.10084,36.83,-64.26552,11.34403,1.4581566,100,800,-16.093307,732.1492,8,0.12552263,31.940445,1.023066,[-0.787 -0.502 -0.461 -0.778 -0.054],1.0412892,-108.63684227873682,1.0171663,0.074332014,,97.19948673248291,28421,0.74415016,100.0,0.26360393,-62.01091
3.1280517e-06,229.46259,92.926445,35.35,-53.16678,12.583965,1.5307819,100,900,-15.972015,1043.3398,9,0.15370849,34.34342,1.0364825,[-0.789 -0.506 -0.461 -0.778 -0.042],1.0685338,-107.35014545552635,1.0262766,0.07181624,,109.59984302520752,31956,0.6542615,100.0,0.26041266,-49.540222
-5.607605e-06,211.54099,93.52136,39.51,-85.521225,12.173449,4.0050883,100,1000,-18.66584,5874.043,10,0.47948918,42.953842,1.0880762,[-0.793 -0.515 -0.461 -0.786 -0.042],1.2065566,-108.24121866151883,1.1168396,0.08302381,,122.50610494613647,35907,0.48396018,100.0,0.28365302,-78.53131
3.8146972e-08,217.4713,93.04135,36.26,-66.42836,12.291299,1.1616781,100,1100,-16.77761,247.58882,11,0.05065869,45.172066,1.0047405,[-0.808 -0.516 -0.461 -0.777 -0.018],1.007471,-108.03026354338611,1.0025935,0.072608754,,134.43338322639465,39533,0.8548422,100.0,0.25967452,-66.136154
-7.095337e-06,217.73264,93.16971,37.12,-70.50757,12.347648,1.9242356,100,1200,-15.267082,822.39874,12,0.15780492,42.19158,1.0381838,[-0.813 -0.515 -0.462 -0.775 -0.022],1.0622568,-108.21041629062,1.0244647,0.07541104,,146.99344611167908,43245,0.73271453,100.0,0.26630756,-66.89447
