MinD2w0t,ReturnMeanIW,Weights,MeanD2w0t,TimeElapsed,J_sample_variance,TimestepsSoFar,EpisodesSoFar,ReturnStepMax,MaxIW,Iteration,MinIW,EmpiricalD2,InitialReturnMax,InitialReturnMin,InitialReturnStd,EpThisIter,ReturnStepMaxmin,EpRewMean,InitialReturnMean,StdIW,MaxD2w0t,StdD2w0t,MeanIW,Bound,EpLenMean,InitialBound
,22.713043,[-0.822 -0.493 -0.474 -0.749  0.   ],0.5576559,7.90330696105957,1218.0702,3509,100,100.0,26.22121,1,0.0019061632,15.423709,10.9685335,-20.043964,7.9532566,100,92.833694,-108.1894935537418,1.3446808e-06,2.1356103,107.31643,3.3099313,1.2938441,10.041806,35.09,7.547122
,19.217615,[-0.838 -0.478 -0.394 -0.772 -0.043],0.4865196,23.08343195915222,196.86894,7386,200,100.0,45.15752,2,0.0019557036,31.851852,9.717159,-20.548897,7.4640446,100,93.45543,-107.48155710152282,-1.0204316e-06,2.805418,399.06937,5.1251974,0.94123685,7.6794415,38.77,5.150729
,32.47302,[-0.885 -0.535 -0.397 -0.745 -0.104],94.70833,37.87574911117554,26007.422,11629,300,100.0,469.04855,3,0.00040724984,4825.767,8.245092,-15.455408,6.892901,100,93.995926,-106.1614853727967,-4.959106e-07,9.236099,239451.81,3672.6309,1.9726963,14.946468,42.43,3.8024063
,15.833411,[-0.898 -0.489 -0.321 -0.786 -0.101],0.35650432,53.599822998046875,207.2774,15968,400,100.0,11.968525,4,0.020057311,6.92543,7.2758107,-14.362813,6.252886,100,94.19999,-104.13635480936327,-4.959106e-07,1.6169434,47.734833,1.9721893,1.0849713,4.4737024,43.39,3.5982103
,15.232878,[-0.892 -0.494 -0.267 -0.802 -0.139],0.14958216,68.14207124710083,70.03675,20250,500,100.0,3.9282417,5,0.030424366,2.4116333,7.907224,-15.754191,6.2198086,100,94.106064,-104.77913584522041,-2.5749208e-07,0.64059657,19.34657,0.58446616,0.988073,4.6770954,42.82,3.5218372
,13.299347,[-0.91  -0.525 -0.298 -0.792 -0.112],0.15379973,81.69883799552917,49.665882,24844,600,100.0,11.381432,6,0.043546326,2.1515436,7.8173766,-14.697766,6.8019004,100,94.47476,-103.94474932248283,-4.7683716e-07,1.3723738,4.888792,0.5278371,1.0896108,2.9312944,45.94,2.3283348
,14.995638,[-0.932 -0.538 -0.277 -0.809 -0.142],0.46357727,97.02425503730774,101.4438,29616,700,100.0,23.365723,7,0.012556165,8.111037,6.0519075,-18.235216,5.928143,100,94.68216,-103.02371022651946,-5.340576e-07,2.2522094,71.227036,2.3168144,1.1327105,4.1988716,47.72,2.5915136
,15.919864,[-0.94  -0.598 -0.261 -0.864 -0.128],0.94735765,111.2476258277893,154.10394,34146,800,100.0,185.11775,8,0.001944316,41.017616,6.5457172,-15.360508,5.8732696,100,94.50937,-101.7128207002418,7.05719e-07,5.561212,378.38788,7.6729217,1.5276091,5.073226,45.3,3.273119
,57.535095,[-0.834 -0.548 -0.26  -0.842 -0.13 ],17394.623,126.74414205551147,252023.52,38779,900,100.0,11448.112,9,3.7273814e-08,2456689.2,6.5032387,-20.791243,6.619621,100,94.56842,-102.65741291095905,,822.71277,243013630.0,1425737.8,81.68186,29.589142,46.33,2.712801
,14.958791,[-0.893 -0.553 -0.172 -0.848 -0.205],1.722678,142.85010290145874,762.4813,43776,1000,100.0,441.6935,10,0.013962036,32.150303,6.2737837,-16.356346,5.4627924,100,94.99309,-100.1126032978632,4.529953e-07,11.855281,442.49396,13.537855,2.1219866,3.1962013,49.97,1.5198622
,13.679886,[-0.972 -0.6   -0.204 -0.905 -0.171],0.14564887,158.9583032131195,35.76581,48618,1100,100.0,6.794517,11,0.057041347,2.1131127,4.7164865,-16.8694,4.813409,100,94.79967,-101.69006396709814,6.294251e-07,0.84182864,4.842344,0.46872714,1.0090011,3.3302078,48.42,2.8724566
,14.114734,[-0.978 -0.613 -0.214 -0.883 -0.175],0.20884238,171.2092432975769,38.192417,53681,1200,100.0,10.054071,12,0.03365927,4.245815,4.158367,-19.003159,4.1821103,100,94.98207,-101.71391692194504,4.6730042e-07,1.4632392,11.387197,0.7066651,1.0638447,3.5777178,50.63,2.2406197
,12.699037,[-1.015 -0.642 -0.22  -0.878 -0.252],0.207335,187.04358506202698,27.665466,58909,1300,100.0,13.227535,13,0.030871725,3.709962,4.1719627,-19.374088,4.0811553,100,95.15535,-100.49935400577392,-2.1457672e-07,1.5065084,21.375652,0.77824235,1.1681714,2.3087492,52.28,1.7934647
,12.328955,[-1.024 -0.666 -0.228 -0.862 -0.253],0.10883772,201.06721448898315,13.191954,64093,1400,100.0,3.1854134,14,0.4011199,1.0700862,3.902835,-13.110263,3.3427584,100,95.09723,-101.16000285928696,-9.965896e-07,0.3196931,1.3072898,0.32035527,1.0354458,2.2393684,51.84,2.189762
,14.067468,[-1.024 -0.669 -0.236 -0.858 -0.254],0.27969342,213.71292519569397,51.718452,69153,1500,100.0,11.084567,15,0.018611131,6.6688294,5.4128065,-16.273098,4.773969,100,95.009705,-100.95439928739798,1.9550323e-07,1.1960422,72.912346,1.4721391,0.9846033,3.3271627,50.6,1.9079485
,12.613612,[-1.029 -0.689 -0.216 -0.845 -0.265],0.11910474,229.18901205062866,14.870333,74397,1600,100.0,2.4319468,16,0.11842504,1.2360532,4.3394375,-14.998171,3.412697,100,95.09563,-102.37278502174571,-6.699562e-07,0.4312771,1.8314809,0.34955207,1.0741819,2.4413452,52.44,2.1697578
,13.6739,[-1.04  -0.701 -0.226 -0.852 -0.303],0.11913223,243.35107588768005,14.337218,79330,1700,100.0,3.5318944,17,0.20189731,1.4565978,4.3129973,-12.621611,3.4703686,100,94.87828,-101.66213383739466,5.197525e-07,0.57431906,4.055733,0.36854476,1.0173362,3.4791288,49.33,3.2529688
,12.387706,[-1.043 -0.707 -0.212 -0.851 -0.304],0.12568097,255.8390772342682,13.534202,84540,1800,100.0,3.5470653,18,0.14291847,1.5239748,4.0294747,-12.426121,3.10279,100,95.124985,-100.9441984118658,4.4345856e-07,0.5764768,2.3956451,0.37346512,0.9500764,2.2188444,52.1,2.037675
,11.842357,[-1.044 -0.715 -0.206 -0.841 -0.303],0.17628317,269.1625270843506,18.41736,90195,1900,100.0,8.211295,19,0.05372125,2.1449003,3.8534207,-11.492369,2.7974474,100,95.419876,-101.22814248295498,2.3841858e-07,1.0317894,6.7476606,0.5408416,1.0870701,1.5842495,56.55,1.1179752
,21.4492,[-1.029 -0.737 -0.199 -0.836 -0.32 ],124875736.0,285.58562445640564,11175.693,96207,2000,100.0,1020.31525,20,1.189912e-06,11864861000.0,4.5998993,-13.622145,3.012342,100,95.625244,-101.44492729896149,,48.98054,1185646800000.0,8833928000.0,5.574577,3.9712963,60.12,0.03742504
,9.494333,[-1.029 -0.766 -0.217 -0.777 -0.314],0.19723444,305.8134527206421,10.934986,102962,2100,100.0,6.0788846,21,0.20987347,1.9189681,3.6116545,-12.0554495,2.0387387,100,95.98552,-101.81415596955745,-9.298324e-08,0.7746589,4.2315693,0.525204,1.0661758,-0.74509144,67.55,-1.1692438
,9.078884,[-1.022 -0.762 -0.215 -0.756 -0.285],0.29326895,323.5641894340515,10.098686,110105,2200,100.0,12.195185,22,0.028516425,2.7907555,3.3183155,-3.2195892,1.4408271,100,96.1212,-102.81637752124719,-2.670288e-07,1.3840153,11.020823,0.88088095,1.2139095,-1.2762604,71.43,-1.765914
