ESSClassic,StdIW,MaxIWNorm,EpisodesSoFar,InitialReturnMean,InitialBound,J_sample_variance,TimeElapsed,InitialReturnMax,EpLenMean,InitialReturnMin,ESSRenyi,StdIWNorm,EmpiricalD2,MinIWNorm,MeanIWNorm,TimestepsSoFar,EpThisIter,InitialReturnStd,Weights,MeanIW,Iteration,Bound,EpRewMean,MinIW,MaxIW,ReturnMeanIW
13.42798,3.032181,0.2740298,100,-2.9754638e-06,-0.607282,111.95901,2.6619677543640137,11.173126,21.46,-18.218369,27.573606,0.030321809,3.6266565,0.0003074833,0.011941854,2146,100,6.198724,[ 0.867 -0.5   -0.634  0.472  0.   ],1.1941854,1,0.76661193,-114.95938403425016,0.030748332,27.40298,1.9231007
58.583538,0.80842924,0.041665964,200,-1.8310546e-06,-0.686989,48.653137,7.291974306106567,12.1250305,21.32,-20.609612,32.274307,0.0080842925,3.0984397,0.00017400121,0.009614868,4278,100,6.434571,[ 0.796 -0.374 -0.551  0.35  -0.079],0.9614868,2,0.3586713,-114.40406190281263,0.017400121,4.1665964,1.5679325
48.168007,1.088025,0.060321778,300,-5.1879883e-06,-0.48534656,26.265053,10.516727447509766,8.246513,19.81,-14.560242,41.410038,0.01088025,2.4148734,0.00011366095,0.010488642,6259,100,4.674876,[ 0.758 -0.402 -0.621  0.337 -0.113],1.0488641,3,0.8336638,-112.9340869690831,0.011366095,6.032178,1.5878778
45.212765,1.1741213,0.09741825,400,-9.002685e-06,-0.4368231,14.944795,13.989738941192627,10.092911,21.04,-13.1044235,57.59029,0.011741212,1.7364038,0.0010090246,0.010666055,8363,100,4.073761,[ 0.729 -0.414 -0.659  0.305 -0.225],1.0666054,4,0.1777718,-112.48125587431872,0.10090245,9.741825,0.7533735
3.527486,9.318035,0.9153372,500,8.392334e-06,-0.3339031,353.69736,16.403691053390503,7.5949554,19.14,-10.017342,3.8534608,0.09318035,25.950699,3.4857005e-06,0.017817847,10277,100,3.677235,[ 0.705 -0.434 -0.681  0.272 -0.238],1.7817844,5,1.9504557,-111.40237373180993,0.00034857006,91.53372,3.6514614
66.365906,0.6740911,0.033202864,600,-1.6784668e-06,-0.20884311,8.256955,20.391908884048462,6.2652435,18.27,-6.058861,42.93653,0.006740911,2.329019,0.00035157625,0.009468937,12104,100,2.8918815,[ 0.671 -0.33  -0.677  0.233 -0.346],0.9468939,6,0.48283628,-109.91708560453684,0.035157625,3.3202865,0.8015518
27.669647,1.6305209,0.11474655,700,-3.5858154e-06,-0.18992871,21.658749,23.84917116165161,5.4355545,18.45,-5.697754,25.500517,0.01630521,3.921489,0.0001437995,0.010084815,13949,100,2.729895,[ 0.631 -0.398 -0.757  0.254 -0.355],1.0084815,7,0.41962627,-110.10473233326152,0.014379949,11.474655,0.7957303
70.77287,0.6196701,0.035712786,800,6.942749e-06,-0.20659123,8.990104,26.770841121673584,6.1979446,18.25,-6.0067596,55.841118,0.0061967014,1.7907951,0.00011750151,0.00964275,15774,100,2.6186357,[ 0.629 -0.384 -0.786  0.229 -0.363],0.96427506,8,0.06657985,-109.00301358867375,0.011750151,3.5712786,0.34305075
49.820843,1.0021385,0.050472006,900,-1.1062622e-05,-0.23491049,9.774033,29.05640149116516,5.3164597,17.35,-7.046982,47.459618,0.010021386,2.1070545,0.00048142,0.009985542,17509,100,2.6172702,[ 0.619 -0.39  -0.791  0.187 -0.375],0.99855405,9,0.0968025,-108.73417163462253,0.048142,5.0472007,0.43777534
28.355705,2.018708,0.111662954,1000,-1.04522705e-05,-0.19186814,54.756096,31.050336360931396,5.7557297,17.27,-5.744766,13.444574,0.020187078,7.437945,0.00016515105,0.012699976,19236,100,2.6925433,[ 0.603 -0.414 -0.78   0.154 -0.377],1.2699977,10,0.8132202,-109.07495354432453,0.016515106,11.166296,1.3364658
