StdD2w0t,TimeElapsed,InitialReturnMax,Weights,EpisodesSoFar,MinIW,InitialReturnMin,EmpiricalD2,Iteration,InitialBound,MaxIW,InitialReturnMean,EpRewMean,ReturnStepMaxmin,EpLenMean,InitialReturnStd,Bound,MeanIW,TimestepsSoFar,ReturnStepMax,MaxD2w0t,EpThisIter,StdIW,MeanD2w0t,ReturnMeanIW,J_sample_variance,MinD2w0t
0.3038056,8.515681505203247,-3.1839132,[-0.563 -1.093 -0.809 -1.04   0.   ],100,0.16948482,-36.17998,1.3101822,1,-46.901886,3.4190953,-13.568552,-107.5568281044892,99.00072,35.4,8.24457,-46.3593,0.92599076,3540,100.0,1.8087637,100,0.5135385,0.08297642,-12.621927,93.33896,
0.274358,22.644412517547607,-1.6280894,[-0.559 -1.137 -0.813 -1.057 -0.016],200,0.435955,-29.998564,1.0943569,2,-46.801506,2.619123,-13.468173,-106.89494281934687,99.0,35.14,8.128965,-46.546886,0.96916735,7054,100.0,1.2773969,100,0.2869032,0.07526607,-13.016202,67.095535,
0.32376498,36.33264231681824,-2.0287378,[-0.574 -1.154 -0.82  -1.076 -0.028],300,0.14537267,-30.8791,1.5767308,3,-45.336372,4.8639717,-12.003036,-105.81894003443261,99.0,37.38,7.648846,-44.43362,0.93369913,10792,100.0,2.1938708,100,0.7872429,0.090921514,-10.388616,52.845085,
0.2699094,48.75352478027344,-2.4750822,[-0.572 -1.167 -0.813 -1.054 -0.031],400,0.71113336,-33.33518,1.0123038,4,-44.947918,1.290441,-11.614581,-106.72288867232945,99.0,38.88,7.8002896,-44.913395,0.9811401,14680,100.0,1.0346404,100,0.09785982,0.07837335,-11.562875,59.979538,
0.29832378,59.86343240737915,-2.193048,[-0.565 -1.168 -0.813 -1.05  -0.032],500,0.18660612,-36.479626,1.354813,5,-45.77989,2.8726835,-12.446551,-106.44335079177198,99.000015,37.07,7.5057845,-45.38352,0.9232998,18387,100.0,1.8875521,100,0.46693352,0.08393802,-11.706738,61.592506,
0.3277594,71.89721250534058,-2.1805615,[-0.572 -1.199 -0.82  -1.046 -0.031],600,0.10529504,-30.542395,1.7529417,6,-45.90787,9.4194565,-12.574536,-107.31344864434796,99.0,36.73,7.3600473,-44.927956,0.9664094,22060,100.0,2.9039867,100,1.1252499,0.09062854,-10.939867,52.107014,
0.3172393,85.49822926521301,-1.5815231,[-0.548 -1.18  -0.814 -1.067 -0.035],700,0.1355856,-33.209614,1.3985106,7,-46.242004,3.1220622,-12.908669,-107.47338119193365,99.00001,37.55,7.7171454,-45.492233,0.88853794,25815,100.0,1.8505878,100,0.48278567,0.08965018,-11.557693,66.298935,
0.34762344,98.57044458389282,-2.056289,[-0.546 -1.18  -0.817 -1.09  -0.074],800,0.13962193,-33.063816,1.9271437,8,-46.5096,5.1143036,-13.1762705,-105.62411561389628,99.00001,36.62,8.039742,-44.97302,0.82413375,29477,100.0,3.046557,100,0.71152234,0.09545865,-10.623889,47.784718,
0.30136216,112.59116435050964,-1.4834657,[-0.56  -1.195 -0.814 -1.068 -0.063],900,0.28531608,-28.992422,1.2524006,9,-44.418888,3.3992333,-11.085553,-105.78775394204517,99.0,41.33,7.3314962,-43.800476,0.957551,33610,100.0,1.5039246,100,0.45344442,0.09021207,-10.162484,47.677536,
0.29467723,124.43276166915894,-2.0914168,[-0.567 -1.207 -0.807 -1.061 -0.062],1000,0.23460327,-29.470451,1.3503152,10,-44.8665,4.2506084,-11.533165,-105.74486154306038,99.0,38.4,7.344885,-44.40203,1.0032265,37450,100.0,1.9656631,100,0.5186189,0.084419854,-10.848716,50.892258,
0.28130063,138.72541642189026,-2.00268,[-0.62  -1.214 -0.812 -1.053 -0.057],1100,0.40912306,-32.203205,1.079952,11,-45.64896,3.0599217,-12.315625,-105.1779617589204,99.0,39.28,7.786483,-45.49216,1.0223383,41378,100.0,1.1996077,100,0.30964825,0.082074024,-12.0327215,61.706005,
0.2853569,151.37109422683716,-1.991162,[-0.608 -1.226 -0.81  -1.051 -0.067],1200,0.37709093,-33.612694,1.1845354,12,-44.1804,2.5826278,-10.847072,-105.96062496706318,99.00004,39.57,6.969657,-43.948215,0.97888464,45335,100.0,1.339997,100,0.38181245,0.08354412,-10.461841,40.14855,
0.32678172,164.22832918167114,-2.0775437,[-0.631 -1.238 -0.814 -1.046 -0.052],1300,0.23596571,-33.771942,1.2822173,13,-45.0255,3.4458132,-11.692165,-104.98337818602776,99.0,42.82,7.828105,-44.496864,0.97824466,49617,100.0,1.7831708,100,0.4813177,0.09911415,-10.86786,58.717964,
0.33208326,177.84434747695923,-2.196435,[-0.616 -1.267 -0.821 -1.043 -0.073],1400,0.08890137,-30.057938,1.489423,14,-44.354618,7.304478,-11.021282,-105.24302512781301,99.0,42.83,7.1643977,-43.78128,0.8796278,53900,100.0,1.9202908,100,0.79109657,0.10069345,-10.015849,49.673134,
0.31868738,190.97588539123535,-2.3878803,[-0.597 -1.247 -0.824 -1.047 -0.082],1500,0.19459772,-27.073542,1.4051552,15,-43.921303,7.494643,-10.587969,-105.47946258916798,99.0,42.71,6.937799,-43.39733,0.9595908,58171,100.0,1.855009,100,0.5890901,0.09681451,-9.698748,41.503635,
0.3101611,203.7426402568817,-2.2682624,[-0.608 -1.262 -0.822 -1.037 -0.083],1600,0.15072976,-30.457417,1.3170012,16,-44.707382,3.295919,-11.374046,-106.43110390463691,99.0,42.14,6.7098336,-44.248142,1.0114119,62385,100.0,1.6414572,100,0.4560303,0.09369431,-10.641864,43.852592,
0.28462058,214.76946473121643,-2.4211407,[-0.623 -1.283 -0.825 -1.032 -0.087],1700,0.2539263,-32.889843,1.2177076,17,-45.80747,2.6114283,-12.4741335,-106.14544679913772,99.00001,37.41,7.353865,-45.444508,0.98438245,66126,100.0,1.4829332,100,0.4272002,0.080688074,-11.930408,51.05509,
