MinIWNorm,InitialBound,Bound,TimeElapsed,EpLenMean,ReturnMeanIW,EntropyCoefficient,MinIW,EpisodesSoFar,Weights,MeanEntropy,J_sample_variance,InitialReturnMean,TimestepsSoFar,EpRewMean,Iteration,MaxIWNorm,EpThisIter,InitialReturnMax,ReturnStepMax,StdIW,InitialReturnStd,ESSRenyi,MeanIW,StdIWNorm,MaxIW,InitialReturnMin,ReturnStepMaxmin,MeanIWNorm,ESSClassic,EmpiricalD2
0.0034276433,1.1122805,1.2319852,3.589381694793701,17.45,0.17661813,0.9752639,0.34276435,100,[-0.689  0.919 -0.673  0.288  0.   ],1.4246941,14.046042,3.7384034e-06,1745,-108.67197648780628,1,0.02875926,100,9.20005,100.0,0.4005012,3.275067,84.26017,1.0250472,0.0040050116,2.875926,-4.7708664,86.90667,0.0102504715,86.756004,1.1868004
0.006822761,1.1122787,1.1213236,8.225163698196411,16.85,0.04973468,0.9726281,0.6822761,200,[-0.686  0.926 -0.683  0.269  0.006],1.4258654,10.712459,6.866455e-06,3430,-107.78300359353253,2,0.013437494,100,9.372665,100.0,0.124362424,3.3484306,98.21537,0.9722465,0.0012436241,1.3437494,-5.259186,86.57436,0.009722466,98.3902,1.0181706
0.00654249,1.0981109,1.1668193,11.802744388580322,17.37,0.076535106,0.9962041,0.654249,300,[-0.684  0.93  -0.686  0.268  0.007],1.4310261,13.524012,-2.5177003e-06,5167,-108.42714149596424,3,0.016226338,100,9.832558,100.0,0.19583164,3.3935604,95.542786,1.0038031,0.0019583162,1.6226339,-4.5741196,86.897766,0.010038031,96.33354,1.0466515
0.00032985775,1.134007,1.5975318,16.19628071784973,17.41,0.7154004,0.9796532,0.032985777,400,[-0.691  0.913 -0.689  0.259  0.012],1.4251639,29.744661,2.822876e-06,6908,-108.36265989466872,4,0.08066253,100,8.91066,100.0,1.1490111,3.0368,33.388123,1.0205567,0.01149011,8.066254,-4.5529327,86.93305,0.010205567,44.09994,2.9950771
0.0016094458,1.0011302,1.1970522,21.141480922698975,16.89,0.6145302,0.8038362,0.16094458,500,[-0.683  0.938 -0.713  0.227  0.006],1.4356322,37.88913,-1.0375977e-05,8597,-108.36590973014503,5,0.15851916,100,12.7206955,100.0,1.7470763,3.2625146,55.050365,1.2183597,0.017470764,15.851916,-4.531143,86.53964,0.012183597,32.72,1.8165183
0.0027083266,0.9896046,1.1894135,26.204414129257202,16.91,0.31614715,0.9685305,0.27083266,600,[-0.678  0.96  -0.735  0.215  0.017],1.4430054,17.805475,3.0517577e-07,10288,-108.27463296795275,6,0.029068192,100,13.3808365,100.0,0.547989,3.6605573,72.36313,0.9680247,0.00547989,2.9068193,-4.1424255,86.577774,0.009680246,75.731316,1.3819193
0.0007368295,1.0885192,1.3286564,31.053590536117554,16.89,0.38840386,0.9542822,0.07368295,700,[-0.681  0.944 -0.717  0.223  0.024],1.4422773,16.91953,-3.2043456e-06,11977,-108.26255559687954,7,0.02816098,100,10.634491,100.0,0.63823503,2.7995687,66.076164,1.0467958,0.00638235,2.816098,-4.3925934,86.56937,0.01046796,72.900215,1.513405
0.01,1.0849994,1.0849994,36.005165576934814,17.17,8.6426735e-07,1.0,1.0,800,[-0.703  0.916 -0.7    0.196  0.023],1.4422773,9.854859,8.392334e-07,13694,-108.69071028553604,8,0.01,100,10.718361,100.0,,3.1235094,100.0,1.0,9.313226e-10,1.0,-4.4191666,86.701965,0.009999999,100.0,1.0
0.01,1.0885782,1.0885782,40.592209815979004,16.94,8.031726e-06,1.0,1.0,900,[-0.703  0.916 -0.7    0.196  0.023],1.4422773,8.067922,8.010864e-06,15388,-108.57337362731786,9,0.01,100,10.611214,100.0,,2.826171,100.0,1.0,9.313226e-10,1.0,-4.3759613,86.55044,0.009999999,100.0,1.0
0.01,1.1602037,1.1602037,45.04147410392761,17.08,-1.3671815e-06,1.0,1.0,1000,[-0.703  0.916 -0.7    0.196  0.023],1.4422773,7.810372,-1.3732911e-06,17096,-108.851392810579,10,0.01,100,8.462166,100.0,,2.7806957,100.0,1.0,9.313226e-10,1.0,-4.0560226,86.64666,0.009999999,100.0,1.0
0.009987912,1.1291419,1.1292057,49.301554679870605,17.04,0.00013698637,0.9999452,0.9987913,1100,[-0.703  0.916 -0.7    0.196  0.023],1.4422787,11.296687,-4.4250487e-06,18800,-108.2407589560445,11,0.010015911,100,9.393929,100.0,0.00052883936,3.344117,99.999985,0.9999452,5.2884225e-06,1.0015912,-4.3684387,86.69458,0.009999451,99.99999,1.0000001
0.0001264746,1.0704255,1.8028765,53.814778089523315,17.23,1.0577155,0.9992004,0.01264746,1200,[-0.703  0.916 -0.7    0.196  0.023],1.439453,99.57686,-1.197815e-05,20523,-108.62899031684066,12,0.102843285,100,11.155235,100.0,1.5177191,3.2354355,28.778732,1.0007999,0.015177193,10.284328,-4.4368057,86.74721,0.010007999,30.304953,3.4747882
