MinIW,EpisodesSoFar,EpRewMean,TimestepsSoFar,StdD2w0t,EpLenMean,ReturnStepMaxmin,InitialReturnMax,Bound,MaxD2w0t,EpThisIter,ReturnMeanIW,InitialReturnStd,MinD2w0t,MeanD2w0t,TimeElapsed,InitialBound,StdIW,InitialReturnMin,MaxIW,InitialReturnMean,EmpiricalD2,Iteration,J_sample_variance,ReturnStepMax,MeanIW,Weights
0.8609817,1900,-121.45047629554307,88121,0.29179695,46.91,99.17883,-59.8343,-365.68332,1.0058674,100,-81.079384,8.514206,,0.09388945,277.5267879962921,-365.87567,0.0517688,-95.232796,1.1799961,-81.41475,1.0030565,19,85.05139,100.0,0.99569607,[-0.371 -0.692 -0.486 -0.25   0.006]
0.74828565,2000,-122.50024901562082,92896,0.29507288,47.75,99.27581,-62.593765,-379.70206,1.0162238,100,-80.02713,8.732576,,0.09588115,292.0103859901428,-380.6393,0.06982222,-96.06098,1.1879368,-81.75092,1.0073035,20,115.737755,100.0,0.9745755,[-0.376 -0.69  -0.486 -0.249  0.006]
0.9201822,2100,-122.80445390424144,97529,0.29014102,46.33,99.22943,-60.84046,-372.936,1.0023961,100,-82.6157,8.910486,,0.092717305,306.53100991249084,-373.0566,0.03281258,-98.2423,1.1141181,-82.842995,1.0010812,21,75.74361,100.0,0.9978052,[-0.376 -0.695 -0.491 -0.249  0.012]
0.8090792,2200,-120.97392961958711,102118,0.2893102,45.89,99.24011,-58.112263,-372.41623,1.008505,100,-80.94865,8.70056,,0.09197051,319.77498388290405,-372.8612,0.059354722,-98.91014,1.1862289,-81.765076,1.0040011,22,92.70132,100.0,0.9888664,[-0.377 -0.694 -0.49  -0.25   0.012]
0.79730797,2300,-121.3596623018513,106732,0.28997824,46.14,99.21391,-53.705387,-384.87363,1.0102627,100,-81.09385,8.367935,,0.09245923,333.9081857204437,-385.3573,0.059435844,-98.35815,1.2412717,-81.97457,1.0033206,23,96.125534,100.0,0.9866175,[-0.377 -0.688 -0.487 -0.248  0.007]
0.8371884,2400,-121.43662395643996,111444,0.2929486,47.12,99.11236,-60.69721,-371.0779,1.0107042,100,-80.433754,8.542417,,0.09449117,348.18047070503235,-371.56653,0.06556655,-97.85003,1.2220371,-81.3529,1.0049675,24,104.8604,100.0,0.9860778,[-0.374 -0.694 -0.487 -0.249  0.005]
0.88721293,2500,-121.18943862224886,116042,0.28957033,45.98,99.12774,-59.070923,-364.92578,1.0055027,100,-81.204666,8.819914,,0.0921525,362.3628833293915,-365.2583,0.053370494,-98.62605,1.156329,-81.83819,1.0031313,25,86.535225,100.0,0.9921742,[-0.371 -0.692 -0.485 -0.246  0.005]
0.86432993,2600,-124.25844129268977,120747,0.29255962,47.05,99.25206,-63.18553,-378.3509,1.0072278,100,-82.77394,8.152107,,0.09429221,376.9890887737274,-378.77734,0.066932715,-97.40234,1.2024653,-83.56239,1.0047086,26,74.86248,100.0,0.9904975,[-0.369 -0.688 -0.48  -0.245  0.007]
0.6409749,2700,-120.46139980096312,125381,0.2925492,46.34,99.0,-55.538895,-369.91254,1.0324284,100,-78.34624,8.629084,,0.09350108,391.10778760910034,-371.29843,0.10648537,-97.32992,1.2528329,-81.0848,1.0132812,27,145.25223,100.0,0.9622928,[-0.372 -0.69  -0.48  -0.246  0.009]
0.8169538,2800,-121.06233015065031,130300,0.2981456,49.19,99.00007,-35.315353,-383.56787,1.0057087,100,-79.381256,10.064987,,0.09848283,405.34491181373596,-383.78693,0.04779032,-96.98228,1.1262188,-79.817566,1.0025163,28,128.80972,100.0,0.9918323,[-0.364 -0.697 -0.477 -0.246  0.008]
0.7712702,2900,-121.5018901377819,134919,0.2902686,46.19,99.1353,-63.538303,-377.42664,1.0105749,100,-81.05678,8.6143055,,0.09260492,419.8588697910309,-377.85846,0.060877055,-98.49766,1.143418,-81.874985,1.0045941,29,104.66207,100.0,0.98781556,[-0.359 -0.696 -0.475 -0.246  0.007]
0.8486091,3000,-123.38768857113007,139555,0.29087555,46.36,99.13716,-63.233067,-376.46835,1.0114508,100,-82.380104,7.7275844,,0.09298882,434.072954416275,-376.9823,0.057501946,-95.950676,1.1490747,-83.35815,1.0046076,30,82.88164,100.0,0.98675007,[-0.357 -0.7   -0.475 -0.244  0.005]
0.8437375,3100,-122.99825782659492,144211,0.29133016,46.56,99.1866,-56.50632,-370.87592,1.0103753,100,-82.073654,8.703666,,0.09335028,448.6465587615967,-371.28787,0.06293549,-98.1978,1.1645515,-82.902245,1.0049943,31,107.712105,100.0,0.9875954,[-0.362 -0.701 -0.479 -0.246  0.007]
0.7456619,3200,-121.63386649180319,148917,0.2943708,47.06,99.10459,-54.86524,-373.05603,1.0207584,100,-78.97081,8.843448,,0.094884016,462.8280770778656,-374.29895,0.0992595,-98.3566,1.3346359,-81.49807,1.0113394,32,148.29053,100.0,0.96595216,[-0.362 -0.706 -0.481 -0.244  0.01 ]
0.65052843,3300,-122.77164745360712,153660,0.2944502,47.43,99.06589,-53.28401,-373.10934,1.0211071,100,-80.24969,8.839367,,0.09532028,477.30665278434753,-374.12418,0.117104106,-98.01036,1.3766234,-82.16577,1.0117095,33,164.9886,100.0,0.97242075,[-0.356 -0.705 -0.473 -0.245  0.01 ]
0.7743914,3400,-121.90335382301427,158503,0.29672855,48.43,99.0869,-50.092678,-378.27957,1.0115054,100,-79.53109,8.822923,,0.09717664,492.7182409763336,-379.06064,0.07850281,-99.05561,1.2178829,-80.873985,1.0061709,34,109.04705,100.0,0.98177916,[-0.357 -0.698 -0.469 -0.241  0.006]
0.7815343,3500,-121.8312850640522,163313,0.29592422,48.1,99.10462,-48.90908,-374.65253,1.0116745,100,-79.60037,9.669069,,0.0965474,506.826865196228,-375.41766,0.07894362,-96.61432,1.2217104,-80.988976,1.0076032,35,136.14334,100.0,0.97902125,[-3.574e-01 -6.913e-01 -4.666e-01 -2.383e-01 -2.432e-04]
0.88836473,3600,-124.68380534969867,168183,0.29679465,48.7,99.2497,-63.417664,-388.25653,1.0042039,100,-82.39894,8.294157,,0.09749883,521.9194777011871,-388.52026,0.038552772,-99.774796,1.1341348,-82.86705,1.0018843,36,74.22197,100.0,0.9937403,[-0.36  -0.695 -0.469 -0.236  0.005]
0.7440358,3700,-122.84141394859002,173027,0.29675862,48.44,99.0,-24.278042,-391.4032,1.0208888,100,-80.0645,9.709906,,0.097191736,536.7966392040253,-392.30103,0.08701351,-98.94634,1.3041866,-81.77274,1.0077322,37,128.79091,100.0,0.97847766,[-0.361 -0.698 -0.471 -0.237  0.007]
0.80950457,3800,-123.67935903389451,177955,0.2986173,49.28,99.24737,-62.10866,-374.78748,1.0087749,100,-80.83928,7.3437977,,0.0987435,551.3762137889862,-375.22153,0.06048695,-98.24053,1.1368387,-81.59734,1.0048565,38,77.38074,100.0,0.9891179,[-0.367 -0.694 -0.47  -0.237  0.002]
0.838862,3900,-121.71505437543868,182489,0.28768936,45.34,99.16027,-60.107113,-375.0752,1.0078954,100,-81.96132,8.671152,,0.090852484,565.2450709342957,-375.5304,0.051333617,-98.35961,1.1271168,-82.72954,1.0036414,39,89.58601,100.0,0.99008477,[-3.625e-01 -6.910e-01 -4.675e-01 -2.387e-01 -4.702e-04]
0.76963013,4000,-122.33667470004946,187493,0.30084282,50.04,99.07748,-48.530655,-383.4572,1.0114372,100,-78.97698,9.261856,,0.100323044,580.4454011917114,-384.03088,0.076671354,-98.37331,1.2508699,-80.061516,1.0056152,40,91.107285,100.0,0.98668736,[-3.632e-01 -6.972e-01 -4.699e-01 -2.377e-01  1.116e-04]
0.87872595,4100,-122.25712635370259,192157,0.29107672,46.64,99.236115,-65.82789,-378.69397,1.0029434,100,-81.8243,7.8671837,,0.09335829,595.5141215324402,-378.89734,0.03554541,-98.7425,1.1363946,-82.16273,1.0015243,41,61.883423,100.0,0.99603117,[-0.368 -0.692 -0.469 -0.236 -0.004]
0.8578838,4200,-123.4997364227819,196886,0.29337,47.29,99.19835,-60.949844,-378.8694,1.0142379,100,-81.6028,8.152327,,0.094815664,609.588449716568,-379.5238,0.07379928,-99.147446,1.3090879,-82.78917,1.0053295,42,68.0549,100.0,0.98638743,[-0.37  -0.696 -0.471 -0.237 -0.002]
0.8702477,4300,-122.72640226009563,201754,0.29690504,48.68,99.212685,-55.96485,-380.449,1.0058699,100,-80.60287,8.55933,,0.09750664,624.2678101062775,-380.86517,0.05497456,-98.53073,1.2466158,-81.290764,1.0029435,43,71.20079,100.0,0.9922544,[-0.373 -0.692 -0.468 -0.237  0.001]
