Bound,MeanIW,TimeElapsed,MinIW,EntropyCoefficient,MaxIW,InitialBound,StdIWNorm,ESSClassic,InitialReturnMean,EpLenMean,MaxIWNorm,InitialReturnMin,EpisodesSoFar,MeanIWNorm,EpThisIter,MeanEntropy,EpRewMean,MinIWNorm,StdIW,EmpiricalD2,ReturnStepMax,Iteration,InitialReturnStd,ESSRenyi,Weights,InitialReturnMax,ReturnMeanIW,J_sample_variance,ReturnStepMaxmin,TimestepsSoFar
7.088779,0.9989442,5.41251540184021,0.39070648,4.994724,2.6344142,6.7880616,0.004097533,85.597916,3.7384034e-06,17.45,0.026344141,-4.7708664,100,0.009989442,100,1.4575897,-108.67197648780628,0.003907065,0.40975332,1.2356269,100.0,1,3.275067,80.93057,[-0.689  0.919 -0.673  0.288  0.   ],9.20005,0.14940935,14.053791,86.90667,1745
7.0294647,1.0,12.587910652160645,1.0,5.0,1.0,7.0294647,9.313226e-10,100.0,-3.890991e-06,16.58,0.01,-5.5104446,200,0.009999999,100,1.4575897,-107.24977558829232,0.01,,1.0,100.0,2,2.9609342,100.0,[-0.69   0.916 -0.694  0.278  0.039],7.7543945,-3.8966537e-06,8.855688,86.40608,3403
16.072718,3.9003315,17.374964952468872,0.00049380824,0.27502492,321.65207,6.9716396,0.32174122,1.4482841,-7.6293946e-07,17.64,3.2165205,-4.2042465,300,0.039003316,100,1.4315305,-108.7461623949531,4.9380824e-06,32.174126,510.5124,100.0,3,3.1059449,0.19588163,[-0.69   0.916 -0.694  0.278  0.039],9.489243,22.82584,48199.023,87.049484,5167
6.8108525,1.0,23.33601188659668,1.0,5.0,1.0,6.8108525,9.313226e-10,100.0,-4.272461e-06,17.86,0.01,-4.8339844,400,0.009999999,100,1.4315305,-109.0940106361421,0.01,,1.0,100.0,4,3.2470274,100.0,[-0.75   0.891 -0.568  0.258  0.012],10.403862,-4.336238e-06,10.649684,87.13032,6953
6.7956486,1.0,27.5762939453125,1.0,5.0,1.0,6.7956486,9.313226e-10,100.0,-4.9591063e-06,17.51,0.01,-3.999466,500,0.009999999,100,1.4315305,-108.86415600599638,0.01,,1.0,100.0,5,3.1348848,100.0,[-0.75   0.891 -0.568  0.258  0.012],10.859962,-4.965812e-06,9.92677,86.93909,8704
7.461493,1.0000107,31.755363702774048,0.15417713,4.9999466,4.856847,6.8356066,0.0067905,68.44163,-1.2512207e-05,16.85,0.04856847,-4.130455,600,0.010000106,100,1.4882817,-108.53301037060781,0.0015417712,0.6790501,1.5309755,100.0,6,2.511659,65.31783,[-0.75   0.891 -0.568  0.258  0.012],9.6609955,0.41862392,17.38196,86.53487,10389
7.335562,1.0000303,36.79607892036438,0.10297275,4.9998484,5.9177136,7.002216,0.008096272,60.406296,-1.5258789e-07,17.06,0.059177134,-3.8879623,700,0.010000302,100,1.5181545,-108.73793056233976,0.0010297275,0.8096273,1.8152853,100.0,7,3.015965,55.087757,[-0.776  0.866 -0.572  0.215  0.069],13.175781,0.33675537,21.268724,86.6305,12095
7.5440454,1.0000178,44.62534785270691,0.5977218,4.9999113,1.7120872,7.353441,0.0018519512,96.68413,1.5258789e-07,17.53,0.017120872,-4.699951,800,0.010000178,100,1.5414113,-108.55149255961877,0.005977218,0.18519513,1.045093,100.0,8,2.8936265,95.68526,[-0.784  0.845 -0.549  0.225  0.099],7.1199417,0.07974903,8.943311,86.98706,13848
7.379972,1.0000057,51.97460126876831,0.9027963,4.9999714,1.1685749,7.341342,0.0005878716,99.65559,5.9509275e-06,17.73,0.011685749,-4.591614,900,0.0100000575,100,1.54842,-108.7518525482475,0.0090279635,0.05878716,1.0053695,100.0,9,3.4316745,99.46591,[-0.789  0.845 -0.547  0.21   0.122],10.971619,0.0046177246,11.881322,87.09744,15621
7.376609,1.0,58.87135601043701,1.0,5.0,1.0,7.376609,9.313226e-10,100.0,-1.0681152e-06,17.53,0.01,-4.3540344,1000,0.009999999,100,1.54842,-108.74473300375729,0.01,,1.0,100.0,10,2.8050573,100.0,[-0.787  0.848 -0.543  0.203  0.129],10.964699,-1.1054799e-06,7.9478235,86.95061,17374
7.399336,1.0,63.923789501190186,1.0,5.0,1.0,7.399336,9.313226e-10,100.0,9.07898e-06,17.45,0.01,-4.2204666,1100,0.009999999,100,1.54842,-108.97151550366762,0.01,,1.0,100.0,11,2.970178,100.0,[-0.787  0.848 -0.543  0.203  0.129],10.2831955,9.059906e-06,8.911067,86.92677,19119
10.240001,1.1256483,69.27512001991272,0.008258911,4.409625,36.08621,7.290637,0.03739252,8.309243,4.7302246e-06,17.6,0.36086208,-4.071808,1200,0.011256483,100,1.6054747,-109.69330739692735,8.2589104e-05,3.739252,15.485987,100.0,12,2.8746777,6.457451,[-0.787  0.848 -0.543  0.203  0.129],13.544029,4.937085,2399.7068,86.91913,20879
7.6876493,0.9999875,76.63090372085571,0.9845035,4.9999375,1.0169847,7.683505,6.998582e-05,99.995094,-1.6555787e-05,18.25,0.010169847,-4.1724014,1300,0.009999874,100,1.6064216,-109.65661105384055,0.009845035,0.006998577,1.0000718,100.0,13,2.6317282,99.99282,[-0.754  0.788 -0.492  0.222  0.187],10.315552,-0.0004938282,6.995746,87.367294,22704
7.698554,1.0,82.45705318450928,1.0,5.0,1.0,7.698554,9.313226e-10,100.0,-1.0681152e-06,18.5,0.01,-4.5825653,1400,0.009999999,100,1.6064216,-109.26894553236917,0.01,,1.0,100.0,14,3.4067483,100.0,[-0.754  0.788 -0.492  0.222  0.187],10.006592,-1.0952353e-06,11.7231655,87.57413,24554
9.024057,1.0000048,88.16059589385986,0.18510017,4.999976,11.0344,7.6895876,0.012763048,38.038166,-9.155273e-07,19.22,0.110344,-4.082428,1500,0.010000049,100,1.718727,-110.75631642584152,0.0018510016,1.2763047,1.9661212,100.0,15,3.024805,50.861565,[-0.754  0.788 -0.492  0.222  0.187],10.275589,0.91073954,69.10641,87.853546,26476
8.443678,1.0000002,94.96526193618774,0.53089464,4.999999,2.6923423,8.221258,0.0036790941,88.07802,-9.918213e-07,18.94,0.026923422,-5.1914215,1600,0.010000003,100,1.7633089,-109.81261558979453,0.005308946,0.3679094,1.142308,100.0,16,3.2051356,87.54206,[-0.762  0.781 -0.505  0.218  0.3  ],11.171257,0.025125608,10.112403,87.78226,28370
