Bound,MaxNormIw,VarDiscRet,VarVanillaIw,ESSClassic,AvgEpLen,AvgDiscRet,AvgVanillaIw,EpsThisIter,MaxVanillaIw,ESSRenyi,VanillaAvgRet,Delta,MinVanillaIw,IterType,AvgNormIw,VarNormIw,J,eRenyi2,VarJ,AvgRet,BatchSize,VarRet,MinNormIw
276.472,0.274779,10506.6411826,15.5898,8.45571739058,15.74,144.054315723,1.19398,100,32.8081,,144.054315723,1.0,0.000190856,1,0.01,0.00109357,276.472,inf,158.828,144.054315723,100,10506.6411826,1.59849e-06
282.931,0.403624,10471.7397282,324852.0,4.97887884251,15.74,265.968206743,129.812,100,5239.54,1.15577709988,144.054315723,1.0,0.0304803,,0.01,0.00192776,282.931,173.044,92.105,144.054315723,200,10506.6411826,2.34803e-06
289.828,0.11848,16561.0209513,6.01284,29.2832852476,18.04,165.51029362,1.01303,100,24.0048,,165.51029362,1.0,0.00121315,1,0.005,0.000146478,289.828,inf,243.338,165.51029362,200,16561.0209513,5.98774e-06
248.501,0.01,12179.1515068,,100.0,26.93,248.500644612,1.0,100,1.0,200.0,248.500644612,1.0,1.0,2,0.01,3.50449e-18,248.501,1.0,109.806,248.500644612,200,12179.1515068,0.01
259.029,0.201741,14027.7385324,4974.6,15.5528426476,18.04,265.99888406,20.4296,100,824.297,15.0809624308,165.51029362,1.0,0.0416583,,0.005,0.000297975,259.029,19.8926,196.393,165.51029362,300,16561.0209513,1.01956e-05
472.815,0.369805,14417.8870727,78.4898,6.23134191512,15.96,146.103457096,1.28816,100,142.91,,146.103457096,1.0,1.29002e-05,1,0.00333333,0.000525571,472.815,inf,1330.54,146.103457096,300,14417.8870727,3.33815e-08
292.717,0.01,20570.5954225,,100.0,31.68,292.717305876,1.0,100,1.0,300.0,292.717305876,1.0,1.0,2,0.01,3.50449e-18,292.717,1.0,142.706,292.717305876,300,20570.5954225,0.01
296.646,0.005,19426.9416016,,200.000000102,32.51,300.574818207,1.0,100,1.0,300.0,300.574818207,1.0,1.0,2,0.005,2.1793e-19,296.646,1.0,140.763,300.574818207,300,19426.9416016,0.005
335.697,0.372974,36311.000159,2.28876e+07,6.18206993375,15.96,309.196712475,692.792,100,77518.0,1.86825290658,146.103457096,1.0,0.0069974,,0.00333333,0.000529849,335.697,214.104,549.177,146.103457096,400,14417.8870727,3.36676e-08
406.248,0.20427,6327.71035266,30.2313,12.0040707539,15.21,139.202467825,0.965907,100,78.9222,,139.202467825,1.0,2.56858e-05,1,0.0025,0.000202519,406.248,inf,1331.96,139.202467825,400,6327.71035266,6.6481e-08
312.256,0.01,16883.2087613,,100.0,33.74,312.256026343,1.0,100,1.0,400.0,312.256026343,1.0,1.0,2,0.01,3.50449e-18,312.256,1.0,129.284,312.256026343,400,16883.2087613,0.01
306.522,0.005,17320.2473544,,200.000000102,32.51,300.788495888,1.0,100,1.0,400.0,300.788495888,1.0,1.0,2,0.005,2.1793e-19,306.522,1.0,130.244,300.788495888,400,17320.2473544,0.005
304.304,0.00333333,13070.1139904,,299.999969474,32.43,299.868455246,1.0,100,1.0,400.0,299.868455246,1.0,1.0,2,0.00333333,5.43914e-20,304.304,1.0,125.028,299.868455246,400,13070.1139904,0.00333333
319.817,0.126112,16199.0137509,1.09851e+07,20.6221595899,15.21,303.647024501,771.775,100,38932.0,0.432960102557,139.202467825,1.0,0.0126707,,0.0025,0.000115267,319.817,1154.84,529.706,139.202467825,500,6327.71035266,4.1044e-08
380.486,0.174343,6209.43624744,17.4776,13.1134446028,14.14,129.256690871,0.68541,100,59.7483,,129.256690871,1.0,5.74142e-06,1,0.002,0.000148813,380.486,inf,1281.71,129.256690871,500,6209.43624744,1.67532e-08
348.142,0.01,26024.0820165,,100.0,37.61,348.141825793,1.0,100,1.0,500.0,348.141825793,1.0,1.0,2,0.01,3.50449e-18,348.142,1.0,160.511,348.141825793,500,26024.0820165,0.01
322.119,0.005,10506.9446935,,200.000000102,31.99,296.096395259,1.0,100,1.0,500.0,296.096395259,1.0,1.0,2,0.005,2.1793e-19,322.119,1.0,136.967,296.096395259,500,10506.9446935,0.005
315.795,0.00333333,7633.24014352,,299.999969474,32.77,303.147360565,1.0,100,1.0,500.0,303.147360565,1.0,1.0,2,0.00333333,5.43914e-20,315.795,1.0,122.905,303.147360565,500,7633.24014352,0.00333333
311.036,0.0025,18484.2601561,,400.0,32.1,296.758221128,1.0,100,1.0,500.0,296.758221128,1.0,1.0,2,0.0025,5.4346e-20,311.036,1.0,126.381,296.758221128,500,18484.2601561,0.0025
721.687,1.0,26370.9486052,0.000505043,1.0,33.9,313.649471317,0.00100503,100,0.502515,6.18124086561e-07,313.649471317,1.0,,1,0.002,0.002,721.687,8.08899e+08,7.23387e-08,313.649471317,500,26370.9486052,
492.696,0.01,54699.0417159,,100.0,53.31,492.695943031,1.0,100,1.0,500.0,492.695943031,1.0,1.0,2,0.01,3.50449e-18,492.696,1.0,232.706,492.695943031,500,54699.0417159,0.01
488.816,0.005,69341.6100906,,200.000000102,52.55,484.935592136,1.0,100,1.0,500.0,484.935592136,1.0,1.0,2,0.005,2.1793e-19,488.816,1.0,247.821,484.935592136,500,69341.6100906,0.005
475.28,0.00333333,82608.8921264,,299.999969474,48.52,448.207353088,1.0,100,1.0,500.0,448.207353088,1.0,1.0,2,0.00333333,5.43914e-20,475.28,1.0,261.86,448.207353088,500,82608.8921264,0.00333333
474.786,0.0025,62951.5727152,,400.0,51.28,473.306444788,1.0,100,1.0,500.0,473.306444788,1.0,1.0,2,0.0025,5.4346e-20,474.786,1.0,258.862,473.306444788,500,62951.5727152,0.0025
1419.95,1.0,75323.7185491,651515.0,1.0,50.36,464.705836362,36.0975,100,18048.8,1.65972024017e-09,464.705836362,1.0,,1,0.002,0.002,1419.95,3.01256e+11,0.000283884,464.705836362,500,75323.7185491,
940.141,0.01,124800.319438,,100.0,101.92,940.140884413,1.0,100,1.0,500.0,940.140884413,1.0,1.0,2,0.01,3.50449e-18,940.141,1.0,351.5,940.140884413,500,124800.319438,0.01
951.965,0.005,157937.794589,,200.000000102,104.64,963.789041402,1.0,100,1.0,500.0,963.789041402,1.0,1.0,2,0.005,2.1793e-19,951.965,1.0,374.293,963.789041402,500,157937.794589,0.005
968.694,0.00333333,169271.802082,,299.999969474,108.85,1002.15233439,1.0,100,1.0,500.0,1002.15233439,1.0,1.0,2,0.00333333,5.43914e-20,968.694,1.0,387.061,1002.15233439,500,169271.802082,0.00333333
983.876,0.0025,147529.970479,,400.0,111.86,1029.42027597,1.0,100,1.0,500.0,1029.42027597,1.0,1.0,2,0.0025,5.4346e-20,983.876,1.0,386.739,1029.42027597,500,147529.970479,0.0025
1291.06,0.330581,145112.170311,44.3607,5.20652246671,108.86,1002.16203836,0.682538,100,112.817,,1002.16203836,1.0,6.26557e-19,1,0.002,0.000380895,1291.06,inf,1055.1,1002.16203836,500,145112.170311,1.83596e-21
1257.27,0.01,122359.214371,,100.0,136.34,1257.26753771,1.0,100,1.0,500.0,1257.26753771,1.0,1.0,2,0.01,3.50449e-18,1257.27,1.0,348.045,1257.26753771,500,122359.214371,0.01
1290.82,0.005,93115.0191574,,200.000000102,144.0,1324.37979528,1.0,100,1.0,500.0,1324.37979528,1.0,1.0,2,0.005,2.1793e-19,1290.82,1.0,328.307,1324.37979528,500,93115.0191574,0.005
1275.36,0.00333333,120500.482486,,299.999969474,135.22,1244.43342803,1.0,100,1.0,500.0,1244.43342803,1.0,1.0,2,0.00333333,5.43914e-20,1275.36,1.0,334.814,1244.43342803,500,120500.482486,0.00333333
1272.48,0.0025,122331.377682,,400.0,137.39,1263.85305542,1.0,100,1.0,500.0,1263.85305542,1.0,1.0,2,0.0025,5.4346e-20,1272.48,1.0,338.197,1263.85305542,500,122331.377682,0.0025
2287.24,1.0,142808.337045,3.89415,1.0000003458,139.46,1283.06576518,0.0882514,100,44.1257,468.220366891,1283.06576518,1.0,,1,0.002,0.002,2287.24,1.06787,0.00580332,1283.06576518,500,142808.337045,
1849.17,0.01,302498.073048,,100.0,200.67,1849.16761616,1.0,100,1.0,500.0,1849.16761616,1.0,1.0,2,0.01,3.50449e-18,1849.17,1.0,547.241,1849.16761616,500,302498.073048,0.01
1793.18,0.005,440882.229447,,200.000000102,188.64,1737.20128417,1.0,100,1.0,500.0,1737.20128417,1.0,1.0,2,0.005,2.1793e-19,1793.18,1.0,609.186,1737.20128417,500,440882.229447,0.005
1825.15,0.00333333,509209.167658,,299.999969474,205.1,1889.08400491,1.0,100,1.0,500.0,1889.08400491,1.0,1.0,2,0.00333333,5.43914e-20,1825.15,1.0,646.133,1889.08400491,500,509209.167658,0.00333333
1839.18,0.0025,669021.397611,,400.0,204.2,1881.28237397,1.0,100,1.0,500.0,1881.28237397,1.0,1.0,2,0.0025,5.4346e-20,1839.18,1.0,692.307,1881.28237397,500,669021.397611,0.0025
4656.2,0.941277,321069.633115,81493.8,1.12436918079,191.72,1766.25541959,13.539,100,6371.96,,1766.25541959,1.0,,1,0.002,0.00177833,4656.2,inf,30.4181,1766.25541959,500,321069.633115,
3655.53,0.01,1319969.167,,100.0,393.72,3655.52615841,1.0,100,1.0,500.0,3655.52615841,1.0,1.0,2,0.01,3.50449e-18,3655.53,1.0,1143.14,3655.52615841,500,1319969.167,0.01
3625.71,0.005,1389115.71915,,200.000000102,387.37,3595.90358073,1.0,100,1.0,500.0,3595.90358073,1.0,1.0,2,0.005,2.1793e-19,3625.71,1.0,1158.4,3595.90358073,500,1389115.71915,0.005
3660.27,0.00333333,1442611.83813,,299.999969474,401.64,3729.37691098,1.0,100,1.0,500.0,3729.37691098,1.0,1.0,2,0.00333333,5.43914e-20,3660.27,1.0,1171.77,3729.37691098,500,1442611.83813,0.00333333
3621.16,0.0025,1171268.46974,,400.0,377.34,3503.83449358,1.0,100,1.0,500.0,3503.83449358,1.0,1.0,2,0.0025,5.4346e-20,3621.16,1.0,1150.76,3503.83449358,500,1171268.46974,0.0025
4553.91,0.271343,1513248.76026,87.1591,6.73401865979,370.6,3440.49842127,1.08973,100,147.845,,3440.49842127,1.0,7.4627e-09,1,0.002,0.000293587,4553.91,inf,1643.58,3440.49842127,500,1513248.76026,1.36964e-11
4530.84,0.01,225383.839485,,100.0,487.17,4530.84351646,1.0,100,1.0,500.0,4530.84351646,1.0,1.0,2,0.01,3.50449e-18,4530.84,1.0,472.366,4530.84351646,500,225383.839485,0.01
4492.45,0.005,442620.211655,,200.000000102,478.72,4454.05091115,1.0,100,1.0,500.0,4454.05091115,1.0,1.0,2,0.005,2.1793e-19,4492.45,1.0,576.313,4454.05091115,500,442620.211655,0.005
4473.24,0.00333333,542857.3651,,299.999969474,476.89,4434.81049537,1.0,100,1.0,500.0,4434.81049537,1.0,1.0,2,0.00333333,5.43914e-20,4473.24,1.0,633.487,4434.81049537,500,542857.3651,0.00333333
4453.3,0.0025,588853.226964,,400.0,472.29,4393.49843641,1.0,100,1.0,500.0,4393.49843641,1.0,1.0,2,0.0025,5.4346e-20,4453.3,1.0,669.262,4393.49843641,500,588853.226964,0.0025
4645.37,0.108821,439793.880364,16.5837,26.4320529298,477.65,4442.28600342,0.961126,100,52.2953,,4442.28600342,1.0,4.34591e-06,1,0.002,7.18094e-05,4645.37,inf,114.77,4442.28600342,500,439793.880364,9.04337e-09
4655.69,0.01,39.472331067,,100.0,500.0,4655.68627739,1.0,100,1.0,500.0,4655.68627739,1.0,1.0,2,0.01,3.50449e-18,4655.69,1.0,6.25121,4655.68627739,500,39.472331067,0.01
4640.94,0.005,55922.2860217,,200.000000102,496.85,4626.19781808,1.0,100,1.0,500.0,4626.19781808,1.0,1.0,2,0.005,2.1793e-19,4640.94,1.0,167.088,4626.19781808,500,55922.2860217,0.005
4638.2,0.00333333,50975.2288234,,299.999969474,497.59,4632.704978,1.0,100,1.0,500.0,4632.704978,1.0,1.0,2,0.00333333,5.43914e-20,4638.2,1.0,188.28,4632.704978,500,50975.2288234,0.00333333
