AvgDiscRet,ESSRenyi,J,VarJ,AvgRet,ESSClassic,BatchSize,AvgVanillaIw,MinNormIw,VarNormIw,VarVanillaIw,VarDiscRet,MaxVanillaIw,eRenyi2,Bound,MinVanillaIw,MaxNormIw,AvgNormIw,AvgEpLen,VarRet
9.094947017729283e-14,0.004194100686104084,4034.2263,,-4066.23450637783,1.0,100,308.4821,,0.010000002,9516120.0,4392402.075036766,30848.209,23843.014,1242723.9,,1.0,0.01,200.0,4392402.075036766
4.156675004196586e-15,,21.090895,,-23.131400542598964,,100,7.931828e+33,,0.010000003,inf,218.57719474843128,7.931828e+35,inf,1.6728933e+35,,1.0,0.01,200.0,218.57719474843128
-3.907985046680551e-15,nan,-1.4901161e-07,14.424064,-22.73151178472018,100.0,100,1.0,0.01,3.5044917e-18,,210.1551549751522,1.0,nan,-1.2192185,1.0,0.01,0.009999998,200.0,210.15515497515213
7.460698725481052e-16,nan,-5.9604645e-08,13.593785,-21.70447367746663,100.0,100,1.0,0.01,3.5044917e-18,,186.65758888913683,1.0,nan,-1.1490378,1.0,0.01,0.009999998,200.0,186.65758888913683
1.4210854715202005e-15,nan,-6.7055225e-08,14.231695,-22.79357934815926,100.0,100,1.0,0.01,3.5044917e-18,,204.58702524137894,1.0,nan,-1.2029581,1.0,0.01,0.009999998,200.0,204.58702524137894
8.526512829121202e-16,nan,-1.4901161e-08,13.03673,-20.025856081211145,100.0,100,1.0,0.01,3.5044917e-18,,171.67306510238592,1.0,nan,-1.1019517,1.0,0.01,0.009999998,200.0,171.67306510238592
-3.907985046680551e-15,nan,1.1920929e-07,14.933502,-22.709326450276325,100.0,100,1.0,0.01,3.5044917e-18,,225.2621337526572,1.0,nan,-1.26228,1.0,0.01,0.009999998,200.0,225.2621337526572
-4.263256414560601e-16,nan,,14.0438,-20.85911188084567,100.0,100,1.0,0.01,3.5044917e-18,,199.22053460378189,1.0,nan,-1.1870761,1.0,0.01,0.009999998,200.0,199.22053460378189
-8.881784197001252e-16,nan,-1.1920929e-07,14.064735,-24.87104560091082,100.0,100,1.0,0.01,3.5044917e-18,,199.81494772070522,1.0,nan,-1.1888459,1.0,0.01,0.009999998,200.0,199.81494772070522
-6.963318810448982e-15,nan,3.7252903e-08,14.562646,-24.653327539844998,100.0,100,1.0,0.01,3.5044917e-18,,214.2127821182907,1.0,nan,-1.2309325,1.0,0.01,0.009999998,200.0,214.2127821182907
-1.2434497875801752e-15,nan,1.4901161e-08,14.0037985,-24.063662995074395,100.0,100,1.0,0.01,3.5044917e-18,,198.08724572190965,1.0,nan,-1.1836951,1.0,0.01,0.009999998,200.0,198.08724572190962
-2.4513724383723455e-15,nan,2.9802322e-08,14.999322,-22.819550100285046,100.0,100,1.0,0.01,3.5044917e-18,,227.25215582438727,1.0,nan,-1.2678432,1.0,0.01,0.009999998,200.0,227.25215582438727
-1.7763568394002506e-16,nan,2.9802322e-08,14.446192,-24.736512240113335,100.0,100,1.0,0.01,3.5044917e-18,,210.80046518339896,1.0,nan,-1.2210888,1.0,0.01,0.009999998,200.0,210.80046518339896
-3.1974423109204507e-16,nan,,13.506736,-24.58765332563345,100.0,100,1.0,0.01,3.5044917e-18,,184.27467372612102,1.0,nan,-1.14168,1.0,0.01,0.009999998,200.0,184.27467372612102
3.694822225952521e-15,nan,2.9802322e-08,14.248412,-22.52336753368292,100.0,100,1.0,0.01,3.5044917e-18,,205.06791941105155,1.0,nan,-1.2043712,1.0,0.01,0.009999998,200.0,205.06791941105155
-1.652011860642233e-15,nan,-1.4901161e-08,14.3502035,-22.97901905527634,100.0,100,1.0,0.01,3.5044917e-18,,208.0084253845485,1.0,nan,-1.2129754,1.0,0.01,0.009999998,200.0,208.0084253845485
4.618527782440651e-16,nan,2.9802322e-08,14.152342,-24.405068588034492,100.0,100,1.0,0.01,3.5044917e-18,,202.31189825499374,1.0,nan,-1.1962507,1.0,0.01,0.009999998,200.0,202.31189825499374
3.659295089164516e-15,nan,-2.9802322e-08,13.567558,-24.216917511811804,100.0,100,1.0,0.01,3.5044917e-18,,185.93802128305788,1.0,nan,-1.1468209,1.0,0.01,0.009999998,200.0,185.93802128305788
3.3395508580724707e-15,nan,-1.1920929e-07,13.878854,-21.61818528055086,100.0,100,1.0,0.01,3.5044917e-18,,194.5682653210954,1.0,nan,-1.1731337,1.0,0.01,0.009999998,200.0,194.5682653210954
-1.3145040611561853e-15,nan,-5.9604645e-08,13.880084,-22.1506021940156,100.0,100,1.0,0.01,3.5044917e-18,,194.6027793978891,1.0,nan,-1.1732379,1.0,0.01,0.009999998,200.0,194.60277939788907
5.293543381412746e-15,nan,9.685755e-08,13.530095,-25.93671111963041,100.0,100,1.0,0.01,3.5044917e-18,,184.91258654461933,1.0,nan,-1.1436542,1.0,0.01,0.009999998,200.0,184.91258654461933
1.1368683772161603e-15,nan,,14.448593,-22.78009140581865,100.0,100,1.0,0.01,3.5044917e-18,,210.87055347358964,1.0,nan,-1.221292,1.0,0.01,0.009999998,200.0,210.87055347358958
-5.044853423896711e-15,nan,-1.1920929e-07,14.151187,-23.20306014486474,100.0,100,1.0,0.01,3.5044917e-18,,202.27888529867994,1.0,nan,-1.1961532,1.0,0.01,0.009999998,200.0,202.27888529868
-2.1671553440683055e-15,nan,5.9604645e-08,14.588868,-22.919339829451864,100.0,100,1.0,0.01,3.5044917e-18,,214.98494444136844,1.0,nan,-1.2331489,1.0,0.01,0.009999998,200.0,214.98494444136847
