VanillaAvgRet,VarDiscRet,AvgVanillaIw,VarJ,AvgNormIw,IterType,AvgEpLen,AvgRet,ESSRenyi,AvgDiscRet,delta,MinVanillaIw,VarNormIw,renyi2,SamplesThisIter,BatchSize,ESSClassic,EpsThisIter,VarRet,MaxNormIw,MaxVanillaIw,VarVanillaIw,MinNormIw,J,Bound
606.435535951,105675.946045,447.607,22177.6,7.29076e-06,1,65.6167979003,606.435535951,nan,606.435535951,0.7,,3.5139e-06,nan,50000,100,2.00257655443,762,105675.946045,0.490889,3.01376e+07,1.32446e+10,,247421.0,1255.92
68.2335642688,89.4614438814,0.951557,268.591,8.44823e-07,1,7.60340632603,68.2335642688,nan,68.2335642688,0.7,2.0218e-13,5.57508e-12,nan,50000,100,42.4668570832,6576,89.4614438814,0.000140862,158.658,7.07276,1.79502e-19,12959.2,74.2887
68.4169671961,88.458881689,0.963275,309.121,8.47142e-07,1,7.62427569381,68.4169671961,nan,68.4169671961,0.7,2.03892e-28,6.69885e-12,nan,50000,100,37.8613552999,6558,88.458881689,0.000829336,943.028,8.66142,1.79311e-34,12981.5,74.0135
68.2689875738,89.9311426154,0.952917,262.695,8.45337e-07,1,7.60803408399,68.2689875738,nan,68.2689875738,0.7,2.17792e-16,5.51032e-12,nan,50000,100,40.8981902037,6572,89.9311426154,0.000170422,192.111,7.00208,1.93204e-22,12962.0,74.237
68.7288435809,89.7955248676,0.949507,246.613,8.51035e-07,1,7.65931372549,68.7288435809,nan,68.7288435809,0.7,4.47684e-14,5.08061e-12,nan,50000,100,41.7397645185,6528,89.7955248676,0.000114509,127.759,6.32439,4.01255e-20,13014.7,74.6335
68.6247858048,87.9095424686,0.945608,255.357,8.49733e-07,1,7.64759865402,68.6247858048,nan,68.6247858048,0.7,2.02291e-27,5.18844e-12,nan,50000,100,40.3076092993,6538,87.9095424686,0.000110853,123.361,6.4253,1.81781e-33,13007.5,74.1904
68.4915960605,92.5270352079,0.955802,263.238,8.48176e-07,1,7.63358778626,68.4915960605,nan,68.4915960605,0.7,3.07841e-19,5.67216e-12,nan,50000,100,52.3884268316,6550,92.5270352079,0.000292663,329.799,7.20298,2.73178e-25,13000.7,74.4917
68.4157911021,88.378476201,0.960143,263.562,8.47142e-07,1,7.62427569381,68.4157911021,nan,68.4157911021,0.7,2.02247e-20,5.61926e-12,nan,50000,100,54.9315325781,6558,88.378476201,0.000140262,158.972,7.21837,1.78444e-26,12982.8,74.1147
68.4788449142,90.158438046,0.948251,289.881,8.47918e-07,1,7.63125763126,68.4788449142,nan,68.4788449142,0.7,5.78105e-08,2.53856e-12,nan,50000,100,37.9730149812,6552,90.158438046,0.000103447,115.688,3.17488,5.16936e-14,12831.4,73.6944
68.6683763266,89.2385717063,0.942419,253.988,8.50254e-07,1,7.65228037955,68.6683763266,nan,68.6683763266,0.7,2.9524e-23,5.01051e-12,nan,50000,100,43.2342389841,6534,89.2385717063,0.000158818,176.034,6.15564,2.66366e-29,13005.4,74.0283
