VarRet,VarVanillaIw,AvgRet,AvgEpLen,VanillaAvgRet,IterType,AvgDiscRet,VarNormIw,EpsThisIter,AvgNormIw,MinVanillaIw,MaxNormIw,eRenyi2,BatchSize,MaxVanillaIw,VarDiscRet,ESSClassic,Bound,Delta,ESSRenyi,MinNormIw,J,AvgVanillaIw,VarJ
22510.512621,13.2137,-317.008742276,388.34,-317.008742276,1,-317.008742276,0.000534659,100,0.01,1.14889e-15,0.0907097,7.73061,100,14.2603,22510.512621,15.8903518365,-162.454,0.7,12.9355963784,7.30808e-18,-86.5266,1.57208,125.54
9104.02610398,0.0488507,-98.9930271234,134.52,-98.9930271234,1,-98.9930271234,4.95224e-06,100,0.01,0.429589,0.022903,1.0883,100,2.27471,9104.02610398,95.3264108479,-124.474,0.7,91.8865902841,0.00432532,-95.9854,0.993196,89.1677
5028.71365907,0.649742,-86.1623997699,120.87,-86.1623997699,1,-86.1623997699,9.27678e-05,100,0.01,3.32006e-06,0.028802,1.61928,100,2.41043,5028.71365907,52.1267551922,-102.241,0.7,61.7559746857,3.96711e-08,-67.4913,0.836897,24.2105
6009.63737338,0.173831,-84.9645832776,118.0,-84.9645832776,1,-84.9645832776,1.95962e-05,100,0.01,0.0188533,0.0193599,1.17946,100,1.8234,6009.63737338,83.7519189624,-109.129,0.7,84.7845760664,0.000200175,-79.4712,0.941841,65.6395
3760.27960552,0.227428,-75.9622058661,107.29,-75.9622058661,1,-75.9622058661,1.95541e-05,100,0.01,0.0638712,0.0161774,1.23027,100,1.74467,3760.27960552,83.7812218301,-100.381,0.7,81.2829606713,0.000592245,-70.0919,1.07846,33.153
6101.06613359,0.317863,-81.4463178195,113.17,-81.4463178195,1,-81.4463178195,2.86381e-05,100,0.01,0.059535,0.0213833,1.30243,100,2.2528,6101.06613359,77.9109360434,-105.756,0.7,76.7795632522,0.000565099,-74.5907,1.05353,57.552
2576.19626115,0.0645963,-71.0464011966,101.43,-71.0464011966,1,-71.0464011966,6.25238e-06,100,0.01,0.788273,0.0239066,1.042,100,2.42996,2576.19626115,94.1709581573,-97.5213,0.7,95.9693506087,0.00775524,-69.646,1.01644,41.7973
3832.68930187,0.215059,-72.9953013459,102.89,-72.9953013459,1,-72.9953013459,2.49412e-05,100,0.01,0.00832662,0.0170945,1.22141,100,1.58736,3832.68930187,80.1977498986,-94.0476,0.7,81.872547503,8.96702e-05,-63.867,0.928582,17.8681
8260.40968867,0.697462,-89.0490324166,122.35,-89.0490324166,1,-89.0490324166,7.08644e-05,100,0.01,1.11364e-06,0.0233886,1.66283,100,2.32034,8260.40968867,58.769697636,-101.472,0.7,60.138473352,1.12253e-08,-66.2572,0.992079,18.5835
1376.75365072,0.0847468,-65.9450472955,94.8,-65.9450472955,1,-65.9450472955,8.94238e-06,100,0.01,0.235664,0.0169227,1.0807,100,1.64742,1376.75365072,91.8670498785,-92.2865,0.7,92.5323591593,0.00242079,-63.8975,0.973498,21.4503
2579.3201037,0.148668,-68.8767665888,98.96,-68.8767665888,1,-68.8767665888,1.43983e-05,100,0.01,0.0716756,0.0154429,1.14601,100,1.56921,2579.3201037,87.5240213181,-94.7882,0.7,87.2590706501,0.000705373,-65.554,1.01614,31.0151
3768.59323211,0.140308,-74.2511030759,105.06,-74.2511030759,1,-74.2511030759,1.62992e-05,100,0.01,0.135378,0.0172024,1.12454,100,1.59605,3768.59323211,86.1057435386,-100.294,0.7,88.9254873692,0.00145912,-71.3362,0.927806,48.0508
1366.83377763,0.257543,-67.9643352923,96.93,-67.9643352923,1,-67.9643352923,2.54124e-05,100,0.01,0.534464,0.0568801,1.04717,100,5.72614,1366.83377763,79.898816486,-94.7207,0.7,95.4957461482,0.00530904,-66.7841,1.0067,30.7359
4960.18310169,0.209054,-77.2466728471,108.31,-77.2466728471,1,-77.2466728471,2.32907e-05,100,0.01,0.205978,0.028624,1.20824,100,2.71186,4960.18310169,81.2626565111,-101.72,0.7,82.7650440316,0.00217411,-71.7024,0.94741,50.1459
2566.82458862,0.0206895,-70.8911662222,101.26,-70.8911662222,1,-70.8911662222,2.15761e-06,100,0.01,0.53074,0.0137303,1.02837,100,1.34452,2566.82458862,97.9086500344,-97.8219,0.7,97.2408235334,0.00541993,-70.132,0.979237,47.9044
2572.23503679,0.0714823,-71.0204702997,101.25,-71.0204702997,1,-71.0204702997,7.36181e-06,100,0.01,0.357716,0.0212489,1.07132,100,2.09384,2572.23503679,93.2069137155,-97.3555,0.7,93.3423820367,0.0036302,-69.0936,0.985388,40.2499
2578.54571429,0.243928,-68.97397728,98.25,-68.97397728,1,-68.97397728,2.35066e-05,100,0.01,0.00324535,0.0156427,1.22845,100,1.59349,2578.54571429,81.1217372477,-94.0236,0.7,81.4032878606,3.18585e-05,-63.7563,1.01868,19.4836
7228.6306049,0.0473132,-84.2528705047,116.09,-84.2528705047,1,-84.2528705047,5.10702e-06,100,0.01,0.780602,0.0218731,1.08585,100,2.10532,7228.6306049,95.1873894407,-109.801,0.7,92.0941457158,0.00811002,-81.3446,0.962515,74.8363
3802.63073911,0.0908497,-74.1127682772,104.39,-74.1127682772,1,-74.1127682772,8.29751e-06,100,0.01,0.147034,0.0184222,1.09554,100,1.92765,3802.63073911,92.4090353727,-99.9445,0.7,91.2792124267,0.00140517,-71.3613,1.04638,48.9009
6187.15093899,0.285036,-79.2644756818,110.21,-79.2644756818,1,-79.2644756818,2.81711e-05,100,0.01,0.00745767,0.0283663,1.2223,100,2.85332,6187.15093899,78.1925802842,-102.926,0.7,81.8127246627,7.41405e-05,-72.7346,1.00588,58.6543
6057.90354488,0.242784,-83.1142422371,115.02,-83.1142422371,1,-83.1142422371,2.46965e-05,100,0.01,0.0242667,0.0323628,1.23263,100,3.20877,6057.90354488,80.3538662944,-105.689,0.7,81.1271563434,0.000244748,-75.3701,0.9915,57.4677
3824.55632227,0.343307,-71.2050187391,100.01,-71.2050187391,1,-71.2050187391,3.6886e-05,100,0.01,0.00874892,0.0203667,1.37158,100,1.96485,3824.55632227,73.2508723963,-94.4232,0.7,72.9087238161,9.06869e-05,-62.4418,0.96474,21.0936
3788.43722551,0.241157,-75.6627312589,106.85,-75.6627312589,1,-75.6627312589,2.36139e-05,100,0.01,0.0253876,0.0183139,1.24065,100,1.85074,3788.43722551,81.0518678373,-101.008,0.7,80.6026581768,0.000251221,-70.5908,1.01057,41.6368
8274.453788,0.160915,-89.0960231248,122.45,-89.0960231248,1,-89.0960231248,1.8381e-05,100,0.01,0.190315,0.0199117,1.174,100,1.86304,8274.453788,84.6043884561,-113.429,0.7,85.1792198076,0.00203403,-83.8398,0.935651,82.7435
6091.74609061,0.404239,-82.3691002846,114.1,-82.3691002846,1,-82.3691002846,4.79948e-05,100,0.01,0.0211517,0.0269294,1.39459,100,2.47144,6091.74609061,67.7897657322,-106.004,0.7,71.7054102546,0.000230475,-73.7543,0.917745,59.5821
8338.14311106,0.293996,-88.135119902,121.16,-88.135119902,1,-88.135119902,3.15367e-05,100,0.01,0.0611013,0.0209957,1.29274,100,2.02718,8338.14311106,76.2070821796,-111.82,0.7,77.355076022,0.000632831,-80.7711,0.965522,75.155
