MinNormIw,VarNormIw,AvgRet,MaxVanillaIw,Delta,Bound,VarVanillaIw,MinVanillaIw,MaxNormIw,ESSRenyi,IterType,AvgDiscRet,eRenyi2,EpsThisIter,AvgVanillaIw,VarDiscRet,VarJ,J,AvgEpLen,VanillaAvgRet,AvgNormIw,VarRet,BatchSize,ESSClassic
2.0496857e-15,0.0008901041,125.02885165204749,30.156456,0.9,267.00293,26.363401,3.5275044e-13,0.1752266,8.326569065333539,1,125.02885165204749,12.009748,100,1.7209976,19627.149800525836,813.30365,358.24634,13.51,125.02885165204749,0.010000003,19627.149800525836,100,10.191569122907593
9.695859e-15,0.0071164556,125.02885165204749,2834865600000.0,0.9,-inf,8.32397e+22,0.033160396,0.82889414,102812.40252570943,,216.5895955829632,0.0019452906,100,34200576000.0,31395.460292807293,623.06354,162.81299,13.51,125.02885165204749,0.01,19627.149800525836,200,1.3995233425133806
1.0766139e-31,0.0013358494,119.13198266602207,180.4222,0.9,358.80103,263.3427,4.7801536e-29,0.4063573,3.749418944760777,1,119.13198266602207,53.3416,100,2.2199945,15663.266372244634,797.4172,494.774,12.92,119.13198266602207,0.005,15663.266372244634,200,3.6922981910318122
0.01,3.5044917e-18,637.9964233587193,1.0,0.9,471.36182,,1.0,0.01,200.0,2,637.9964233587193,1.0,100,1.0,723886.538898065,846.5504,637.9964,64.8,637.9964233587193,0.009999998,723886.538898065,200,100.0
,0.0038332816,562.419116031932,150.37448,0.9,3549.2227,113.15777,,0.87522024,2.0819519188745272,1,562.419116031932,96.0637,100,0.85906655,580291.0720249983,3892.747,4704.306,57.25,562.419116031932,0.005,580291.0720249983,200,1.30238342477706
0.01,3.5044917e-18,2351.2213593612887,1.0,0.9,2184.5547,,1.0,0.01,200.0,2,2351.2213593612887,1.0,100,1.0,2889563.6437639156,1691.351,2351.2212,236.01,2351.2213593612887,0.009999998,2889563.6437639156,200,100.0
nan,nan,562.419116031932,inf,0.9,nan,nan,0.006650064,nan,33884525.54541593,,1945.5475719571061,8.853599e-06,100,inf,3033706.6731941784,nan,nan,57.25,562.419116031932,nan,580291.0720249983,300,nan
1.5439205e-17,0.0017622727,535.1347050561715,699.44104,0.9,3458.3242,1649.5378,1.4937211e-14,0.7229471,4.578270215465681,1,535.1347050561715,65.52693,100,3.2249525,359434.2906272751,9916.131,4237.2534,54.52,535.1347050561715,0.0033333336,359434.2906272751,300,1.8858923385547
0.01,3.5044917e-18,1964.2958739060111,1.0,0.9,1797.629,,1.0,0.01,300.0,2,1964.2958739060111,1.0,100,1.0,3142158.1250022347,1763.7279,1964.2957,197.26,1964.2958739060111,0.009999998,3142158.1250022347,300,100.0
0.005,2.179301e-19,1960.3539895259967,1.0,0.9,1844.4738,,1.0,0.005,300.0,2,1960.3539895259967,1.0,100,1.0,2609053.2276810957,1687.2621,1962.3248,196.91,1960.3539895259967,0.0049999994,2609053.2276810957,300,200.00000010221265
1.822919e-17,0.0024973534,535.1347050561715,66946900000000.0,0.9,-inf,1.5361839e+25,0.0014297131,0.85358924,20084.49344651316,,2136.297056466492,0.019915862,100,261432920000.0,3255693.447335168,11908.103,4430.2417,54.52,535.1347050561715,0.0033333332,359434.2906272751,400,1.333258455578864
9.914042e-25,0.0013051793,578.4179504269566,904.5007,0.9,3461.4546,2068.2126,1.2479963e-21,0.7185324,4.6646433472460265,1,578.4179504269566,85.751465,100,3.1470423,373322.90399621375,11376.046,4233.1387,58.85,578.4179504269566,0.0025,373322.90399621375,400,1.911072374696345
0.01,3.5044917e-18,2017.7578312179185,1.0,0.9,1851.0911,,1.0,0.01,400.0,2,2017.7578312179185,1.0,100,1.0,3448327.1359013584,1847.6589,2017.7577,202.58,2017.7578312179185,0.009999998,3448327.1359013584,400,100.0
0.005,2.179301e-19,2524.7584706787366,1.0,0.9,2153.407,,1.0,0.005,400.0,2,2524.7584706787366,1.0,100,1.0,3886138.246082998,1922.1921,2271.258,253.17,2524.7584706787366,0.0049999994,3886138.246082998,400,200.00000010221265
0.0033333334,5.4391416e-20,2161.2773798663607,1.0,0.9,2138.3728,,1.0,0.0033333334,400.0,2,2161.2773798663607,1.0,100,1.0,3182722.468197465,1875.1538,2234.598,216.93,2161.2773798663607,0.0033333336,3182722.468197465,400,299.999969473632
7.2643247e-25,0.0012503837,578.4179504269566,8.012844e+20,0.9,160.40091,inf,0.0011055823,0.52649087,264.0103219672769,,2436.534252598372,1.8938653,100,3.8048352e+18,3518943.8982593096,70.305595,275.0824,58.85,578.4179504269566,0.0025,373322.90399621375,500,
4.0466045e-31,0.0010866432,625.0123775994051,1211.4811,0.9,3574.4834,2965.903,6.6853757e-28,0.73329985,4.455989959880044,1,625.0123775994051,112.20851,100,3.3041902,473197.4841040553,10750.127,4364.028,63.51,625.0123775994051,0.002,473197.4841040553,500,1.8374418131853847
0.01,3.5044917e-18,2398.3181359461723,1.0,0.9,2231.6516,,1.0,0.01,500.0,2,2398.3181359461723,1.0,100,1.0,3863045.4271264677,1955.6111,2398.3184,240.59,2398.3181359461723,0.009999998,3863045.4271264677,500,100.0
