AvgNormIw,J,AvgDiscRet,eRenyi2,MinNormIw,VarJ,VarDiscRet,Bound,AvgVanillaIw,EpsThisIter,MinVanillaIw,VarRet,BatchSize,ESSClassic,VarNormIw,VanillaAvgRet,VarVanillaIw,IterType,AvgEpLen,ESSRenyi,MaxNormIw,MaxVanillaIw,AvgRet
0.01,-113.28472,-126.51753957948195,1.2605047,0.00010912745,24.207403,4841.6703117112975,-159.07811,1.002317,100,0.01093803,4841.6703117112975,100,80.53197232282615,2.4418461e-05,-126.51753957948195,0.2453175,1,42.58,79.33330054814316,0.018699437,1.8742764,-126.51753957948195
0.01,-111.46187,-125.0617615483834,1.1808164,0.00019547198,14.197543,4707.359109952824,-157.17668,1.0108773,100,0.019759819,4707.359109952824,100,84.44240953256723,1.8610015e-05,-125.0617615483834,0.19017068,1,44.37,84.68716981413988,0.016438542,1.6617348,-125.0617615483834
0.01,-110.096634,-116.61583502076466,1.121242,0.0016001046,14.237695,2748.9402076055526,-152.92238,0.979566,100,0.1567408,2748.9402076055526,100,88.37128715026401,1.329185e-05,-116.61583502076466,0.12754185,1,29.01,89.18680879385391,0.016605854,1.626653,-116.61583502076466
0.010000002,-109.17548,-112.20000261401107,1.0388969,0.0017063675,7.3513546,1221.6860114358235,-148.2258,1.0068653,100,0.17180821,1221.6860114358235,100,96.41541530377306,3.7553823e-06,-112.20000261401107,0.038071226,1,22.02,96.25594054503672,0.01278898,1.287678,-112.20000261401107
0.01,-108.14618,-108.70803303424462,1.0467848,0.0042931205,3.6312172,23.80199035284094,-119.584206,0.96390593,100,0.41381645,23.80199035284094,100,94.29128872864476,6.115501e-06,-108.70803303424462,0.056820013,1,17.53,95.53062287305175,0.0142876785,1.3771979,-108.70803303424462
0.010000002,-105.0136,-108.05753238765647,1.4056334,0.0032886837,24.689161,12.994580929137554,-116.913506,1.2264268,100,0.403333,12.994580929137554,100,28.070441258549668,0.00025883497,-108.05753238765647,3.893196,1,20.01,71.14230244854939,0.15707853,19.264534,-108.05753238765647
0.009999999,-107.69017,-108.02578184692467,1.0320873,0.0045702294,3.3486552,14.830757458893551,-118.21293,1.0341533,100,0.47263178,14.830757458893551,100,94.88248471692475,5.44803e-06,-108.02578184692467,0.05826522,1,16.9,96.89102605565216,0.022945512,2.3729177,-108.02578184692467
0.01,-107.32616,-107.4547458091291,1.0137758,0.007255891,3.1498845,9.718030577159903,-117.31141,1.0014576,100,0.72664666,9.718030577159903,100,98.69661564907994,1.3339601e-06,-107.4547458091291,0.013378516,1,18.35,98.64113691074776,0.0149693135,1.4991132,-107.4547458091291
0.01,-107.10927,-107.32067662627301,1.0212065,0.005091323,3.7985022,14.066540504866623,-117.25326,1.0109246,100,0.51469433,14.066540504866623,100,97.76968502677926,2.3042287e-06,-107.32067662627301,0.023548488,1,19.14,97.92338785695583,0.012289361,1.2423617,-107.32067662627301
0.009999999,-107.73567,-108.10988254040518,1.0334696,0.002281946,4.0000086,19.582264526102346,-118.74877,0.99428445,100,0.22689033,19.582264526102346,100,95.7707174607386,4.460654e-06,-108.10988254040518,0.044098094,1,19.62,96.76143747914352,0.012753222,1.268033,-108.10988254040518
