EmpiricalD2,MeanD2w0t,ReturnStepMaxmin,MaxIW,StdD2w0t,TimeElapsed,MeanIW,InitialReturnMean,J_sample_variance,MeanEntropy,Iteration,ReturnStepMax,EpRewMean,InitialReturnMin,Weights,InitialBound,Bound,EntropyCoefficient,ReturnMeanIW,MinIW,EpLenMean,EpisodesSoFar,MaxD2w0t,MinD2w0t,EpThisIter,InitialReturnStd,StdIW,TimestepsSoFar,InitialReturnMax
  0.577  0.021],-1439.0983,-1410.1193,10.0,-574.56964,0.40691763,37.49,1300,1.310817,,100,77.72538,0.25838128,47431,211.6831
1.0401795,0.07290414,9.131333,1.408677,0.26285076,214.51506304740906,0.94986373,2.1362305e-06,17949.596,1.416441,14,9.359567,330.33986790023295,-122.270325,[-5.117e-01  6.057e-01 -4.343e-01  1.427e-01 -1.016e-01  4.619e-01
  2.025e-01 -4.296e-01 -2.198e-01  7.020e-01  5.769e-01  6.893e-04],-1469.1066,-1449.7485,10.0,-611.2895,0.5294441,35.73,1400,1.1493089,,100,79.297585,0.16134867,51004,260.19595
1.0964271,0.07001849,9.130971,1.997107,0.25864777,228.1430151462555,0.93808866,2.5939942e-06,36096.703,1.417997,15,9.359595,315.9113185553479,-105.45761,[-0.502  0.591 -0.433  0.154 -0.089  0.448  0.201 -0.433 -0.22   0.702
  0.577 -0.003],-1441.6517,-1410.6785,10.0,-607.4206,0.33572382,34.17,1500,1.3125434,,100,63.44707,0.28303072,54421,197.4372
1.1041782,0.072921775,9.13005,2.507953,0.26331002,244.80259585380554,0.9265808,1.2207031e-05,38249.215,1.4165616,16,9.359973,329.58465415226163,-121.86005,[-0.496  0.573 -0.445  0.154 -0.084  0.441  0.165 -0.473 -0.22   0.702
  0.577 -0.001],-1445.8479,-1410.1473,10.0,-592.0341,0.30305356,35.65,1600,1.2657603,,100,74.355896,0.29751372,57986,212.0187
1.0674102,0.07505675,9.125382,1.690978,0.26610678,258.6484308242798,0.94923943,1.586914e-05,27250.752,1.4092011,17,9.359855,340.77538348973906,-121.852936,[-0.503  0.555 -0.462  0.153 -0.086  0.429  0.12  -0.497 -0.22   0.702
  0.577 -0.002],-1455.701,-1427.4885,10.0,-597.8752,0.38214678,36.87,1700,1.2402624,,100,77.45068,0.24674957,61673,240.47363
1.0461639,0.0793365,9.136113,1.6581964,0.27322844,275.4388976097107,0.95116436,-9.9182125e-06,19945.797,1.3941008,18,9.359504,359.64721702971116,-132.7733,[-0.504  0.547 -0.468  0.148 -0.092  0.431  0.093 -0.522 -0.22   0.702
  0.577 -0.01 ],-1482.8495,-1463.9415,10.0,-592.48737,0.43367857,38.89,1800,1.1402895,,100,85.33085,0.19494691,65562,318.73856
1.0173678,0.0791668,9.131026,1.4350568,0.2709828,292.7968578338623,0.9845071,1.6326905e-05,12622.299,1.3868283,19,9.359715,363.5279875664999,-127.918884,[-0.504  0.559 -0.469  0.148 -0.09   0.43   0.106 -0.52  -0.22   0.702
  0.577 -0.025],-1451.3156,-1444.7565,10.0,-611.7482,0.5040512,39.32,1900,1.1028755,,100,86.221634,0.12520193,69494,244.53662
1.111154,0.07850731,9.135978,1.8609526,0.27724016,308.82271122932434,0.9020582,-7.6293946e-07,37466.836,1.3667413,20,9.359752,343.8357006970938,-133.62338,[-0.513  0.56  -0.474  0.149 -0.088  0.443  0.106 -0.529 -0.22   0.702
  0.577 -0.032],-1428.7944,-1392.8229,10.0,-568.05035,0.25538737,37.18,2000,1.2442966,,100,71.6927,0.29023677,73212,189.00827
1.0468049,0.08119713,9.144222,1.6465507,0.2755627,327.10061597824097,0.9588963,1.2207031e-05,27336.924,1.3551075,21,9.359966,369.7136410218543,-131.34769,[-0.508  0.568 -0.478  0.131 -0.109  0.446  0.099 -0.532 -0.22   0.702
  0.577 -0.052],-1460.1874,-1445.5178,10.0,-595.3123,0.3316432,39.96,2100,1.3319871,,100,89.34606,0.20840564,77208,269.49878
1.0291249,0.080286935,9.136755,1.354866,0.27346718,343.9052884578705,0.96902966,-9.765625e-06,19369.1,1.3436314,22,9.359943,366.9744364899136,-129.5303,[-0.497  0.565 -0.479  0.13  -0.11   0.435  0.113 -0.509 -0.22   0.702
