Weights,J_sample_variance,ReturnMeanIW,Bound,EmpiricalD2,EpisodesSoFar,EpThisIter,MeanD2w0t,InitialReturnMax,StdD2w0t,InitialReturnStd,MeanIW,ReturnStepMax,MinD2w0t,Iteration,EntropyCoefficient,InitialReturnMean,InitialBound,InitialReturnMin,MinIW,StdIW,EpRewMean,MaxD2w0t,MeanEntropy,TimeElapsed,MaxIW,EpLenMean,TimestepsSoFar,ReturnStepMaxmin
[-0.236 -0.439 -0.312 -0.163 -0.279 -0.163 -0.126  0.577  0.046  0.055
 -0.111  0.   ],295830.1,-714.76953,-1005.9553,1.4374152,20,20,0.020123335,21.98793,0.15531664,9.602224,0.87016493,9.356871,,1,10.0,1.5258789e-06,-1088.248,-21.190971,0.16822302,0.64998883,76.3299961261126,1.7072161,1.3988922,1.2983481884002686,3.4112253,8.45,169,8.709402
[-0.237 -0.438 -0.313 -0.095 -0.214 -0.181 -0.107  0.58   0.046  0.055
 -0.111 -0.02 ],783223.3,-443.1511,-848.5136,2.975373,40,20,0.030242627,23.816765,0.2512413,9.783625,0.5409773,9.35834,,2,10.0,-5.722046e-07,-1088.6941,-18.885307,0.0030045852,1.0312881,73.90202954322794,4.2816157,1.1583169,6.150118350982666,4.9547515,8.2,333,8.666545
[-0.242 -0.447 -0.316 -0.131 -0.215 -0.174 -0.131  0.615  0.046  0.055
 -0.111 -0.261],165413.47,-377.7651,-822.231,3.5319996,60,20,0.035332203,28.60743,0.2994565,12.422426,0.46193516,9.357602,,3,10.0,-5.531311e-06,-1100.154,-22.655655,0.0015633994,0.47713852,78.12985223396134,5.8100233,0.9484169,11.012240171432495,2.054164,8.65,506,8.707103
[-0.236 -0.435 -0.308 -0.176 -0.248 -0.112 -0.055  0.586  0.046  0.055
 -0.111 -0.471],159930.89,-715.85565,-1009.62866,1.506078,80,20,0.02003152,16.54242,0.15860683,10.834834,0.8690758,9.3579855,,4,10.0,-2.2888185e-06,-1082.1658,-17.70222,0.3065171,0.4712401,72.49589091207153,1.6548786,1.0052483,16.23689365386963,2.3380148,8.05,667,8.653415
[-0.235 -0.436 -0.307 -0.148 -0.218 -0.101 -0.045  0.568  0.046  0.055
 -0.111 -0.414],63523.395,-540.17377,-917.30566,1.8880457,100,20,0.025593393,41.811943,0.20251973,17.624914,0.6628544,9.358833,,5,10.0,-5.340576e-06,-1120.6653,-24.265236,0.15526998,0.30952308,79.96652116485693,3.206539,0.9605298,20.569676160812378,3.7038274,8.85,844,8.712698
[-0.24  -0.437 -0.312 -0.071 -0.135 -0.116 -0.044  0.602  0.046  0.055
 -0.111 -0.458],287003.84,-686.5046,-1011.59595,1.4151843,120,20,0.019689886,38.117424,0.15255953,15.594025,0.84073937,9.359904,,6,10.0,-5.722046e-07,-1113.2639,-20.793613,0.12375408,0.6480795,76.22741803423858,2.5591044,0.88654053,25.55069136619568,2.7865338,8.45,1013,8.682088
[-0.237 -0.48  -0.309 -0.03  -0.106 -0.105 -0.047  0.625  0.046  0.055
 -0.111 -0.532],70359.695,-688.8575,-998.9551,1.3877375,140,20,0.0195544,29.072563,0.14905258,10.819589,0.83814436,9.356201,,7,10.0,-1.9073486e-06,-1102.4282,-13.66552,0.3785149,0.30632883,77.60320160920355,1.817609,0.95179206,30.10734796524048,1.7744601,8.6,1185,8.691055
[-0.24  -0.485 -0.313 -0.017 -0.092 -0.131 -0.024  0.646  0.046  0.055
 -0.111 -0.467],174032.28,-408.9003,-786.78687,3.6429334,160,20,0.027097268,17.976624,0.25601065,10.698419,0.4994702,9.353846,,8,10.0,,-1084.0243,-16.991241,0.019493248,0.49206674,71.69769053438507,6.9673185,0.89929277,34.58558750152588,2.842226,7.95,1344,8.68331
[-0.234 -0.495 -0.301 -0.024 -0.097 -0.061 -0.025  0.658  0.046  0.055
