Weights,StdD2w0t,InitialReturnStd,ReturnMeanIW,EpThisIter,InitialReturnMin,MinIW,InitialReturnMean,MeanIW,EpRewMean,Iteration,Bound,MeanEntropy,TimestepsSoFar,EmpiricalD2,ReturnStepMax,MaxIW,J_sample_variance,EpisodesSoFar,EpLenMean,MeanD2w0t,ReturnStepMaxmin,MinD2w0t,MaxD2w0t,InitialReturnMax,StdIW,InitialBound,TimeElapsed
[-0.531 -0.318 -0.306 -0.484  0.187 -0.289  0.463 -0.431  0.343 -0.105
  0.56   0.   ],0.2721602,59.080032,-535.5777,20,-57.497726,0.11727543,-1.7547607e-05,0.7991941,278.655641066097,1,-1118.2405,1.3875439,603,1.230532,9.359406,2.0377839,69934.836,20,30.15,0.06856807,9.125213,,1.6613125,187.95934,0.3746824,-1204.6633,1.6979539394378662
[-0.53  -0.325 -0.305 -0.509  0.159 -0.258  0.449 -0.42   0.343 -0.105
  0.56  -0.031],0.38096198,39.870007,-439.33945,20,-56.512863,0.010468163,6.866455e-06,0.6617926,284.56319776405235,2,-1010.7859,1.3594626,1219,3.5037274,9.3597355,4.1412215,211379.47,40,30.8,0.084001355,9.118393,,8.723984,81.374054,0.6142116,-1148.5474,7.158418655395508
[-0.551 -0.329 -0.284 -0.518  0.154 -0.316  0.461 -0.369  0.343 -0.105
  0.56  -0.059],0.33218342,61.1661,-382.02914,20,-57.365158,0.09072815,-8.392334e-06,0.5789349,288.79267811078154,3,-1018.52563,1.3239387,1844,1.6994953,9.359535,1.9072115,41256.535,60,31.25,0.08365263,9.123196,,2.7260647,164.85112,0.29048625,-1190.4517,11.645608901977539
[-0.552 -0.317 -0.281 -0.57   0.116 -0.292  0.464 -0.34   0.343 -0.105
  0.56  -0.095],0.480915,66.25284,-337.9354,20,-90.262024,0.01922719,9.155274e-06,0.5313606,281.5407790346084,4,-1001.83765,1.2451072,2454,4.9779363,9.358487,3.6749978,89738.625,80,30.5,0.10009486,9.103202,,12.879162,126.22923,0.4477021,-1174.1832,16.19328761100769
[-0.558 -0.319 -0.294 -0.537  0.144 -0.255  0.391 -0.407  0.343 -0.105
  0.56  -0.174],0.37238201,44.952724,-419.57697,20,-75.388855,0.06957812,-1.6784668e-05,0.64810264,291.8597070264872,5,-996.35297,1.2312398,3086,3.58709,9.359289,2.2297304,132545.97,100,31.6,0.085289456,9.112844,,6.837632,88.61905,0.51891434,-1149.9888,21.060508012771606
[-0.571 -0.327 -0.32  -0.521  0.176 -0.231  0.299 -0.464  0.343 -0.105
  0.56  -0.188],0.4090985,34.15585,-302.69693,20,-53.189804,0.09428551,-7.6293945e-06,0.469466,272.72405471153525,6,-919.51074,1.2693998,3677,4.006597,9.359349,1.6649225,45307.16,120,29.55,0.089127816,9.0991335,,7.631899,115.18657,0.32132897,-1172.3566,27.007867336273193
[-0.565 -0.344 -0.327 -0.5    0.192 -0.22   0.258 -0.526  0.343 -0.105
  0.56  -0.15 ],0.43478218,40.57836,-278.96936,20,-64.55347,0.013839643,3.8146973e-06,0.4341898,255.70114424850198,7,-916.7947,1.2135112,4232,4.343401,9.359592,2.3739314,44783.555,140,27.75,0.0895287,9.069317,,7.6766753,103.16373,0.34194815,-1171.3162,31.704320669174194
[-0.578 -0.331 -0.342 -0.466  0.226 -0.194  0.218 -0.571  0.343 -0.105
  0.56  -0.205],0.41298297,41.037693,-356.42624,20,-62.18019,0.037048057,2.2888185e-06,0.5644151,294.703231026329,8,-948.14087,1.1723306,4869,4.0625076,9.359666,4.414618,91303.195,160,31.85,0.0948075,9.146031,,6.6555443,68.106155,0.46034175,-1139.0186,36.52952337265015
[-0.58  -0.324 -0.329 -0.485  0.214 -0.204  0.319 -0.533  0.343 -0.105
  0.56  -0.247],0.36408865,52.138313,-338.55466,20,-61.093704,0.09102091,-1.5258789e-06,0.5379954,293.53678656077966,9,-968.23206,1.194204,5504,3.2104745,9.359539,2.9954145,50349.613,180,31.75,0.08660083,9.130968,,5.259699,157.654,0.35057378,-1186.537,41.74094486236572
[-0.575 -0.334 -0.339 -0.464  0.227 -0.169  0.259 -0.554  0.343 -0.105
  0.56  -0.225],0.42650834,36.38591,-315.63278,20,-73.41179,0.12150255,-2.822876e-05,0.49896815,287.76964610694006,10,-927.6605,1.2008389,6126,4.2755456,9.359315,3.5921688,39069.61,200,31.1,0.08943556,9.146771,,10.278409,96.8515,0.31628373,-1157.3604,46.070329427719116
[-0.569 -0.327 -0.35  -0.45   0.232 -0.118  0.224 -0.586  0.343 -0.105
  0.56  -0.218],0.36211324,70.90233,-470.57843,20,-74.7728,0.04325627,-1.6021728e-05,0.7415776,336.93904906878424,11,-1094.6683,1.1894524,6854,3.1733193,9.359612,3.2371817,147972.3,220,36.4,0.09050196,9.153523,,8.717309,190.94684,0.54916435,-1183.2418,50.58805441856384
[-0.548 -0.354 -0.331 -0.453  0.236 -0.119  0.309 -0.526  0.343 -0.105
  0.56  -0.229],0.3513198,54.86432,-446.7523,20,-73.21576,0.14249137,,0.7198193,331.8093854072613,12,-1038.6345,1.2186201,7571,2.116859,9.359366,2.3063753,93681.93,240,35.85,0.09192218,9.151616,,5.6979756,128.66241,0.49081212,-1157.9587,55.8880569934845
[-0.571 -0.378 -0.323 -0.465  0.214 -0.172  0.268 -0.511  0.343 -0.105
  0.56  -0.2  ],0.3702232,52.689816,-435.8171,20,-62.90515,0.13176888,-2.1362304e-05,0.66157234,287.88049530517145,13,-1037.3016,1.2295837,8193,3.1883426,9.358662,3.193032,48787.234,260,31.1,0.08114362,9.154552,,11.459875,138.10971,0.3101244,-1179.2046,60.458122968673706
[-0.562 -0.406 -0.298 -0.467  0.233 -0.22   0.318 -0.479  0.343 -0.105
  0.56  -0.189],0.28615287,57.104244,-541.37665,20,-66.69264,0.15485987,-4.577637e-06,0.8034215,290.84040208445293,14,-1093.4053,1.2625812,8823,1.3318799,9.3592,1.5141561,45082.51,280,31.5,0.073468655,9.106857,,2.102516,115.472855,0.26674336,-1166.8112,65.40085458755493
[-0.561 -0.4   -0.292 -0.504  0.22  -0.219  0.354 -0.486  0.343 -0.105
  0.56  -0.156],0.40400985,47.179527,-304.9376,20,-72.916595,0.07319275,-6.866455e-06,0.48707655,289.1626285524931,15,-933.98584,1.24658,9448,3.4560485,9.359222,3.9197943,38049.54,300,31.25,0.09473636,9.147186,,5.781537,90.75391,0.32559052,-1153.7595,69.94077801704407
[-0.565 -0.394 -0.309 -0.471  0.236 -0.173  0.26  -0.498  0.343 -0.105
  0.56  -0.172],0.295276,35.089973,-506.61044,20,-63.344406,0.05428704,7.6293946e-07,0.7695386,285.8768884472491,16,-1023.82666,1.2020245,10066,1.7751799,9.359384,2.9823985,145862.05,320,30.9,0.073830225,9.143975,,3.7658226,61.340622,0.54790175,-1137.6498,74.41870784759521
[-0.598 -0.395 -0.319 -0.482  0.206 -0.229  0.244 -0.484  0.343 -0.105
  0.56  -0.217],0.291525,56.056156,-424.74594,20,-82.21475,0.086857274,7.6293946e-07,0.63572073,291.08382181232395,17,-993.2566,1.1924247,10695,1.6945474,9.35938,2.2999682,132841.6,340,31.45,0.0742632,9.151517,,2.6335301,141.59296,0.48182374,-1179.6749,79.40179395675659
[-0.612 -0.337 -0.308 -0.514  0.186 -0.217  0.316 -0.455  0.343 -0.105
  0.56  -0.226],0.32345024,44.98984,-497.46143,20,-52.713287,0.14542906,8.392334e-06,0.75855964,302.1374409294152,18,-1058.3486,1.2229086,11348,1.6992115,9.359223,2.642335,122413.016,360,32.65,0.084101565,9.148431,,2.301301,97.300446,0.4754505,-1153.7117,84.31729483604431
[-0.626 -0.321 -0.306 -0.491  0.204 -0.223  0.331 -0.49   0.343 -0.105
  0.56  -0.196],0.432439,40.225998,-320.17072,20,-52.25569,0.03558381,-9.155274e-06,0.5021377,289.8912153051948,19,-946.3245,1.1605331,11975,3.9150016,9.358984,11.334876,148787.2,380,31.35,0.10082829,9.134874,,6.168894,83.536224,0.56390375,-1148.8268,88.5614857673645
[-0.619 -0.34  -0.316 -0.467  0.225 -0.205  0.219 -0.524  0.343 -0.105
  0.56  -0.258],0.4140083,34.659096,-391.43088,20,-51.57939,0.123655565,9.155274e-06,0.6044062,278.436141246872,20,-1028.2854,1.1149482,12577,2.9137073,9.359064,3.6248972,74562.71,400,30.1,0.09881219,9.141676,,3.7812676,90.08354,0.42541897,-1157.3151,92.93117141723633
