AvgNormIw,AvgRet,VarJ,VarVanillaIw,MaxNormIw,AvgDiscRet,Bound,MaxVanillaIw,J,MinVanillaIw,ESSRenyi,MinNormIw,VarRet,eRenyi2,VarDiscRet,ESSClassic,AvgVanillaIw,BatchSize,AvgEpLen,VarNormIw
0.009999998,-1439.2221432774563,124.04026,0.862468,0.029213773,-1.1596057447604835e-13,863.77374,2.5580301,1391.7031,2.4602431e-09,53.1063877200696,2.8097004e-11,3680974.578020517,1.8830127,3680974.5780205172,47.31190574201599,0.8756247,100,200.0,0.00011248822
0.010000003,-24.19604866719517,22.199162,0.06452688,0.012331497,-3.659295089164516e-15,-90.37892,1.2121351,11.057469,0.16344027,94.80243860127942,0.0016627382,14054.250563749241,1.0548252,14054.250563749241,93.79842232496718,0.9829586,100,200.0,6.678366e-06
0.01,-41.065224458288725,44.017357,0.054119285,0.012066524,7.887024366937113e-15,-223.93027,1.1855905,26.386003,0.14344467,95.79426509381173,0.0014599294,85730.46660876853,1.0439038,85730.46660876853,94.741971510766,0.98254526,100,200.0,5.6059203e-06
0.009999998,-10.084250879183312,16.002169,3.582508,0.17000312,1.9539925233402757e-15,0.058759212,14.281331,4.372266,0.00042231052,20.69575526975707,5.02713e-06,84.35465725076666,4.8319087,84.35465725076666,16.595510702138437,0.84006286,100,200.0,0.0005076491
0.010000002,-37.98030291593897,56.94773,0.06630919,0.012313778,7.815970093361103e-15,-211.52869,1.2620678,23.562265,0.20954658,92.84857669618724,0.0020445099,75244.1047841973,1.0770224,75244.1047841973,94.11832873641237,1.0249233,100,200.0,6.3123493e-06
0.010000003,-8.921354618336707,8.243074,14.9209585,0.086203486,-2.1316282072803005e-16,1.1433067,13.727904,5.845915,,10.281760615798014,,64.29332428016075,9.725961,64.29332428016075,14.652668873340465,1.5924999,100,200.0,0.0005883529
0.010000002,-8.589992347037628,12.7250595,15.787025,0.31827006,-2.575717417130363e-16,0.26751328,28.264648,6.081551,2.712239e-33,5.272159464803734,3.0540784e-35,49.51630350294613,18.96756,49.51630350294613,4.803745681348909,0.88807124,100,200.0,0.0020017263
0.01,-7.856234397856096,16.156893,4.2101507,0.089773856,-1.0302869668521452e-15,-0.73956156,7.9207253,2.4880047,,17.62790780557953,,55.75424444123957,5.672823,55.75424444123957,15.737376103452196,0.8822975,100,200.0,0.0005408384
0.01,-8.515503967336926,10.433591,1.7052339,0.03045811,-1.2168044349891717e-15,-0.61282706,3.45289,1.2526975,3.9921733e-20,40.0904406904729,3.5215155e-22,49.11150331895677,2.4943602,49.11150331895677,43.22288691888091,1.1336521,100,200.0,0.00013268579
0.01,-8.254301101979818,14.123452,9.487925,0.19979508,1.5987211554602254e-16,-0.7543342,26.422607,2.401733,0.48230737,nan,0.003646977,50.90245017132539,nan,50.90245017132539,15.697051426370248,1.3224853,100,200.0,0.0005424872
0.01,-7.428510947670421,10.809235,18.34581,0.27754617,-2.3092638912203257e-16,-0.73524714,27.74962,5.0060034,,5.069223606898479,,42.304323310575334,19.726887,42.304323310575334,5.216784658908163,0.99981993,100,200.0,0.0018352424
0.01,-8.45870816326659,11.255056,1.5389658,0.038489368,-4.618527782440651e-16,-0.6572726,3.8410401,1.2992312,2.6342028e-18,36.68483399347838,2.6396183e-20,50.379198679564595,2.725922,50.37919867956461,39.52808122994424,0.9979484,100,200.0,0.00015453
