EpsThisIter,VarDiscRet,MinNormIw,VarRet,Bound,MinVanillaIw,J,eRenyi2,AvgEpLen,MaxNormIw,ESSRenyi,VarNormIw,AvgRet,MaxVanillaIw,AvgVanillaIw,IterType,VarJ,VarVanillaIw,VanillaAvgRet,ESSClassic,AvgNormIw,AvgDiscRet,Delta,BatchSize
100,139465.810687,2.85157e-06,139465.810687,-1579.48,0.000308512,-1193.94,1.62684,500.0,0.025522,61.4690267069,6.71959e-05,-1440.71148367,2.76123,1.0819,1,146.144,0.786539,-1440.71148367,60.0514233171,0.01,-1440.71148367,0.3,100
100,68851.7624263,0.000490431,68851.7624263,-1475.05,0.051132,-1149.84,1.1785,500.0,0.0203027,84.85375219,1.82788e-05,-1223.44885108,2.11675,1.04259,1,112.616,0.198691,-1223.44885108,84.676846622,0.01,-1223.44885108,0.3,100
100,9221.25523758,0.00333143,9221.25523758,-1304.15,0.335342,-1088.18,1.15079,500.0,0.024143,86.8970542397,1.6968e-05,-1112.08032385,2.43023,1.0066,1,182.251,0.171927,-1112.08032385,85.6176759181,0.01,-1112.08032385,0.3,100
100,57400.63137,0.000163733,57400.63137,-1440.86,0.0156088,-1121.85,1.13602,500.0,0.025086,88.0264572318,1.75682e-05,-1180.35160822,2.39146,0.953308,1,146.677,0.159659,-1180.35160822,85.1843248644,0.01,-1180.35160822,0.3,100
100,22302.9240212,0.0014803,22302.9240212,-1427.81,0.151206,-1116.79,1.07808,500.0,0.0214775,92.7574282667,8.92962e-06,-1141.40871552,2.19384,1.02146,1,167.039,0.0931696,-1141.40871552,91.8777090931,0.01,-1141.40871552,0.3,100
100,26294.5274235,0.00427516,26294.5274235,-1439.55,0.426873,-1136.4,1.02419,500.0,0.0130533,97.6377065601,2.72249e-06,-1145.05152385,1.30337,0.998497,1,122.608,0.0271432,-1145.05152385,97.3754464514,0.01,-1145.05152385,0.3,100
100,19046.886292,0.0063604,19046.886292,-1425.01,0.657803,-1122.97,1.01907,500.0,0.0144046,98.1289012418,2.08857e-06,-1128.08547318,1.48975,1.03422,1,133.576,0.0223394,-1128.08547318,97.9742177008,0.01,-1128.08547318,0.3,100
100,8311.28740642,0.00618262,8311.28740642,-1381.63,0.600143,-1118.25,1.0274,500.0,0.0162575,97.3326317414,3.04689e-06,-1124.42661124,1.5781,0.970693,1,105.784,0.0287092,-1124.42661124,97.0719221603,0.01,-1124.42661124,0.3,100
100,31308.7774386,0.00454075,31308.7774386,-1414.03,0.431654,-1104.8,1.0656,500.0,0.0186309,93.8439665153,8.28972e-06,-1122.20247528,1.7711,0.950623,1,189.247,0.074913,-1122.20247528,92.415598956,0.01,-1122.20247528,0.3,100
100,25858.9684345,0.00183246,25858.9684345,-1385.76,0.183463,-1063.54,1.15854,500.0,0.0233833,86.315463239,1.82215e-05,-1103.22699158,2.34111,1.00119,1,225.364,0.182647,-1103.22699158,84.7175948682,0.01,-1103.22699158,0.3,100
100,58339.5251939,0.00475547,58339.5251939,-1398.0,0.4698,-1091.15,1.04974,500.0,0.017412,95.2620447558,4.22577e-06,-1105.38008081,1.72016,0.987916,1,263.956,0.0412426,-1105.38008081,95.9844900355,0.01,-1105.38008081,0.3,100
100,72534.2174595,0.00106926,72534.2174595,-1355.04,0.110272,-992.362,1.46498,500.0,0.0497028,68.260228385,7.05821e-05,-1076.4698755,5.12584,1.0313,1,440.45,0.750694,-1076.4698755,58.8663822992,0.01,-1076.4698755,0.3,100
100,50463.8220811,0.000239126,50463.8220811,-1342.89,0.0251561,-950.912,1.71403,500.0,0.146869,58.3419539355,0.000231837,-1077.1244529,15.4507,1.05201,1,618.786,2.56578,-1077.1244529,30.347297195,0.01,-1077.1244529,0.3,100
100,86622.9776852,3.37575e-05,86622.9776852,-1284.55,0.00328603,-887.158,1.76013,500.0,0.0556002,56.8139799399,0.000102,-1050.66137699,5.41225,0.973423,1,406.327,0.966506,-1050.66137699,49.7561438461,0.01,-1050.66137699,0.3,100
100,45357.421464,0.000120821,45357.421464,-996.181,0.0138313,-737.875,1.68102,500.0,0.0322242,59.4875562442,5.94696e-05,-863.842873899,3.68896,1.14478,1,181.493,0.779358,-863.842873899,62.9426113806,0.01,-863.842873899,0.3,100
100,39728.5403778,0.000116142,39728.5403778,-904.443,0.011666,-674.682,1.35179,500.0,0.029399,73.9761401028,4.26099e-05,-755.42178488,2.95299,1.00446,1,148.928,0.429904,-755.42178488,70.3315187942,0.01,-755.42178488,0.3,100
