eRenyi2,Delta,MaxNormIw,MinNormIw,VarRet,AvgVanillaIw,AvgEpLen,Bound,MaxVanillaIw,VarDiscRet,VarNormIw,J,AvgDiscRet,VanillaAvgRet,VarVanillaIw,VarJ,MinVanillaIw,EpsThisIter,ESSRenyi,IterType,BatchSize,AvgNormIw,AvgRet,ESSClassic
1.03054,0.6,0.0454284,4.55222e-06,1143.02971371,302.729,41.84,45.6875,1375.25,1143.02971371,0.000357598,53.9603,12.782170309,12.782170309,327720.0,106.949,0.137809,100,97.0364724501,1,100,0.01,12.782170309,22.0253795538
1.02999,0.6,0.0181001,1.81375e-06,1143.02971371,4.00906,41.84,-8.10491,7.25643,190.729795033,4.37654e-05,-5.59318,-4.8332016528,12.782170309,7.03421,16.3765,0.000727142,100,194.176538077,,200,0.01,12.782170309,69.7702198086
1.05833,0.6,0.0999577,1.5577e-06,1667.37639124,933.413,42.88,98.5823,18660.3,1667.37639124,0.000476961,104.81,7.07236472555,7.07236472555,1.66223e+07,0.188924,0.290795,100,188.97719676,1,200,0.005,7.07236472555,10.0084735757
1.0,0.6,0.01,0.01,1178.8643069,1.0,59.56,0.739391,1.0,1178.8643069,3.50449e-18,9.31937,9.31937220415,9.31937220415,,34.1625,1.0,100,200.0,2,200,0.01,9.31937220415,100.0
1.05677,0.6,0.00711911,1.10941e-07,1667.37639124,2.41522,42.88,6.84277,3.43885,1459.67807371,2.82041e-06,13.9116,21.575053671,7.07236472555,0.658093,36.7976,5.35896e-05,100,283.882574264,,300,0.005,7.07236472555,179.815280111
1.06884,0.6,0.0999685,8.10526e-07,323.85382315,1682.71,47.46,99.7089,50465.3,323.85382315,0.000323089,104.819,-2.25468638033,-2.25468638033,8.23344e+07,0.179202,0.409163,100,280.677766933,1,300,0.00333333,-2.25468638033,10.0063078737
1.0,0.6,0.01,0.01,1332.59828392,1.0,44.98,0.316319,1.0,1332.59828392,3.50449e-18,7.57848,7.57847534826,7.57847534826,,36.3218,1.0,100,300.0,2,300,0.01,7.57847534826,100.0
1.0,0.6,0.005,0.005,525.870421533,1.0,39.82,1.39374,1.0,525.870421533,2.1793e-19,6.52886,5.47924024939,5.47924024939,,30.3487,1.0,100,300.0,2,300,0.005,5.47924024939,200.000000102
1.06678,0.6,0.00447277,3.62644e-08,323.85382315,1.8214,47.46,5.0573,2.44401,180.912277239,7.4374e-07,9.38785,13.9358205212,-2.25468638033,0.222062,28.7654,1.98156e-05,100,374.958620317,,400,0.00333333,-2.25468638033,281.237565546
1.07733,0.6,0.0999755,4.3499e-07,709.809555592,2485.25,51.46,100.383,99385.8,709.809555592,0.000244238,104.826,1.42980919576,1.42980919576,2.41365e+08,0.160324,0.432425,100,371.289676689,1,400,0.0025,1.42980919576,10.0049086631
1.0,0.6,0.01,0.01,814.144974462,1.0,42.18,10.7996,1.0,814.144974462,3.50449e-18,16.4135,16.4134807227,16.4134807227,,28.3902,1.0,100,400.0,2,400,0.01,16.4134807227,100.0
1.0,0.6,0.005,0.005,652.183925375,1.0,47.56,2.36031,1.0,652.183925375,2.1793e-19,6.32996,-3.75356342357,-3.75356342357,,28.7665,1.0,100,400.0,2,400,0.005,-3.75356342357,200.000000102
1.0,0.6,0.00333333,0.00333333,2062.67784634,1.0,118.54,-0.624846,1.0,2062.67784634,5.43914e-20,3.33802,-2.64586509525,-2.64586509525,,35.359,1.0,100,400.0,2,400,0.00333333,-2.64586509525,299.999969474
1.07482,0.6,0.00353543,1.53825e-08,709.809555592,1.63526,51.46,-4.11273,2.31254,2008.66330406,4.45533e-07,-0.300964,-12.8217381271,1.42980919576,0.190623,43.1634,1.00618e-05,100,465.192812549,,500,0.0025,1.42980919576,373.445331921
1.08563,0.6,0.0999803,1.7045e-07,648.559231974,3466.99,97.74,100.842,173316.0,648.559231974,0.000196314,104.831,-4.54791193113,-4.54791193113,5.89925e+08,0.14152,0.295475,100,460.564067736,1,500,0.002,-4.54791193113,10.0039331386
