MaxNormIw,VarJ,AvgVanillaIw,MaxVanillaIw,VanillaAvgRet,VarRet,AvgEpLen,J,ESSRenyi,VarDiscRet,EpsThisIter,AvgDiscRet,Bound,AvgNormIw,VarNormIw,Delta,ESSClassic,MinNormIw,AvgRet,MinVanillaIw,IterType,VarVanillaIw,BatchSize,eRenyi2
0.4137819,614.50226,1.0827864,44.80374,107.9389303763378,10041.270214612372,11.8,369.21017,6.446065922522243,10041.270214612372,100,107.9389303763378,253.26453,0.010000002,0.0021254043,0.75,4.536896873595871,1.7158038e-24,107.9389303763378,1.857849e-22,1,24.918795,100,15.513338
0.8846383,1727.5134,0.7544644,66.74281,336.8645789145257,104338.78515075734,34.7,2086.9802,2.4856124640933848,104338.78515075734,100,336.8645789145257,1256.065,0.01,0.007823397,0.75,1.2746711031459033,,336.8645789145257,,1,44.532078,100,40.231533
nan,nan,inf,inf,336.8645789145257,104338.78515075734,34.7,nan,12607451.765408706,415988.87100143865,100,628.8876366645491,nan,nan,nan,0.75,nan,nan,336.8645789145257,0.014982886,,nan,200,1.5863634e-05
0.5981928,11485.179,1.4314862,171.26096,378.1620002256313,414518.841554153,38.82,3819.958,3.8013967969653093,414518.841554153,100,378.1620002256313,2339.3667,0.005,0.002107139,0.75,2.3567080816732284,,378.1620002256313,,1,172.714,200,52.61224
0.01,971.9086,1.0,1.0,881.2724056708104,954147.8102199911,89.13,881.2724,200.0,954147.8102199911,100,881.2724056708104,592.59753,0.009999998,3.5044917e-18,0.75,100.0,0.01,881.2724056708104,1.0,2,,200,1.0
nan,nan,inf,inf,378.1620002256313,414518.841554153,38.82,nan,nan,653347.5259441213,100,856.0089591104235,nan,nan,nan,0.75,nan,nan,378.1620002256313,0.0058390424,,nan,300,nan
0.8944209,6219.019,0.96590436,259.17752,266.27646129732847,29070.720112747014,27.64,4653.622,2.6915557449029195,29070.720112747014,100,266.27646129732847,2894.0579,0.0033333334,0.0026826004,0.75,1.2415713606928849,,266.27646129732847,,1,225.25096,300,111.4597
0.01,766.83,1.0,1.0,809.4422103077518,593968.0060157711,81.97,809.44214,300.0,593968.0060157711,100,809.4422103077518,539.88135,0.009999998,3.5044917e-18,0.75,100.0,0.01,809.4422103077518,1.0,2,,300,1.0
0.005,684.3758,1.0,1.0,749.3523987183161,350410.82223641174,75.96,779.3972,300.0,350410.82223641174,100,749.3523987183161,588.78894,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,749.3523987183161,1.0,2,,300,1.0
nan,nan,inf,inf,266.27646129732847,29070.720112747014,27.64,nan,85442254.88825843,553658.0646288011,100,777.8430634482669,nan,nan,nan,0.75,nan,nan,266.27646129732847,0.0038583593,,nan,400,4.6815244e-06
0.7776918,12779.666,0.93159,289.79596,342.05764987535326,108134.52140808813,35.22,4281.632,3.499738831936265,108134.52140808813,100,342.05764987535326,2738.5498,0.0025,0.0015630855,0.75,1.5970075325774042,,342.05764987535326,,1,217.04633,400,114.29424
0.01,924.56775,1.0,1.0,969.175008153437,863460.2350862902,97.93,969.175,400.0,863460.2350862902,100,969.175008153437,680.49994,0.009999998,3.5044917e-18,0.75,100.0,0.01,969.175008153437,1.0,2,,400,1.0
0.005,1013.29584,1.0,1.0,1098.6867861261294,1202347.876894462,110.86,1033.9308,400.0,1202347.876894462,100,1098.6867861261294,829.8067,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,1098.6867861261294,1.0,2,,400,1.0
0.0033333334,961.90326,1.0,1.0,828.63742354214,701151.5146003731,83.89,965.4997,400.0,701151.5146003731,100,828.63742354214,798.83307,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,828.63742354214,1.0,2,,400,1.0
nan,nan,inf,inf,342.05764987535326,108134.52140808813,35.22,nan,107604670.76411524,1715519.8091350966,100,1244.5650658072589,nan,nan,nan,0.75,nan,nan,342.05764987535326,0.0034507038,,nan,500,4.6466384e-06
0.5616175,15420.628,1.4312065,401.89526,459.0498665155963,556975.1707272242,46.9,3927.3735,3.6452972683854563,556975.1707272242,100,459.0498665155963,2415.4092,0.002,0.00074935675,0.75,2.6600764019296483,,459.0498665155963,,1,383.73657,500,137.16302
0.01,1505.1646,1.0,1.0,1780.9115366721003,2288404.571595552,179.05,1780.9114,500.0,2288404.571595552,100,1780.9115366721003,1492.2363,0.009999998,3.5044917e-18,0.75,100.0,0.01,1780.9115366721003,1.0,2,,500,1.0
0.005,1571.3698,1.0,1.0,1871.5332712016707,2695736.057111648,188.05,1826.2224,500.0,2695736.057111648,100,1871.5332712016707,1622.0984,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,1871.5332712016707,1.0,2,,500,1.0
0.0033333334,1570.2709,1.0,1.0,1981.1431425211601,2467519.9953279635,199.07,1877.8628,500.0,2467519.9953279635,100,1981.1431425211601,1711.1962,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,1981.1431425211601,1.0,2,,500,1.0
