MinVanillaIw,eRenyi2,VarNormIw,VanillaAvgRet,VarRet,ESSRenyi,J,Bound,BatchSize,Delta,AvgEpLen,AvgRet,MinNormIw,MaxVanillaIw,MaxNormIw,ESSClassic,AvgDiscRet,VarJ,VarVanillaIw,VarDiscRet,AvgNormIw,IterType,EpsThisIter,AvgVanillaIw
0.00621969,1.32991,4.89965e-05,-128.287298725,4581.01101113,75.1928200185,-111.454,-148.838,100,0.7,61.44,-128.287298725,6.94489e-05,2.06642,0.0230735,67.3370934249,-128.287298725,11.9534,0.392982,4581.01101113,0.01,1,100,0.895579
0.322281,1.08002,6.963e-06,-112.134075593,668.143637136,92.5910558975,-109.724,-134.258,100,0.7,21.47,-112.134075593,0.0030198,2.17434,0.0203737,93.5511494819,-112.134075593,8.85497,0.0793066,668.143637136,0.01,1,100,1.06723
0.0730481,1.11888,1.20222e-05,-109.307663731,39.3314912204,89.375458072,-108.281,-117.763,100,0.7,19.72,-109.307663731,0.000729058,1.62451,0.0162135,89.3639003978,-109.307663731,5.10136,0.120692,39.3314912204,0.01,1,100,1.00195
0.140733,1.11702,1.44276e-05,-111.010640166,383.211099232,89.5240065002,-108.539,-128.33,100,0.7,25.85,-111.010640166,0.00144715,1.62917,0.0167527,87.5018588573,-111.010640166,9.89488,0.136444,383.211099232,0.01,1,100,0.97248
0.176594,1.04872,5.10151e-06,-108.281690401,23.6458864446,95.3538921188,-107.656,-116.969,100,0.7,18.39,-108.281690401,0.00174422,1.33479,0.0131837,95.1923181698,-108.281690401,2.86284,0.0522937,23.6458864446,0.01,1,100,1.01245
0.0851338,1.06185,6.28763e-06,-113.316310625,1972.34956018,94.1751058495,-108.065,-141.431,100,0.7,24.79,-113.316310625,0.000834051,1.40204,0.0137357,94.1400381907,-113.316310625,6.81799,0.0655096,1972.34956018,0.01,1,100,1.02073
0.19924,1.05762,8.76486e-06,-108.542774361,20.2891653258,94.5515517707,-107.907,-117.058,100,0.7,17.46,-108.542774361,0.00198151,1.91551,0.0190504,92.0156173178,-108.542774361,3.1364,0.0886149,20.2891653258,0.01,1,100,1.0055
0.567643,1.06559,7.77634e-06,-107.424101369,11.7578425516,93.8448798844,-107.017,-114.754,100,0.7,15.76,-107.424101369,0.00574217,2.66328,0.0269412,92.8517685282,-107.424101369,6.31525,0.0759931,11.7578425516,0.01,1,100,0.988552
0.45812,1.0243,2.2167e-06,-107.071129246,9.71947190427,97.6276955796,-106.884,-114.542,100,0.7,18.39,-107.071129246,0.00451316,1.26694,0.0124813,97.85258373,-107.071129246,3.17489,0.0228404,9.71947190427,0.01,1,100,1.01508
0.235629,1.02799,2.55758e-06,-107.939686325,26.3466522418,97.2769529704,-107.657,-117.25,100,0.7,17.43,-107.939686325,0.00229581,1.25578,0.0122354,97.5305466998,-107.939686325,4.3152,0.0269412,26.3466522418,0.01,1,100,1.02635
0.477245,1.01979,2.19805e-06,-107.261058954,8.61333008089,98.059422181,-107.102,-114.708,100,0.7,16.83,-107.261058954,0.00478048,1.38219,0.0138452,97.8702738051,-107.261058954,2.87583,0.0219066,8.61333008089,0.01,1,100,0.998319
