ESSClassic,Delta,J,ESSRenyi,IterType,MaxVanillaIw,eRenyi2,EpsThisIter,VarRet,AvgNormIw,MaxNormIw,AvgDiscRet,VarDiscRet,AvgEpLen,VarVanillaIw,MinVanillaIw,BatchSize,Bound,MinNormIw,VarJ,VarNormIw,AvgRet,VanillaAvgRet,AvgVanillaIw
61.7142663524,0.4,-1184.98,57.1683491307,1,3.247,1.74922,100,130372.419906,0.01,0.0278654,-1385.32358895,130372.419906,500.0,0.850844,0.000114945,100,-1502.62,9.86445e-07,181.922,6.26637e-05,-1385.32358895,-1385.32358895,1.16524
81.7439601667,0.4,-1149.84,82.7445771854,1,1.87106,1.20854,100,64209.9434283,0.01,0.0181862,-1219.70065434,64209.9434283,500.0,0.238784,0.0239299,100,-1416.54,0.000232593,75.854,2.25588e-05,-1219.70065434,-1219.70065434,1.02883
94.2359445683,0.4,-1147.06,94.4956872289,1,1.37872,1.05825,100,20712.218598,0.01,0.0134255,-1164.90218396,20712.218598,500.0,0.0651586,0.313436,100,-1393.85,0.00305212,70.1285,6.17842e-06,-1164.90218396,-1164.90218396,1.02694
96.6994680328,0.4,-1137.97,97.234387553,1,1.39472,1.02844,100,15409.2483348,0.01,0.0139509,-1147.82021234,15409.2483348,500.0,0.0344578,0.375389,100,-1381.62,0.00375491,63.9422,3.44765e-06,-1147.82021234,-1147.82021234,0.999729
96.9328710773,0.4,-1140.79,97.375339753,1,1.27293,1.02695,100,10351.7065307,0.01,0.0127588,-1149.9804674,10351.7065307,500.0,0.0318139,0.335009,100,-1387.92,0.00335785,38.3304,3.19616e-06,-1149.9804674,-1149.9804674,0.997687
99.9968767438,0.4,-1134.19,99.9960543282,1,1.0148,1.00004,100,11.0134882916,0.01,0.0101451,-1134.19334837,11.0134882916,500.0,3.15919e-05,0.977205,100,-1277.06,0.00976921,3.24352,3.15735e-09,-1134.19334837,-1134.19334837,1.00029
95.9784199154,0.4,-1128.57,97.1641431457,1,1.80851,1.02919,100,9489.06715649,0.01,0.0180309,-1137.03875553,9489.06715649,500.0,0.042579,0.38442,100,-1372.16,0.00383268,87.3648,4.23242e-06,-1137.03875553,-1137.03875553,1.00301
99.3670524757,0.4,-1133.34,99.5109394193,1,1.43594,1.00491,100,452.942855368,0.01,0.0143465,-1134.05233408,452.942855368,500.0,0.0064456,0.84045,100,-1287.53,0.00839695,25.1309,6.43404e-07,-1134.05233408,-1134.05233408,1.0009
11.3956965904,0.4,-1003.05,49.9923121831,1,34.5096,2.00031,100,14752.3809184,0.01,0.282633,-1145.60631973,14752.3809184,500.0,11.7088,0.0250528,100,-1341.85,0.000205182,1013.48,0.000785378,-1145.60631973,-1145.60631973,1.221
99.3514939044,0.4,-1130.04,98.9551830863,1,1.29604,1.01056,100,11438.1995659,0.01,0.0129517,-1132.4122824,11438.1995659,500.0,0.00660209,0.760974,100,-1372.54,0.00760463,106.068,6.59323e-07,-1132.4122824,-1132.4122824,1.00067
80.7832528501,0.4,-1106.13,89.8967087951,1,5.20154,1.11239,100,5914.73484017,0.01,0.049998,-1123.62873123,5914.73484017,500.0,0.260065,0.51533,100,-1307.78,0.00495344,128.331,2.40283e-05,-1123.62873123,-1123.62873123,1.04035
59.4572150711,0.4,-1047.92,67.8546352973,1,6.11865,1.47374,100,9590.29151815,0.01,0.056358,-1105.85646118,9590.29151815,500.0,0.811847,0.164435,100,-1237.97,0.00151458,292.158,6.88769e-05,-1105.85646118,-1105.85646118,1.08568
68.6735636321,0.4,-1027.56,74.9649911698,1,5.58562,1.33396,100,31728.9706386,0.01,0.0507345,-1086.24582629,31728.9706386,500.0,0.5585,0.0585072,100,-1304.78,0.000531424,342.939,4.60772e-05,-1086.24582629,-1086.24582629,1.10095
42.8939447748,0.4,-911.115,50.9970545074,1,4.88179,1.9609,100,39474.0044484,0.01,0.0553742,-1059.08549582,39474.0044484,500.0,1.04519,7.94757e-08,100,-1247.2,9.01493e-10,382.776,0.000134478,-1059.08549582,-1059.08549582,0.8816
64.11681373,0.4,-821.058,59.0928940169,1,3.83099,1.69225,100,93635.9302819,0.01,0.0349948,-941.231201848,93635.9302819,500.0,0.677487,3.65091e-05,100,-1133.43,3.33497e-07,327.905,5.65307e-05,-941.231201848,-941.231201848,1.09473
60.9560687186,0.4,-736.586,62.217678449,1,4.35567,1.60726,100,144958.109044,0.01,0.0371832,-883.034568692,144958.109044,500.0,0.887804,0.0272434,100,-1041.02,0.00023257,214.695,6.46996e-05,-883.034568692,-883.034568692,1.17141
74.1345216233,0.4,-697.409,79.9371983871,1,2.93588,1.25098,100,48294.4124244,0.01,0.0296788,-753.427401745,48294.4124244,500.0,0.344865,0.150657,100,-965.934,0.00152299,166.111,3.52423e-05,-753.427401745,-753.427401745,0.989219
86.5421793802,0.4,-700.593,86.3000121601,1,2.24432,1.15875,100,45203.780215,0.01,0.0211495,-735.582158902,45203.780215,500.0,0.17688,0.340523,100,-959.222,0.00320895,186.744,1.57077e-05,-735.582158902,-735.582158902,1.06117
91.1544644092,0.4,-658.346,91.3854834855,1,2.08292,1.09427,100,25537.3466878,0.01,0.0206175,-682.305312606,25537.3466878,500.0,0.100043,0.172387,100,-909.625,0.00170635,110.084,9.80196e-06,-682.305312606,-682.305312606,1.01027
90.516793142,0.4,-628.718,91.3606113791,1,1.63355,1.09456,100,28576.3624789,0.01,0.0158339,-659.61209681,28576.3624789,500.0,0.112637,0.154659,100,-879.745,0.0014991,86.1735,1.05826e-05,-659.61209681,-659.61209681,1.03168
71.3378960728,0.4,-629.379,79.0565173548,1,2.99891,1.26492,100,74906.1599243,0.01,0.0311043,-703.641827887,74906.1599243,500.0,0.377256,0.0529968,100,-899.351,0.000549677,117.581,4.05838e-05,-703.641827887,-703.641827887,0.964144
91.5018368874,0.4,-610.931,91.7472605234,1,1.95788,1.08995,100,3434.93284764,0.01,0.0195128,-619.019974468,3434.93284764,500.0,0.0944488,0.462998,100,-714.279,0.00461436,55.6312,9.38125e-06,-619.019974468,-619.019974468,1.00339
