BatchSize,AvgVanillaIw,ESSRenyi,VarDiscRet,MinVanillaIw,IterType,AvgEpLen,EpsThisIter,VanillaAvgRet,AvgRet,MaxNormIw,AvgDiscRet,VarNormIw,eRenyi2,ESSClassic,MinNormIw,AvgNormIw,Bound,MaxVanillaIw,VarRet,J,VarJ,VarVanillaIw
100,1279.7324,92.58207344532877,1480.1792992143428,0.2118555,1,105.94,100,17.969312609392897,17.969312609392897,0.9992872,17.969312609392897,0.009985606,1.0801227,1.0014271166641504,1.6554671e-06,0.009999999,102.73389,127882.02,1480.1792992143428,114.80145,0.6487471,163535760.0
200,1.2217164,185.59230639803457,1515.9556905020263,7.819707e-06,,105.94,100,17.969312609392897,17.969312609392897,0.03863579,26.121901823186118,2.3338695e-05,1.0776309,81.23125241460502,6.400591e-08,0.010000002,12.987994,4.720198,1480.1792992143428,23.721504,44.800236,0.3483513
200,15487.054,175.87181324890923,1371.353521429731,0.102223285,1,106.53,100,25.268819844944698,25.268819844944698,0.9999325,25.268819844944698,0.0049993214,1.1371919,1.000134965086913,3.300282e-08,0.005,151.28983,3097201.8,1371.353521429731,161.54227,0.117513776,47963267000.0
200,1.0,200.0,1327.5692264838435,1.0,2,103.97,100,23.8570733800135,23.8570733800135,0.01,23.8570733800135,3.5044917e-18,1.0,100.0,0.01,0.009999998,12.637701,1.0,1327.5692264838435,23.85707,36.253185,
300,1.3820038,264.8864299120193,1311.1348094970422,3.228721e-07,,106.53,100,25.268819844944698,25.268819844944698,0.035392474,21.68675605580157,1.3113058e-05,1.1325608,131.41470167665454,1.1681303e-09,0.005,13.698264,9.782507,1371.353521429731,22.14102,46.072395,1.0018033
300,4517.716,272.4189622070442,1431.469738701788,0.37198654,1,104.57,100,13.49963745853988,13.49963745853988,0.99979377,13.49963745853988,0.0033319534,1.1012449,1.0004125779398148,2.7446507e-07,0.0033333334,153.2847,1355035.2,1431.469738701788,161.5224,0.48842534,6120394000.0
300,1.0,300.0,1350.967182080982,1.0,2,109.39,100,27.618786982991907,27.618786982991907,0.01,27.618786982991907,3.5044917e-18,1.0,100.0,0.01,0.009999998,15.860805,1.0,1350.967182080982,27.618788,36.571266,
300,1.0,300.0,1384.1154388460195,1.0,2,106.98,100,17.892971408724662,17.892971408724662,0.005,17.892971408724662,2.179301e-19,1.0,200.00000010221265,0.005,0.0049999994,14.441729,1.0,1384.1154388460195,22.755878,37.114872,
400,1.207006,364.510829158579,1231.4111009478327,7.379882e-07,,104.57,100,13.49963745853988,13.49963745853988,0.0074240714,15.797770233771514,1.4109238e-06,1.0973611,266.29744061401965,2.0380684e-09,0.0033333332,12.735039,2.6882694,1431.469738701788,19.846306,39.58717,0.18499707
400,9597.191,335.11383277042313,989.2523900611197,0.084036514,1,103.07,100,16.278357580093093,16.278357580093093,0.99988747,16.278357580093093,0.0024994363,1.1936243,1.0002251038460228,2.1890914e-08,0.0025000004,154.10956,3838444.5,989.2523900611197,161.53682,0.27506208,36834120000.0
400,1.0,400.0,1475.5394866284894,1.0,2,112.71,100,21.12804348580813,21.12804348580813,0.01,21.12804348580813,3.5044917e-18,1.0,100.0,0.01,0.009999998,5.7062435,1.0,1475.5394866284894,21.128042,38.220203,
400,1.0,400.0,1373.4256997594146,1.0,2,104.07,100,24.56328910297615,24.56328910297615,0.005,24.56328910297615,2.179301e-19,1.0,200.00000010221265,0.005,0.0049999994,11.940808,1.0,1373.4256997594146,22.845667,37.592392,
400,1.0,400.0,1112.99711850186,1.0,2,101.9,100,20.304567203721582,20.304567203721582,0.0033333334,20.304567203721582,5.4391416e-20,1.0,299.999969473632,0.0033333334,0.0033333336,13.094853,1.0,1112.99711850186,21.998632,36.20565,
500,1.5229727,420.0082473466996,1255.9234315565711,2.605222e-07,,103.07,100,16.278357580093093,16.278357580093093,0.019533489,13.342343292601429,3.962074e-06,1.1904528,245.04592865821525,4.2765408e-10,0.0025000004,8.67853,11.899589,989.2523900611197,17.091728,41.673336,1.4703708
500,5943.1016,414.81040760426674,1345.2193124915384,0.07248931,1,105.82,100,15.548200939473842,15.548200939473842,0.9998178,15.548200939473842,0.0019992697,1.20537,1.000364555813649,2.4394437e-08,0.0019999994,154.85228,2971009.2,1345.2193124915384,161.52803,0.5041463,17653778000.0
500,1.0,500.0,1350.9081606023183,1.0,2,100.95,100,26.37736876580818,26.37736876580818,0.01,26.37736876580818,3.5044917e-18,1.0,100.0,0.01,0.009999998,13.869056,1.0,1350.9081606023183,26.377367,36.570465,
500,1.0,500.0,1550.99672723531,1.0,2,106.42,100,18.25928011136024,18.25928011136024,0.005,18.25928011136024,2.179301e-19,1.0,200.00000010221265,0.005,0.0049999994,13.473613,1.0,1550.99672723531,22.318325,38.117172,
500,1.0,500.0,1113.4534703646107,1.0,2,103.86,100,19.790222017645327,19.790222017645327,0.0033333334,19.790222017645327,5.4391416e-20,1.0,299.999969473632,0.0033333334,0.0033333336,14.253947,1.0,1113.4534703646107,21.475624,36.57147,
500,1.0,500.0,1730.5983147983857,1.0,2,102.68,100,20.815927287696706,20.815927287696706,0.0025,20.815927287696706,5.434597e-20,1.0,400.0,0.0025,0.0024999997,15.056541,1.0,1730.5983147983857,21.310698,37.83529,
500,75449.56,421.9502022176031,1220.1878638643043,0.22530614,1,100.05,100,21.089367928782423,21.089367928782423,0.9999864,21.089367928782423,0.0019999456,1.184974,1.0000271445147444,5.9723644e-09,0.0019999999,142.53087,37724268.0,1220.1878638643043,148.62018,0.032458488,2846240500000.0
500,1.0,500.0,1259.432036866787,1.0,2,101.37,100,21.717770887847212,21.717770887847212,0.01,21.717770887847212,3.5044917e-18,1.0,100.0,0.01,0.009999998,9.927394,1.0,1259.432036866787,21.717772,35.31059,
500,1.0,500.0,1049.578392298378,1.0,2,101.07,100,19.261468316147244,19.261468316147244,0.005,19.261468316147244,2.179301e-19,1.0,200.00000010221265,0.005,0.0049999994,12.152564,1.0,1049.578392298378,20.48962,33.829994,
500,1.0,500.0,1071.2927982342553,1.0,2,103.33,100,19.458305167515412,19.458305167515412,0.0033333334,19.458305167515412,5.4391416e-20,1.0,299.999969473632,0.0033333334,0.0033333336,13.33867,1.0,1071.2927982342553,20.145847,33.41769,
500,1.0,500.0,1132.1357554414026,1.0,2,103.66,100,16.918695650266194,16.918695650266194,0.0025,16.918695650266194,5.434597e-20,1.0,400.0,0.0025,0.0024999997,13.443871,1.0,1132.1357554414026,19.33906,33.46211,
500,4374.8496,439.08204376725604,1501.7481299274873,0.24002413,1,108.02,100,26.453728114737146,26.453728114737146,0.9997775,26.453728114737146,0.0019991084,1.1387393,1.000445192473066,1.0972909e-07,0.0019999996,148.6581,2186938.0,1501.7481299274873,154.8799,0.61913913,9565384000.0
500,1.0,500.0,1116.9998192540252,1.0,2,105.54,100,20.68250340305251,20.68250340305251,0.01,20.68250340305251,3.5044917e-18,1.0,100.0,0.01,0.009999998,12.973474,1.0,1116.9998192540252,20.682505,33.254017,
500,1.0,500.0,1238.5487895715605,1.0,2,104.16,100,25.997225213970896,25.997225213970896,0.005,25.997225213970896,2.179301e-19,1.0,200.00000010221265,0.005,0.0049999994,16.878443,1.0,1238.5487895715605,23.339865,34.249935,
500,1.0,500.0,1290.8823723540295,1.0,2,104.56,100,20.578002122309485,20.578002122309485,0.0033333334,20.578002122309485,5.4391416e-20,1.0,299.999969473632,0.0033333334,0.0033333336,16.092854,1.0,1290.8823723540295,22.419245,34.781105,
500,1.0,500.0,1356.0271432260654,1.0,2,102.9,100,24.503901354768733,24.503901354768733,0.0025,24.503901354768733,5.434597e-20,1.0,400.0,0.0025,0.0024999997,17.461592,1.0,1356.0271432260654,22.940409,35.266487,
500,6174.1826,419.58787132810943,1588.8608164842185,0.11567646,1,105.6,100,22.15432730977555,22.15432730977555,0.9998289,22.15432730977555,0.0019993144,1.1916455,1.0003423194042618,3.7471022e-08,0.0019999999,174.8997,3086563.0,1588.8608164842185,182.39478,0.5465023,19053726000.0
500,1.0,500.0,1266.4859838503644,1.0,2,103.75,100,21.278547437741693,21.278547437741693,0.01,21.278547437741693,3.5044917e-18,1.0,100.0,0.01,0.009999998,12.663873,1.0,1266.4859838503644,21.278547,35.409336,
500,1.0,500.0,1363.593381652822,1.0,2,109.39,100,17.933291505510542,17.933291505510542,0.005,17.933291505510542,2.179301e-19,1.0,200.00000010221265,0.005,0.0049999994,13.035309,1.0,1363.593381652822,19.605919,36.120453,
