MinNormIw,AvgDiscRet,MinVanillaIw,MaxNormIw,VarNormIw,ESSClassic,VarDiscRet,VanillaAvgRet,MaxVanillaIw,AvgNormIw,BatchSize,eRenyi2,VarVanillaIw,AvgVanillaIw,ESSRenyi,VarRet,VarJ,J,Bound,AvgRet,AvgEpLen
,-1.1596057447604835e-13,,1.0,0.010000003,1.0,3680974.5780205172,-1439.2221432774563,45585.61,0.01,100,36383.727,20780472.0,455.85608,0.002748481517642782,3680974.5780205172,,1412.8472,642441.44,-1.1596057447604835e-13,200.0
,-3.019806626980426e-16,,1.0,0.0100000035,,65.39334994792497,-9.4383604941893,8.2329227e+34,0.01,100,inf,inf,8.2329226e+32,,65.39334994792497,,7.245779,5.9653935e+33,-3.019806626980426e-16,200.0
0.01,-7.638334409421077e-16,1.0,0.01,3.5044917e-18,100.0,62.803076427360736,-9.161959856519529,1.0,0.009999998,100,nan,,1.0,nan,62.803076427360736,7.885115,8.940697e-08,-0.66650283,-7.638334409421077e-16,200.0
0.01,9.769962616701378e-16,1.0,0.01,3.5044917e-18,100.0,68.44325763121617,-9.073211619938805,1.0,0.009999998,100,nan,,1.0,nan,68.44325763121617,8.231575,5.2154064e-08,-0.69578785,9.769962616701378e-16,200.0
0.01,4.085620730620576e-16,1.0,0.01,3.5044917e-18,100.0,60.44429692050421,-9.022302362103417,1.0,0.009999998,100,nan,,1.0,nan,60.44429692050421,7.7356224,1.3038516e-07,-0.6538666,4.085620730620576e-16,200.0
0.01,-3.552713678800501e-17,1.0,0.01,3.5044917e-18,100.0,69.31856163038225,-9.421500453276185,1.0,0.009999998,100,nan,,1.0,nan,69.31856163038225,8.284043,-2.9802322e-08,-0.7002229,-3.552713678800501e-17,200.0
0.01,1.5987211554602254e-16,1.0,0.01,3.5044917e-18,100.0,63.94896369100566,-9.755489665179649,1.0,0.009999998,100,nan,,1.0,nan,63.94896369100566,7.9567256,3.7252903e-08,-0.67255586,1.5987211554602254e-16,200.0
0.01,-2.842170943040401e-16,1.0,0.01,3.5044917e-18,100.0,74.10491184564833,-9.055792990110255,1.0,0.009999998,100,nan,,1.0,nan,74.10491184564833,8.56527,7.4505806e-08,-0.72399414,-2.842170943040401e-16,200.0
0.01,9.769962616701378e-16,1.0,0.01,3.5044917e-18,100.0,65.46730610421639,-9.832379498625166,1.0,0.009999998,100,nan,,1.0,nan,65.46730610421639,8.05063,,-0.68049324,9.769962616701378e-16,200.0
0.01,9.947598300641404e-16,1.0,0.01,3.5044917e-18,100.0,67.88155306758338,-9.532161483645,1.0,0.009999998,100,nan,,1.0,nan,67.88155306758338,8.197728,,-0.6929267,9.947598300641404e-16,200.0
0.01,2.3270274596143282e-15,1.0,0.01,3.5044917e-18,100.0,56.42869158694627,-8.579325633379845,1.0,0.009999998,100,nan,,1.0,nan,56.42869158694627,7.4742494,-4.4703484e-08,-0.6317737,2.3270274596143282e-15,200.0
0.01,-2.842170943040401e-16,1.0,0.01,3.5044917e-18,100.0,67.1839116460048,-9.76811346726975,1.0,0.009999998,100,nan,,1.0,nan,67.1839116460048,8.155493,1.1175871e-07,-0.689357,-2.842170943040401e-16,200.0
