AvgEpLen,VanillaAvgRet,AvgVanillaIw,J,EpsThisIter,AvgDiscRet,AvgRet,MaxNormIw,MinNormIw,BatchSize,ESSRenyi,VarJ,MinVanillaIw,VarVanillaIw,VarNormIw,VarRet,VarDiscRet,ESSClassic,Bound,Delta,MaxVanillaIw,IterType,eRenyi2,AvgNormIw
46.09,-119.975974872,1.43936e-39,-103.605,100,-119.975974872,-119.975974872,1.0,,100,6.64557140241e-37,,,,0.01,1735.98398748,1735.98398748,inf,-103.605,1.0,1.43936e-37,1,1.50476e+38,0.01
46.09,-119.975974872,inf,nan,100,-106.607823776,-119.975974872,nan,nan,200,,nan,6.94754e+36,nan,nan,1735.98398748,2.39070338308,nan,nan,1.0,inf,,inf,nan
61.54,-132.957646555,2.39868e-24,-103.605,100,-132.957646555,-132.957646555,0.999999,,200,2.23150091936e-10,0.000123434,,1.4013e-45,0.00499999,4419.21905803,4419.21905803,1.00145409557,-103.605,1.0,4.79736e-22,1,8.96258e+11,0.005
15.31,-106.563226491,1.0,-106.563,100,-106.563226491,-106.563226491,0.01,0.01,200,200.0,2.00672,1.0,,3.50449e-18,4.06761469533,4.06761469533,100.0,-106.563,1.0,1.0,2,1.0,0.01
61.54,-132.957646555,inf,nan,100,-106.761931117,-132.957646555,nan,nan,300,nan,nan,2.08448e+21,nan,nan,4419.21905803,4.62934959385,nan,nan,1.0,inf,,nan,nan
34.41,-120.877861299,2.7483e-14,-103.763,100,-120.877861299,-120.877861299,0.795483,,300,5.38872447771e-07,3.02966,,1.52427e-25,0.00224229,2256.37787304,2256.37787304,1.48416953538,-103.763,1.0,6.55867e-12,1,5.56718e+08,0.00333333
15.62,-106.727001754,1.0,-106.727,100,-106.727001754,-106.727001754,0.01,0.01,300,300.0,1.91542,1.0,,3.50449e-18,3.70589428985,3.70589428985,100.0,-106.727,1.0,1.0,2,1.0,0.01
15.43,-106.823030049,1.0,-106.775,100,-106.823030049,-106.823030049,0.005,0.005,300,300.0,1.95186,1.0,,2.1793e-19,3.98593603446,3.98593603446,200.000000102,-106.775,1.0,1.0,2,1.0,0.005
34.41,-120.877861299,inf,nan,100,-106.423253849,-120.877861299,nan,nan,400,nan,nan,1.5247e+11,nan,nan,2256.37787304,3.57639813619,nan,nan,1.0,inf,,nan,nan
51.22,-125.969070365,0.858677,-108.441,100,-125.969070365,-125.969070365,0.0453687,4.46803e-08,400,,6.30454,1.53464e-05,3.20653,2.71804e-05,4830.64351696,4830.64351696,74.9345109693,-108.441,1.0,15.5828,1,inf,0.0025
16.39,-108.050101433,1.0,-108.05,100,-108.050101433,-108.050101433,0.01,0.01,400,400.0,2.79566,1.0,,3.50449e-18,7.89465639134,7.89465639134,100.0,-108.05,1.0,1.0,2,1.0,0.01
17.12,-108.47891546,1.0,-108.265,100,-108.47891546,-108.47891546,0.005,0.005,400,400.0,4.36116,1.0,,2.1793e-19,30.4361103947,30.4361103947,200.000000102,-108.265,1.0,1.0,2,1.0,0.005
