MaxNormIw,VarJ,J,MaxVanillaIw,VarDiscRet,AvgNormIw,MinNormIw,Delta,VanillaAvgRet,ESSRenyi,AvgDiscRet,VarRet,AvgVanillaIw,Bound,ESSClassic,AvgEpLen,eRenyi2,MinVanillaIw,VarNormIw,AvgRet,EpsThisIter,VarVanillaIw,IterType,BatchSize
0.0489243,271.991,-1136.6,5.86833,130372.419906,0.01,1.13083e-11,0.8,-1385.32358895,38.0444812425,-1385.32358895,130372.419906,1.19947,-1295.56,42.2261543397,500.0,2.6285,1.3564e-09,0.000138202,-1385.32358895,100,1.98836,1,100
0.23167,662.832,-1038.07,26.0403,22318.2426106,0.01,8.8983e-08,0.8,-1149.66065159,32.5636402611,-1149.66065159,22318.2426106,1.12402,-1209.79,14.8988051423,500.0,3.07091,1.00019e-05,0.000576964,-1149.66065159,100,7.28952,1,100
0.411333,847.591,-764.859,42.6417,33063.4083813,0.01,4.44242e-14,0.8,-1127.1952352,11.2370572896,-1127.1952352,33063.4083813,1.03667,-1057.11,4.80720459088,500.0,8.89913,4.60533e-12,0.00200021,-1127.1952352,100,21.496,1,100
0.997873,27.0488,-1956.82,2.1714e+11,130209.197578,0.01,1.07771e-13,0.8,-1127.1952352,nan,-1058.30489498,33063.4083813,2.17603e+09,-inf,1.00426525202,500.0,nan,0.0234512,0.0099571,-1127.1952352,100,4.71478e+20,,200
0.42509,1206.73,-742.582,95.4474,33550.1259219,0.005,1.24589e-13,0.8,-1138.97660971,12.5531487354,-1138.97660971,33550.1259219,1.12267,-1019.08,4.71187523287,500.0,15.9323,2.79746e-11,0.00104136,-1138.97660971,100,52.5008,1,200
0.01,307.857,-1003.82,1.0,95733.3359416,0.01,0.01,0.8,-1003.81836585,200.0,-1003.81836585,95733.3359416,1.0,-1101.94,100.0,500.0,1.0,1.0,3.50449e-18,-1003.81836585,100,,2,200
0.930881,455.193,-758.236,3.57467e+10,141312.726822,0.005,2.72831e-13,0.8,-1138.97660971,nan,-1103.73237484,33550.1259219,1.92005e+08,-inf,1.15120477964,500.0,nan,0.010477,0.00433997,-1138.97660971,100,6.39987e+18,,300
0.376008,2189.99,-847.136,166.719,30372.7426681,0.00333333,4.06338e-06,0.8,-1099.21703411,49.3565288283,-1099.21703411,30372.7426681,1.47797,-986.68,6.87757510003,500.0,6.07822,0.00180166,0.00047514,-1099.21703411,100,93.4102,1,300
0.01,248.04,-1058.48,1.0,62145.2921737,0.01,0.01,0.8,-1058.47999213,300.0,-1058.47999213,62145.2921737,1.0,-1156.55,100.0,500.0,1.0,1.0,3.50449e-18,-1058.47999213,100,,2,300
0.005,252.638,-1057.21,1.0,66792.7615311,0.005,0.005,0.8,-1055.93315775,300.0,-1055.93315775,66792.7615311,1.0,-1126.55,200.000000102,500.0,1.0,1.0,2.1793e-19,-1055.93315775,100,,2,300
