ESSRenyi,SamplesThisIter,Bound,IterType,VarDiscRet,MaxNormIw,eRenyi2,AvgEpLen,MinNormIw,VarRet,MinVanillaIw,ESSClassic,AvgDiscRet,J,EpsThisIter,VanillaAvgRet,VarNormIw,VarVanillaIw,MaxVanillaIw,Delta,AvgNormIw,AvgRet,BatchSize,AvgVanillaIw,VarJ
100.0,50000,41.7269,1,3885.33662006,0.0001221,1.0,6.10500610501,0.0001221,3885.33662006,1.0,8189.99994469,51.0178392758,51.0178,8190,51.0178392758,,,1.0,0.6,0.0001221,51.0178392758,100,1.0,62.3287
100.0,50000,38.1907,1,4147.3438592,0.000120846,1.0,6.04229607251,0.000120846,4147.3438592,1.0,8275.00022496,50.3911541539,50.3912,8275,50.3911541539,8.47135e-22,,1.0,0.6,0.000120846,50.3911541539,100,1.0,64.396
100.0,50000,40.7459,1,3439.46230188,0.00011805,1.0,5.90249085114,0.00011805,3439.46230188,1.0,8471.00056769,48.9932599526,48.9933,8471,48.9932599526,2.11783e-22,,1.0,0.6,0.00011805,48.9932599526,100,1.0,58.6435
100.0,50000,42.4537,1,3544.00435509,0.000118287,1.0,5.91436006624,0.000118287,3544.00435509,1.0,8454.00058426,49.1121392338,49.1122,8454,49.1121392338,2.11783e-22,,1.0,0.6,0.000118287,49.1121392338,100,1.0,59.528
100.0,50000,42.6391,1,3520.18459024,0.000119246,1.0,5.9623181493,0.000119246,3520.18459024,1.0,8386.00037139,49.5915160125,49.5915,8386,49.5915160125,4.76513e-22,,1.0,0.6,0.000119246,49.5915160125,100,1.0,59.3276
100.0,50000,40.9517,1,3579.79524254,0.000117925,1.0,5.89622641509,0.000117925,3579.79524254,1.0,8480.00025845,48.9304740987,48.9305,8480,48.9304740987,,,1.0,0.6,0.000117925,48.9304740987,100,1.0,59.8279
100.0,50000,41.097,1,3483.3484201,0.000117855,1.0,5.89275191514,0.000117855,3483.3484201,1.0,8485.00005197,48.8948163153,48.8948,8485,48.8948163153,,,1.0,0.6,0.000117855,48.8948163153,100,1.0,59.0164
100.0,50000,41.9349,1,3744.28277861,0.000119646,1.0,5.98229241445,0.000119646,3744.28277861,1.0,8358.00031681,49.7908372405,49.7908,8358,49.7908372405,,,1.0,0.6,0.000119646,49.7908372405,100,1.0,61.1869
100.0,50000,40.7602,1,3316.03615436,0.000116754,1.0,5.83771161705,0.000116754,3316.03615436,1.0,8564.99967129,48.3445163,48.3445,8565,48.3445163,4.76512e-22,,1.0,0.6,0.000116754,48.3445163,100,1.0,57.5817
100.0,50000,38.8583,1,3762.99672217,0.000118189,1.0,5.90946696608,0.000118189,3762.99672217,1.0,8460.99967314,49.0633939528,49.0634,8461,49.0633939528,2.11783e-22,,1.0,0.6,0.000118189,49.0633939528,100,1.0,61.3396
100.0,50000,33.7046,1,4082.84117329,0.000118582,1.0,5.92908810625,0.000118582,4082.84117329,1.0,8432.99994443,49.2580605496,49.2581,8433,49.2580605496,2.11783e-22,,1.0,0.6,0.000118582,49.2580605496,100,1.0,63.8933
100.0,50000,41.4697,1,3477.65860463,0.000118835,1.0,5.94177064765,0.000118835,3477.65860463,1.0,8415.00040799,49.3861248902,49.3861,8415,49.3861248902,4.76513e-22,,1.0,0.6,0.000118835,49.3861248902,100,1.0,58.9682
100.0,50000,42.0745,1,3741.49066748,0.000118991,1.0,5.94954783436,0.000118991,3741.49066748,1.0,8404.00016072,49.463663775,49.4637,8404,49.463663775,4.76513e-22,,1.0,0.6,0.000118991,49.463663775,100,1.0,61.1641
