AvgEpLen,VarJ,MinVanillaIw,BatchSize,AvgNormIw,Bound,MaxNormIw,VarDiscRet,MinNormIw,VarNormIw,ESSRenyi,MaxVanillaIw,VanillaAvgRet,J,VarRet,AvgVanillaIw,eRenyi2,ESSClassic,AvgRet,VarVanillaIw,AvgDiscRet
4.41,54.240906,7.263003e-27,100,0.01,17.052069,0.731904,256.62887337303863,8.389524e-29,0.005563156,4.538680563328682,63.362602,34.07641874443197,39.131485,256.62887337303863,0.8657229,22.032835,1.7833181517569017,2.2382096176443156e-15,41.69452,2.2382096176443156e-15
7.01,212.73521,,100,0.01,56.61174,0.8059362,1501.5987997542213,,0.0065685776,2.880438043178002,133.63351,60.06512553675921,135.88504,1501.5987997542213,1.6581153,34.71694,1.514488241331138,9.876544027065392e-15,180.59294,9.876544027065392e-15
7.57,184.95192,1.0255451e-12,100,0.009999999,18.707512,0.41039193,1963.7331453066809,7.577289e-15,0.0024610024,5.286816085075016,55.544327,65.66031464538821,97.1523,1963.7331453066809,1.3534459,18.914976,3.9426080150016083,1.4210854715202004e-16,45.081024,1.4210854715202004e-16
10.55,224.12361,,100,0.01,49.50328,0.2966353,3469.377612735808,,0.0018210381,10.613604044800839,25.404692,95.44408088139417,130.74849,3469.377612735808,0.85642844,9.42187,5.255335433900202,1.4210854715202005e-15,13.356762,1.4210854715202005e-15
10.43,222.64511,,100,0.01,98.57232,0.8960427,3224.9443154160776,,0.008018639,2.808206513902735,76.44516,94.23945525196342,221.97806,3224.9443154160776,0.85314196,35.609917,1.2440210791021378,-1.0231815394945442e-14,58.363758,-1.0231815394945442e-14
11.4,108.54422,,100,0.01,88.29565,0.93297035,2949.928768078626,,0.008696557,4.6174122612143025,59.349384,103.93787661862635,165.06857,2949.928768078626,0.6361337,21.657152,1.14815966092395,-2.0179413695586844e-14,35.19201,-2.0179413695586844e-14
11.73,158.6295,0.03819701,100,0.010000002,-26.41932,0.2753016,6044.55596593567,0.00029128848,0.0007586623,46.79017977215481,36.10063,107.2367305198731,20.668652,6044.55596593567,1.3113121,2.1372006,11.749838344957984,8.242295734817162e-15,13.045495,8.242295734817162e-15
11.13,205.38097,,100,0.01,57.02703,0.6759703,3096.5239100880517,,0.0048402683,3.685889763431889,93.96568,101.23690746378158,139.75275,3096.5239100880517,1.3900859,27.130491,2.0442095559609026,-4.263256414560601e-15,93.53041,-4.263256414560601e-15
10.72,152.04478,2.0968416e-16,100,0.01,41.845234,0.7908333,2531.619640420641,1.861307e-18,0.006269021,3.684451385773349,89.090744,97.1367360157702,104.45831,2531.619640420641,1.1265427,27.141083,1.5857082514026917,1.6271428648906295e-14,79.560036,1.6271428648906295e-14
10.8,189.06621,3.4939247e-31,100,0.01,76.80086,0.89824146,2729.604351558471,1.9314865e-33,0.008062446,4.786725630348042,162.48563,97.93688160253313,162.20493,2729.604351558471,1.8089304,20.891108,1.2373453130421443,1.5205614545266145e-14,263.82153,1.5205614545266145e-14
