J,BatchSize,MinNormIw,MaxVanillaIw,VarJ,AvgEpLen,AvgDiscRet,VarNormIw,AvgRet,AvgNormIw,ESSRenyi,VanillaAvgRet,VarDiscRet,VarRet,eRenyi2,Bound,VarVanillaIw,ESSClassic,AvgVanillaIw,MaxNormIw,MinVanillaIw
503.8789,100,,187.78607,63.156246,12.62,116.11656713830943,0.009668543,116.11656713830943,0.01,1.7910973149391662,116.11656713830943,5068.280106981779,5068.280106981779,55.831696,459.14032,352.53174,1.0339274793085864,1.9094954,0.98343295,
4956.8438,100,,144.18944,506.44357,35.6,345.94564128065974,0.0097783385,345.94564128065974,0.01,1.48257606640464,345.94564128065974,280845.63453539385,280845.63453539385,67.450165,4590.797,207.87129,1.02243711609721,1.4580247,0.98893684,
4891.9424,100,,37.254265,713.4882,159.64,1588.1698920033648,0.002921345,1588.1698920033648,0.01,6.8131277929931295,1588.1698920033648,3424745.1179539217,3424745.1179539217,14.6775465,4295.659,16.231913,3.3420988787844097,0.74540687,0.4997843,
4987.208,100,1.970003e-06,3.245472,61.43117,460.56,4604.415894451225,6.5489585e-05,4604.415894451225,0.01,52.281715197114515,4604.415894451225,1516656.9265661445,1516656.9265661445,1.9127146,4843.963,1.041861,60.66684753282107,1.2613012,0.02573114,0.00024847672
4999.937,100,1.51441e-05,29.67685,0.1456925,500.0,4999.841404212282,0.0005652194,4999.841404212282,0.010000002,27.610024622091316,4999.841404212282,0.052812121532448464,0.052812121532448464,3.621873,4999.9004,11.180435,15.16145779820306,1.4064387,0.21100706,0.002129925
4998.61,100,0.00025369634,1.7222911,12.11072,495.29,4952.6255429446255,3.11018e-05,4952.6255429446255,0.01,82.37464529572053,4952.6255429446255,222780.59564132334,222780.59564132334,1.2139658,4954.8726,0.2595547,76.45798444918562,0.91352767,0.01885319,0.023175864
4999.976,100,,162.82867,0.026449248,500.0,4999.901918711279,0.0047957934,4999.901918711279,0.01,97.54392705154733,4999.901918711279,0.01049000206285748,0.01049000206285748,1.0251791,4999.9673,294.52713,2.0627757886531235,2.4781773,0.65705013,
4998.6406,100,3.2278763e-07,2.0139685,6.79663,493.81,4937.337207524626,5.8520975e-05,4937.337207524626,0.01,67.76213434283086,4937.337207524626,90216.45383835364,90216.45383835364,1.4757504,4967.953,0.48855314,63.31687374851725,0.91369265,0.022042079,2.9492867e-05
4999.434,100,0.00011749772,1.3687809,5.0439844,495.74,4957.235871797413,9.133621e-06,4957.235871797413,0.010000002,91.49828933069621,4957.235871797413,182331.745893845,182331.745893845,1.0929166,4961.8906,0.09094878,91.70752501745328,0.9978769,0.013716931,0.011724826
4999.95,100,0.0007088957,11.211229,0.08200892,500.0,4999.934001070989,0.00018935434,4999.934001070989,0.010000002,33.86003096910734,4999.934001070989,0.004167086227055324,0.004167086227055324,2.9533346,4999.941,2.4969485,34.78735359724752,1.1483312,0.09763063,0.0814047
4999.663,100,0.00024903033,1.6571945,2.7586515,499.01,4989.938077089077,3.0131303e-05,4989.938077089077,0.01,81.47267997912243,4989.938077089077,9999.93003249604,9999.93003249604,1.2274053,4990.3457,0.27901042,77.02381158359302,0.9622795,0.01722155,0.023963679
4999.9756,100,,38.665188,0.047809895,500.0,4999.929438003681,0.0015193295,4999.929438003681,0.010000002,6.988364034253764,4999.929438003681,0.0036723770176830153,0.0036723770176830153,14.309501,4999.9565,30.014162,6.233884818551206,1.4055203,0.2750952,
4999.995,100,,35.89817,0.025927462,500.0,4999.942325695124,0.0043812906,4999.942325695124,0.01,5.293587806961667,4999.942325695124,0.003508133430073692,0.003508133430073692,18.89078,4999.9736,13.468044,2.2535320559503886,0.5544358,0.64747214,
4999.9795,100,2.7160356e-20,18.481976,0.030429784,500.0,4999.942045294649,0.0015474664,4999.942045294649,0.01,7.5249394011788,4999.942045294649,0.002643744253533245,0.002643744253533245,13.289144,4999.964,5.230648,6.127483032175922,0.5813895,0.31789318,1.5790746e-18
4999.99,100,,38.573967,0.04090006,500.0,4999.941522793735,0.0022926116,4999.941522793735,0.010000002,7.113318103727522,4999.941522793735,0.0026005513505998126,0.0026005513505998126,14.058137,4999.974,26.011366,4.21996934984966,1.0651637,0.3621412,
