AvgDiscRet,AvgVanillaIw,VarNormIw,Bound,J,VarJ,MaxNormIw,VarDiscRet,VarRet,VarVanillaIw,ESSRenyi,ESSClassic,AvgRet,AvgEpLen,BatchSize,eRenyi2,MaxVanillaIw,MinNormIw,AvgNormIw,MinVanillaIw,VanillaAvgRet
-2378.962239605916,0.98657,0.00016579217,-847.01013,-75.34627,218.50774,0.03590543,5396287.766682559,5396287.766682559,1.613689,39.443263980349386,37.85953854508904,-2378.962239605916,200.0,100,2.5352871,3.542322,2.3959189e-15,0.01,2.3637415e-13,-2378.962239605916
-120.47581398501467,0.9719152,2.1953272e-05,-281.4843,-18.676638,46.503304,0.014935575,273757.9349403928,273757.9349403928,0.20737484,85.18488542965744,82.14649336996217,-120.47581398501467,200.0,100,1.1739172,1.4516113,0.000548012,0.010000002,0.05326212,-120.47581398501467
-10.080844824444974,1.2581813,0.00040181458,-11.098691,-5.27876,12.083532,0.067050755,74.81135131864305,74.81135131864305,6.3608046,16.740767999910595,20.08853596940749,-10.080844824444974,200.0,100,5.9734416,8.436201,,0.01,,-10.080844824444974
-8.268990724828813,1.0505599,7.887891e-06,-10.122576,-8.00164,7.4891486,0.012136525,55.454759834497715,55.454759834497715,0.087056756,92.3113762333702,92.75662902810494,-8.268990724828813,200.0,100,1.0832901,1.2750145,0.00043217515,0.010000002,0.045402586,-8.268990724828813
-7.480776503398053,1.0127759,1.1177151e-05,-9.236093,-7.1611376,6.520226,0.012757112,43.149410314984166,43.149410314984166,0.11464573,91.63732383788361,90.03705656420739,-7.480776503398053,200.0,100,1.0912584,1.2920096,0.0008557509,0.01,0.08666839,-7.480776503398053
-8.410074152320036,0.49217662,0.0029515524,-9.244434,-1.0238163,5.745444,0.44982958,56.22069556649184,56.22069556649184,7.14978,5.683641880954518,3.3090258977877838,-8.410074152320036,200.0,100,17.594353,22.13956,,0.010000002,,-8.410074152320036
-8.711299120078829,0.8295525,0.00061308884,-9.984606,-5.4116507,13.7981415,0.09345821,47.61960331400508,47.61960331400508,4.2190156,18.127630185114032,14.145113047437373,-8.711299120078829,200.0,100,5.516441,7.752849,,0.01,,-8.711299120078829
-8.557764864446359,0.825634,0.0010511649,-8.564608,-2.6440427,6.349336,0.15282588,60.05685171483498,60.05685171483498,7.165492,10.936026846130355,8.766906449078142,-8.557764864446359,200.0,100,9.144089,12.617825,,0.01,,-8.557764864446359
-7.0993304554245285,0.80242586,5.5012264e-05,-8.7257,-6.4960012,8.469938,0.022177828,48.62369989151849,48.62369989151849,0.35421687,72.89629949482911,64.74078798149277,-7.0993304554245285,200.0,100,1.3718117,1.7796063,1.4924888e-05,0.01,0.0011976116,-7.0993304554245285
-8.9916178234279,0.4813066,0.002399242,-9.735434,-2.5475283,10.930536,0.4061699,51.08194636659372,51.08194636659372,5.557988,7.35174958607777,4.039997692711706,-8.9916178234279,200.0,100,13.602204,19.549225,,0.01,,-8.9916178234279
